Sample:	'20211010A(EM)
File name:	B-NI 6 600.FDS
Run date:	'11:12:11, 06/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	700.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	305 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	434.2	435.2	5215	435.2	5184
2	435.2	436.6	700.0	5230	700.0	2.698

Data points
nm	Data
370.0	22.91
370.2	23.50
370.4	24.08
370.6	24.68
370.8	25.45
371.0	26.17
371.2	26.84
371.4	27.51
371.6	28.13
371.8	28.94
372.0	30.04
372.2	30.95
372.4	31.78
372.6	32.53
372.8	33.20
373.0	34.05
373.2	34.97
373.4	35.87
373.6	36.86
373.8	37.76
374.0	38.97
374.2	40.15
374.4	41.31
374.6	42.62
374.8	43.86
375.0	44.96
375.2	46.27
375.4	47.32
375.6	48.44
375.8	49.95
376.0	51.52
376.2	53.23
376.4	54.82
376.6	56.35
376.8	57.89
377.0	59.50
377.2	61.44
377.4	63.34
377.6	65.39
377.8	67.44
378.0	69.14
378.2	70.95
378.4	72.96
378.6	74.80
378.8	76.87
379.0	79.11
379.2	81.28
379.4	84.15
379.6	87.23
379.8	90.38
380.0	93.48
380.2	96.25
380.4	98.80
380.6	101.8
380.8	105.1
381.0	108.6
381.2	112.3
381.4	115.6
381.6	118.8
381.8	122.3
382.0	126.0
382.2	129.6
382.4	133.8
382.6	138.1
382.8	142.4
383.0	147.0
383.2	151.2
383.4	155.3
383.6	160.5
383.8	165.9
384.0	171.4
384.2	176.9
384.4	181.8
384.6	186.7
384.8	192.8
385.0	199.4
385.2	206.4
385.4	212.7
385.6	218.7
385.8	225.5
386.0	233.0
386.2	241.1
386.4	249.3
386.6	256.9
386.8	263.7
387.0	270.7
387.2	278.4
387.4	287.0
387.6	296.0
387.8	305.9
388.0	314.9
388.2	323.3
388.4	331.9
388.6	341.5
388.8	351.1
389.0	362.2
389.2	373.7
389.4	385.4
389.6	397.4
389.8	409.2
390.0	419.9
390.2	431.3
390.4	443.4
390.6	457.9
390.8	473.2
391.0	487.7
391.2	499.8
391.4	511.9
391.6	525.5
391.8	541.3
392.0	556.2
392.2	569.9
392.4	583.1
392.6	598.5
392.8	615.8
393.0	632.4
393.2	647.9
393.4	663.6
393.6	681.3
393.8	699.4
394.0	716.3
394.2	734.5
394.4	753.4
394.6	771.7
394.8	790.1
395.0	809.6
395.2	828.9
395.4	852.8
395.6	874.4
395.8	895.9
396.0	917.6
396.2	940.3
396.4	960.6
396.6	983.6
396.8	1004
397.0	1026
397.2	1052
397.4	1077
397.6	1098
397.8	1122
398.0	1145
398.2	1169
398.4	1195
398.6	1220
398.8	1246
399.0	1270
399.2	1296
399.4	1324
399.6	1351
399.8	1378
400.0	1407
400.2	1436
400.4	1467
400.6	1499
400.8	1530
401.0	1558
401.2	1583
401.4	1612
401.6	1640
401.8	1669
402.0	1696
402.2	1727
402.4	1756
402.6	1785
402.8	1817
403.0	1847
403.2	1874
403.4	1909
403.6	1942
403.8	1977
404.0	2016
404.2	2050
404.4	2072
404.6	2096
404.8	2120
405.0	2150
405.2	2185
405.4	2225
405.6	2259
405.8	2291
406.0	2321
406.2	2356
406.4	2387
406.6	2418
406.8	2454
407.0	2483
407.2	2512
407.4	2549
407.6	2579
407.8	2605
408.0	2642
408.2	2675
408.4	2706
408.6	2740
408.8	2769
409.0	2795
409.2	2824
409.4	2854
409.6	2886
409.8	2922
410.0	2952
410.2	2988
410.4	3022
410.6	3048
410.8	3079
411.0	3116
411.2	3149
411.4	3185
411.6	3215
411.8	3235
412.0	3265
412.2	3294
412.4	3330
412.6	3352
412.8	3377
413.0	3407
413.2	3447
413.4	3478
413.6	3508
413.8	3528
414.0	3547
414.2	3575
414.4	3608
414.6	3645
414.8	3675
415.0	3703
415.2	3724
415.4	3749
415.6	3771
415.8	3802
416.0	3838
416.2	3873
416.4	3896
416.6	3917
416.8	3940
417.0	3970
417.2	3997
417.4	4019
417.6	4030
417.8	4041
418.0	4061
418.2	4094
418.4	4121
418.6	4153
418.8	4181
419.0	4198
419.2	4215
419.4	4239
419.6	4254
419.8	4281
420.0	4306
420.2	4335
420.4	4371
420.6	4398
420.8	4419
421.0	4436
421.2	4449
421.4	4463
421.6	4480
421.8	4495
422.0	4506
422.2	4520
422.4	4534
422.6	4547
422.8	4562
423.0	4586
423.2	4605
423.4	4619
423.6	4630
423.8	4649
424.0	4665
424.2	4685
424.4	4708
424.6	4720
424.8	4733
425.0	4756
425.2	4775
425.4	4791
425.6	4814
425.8	4831
426.0	4847
426.2	4867
426.4	4884
426.6	4898
426.8	4908
427.0	4908
427.2	4913
427.4	4919
427.6	4930
427.8	4935
428.0	4946
428.2	4955
428.4	4972
428.6	4990
428.8	5001
429.0	5006
429.2	5012
429.4	5027
429.6	5040
429.8	5066
430.0	5079
430.2	5087
430.4	5089
430.6	5094
430.8	5087
431.0	5099
431.2	5112
431.4	5119
431.6	5129
431.8	5131
432.0	5134
432.2	5139
432.4	5147
432.6	5143
432.8	5146
433.0	5150
433.2	5171
433.4	5186
433.6	5202
433.8	5206
434.0	5212
434.2	5215
434.4	5214
434.6	5208
434.8	5200
435.0	5191
435.2	5184
435.4	5189
435.6	5193
435.8	5195
436.0	5202
436.2	5217
436.4	5223
436.6	5230
436.8	5230
437.0	5226
437.2	5219
437.4	5221
437.6	5219
437.8	5208
438.0	5210
438.2	5213
438.4	5204
438.6	5205
438.8	5201
439.0	5196
439.2	5195
439.4	5193
439.6	5187
439.8	5180
440.0	5170
440.2	5161
440.4	5150
440.6	5144
440.8	5142
441.0	5137
441.2	5149
441.4	5150
441.6	5150
441.8	5138
442.0	5112
442.2	5098
442.4	5105
442.6	5098
442.8	5101
443.0	5104
443.2	5093
443.4	5090
443.6	5081
443.8	5056
444.0	5038
444.2	5028
444.4	5027
444.6	5031
444.8	5028
445.0	5016
445.2	5007
445.4	4992
445.6	4986
445.8	4977
446.0	4964
446.2	4952
446.4	4946
446.6	4945
446.8	4936
447.0	4936
447.2	4933
447.4	4918
447.6	4899
447.8	4881
448.0	4858
448.2	4849
448.4	4843
448.6	4836
448.8	4828
449.0	4817
449.2	4809
449.4	4795
449.6	4777
449.8	4764
450.0	4748
450.2	4728
450.4	4711
450.6	4697
450.8	4686
451.0	4680
451.2	4671
451.4	4664
451.6	4649
451.8	4640
452.0	4621
452.2	4609
452.4	4597
452.6	4588
452.8	4572
453.0	4560
453.2	4543
453.4	4532
453.6	4522
453.8	4518
454.0	4512
454.2	4499
454.4	4486
454.6	4464
454.8	4440
455.0	4427
455.2	4417
455.4	4401
455.6	4387
455.8	4371
456.0	4353
456.2	4340
456.4	4326
456.6	4310
456.8	4295
457.0	4274
457.2	4254
457.4	4233
457.6	4212
