Sample:	'20211010A(EM)
File name:	B-NI 9.FDS
Run date:	'11:18:32, 06/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	700.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	305 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	459.8	460.8	1579	460.8	1575
2	460.8	461.2	700.0	1578	700.0	2.415

Data points
nm	Data
370.0	1.627
370.2	1.585
370.4	1.577
370.6	1.587
370.8	1.590
371.0	1.597
371.2	1.616
371.4	1.610
371.6	1.606
371.8	1.604
372.0	1.625
372.2	1.660
372.4	1.723
372.6	1.735
372.8	1.760
373.0	1.773
373.2	1.800
373.4	1.832
373.6	1.841
373.8	1.825
374.0	1.817
374.2	1.823
374.4	1.840
374.6	1.879
374.8	1.919
375.0	1.946
375.2	1.948
375.4	2.003
375.6	2.029
375.8	2.082
376.0	2.140
376.2	2.181
376.4	2.178
376.6	2.207
376.8	2.179
377.0	2.215
377.2	2.288
377.4	2.387
377.6	2.460
377.8	2.496
378.0	2.483
378.2	2.483
378.4	2.515
378.6	2.530
378.8	2.539
379.0	2.545
379.2	2.542
379.4	2.585
379.6	2.621
379.8	2.666
380.0	2.745
380.2	2.792
380.4	2.820
380.6	2.892
380.8	2.876
381.0	2.909
381.2	3.007
381.4	3.043
381.6	3.136
381.8	3.188
382.0	3.202
382.2	3.213
382.4	3.257
382.6	3.303
382.8	3.361
383.0	3.417
383.2	3.534
383.4	3.643
383.6	3.740
383.8	3.779
384.0	3.796
384.2	3.868
384.4	3.925
384.6	3.970
384.8	4.048
385.0	4.085
385.2	4.168
385.4	4.306
385.6	4.434
385.8	4.534
386.0	4.637
386.2	4.690
386.4	4.740
386.6	4.861
386.8	4.942
387.0	5.097
387.2	5.173
387.4	5.171
387.6	5.238
387.8	5.362
388.0	5.514
388.2	5.746
388.4	5.925
388.6	6.028
388.8	6.117
389.0	6.267
389.2	6.409
389.4	6.577
389.6	6.788
389.8	6.955
390.0	7.104
390.2	7.350
390.4	7.524
390.6	7.745
390.8	7.906
391.0	8.017
391.2	8.216
391.4	8.406
391.6	8.653
391.8	8.881
392.0	9.119
392.2	9.337
392.4	9.666
392.6	9.823
392.8	10.08
393.0	10.35
393.2	10.66
393.4	10.90
393.6	11.21
393.8	11.53
394.0	11.89
394.2	12.41
394.4	12.92
394.6	13.25
394.8	13.58
395.0	14.04
395.2	14.40
395.4	14.89
395.6	15.35
395.8	15.89
396.0	16.39
396.2	16.91
396.4	17.27
396.6	17.65
396.8	18.09
397.0	18.77
397.2	19.51
397.4	20.28
397.6	20.83
397.8	21.38
398.0	22.05
398.2	22.69
398.4	23.43
398.6	24.34
398.8	25.15
399.0	26.00
