Sample:	'20211010A(EM)
File name:	B-NI 10.FDS
Run date:	'11:21:09, 06/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	700.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	305 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	458.2	458.8	1408	458.8	1400
2	458.8	460.4	462.0	1406	462.0	1399
3	462.0	463.0	700.0	1407	700.0	2.038

Data points
nm	Data
370.0	1.220
370.2	1.267
370.4	1.321
370.6	1.366
370.8	1.353
371.0	1.386
371.2	1.377
371.4	1.392
371.6	1.364
371.8	1.402
372.0	1.401
372.2	1.481
372.4	1.472
372.6	1.508
372.8	1.510
373.0	1.543
373.2	1.539
373.4	1.546
373.6	1.550
373.8	1.552
374.0	1.594
374.2	1.578
374.4	1.612
374.6	1.659
374.8	1.688
375.0	1.653
375.2	1.667
375.4	1.650
375.6	1.707
375.8	1.775
376.0	1.829
376.2	1.864
376.4	1.862
376.6	1.886
376.8	1.877
377.0	1.885
377.2	1.883
377.4	1.907
377.6	1.888
377.8	1.983
378.0	2.036
378.2	2.093
378.4	2.078
378.6	2.057
378.8	2.051
379.0	2.155
379.2	2.211
379.4	2.288
379.6	2.269
379.8	2.250
380.0	2.267
380.2	2.338
380.4	2.395
380.6	2.456
380.8	2.471
381.0	2.511
381.2	2.520
381.4	2.518
381.6	2.550
381.8	2.592
382.0	2.622
382.2	2.702
382.4	2.741
382.6	2.791
382.8	2.870
383.0	2.951
383.2	3.026
383.4	3.087
383.6	3.100
383.8	3.160
384.0	3.179
384.2	3.198
384.4	3.216
384.6	3.271
384.8	3.348
385.0	3.472
385.2	3.566
385.4	3.636
385.6	3.639
385.8	3.755
386.0	3.829
386.2	3.886
386.4	3.950
386.6	3.996
386.8	4.038
387.0	4.185
387.2	4.264
387.4	4.356
387.6	4.420
387.8	4.524
388.0	4.659
388.2	4.817
388.4	4.897
388.6	5.034
388.8	5.064
389.0	5.222
389.2	5.376
389.4	5.471
389.6	5.497
389.8	5.617
390.0	5.729
390.2	6.021
390.4	6.147
390.6	6.276
390.8	6.384
391.0	6.609
391.2	6.896
391.4	7.173
391.6	7.278
391.8	7.417
392.0	7.514
392.2	7.721
392.4	7.960
392.6	8.196
392.8	8.475
393.0	8.720
393.2	8.860
393.4	9.083
393.6	9.312
393.8	9.669
394.0	10.04
394.2	10.37
394.4	10.63
394.6	10.90
394.8	11.11
395.0	11.45
395.2	11.84
395.4	12.22
395.6	12.59
395.8	12.90
396.0	13.14
396.2	13.48
396.4	14.01
396.6	14.57
396.8	15.20
397.0	15.72
397.2	16.14
397.4	16.61
397.6	17.15
397.8	17.76
398.0	18.40
398.2	18.87
398.4	19.51
398.6	20.23
398.8	20.96
399.0	21.82
399.2	22.53
399.4	23.17
399.6	23.86
399.8	24.84
400.0	25.65
400.2	26.43
400.4	27.29
400.6	28.18
400.8	29.10
401.0	30.37
401.2	31.47
401.4	32.47
401.6	33.43
401.8	34.46
402.0	35.60
402.2	36.86
402.4	38.23
402.6	39.50
402.8	40.63
403.0	41.95
403.2	43.37
403.4	44.86
403.6	46.46
403.8	48.10
404.0	49.67
404.2	51.39
404.4	53.27
404.6	54.84
404.8	56.48
405.0	58.41
405.2	60.35
405.4	62.58
405.6	65.10
405.8	67.30
406.0	69.53
406.2	71.88
406.4	74.18
406.6	76.45
406.8	78.70
407.0	80.96
407.2	83.30
407.4	85.79
407.6	88.26
407.8	91.12
408.0	93.45
408.2	96.35
408.4	99.47
408.6	102.8
408.8	105.9
409.0	109.4
409.2	112.3
409.4	115.6
409.6	118.9
409.8	122.4
410.0	125.9
410.2	129.7
410.4	133.9
410.6	137.8
410.8	141.6
411.0	145.2
411.2	149.1
411.4	153.6
411.6	158.0
411.8	162.6
412.0	166.8
412.2	170.6
412.4	174.7
412.6	179.7
412.8	184.8
413.0	190.5
413.2	195.8
413.4	200.2
413.6	204.2
413.8	208.9
414.0	213.7
414.2	219.4
414.4	225.0
414.6	230.1
414.8	236.1
415.0	242.5
415.2	248.5
415.4	254.2
415.6	259.0
415.8	264.5
416.0	271.2
416.2	277.9
416.4	285.0
416.6	291.1
416.8	296.8
417.0	302.7
417.2	308.9
417.4	315.0
417.6	321.3
417.8	327.3
418.0	333.8
418.2	341.2
418.4	348.8
418.6	356.9
418.8	364.7
419.0	371.6
419.2	378.5
419.4	385.5
419.6	392.0
419.8	399.6
420.0	406.9
420.2	413.6
420.4	420.1
420.6	426.5
420.8	433.7
421.0	442.4
421.2	450.6
421.4	459.3
421.6	468.5
421.8	476.2
422.0	484.4
422.2	492.6
422.4	499.0
422.6	506.9
422.8	515.5
423.0	524.3
423.2	532.7
423.4	541.0
423.6	548.1
423.8	555.7
424.0	562.6
424.2	570.8
424.4	578.7
424.6	586.8
424.8	596.0
425.0	605.0
425.2	613.5
425.4	621.8
425.6	629.0
425.8	637.3
426.0	646.4
426.2	653.9
426.4	662.5
426.6	670.6
426.8	678.1
427.0	687.2
427.2	697.5
427.4	705.2
427.6	713.7
427.8	719.6
428.0	726.9
428.2	734.7
428.4	745.1
428.6	755.5
428.8	765.0
429.0	772.5
429.2	780.8
429.4	788.1
429.6	795.7
429.8	804.2
430.0	811.6
430.2	820.4
430.4	829.6
430.6	838.7
430.8	846.5
431.0	853.2
431.2	859.5
431.4	866.7
431.6	874.0
431.8	883.9
432.0	892.9
432.2	900.1
432.4	908.6
432.6	916.6
432.8	924.3
433.0	930.4
433.2	935.0
433.4	939.5
433.6	948.1
433.8	958.8
434.0	969.8
434.2	977.8
434.4	983.3
434.6	988.4
434.8	994.6
435.0	1001
435.2	1006
435.4	1014
435.6	1021
435.8	1028
436.0	1035
436.2	1042
436.4	1049
436.6	1059
436.8	1068
437.0	1073
437.2	1077
437.4	1083
437.6	1089
437.8	1096
438.0	1103
438.2	1108
438.4	1113
438.6	1121
438.8	1127
439.0	1133
439.2	1137
439.4	1142
439.6	1147
439.8	1152
440.0	1156
440.2	1162
440.4	1167
440.6	1173
440.8	1177
441.0	1184
441.2	1192
441.4	1199
441.6	1204
441.8	1208
442.0	1210
442.2	1215
442.4	1220
442.6	1226
442.8	1229
443.0	1231
443.2	1233
443.4	1238
443.6	1242
443.8	1247
444.0	1249
444.2	1252
444.4	1256
444.6	1262
444.8	1269
445.0	1274
445.2	1279
445.4	1282
445.6	1283
445.8	1287
446.0	1290
446.2	1293
446.4	1298
446.6	1302
446.8	1306
447.0	1311
447.2	1313
447.4	1314
447.6	1313
447.8	1314
448.0	1318
448.2	1324
448.4	1331
448.6	1337
448.8	1339
