Sample:	'20211010A(EM)
File name:	B-NI 11 SYUAN.FDS
Run date:	'11:24:56, 06/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	700.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	305 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	435.8	436.6	1752	436.6	1740
2	436.6	437.6	700.0	1750	700.0	1.172

Data points
nm	Data
370.0	5.007
370.2	5.064
370.4	5.168
370.6	5.323
370.8	5.609
371.0	5.784
371.2	5.941
371.4	6.076
371.6	6.215
371.8	6.340
372.0	6.622
372.2	6.800
372.4	6.986
372.6	7.183
372.8	7.420
373.0	7.673
373.2	7.927
373.4	8.116
373.6	8.308
373.8	8.578
374.0	8.883
374.2	9.192
374.4	9.435
374.6	9.664
374.8	9.939
375.0	10.36
375.2	10.82
375.4	11.33
375.6	11.87
375.8	12.26
376.0	12.60
376.2	12.85
376.4	13.05
376.6	13.45
376.8	14.12
377.0	14.81
377.2	15.54
377.4	16.03
377.6	16.42
377.8	16.86
378.0	17.42
378.2	18.10
378.4	18.77
378.6	19.32
378.8	20.01
379.0	20.70
379.2	21.38
379.4	22.16
379.6	23.00
379.8	23.81
380.0	24.74
380.2	25.60
380.4	26.48
380.6	27.27
380.8	28.25
381.0	29.22
381.2	30.33
381.4	31.61
381.6	32.95
381.8	34.14
382.0	35.22
382.2	36.22
382.4	37.47
382.6	38.76
382.8	40.19
383.0	41.71
383.2	43.12
383.4	44.80
383.6	46.50
383.8	48.11
384.0	49.60
384.2	51.22
384.4	53.12
384.6	55.23
384.8	57.45
385.0	59.71
385.2	61.63
385.4	63.55
385.6	65.80
385.8	68.17
386.0	70.86
386.2	73.72
386.4	76.15
386.6	78.28
386.8	80.52
387.0	82.95
387.2	85.55
387.4	88.71
387.6	91.86
387.8	95.16
388.0	98.26
388.2	101.4
388.4	104.6
388.6	107.7
388.8	110.8
389.0	114.6
389.2	118.2
389.4	122.5
389.6	126.6
389.8	130.7
390.0	134.5
390.2	138.8
390.4	142.9
390.6	147.4
390.8	151.5
391.0	155.9
391.2	160.7
391.4	165.7
391.6	170.4
391.8	175.6
392.0	180.7
392.2	186.2
392.4	191.8
392.6	197.3
392.8	202.2
393.0	207.9
393.2	213.1
393.4	218.7
393.6	224.7
393.8	230.7
394.0	236.9
394.2	243.5
394.4	250.0
394.6	256.0
394.8	262.7
395.0	270.1
395.2	277.3
395.4	284.8
395.6	292.5
395.8	299.6
396.0	306.6
396.2	315.0
396.4	322.3
396.6	329.8
396.8	337.3
397.0	344.7
397.2	352.4
397.4	360.8
397.6	369.8
397.8	377.9
398.0	385.9
398.2	393.5
398.4	401.3
398.6	410.1
398.8	420.4
399.0	429.8
399.2	439.6
399.4	449.0
399.6	457.8
399.8	467.7
400.0	477.5
400.2	487.4
400.4	498.7
400.6	508.3
400.8	517.3
401.0	527.0
401.2	536.5
401.4	546.7
401.6	558.2
401.8	567.6
402.0	577.6
402.2	587.7
402.4	598.3
402.6	608.0
402.8	618.8
403.0	629.0
403.2	639.0
403.4	650.1
403.6	660.6
403.8	669.7
404.0	680.0
404.2	689.8
404.4	700.3
404.6	712.6
404.8	722.7
405.0	733.8
405.2	745.4
405.4	756.4
405.6	768.1
405.8	780.6
406.0	790.8
406.2	802.5
406.4	812.0
406.6	822.3
406.8	833.2
407.0	844.5
407.2	854.5
407.4	863.4
407.6	872.2
407.8	884.8
408.0	896.4
408.2	908.8
408.4	919.8
408.6	929.9
408.8	941.0
409.0	953.4
409.2	963.4
409.4	974.3
409.6	984.8
409.8	995.8
410.0	1007
410.2	1018
410.4	1027
410.6	1037
410.8	1047
411.0	1056
411.2	1066
411.4	1076
411.6	1086
411.8	1097
412.0	1109
412.2	1118
412.4	1127
412.6	1138
412.8	1147
413.0	1157
413.2	1170
413.4	1178
413.6	1187
413.8	1197
414.0	1207
414.2	1214
414.4	1222
414.6	1228
414.8	1237
415.0	1248
415.2	1260
415.4	1271
415.6	1278
415.8	1285
416.0	1293
416.2	1303
416.4	1311
416.6	1320
416.8	1328
417.0	1335
417.2	1343
417.4	1351
417.6	1358
417.8	1366
418.0	1378
418.2	1388
418.4	1397
418.6	1405
418.8	1410
419.0	1416
419.2	1423
419.4	1431
419.6	1439
419.8	1449
420.0	1456
420.2	1464
420.4	1470
420.6	1475
420.8	1478
421.0	1488
421.2	1494
421.4	1499
421.6	1507
421.8	1514
422.0	1522
422.2	1530
422.4	1533
422.6	1537
422.8	1543
423.0	1548
423.2	1556
423.4	1559
423.6	1562
423.8	1568
424.0	1576
424.2	1583
424.4	1588
424.6	1592
424.8	1598
425.0	1605
425.2	1611
425.4	1616
425.6	1620
425.8	1622
426.0	1625
426.2	1630
426.4	1635
426.6	1642
426.8	1647
427.0	1650
427.2	1651
427.4	1656
427.6	1659
427.8	1662
428.0	1665
428.2	1669
428.4	1673
428.6	1675
428.8	1677
429.0	1679
429.2	1682
429.4	1686
429.6	1692
429.8	1695
430.0	1699
430.2	1703
430.4	1705
430.6	1706
430.8	1709
431.0	1711
431.2	1715
431.4	1718
431.6	1720
431.8	1722
432.0	1725
432.2	1729
432.4	1733
432.6	1733
432.8	1733
433.0	1733
433.2	1732
433.4	1735
433.6	1737
433.8	1739
434.0	1741
434.2	1740
434.4	1741
434.6	1744
434.8	1746
435.0	1744
435.2	1745
435.4	1745
435.6	1749
435.8	1752
436.0	1748
436.2	1741
436.4	1742
436.6	1740
436.8	1741
437.0	1743
