Sample:	'20211010A(EM)
File name:	B-NI 8 800.FDS
Run date:	'11:17:13, 06/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	700.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	305 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	436.6	438.0	4458	438.0	4409
2	438.0	439.4	700.0	4445	700.0	2.215

Data points
nm	Data
370.0	11.81
370.2	12.40
370.4	12.90
370.6	13.31
370.8	13.61
371.0	13.86
371.2	14.14
371.4	14.55
371.6	15.03
371.8	15.39
372.0	15.80
372.2	16.38
372.4	17.05
372.6	17.70
372.8	18.19
373.0	18.63
373.2	19.18
373.4	19.88
373.6	20.52
373.8	21.20
374.0	21.68
374.2	22.34
374.4	23.04
374.6	23.82
374.8	24.55
375.0	25.37
375.2	26.23
375.4	27.29
375.6	28.22
375.8	29.09
376.0	29.89
376.2	30.86
376.4	32.01
376.6	33.23
376.8	34.48
377.0	35.53
377.2	36.97
377.4	38.31
377.6	39.67
377.8	40.88
378.0	42.01
378.2	43.20
378.4	45.05
378.6	46.67
378.8	48.55
379.0	50.06
379.2	51.68
379.4	53.68
379.6	55.85
379.8	58.22
380.0	60.41
380.2	62.57
380.4	64.69
380.6	67.10
380.8	69.33
381.0	72.12
381.2	74.55
381.4	77.33
381.6	80.04
381.8	82.88
382.0	85.46
382.2	88.68
382.4	91.68
382.6	94.80
382.8	98.39
383.0	101.8
383.2	105.4
383.4	109.2
383.6	113.1
383.8	116.6
384.0	120.7
384.2	125.3
384.4	130.5
384.6	135.4
384.8	140.6
385.0	144.9
385.2	149.9
385.4	155.3
385.6	161.5
