Sample:	'20211010A(EM)
File name:	B-NI 2 200.FDS
Run date:	'09:53:11, 06/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	700.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	320 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	442.6	443.2	9240	443.2	9211
2	443.2	444.8	446.8	9268	446.8	9217
3	446.8	447.6	700.0	9239	700.0	5.901

Data points
nm	Data
370.0	30.06
370.2	30.61
370.4	31.40
370.6	32.31
370.8	33.16
371.0	33.93
371.2	34.62
371.4	35.41
371.6	36.15
371.8	37.05
372.0	37.84
372.2	38.99
372.4	40.00
372.6	41.02
372.8	41.58
373.0	42.33
373.2	43.16
373.4	44.45
373.6	45.78
373.8	47.07
374.0	48.18
374.2	49.41
374.4	50.62
374.6	52.11
374.8	53.42
375.0	54.53
375.2	55.72
375.4	57.24
375.6	58.72
375.8	60.69
376.0	62.33
376.2	63.85
376.4	65.16
376.6	66.92
376.8	68.47
377.0	70.23
377.2	71.86
377.4	73.77
377.6	75.64
377.8	78.10
378.0	80.40
378.2	82.71
378.4	85.08
378.6	87.51
378.8	89.93
379.0	92.54
379.2	94.90
379.4	97.41
379.6	100.0
379.8	102.8
380.0	105.7
380.2	108.6
380.4	111.9
380.6	115.3
380.8	118.9
381.0	122.6
381.2	126.1
381.4	129.8
381.6	133.8
381.8	137.5
382.0	141.3
382.2	144.9
382.4	148.5
382.6	152.8
382.8	157.2
383.0	162.1
383.2	166.6
383.4	171.5
383.6	176.0
383.8	181.5
384.0	187.2
384.2	193.2
384.4	199.1
384.6	205.6
384.8	211.9
385.0	218.2
385.2	224.7
385.4	230.9
385.6	237.6
385.8	244.7
386.0	252.2
386.2	259.7
386.4	267.8
386.6	275.9
386.8	284.1
387.0	292.2
387.2	300.8
387.4	310.2
387.6	319.3
387.8	328.4
388.0	337.7
388.2	347.7
388.4	357.4
388.6	367.9
388.8	377.8
389.0	388.7
389.2	399.7
389.4	412.1
389.6	424.0
389.8	436.9
390.0	449.8
390.2	463.4
390.4	476.4
390.6	490.3
390.8	504.2
391.0	519.3
391.2	534.2
391.4	548.5
391.6	563.4
391.8	578.5
392.0	593.9
392.2	609.9
392.4	625.8
392.6	643.0
392.8	661.9
393.0	679.5
393.2	697.9
393.4	715.2
393.6	732.2
393.8	750.2
394.0	770.3
394.2	791.1
394.4	813.4
394.6	835.9
394.8	858.2
395.0	880.2
395.2	904.0
395.4	929.2
395.6	951.8
395.8	977.2
396.0	1001
396.2	1026
396.4	1050
396.6	1076
