Sample:	'20211010A(EM)
File name:	B-NI 9.FDS
Run date:	'10:15:21, 06/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	700.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	312 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	456.2	457.2	946.2	457.2	943.2
2	457.2	459.8	461.0	950.0	461.0	943.9
3	461.0	461.8	700.0	948.0	700.0	1.283

Data points
nm	Data
370.0	0.931
370.2	0.978
370.4	0.969
370.6	0.930
370.8	0.869
371.0	0.910
371.2	0.933
371.4	0.988
371.6	1.003
371.8	1.029
372.0	0.988
372.2	0.989
372.4	1.027
372.6	1.040
372.8	1.045
373.0	1.088
373.2	1.095
373.4	1.096
373.6	1.163
373.8	1.153
374.0	1.120
374.2	1.109
374.4	1.093
374.6	1.121
374.8	1.137
375.0	1.174
375.2	1.166
375.4	1.207
375.6	1.191
375.8	1.253
376.0	1.272
376.2	1.254
376.4	1.232
376.6	1.300
376.8	1.303
377.0	1.384
377.2	1.420
377.4	1.460
377.6	1.467
377.8	1.530
378.0	1.503
378.2	1.504
378.4	1.487
378.6	1.517
378.8	1.533
379.0	1.630
379.2	1.618
379.4	1.658
379.6	1.689
379.8	1.695
380.0	1.689
380.2	1.705
380.4	1.717
380.6	1.763
380.8	1.799
381.0	1.887
381.2	1.918
381.4	1.917
381.6	1.917
381.8	1.929
382.0	1.918
382.2	1.977
382.4	2.005
382.6	2.071
382.8	2.114
383.0	2.192
383.2	2.259
383.4	2.357
383.6	2.338
383.8	2.383
384.0	2.406
