Sample:	'20211010A(EM)
File name:	B-NI 4.FDS
Run date:	'08:32:40, 06/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	700.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	300 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	458.4	460.6	792.8	460.6	788.9
2	460.6	461.6	700.0	792.4	700.0	1.055

Data points
nm	Data
370.0	0.754
370.2	0.813
370.4	0.824
370.6	0.815
370.8	0.838
371.0	0.865
371.2	0.881
371.4	0.885
371.6	0.867
371.8	0.879
372.0	0.917
372.2	0.925
372.4	0.925
372.6	0.934
372.8	0.925
373.0	0.938
373.2	0.971
373.4	1.004
373.6	1.028
373.8	1.019
374.0	0.966
374.2	0.932
374.4	0.954
374.6	1.030
374.8	1.058
375.0	1.071
375.2	1.050
375.4	1.073
375.6	1.090
375.8	1.125
376.0	1.129
376.2	1.180
376.4	1.165
376.6	1.187
376.8	1.162
377.0	1.178
377.2	1.187
377.4	1.239
377.6	1.276
377.8	1.329
378.0	1.340
378.2	1.374
378.4	1.373
378.6	1.391
378.8	1.431
379.0	1.467
379.2	1.484
379.4	1.473
379.6	1.451
379.8	1.449
380.0	1.476
380.2	1.520
380.4	1.559
380.6	1.566
380.8	1.582
381.0	1.603
381.2	1.622
381.4	1.664
381.6	1.701
381.8	1.747
382.0	1.790
382.2	1.821
382.4	1.814
382.6	1.869
382.8	1.908
383.0	1.984
383.2	2.006
383.4	2.026
383.6	2.019
383.8	2.091
384.0	2.110
384.2	2.188
384.4	2.194
384.6	2.276
384.8	2.328
385.0	2.424
385.2	2.420
385.4	2.479
385.6	2.531
385.8	2.640
386.0	2.671
386.2	2.707
386.4	2.669
386.6	2.705
386.8	2.759
387.0	2.847
387.2	2.877
387.4	2.962
387.6	3.044
387.8	3.132
388.0	3.161
388.2	3.221
388.4	3.255
388.6	3.329
388.8	3.455
389.0	3.572
389.2	3.659
389.4	3.789
389.6	3.887
389.8	3.980
390.0	4.096
390.2	4.184
390.4	4.235
390.6	4.342
390.8	4.428
391.0	4.513
391.2	4.651
391.4	4.785
391.6	4.868
391.8	4.957
392.0	5.090
392.2	5.200
392.4	5.423
392.6	5.576
392.8	5.718
393.0	5.856
393.2	6.033
393.4	6.145
393.6	6.306
393.8	6.466
394.0	6.724
394.2	7.019
394.4	7.285
394.6	7.430
394.8	7.586
395.0	7.799
395.2	8.091
395.4	8.338
395.6	8.590
395.8	8.836
396.0	9.117
396.2	9.414
396.4	9.720
396.6	10.02
396.8	10.35
397.0	10.67
397.2	10.94
397.4	11.27
397.6	11.57
397.8	11.89
398.0	12.28
398.2	12.73
398.4	13.16
398.6	13.69
398.8	14.11
399.0	14.55
399.2	15.08
399.4	15.62
399.6	16.06
399.8	16.60
400.0	17.14
400.2	17.73
400.4	18.37
400.6	19.04
400.8	19.63
401.0	20.36
401.2	20.98
401.4	21.64
401.6	22.41
401.8	23.20
402.0	23.93
402.2	24.81
402.4	25.52
402.6	26.23
402.8	27.06
403.0	27.87
403.2	28.62
403.4	29.59
403.6	30.51
403.8	31.52
404.0	32.54
404.2	33.73
404.4	34.86
404.6	36.16
404.8	37.27
405.0	38.43
405.2	39.43
405.4	40.69
405.6	42.06
405.8	43.59
406.0	44.85
406.2	46.03
406.4	47.33
406.6	48.89
406.8	50.51
407.0	52.27
407.2	53.84
407.4	55.43
407.6	57.04
407.8	58.73
408.0	60.29
408.2	62.18
408.4	63.89
408.6	65.68
408.8	67.42
409.0	69.23
409.2	71.26
409.4	73.61
409.6	75.77
409.8	78.19
410.0	80.55
410.2	82.75
410.4	85.30
410.6	87.64
410.8	89.66
411.0	91.87
411.2	94.09
411.4	96.44
411.6	99.03
411.8	101.6
412.0	104.1
412.2	106.7
412.4	109.4
412.6	112.4
412.8	115.1
413.0	118.2
413.2	121.2
413.4	124.2
413.6	127.3
413.8	130.1
414.0	132.9
414.2	135.9
414.4	139.2
414.6	142.6
414.8	146.2
415.0	149.6
415.2	153.0
415.4	156.4
415.6	159.6
415.8	163.2
416.0	166.7
416.2	170.2
416.4	173.7
416.6	177.5
416.8	181.2
417.0	185.2
417.2	188.7
417.4	192.4
417.6	195.9
417.8	199.6
418.0	203.6
418.2	207.6
418.4	211.7
418.6	215.9
418.8	219.6
419.0	223.3
419.2	227.2
419.4	231.7
419.6	236.2
419.8	240.8
420.0	245.4
420.2	249.6
420.4	253.6
420.6	258.5
420.8	262.5
421.0	266.8
421.2	271.1
421.4	275.0
421.6	279.1
421.8	284.1
422.0	288.7
422.2	293.4
422.4	298.4
422.6	302.8
422.8	306.8
423.0	311.5
423.2	315.4
423.4	319.8
423.6	324.5
423.8	328.8
424.0	333.0
424.2	337.7
424.4	342.1
424.6	346.7
424.8	351.7
425.0	357.2
425.2	362.1
425.4	367.2
425.6	371.8
425.8	376.0
426.0	381.2
426.2	386.9
426.4	390.8
426.6	395.0
426.8	399.2
427.0	403.4
427.2	408.8
427.4	414.0
427.6	418.2
427.8	423.6
428.0	428.4
428.2	432.9
428.4	437.1
428.6	440.9
428.8	444.6
429.0	449.5
429.2	454.1
429.4	459.3
429.6	464.6
429.8	469.1
430.0	473.7
430.2	478.3
430.4	483.3
430.6	488.5
430.8	492.5
431.0	496.2
431.2	500.6
431.4	505.4
431.6	510.5
431.8	514.4
432.0	517.1
432.2	520.4
432.4	524.9
432.6	530.0
432.8	535.3
433.0	539.5
433.2	543.7
433.4	547.5
433.6	551.0
433.8	554.7
434.0	558.0
434.2	561.1
434.4	564.7
434.6	568.7
434.8	573.3
435.0	577.9
435.2	582.0
435.4	585.8
435.6	589.0
435.8	592.2
436.0	596.9
436.2	601.6
436.4	606.0
436.6	610.3
436.8	613.4
437.0	616.0
437.2	619.5
437.4	623.7
437.6	626.9
437.8	631.2
438.0	634.1
438.2	637.3
438.4	640.2
438.6	643.7
438.8	645.5
439.0	648.9
439.2	652.0
439.4	654.2
439.6	656.9
439.8	660.8
440.0	663.8
440.2	668.3
440.4	671.1
440.6	673.2
440.8	676.7
441.0	680.1
441.2	682.9
441.4	685.6
441.6	686.6
441.8	688.9
442.0	691.7
442.2	695.2
442.4	697.8
442.6	699.7
442.8	700.9
443.0	701.7
443.2	703.4
443.4	706.7
443.6	710.8
443.8	714.5
444.0	718.5
444.2	720.0
444.4	720.2
444.6	720.5
444.8	721.9
445.0	724.7
445.2	729.1
445.4	732.1
445.6	732.5
445.8	733.2
446.0	734.1
446.2	736.8
446.4	739.2
446.6	740.8
446.8	741.6
447.0	743.4
447.2	744.9
447.4	746.9
447.6	749.2
447.8	749.6
448.0	751.2
448.2	754.1
448.4	755.0
448.6	756.0
448.8	758.4
449.0	759.6
449.2	761.9
449.4	764.3
449.6	763.8
449.8	762.6
450.0	763.7
450.2	765.1
450.4	768.4
450.6	770.7
450.8	770.9
451.0	770.7
451.2	771.4
451.4	772.9
451.6	775.0
451.8	776.3
452.0	776.5
452.2	777.4
452.4	779.1
452.6	781.1
452.8	781.7
453.0	782.1
453.2	781.5
453.4	781.5
453.6	782.3
453.8	783.4
454.0	784.3
454.2	785.8
454.4	785.9
454.6	786.4
454.8	785.7
455.0	785.8
455.2	786.4
455.4	787.5
455.6	788.5
455.8	789.9
456.0	790.0
456.2	790.4
456.4	791.9
456.6	791.5
456.8	791.4
457.0	790.8
457.2	790.5
457.4	790.9
457.6	791.8
457.8	792.0
458.0	792.4
458.2	792.6
458.4	792.8
458.6	791.6
458.8	791.2
459.0	791.7
459.2	791.7
459.4	792.0
459.6	791.5
459.8	791.6
460.0	790.3
460.2	789.5
460.4	789.3
460.6	788.9
460.8	789.7
461.0	790.9
461.2	790.7
461.4	791.8
461.6	792.4
461.8	791.4
462.0	790.6
462.2	789.2
462.4	789.2
462.6	789.9
462.8	789.8
463.0	788.3
463.2	786.8
463.4	786.3
463.6	786.2
463.8	785.1
464.0	784.1
464.2	782.1
464.4	781.4
464.6	781.3
464.8	781.3
465.0	780.4
465.2	779.0
465.4	777.8
465.6	776.1
465.8	775.0
466.0	773.9
466.2	773.2
466.4	773.2
466.6	773.1
466.8	771.9
467.0	771.9
467.2	770.8
467.4	769.8
467.6	768.0
467.8	765.8
468.0	763.8
468.2	763.2
468.4	763.8
468.6	764.4
468.8	761.9
469.0	758.9
469.2	754.8
469.4	751.8
469.6	751.7
469.8	753.6
470.0	753.9
470.2	752.5
470.4	749.7
470.6	745.9
470.8	743.4
471.0	743.0
471.2	741.9
471.4	741.2
471.6	741.3
471.8	740.2
472.0	739.5
472.2	737.6
472.4	734.3
472.6	731.4
472.8	729.7
473.0	729.3
473.2	729.2
473.4	729.1
473.6	728.2
473.8	725.8
474.0	723.5
474.2	720.8
474.4	718.5
474.6	717.2
474.8	716.4
475.0	713.8
475.2	710.7
475.4	707.7
475.6	706.6
475.8	705.4
476.0	705.1
476.2	703.1
476.4	701.4
476.6	700.1
476.8	698.4
477.0	696.4
477.2	694.6
477.4	693.0
477.6	691.6
477.8	689.9
478.0	687.7
478.2	684.6
478.4	682.0
478.6	680.7
478.8	678.8
479.0	677.2
479.2	676.7
479.4	674.9
479.6	671.9
479.8	669.9
480.0	668.1
480.2	665.4
480.4	664.6
480.6	663.9
480.8	661.2
481.0	659.0
481.2	657.5
481.4	655.0
481.6	653.3
481.8	652.0
482.0	649.3
482.2	646.2
482.4	644.5
482.6	643.4
482.8	642.0
483.0	641.0
483.2	640.2
483.4	638.1
483.6	636.2
483.8	633.9
484.0	631.1
484.2	628.7
484.4	627.6
484.6	625.0
484.8	622.8
485.0	621.2
485.2	619.7
485.4	617.2
485.6	615.4
485.8	613.4
486.0	611.1
486.2	609.3
486.4	607.3
486.6	605.4
486.8	603.9
487.0	601.5
487.2	599.3
487.4	596.8
487.6	595.0
487.8	593.0
488.0	591.3
488.2	588.7
488.4	588.4
488.6	586.6
488.8	584.1
489.0	580.4
489.2	577.5
489.4	575.7
489.6	575.2
489.8	573.2
490.0	570.6
490.2	567.7
490.4	564.2
490.6	562.5
490.8	561.7
491.0	560.8
491.2	559.8
491.4	558.1
491.6	555.0
491.8	551.9
492.0	549.6
492.2	547.4
492.4	545.3
492.6	543.2
492.8	541.5
493.0	538.9
493.2	536.9
493.4	535.4
493.6	533.3
493.8	531.5
494.0	530.0
494.2	527.3
494.4	525.0
494.6	523.1
494.8	520.3
495.0	517.7
495.2	514.9
495.4	512.5
495.6	510.9
