Sample:	'20211010A(EM)
File name:	B-NI 4 400.FDS
Run date:	'09:21:12, 06/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	700.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	300 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	459.8	460.8	770.6	460.8	765.5
2	460.8	461.4	700.0	768.6	700.0	1.029

Data points
nm	Data
370.0	0.794
370.2	0.791
370.4	0.827
370.6	0.876
370.8	0.896
371.0	0.918
371.2	0.862
371.4	0.855
371.6	0.863
371.8	0.931
372.0	0.954
372.2	0.966
372.4	0.903
372.6	0.924
372.8	0.936
373.0	0.972
373.2	0.968
373.4	0.982
373.6	0.990
373.8	1.046
374.0	1.047
374.2	1.041
374.4	1.001
374.6	1.025
374.8	1.040
375.0	1.065
375.2	1.093
375.4	1.098
375.6	1.078
375.8	1.111
376.0	1.127
376.2	1.161
376.4	1.181
376.6	1.203
376.8	1.197
377.0	1.235
377.2	1.251
377.4	1.275
377.6	1.248
377.8	1.267
378.0	1.266
378.2	1.313
378.4	1.346
378.6	1.385
378.8	1.398
379.0	1.422
379.2	1.436
379.4	1.477
379.6	1.494
379.8	1.509
380.0	1.506
380.2	1.512
380.4	1.505
380.6	1.545
380.8	1.557
381.0	1.579
381.2	1.575
381.4	1.620
381.6	1.657
381.8	1.737
382.0	1.742
382.2	1.746
382.4	1.745
382.6	1.800
382.8	1.855
383.0	1.896
383.2	1.880
383.4	1.884
383.6	1.881
383.8	1.933
384.0	1.972
384.2	2.011
384.4	2.031
384.6	2.085
384.8	2.142
385.0	2.198
385.2	2.268
385.4	2.260
385.6	2.261
385.8	2.308
386.0	2.424
386.2	2.509
386.4	2.578
386.6	2.578
386.8	2.569
387.0	2.611
387.2	2.677
387.4	2.784
387.6	2.887
387.8	2.978
388.0	3.000
388.2	3.059
388.4	3.091
388.6	3.125
388.8	3.149
389.0	3.218
389.2	3.285
389.4	3.392
389.6	3.510
389.8	3.623
390.0	3.677
390.2	3.810
390.4	3.935
390.6	4.049
390.8	4.116
391.0	4.223
391.2	4.245
391.4	4.326
391.6	4.463
391.8	4.597
392.0	4.707
392.2	4.818
392.4	4.916
392.6	5.022
392.8	5.191
393.0	5.296
393.2	5.429
393.4	5.587
393.6	5.811
393.8	6.084
394.0	6.300
394.2	6.402
394.4	6.503
394.6	6.727
394.8	6.928
395.0	7.202
395.2	7.330
395.4	7.489
395.6	7.664
395.8	7.968
396.0	8.270
396.2	8.647
396.4	8.892
396.6	9.125
396.8	9.310
397.0	9.554
397.2	9.858
397.4	10.27
397.6	10.63
397.8	10.96
398.0	11.34
398.2	11.74
398.4	12.12
398.6	12.49
398.8	12.87
399.0	13.31
399.2	13.75
399.4	14.22
399.6	14.65
399.8	15.07
400.0	15.58
400.2	16.18
400.4	16.70
400.6	17.35
400.8	17.87
401.0	18.53
401.2	19.23
401.4	19.99
401.6	20.73
401.8	21.50
402.0	22.01
402.2	22.55
402.4	23.24
402.6	24.10
402.8	24.96
403.0	25.82
403.2	26.55
403.4	27.32
403.6	28.27
403.8	29.38
404.0	30.35
404.2	31.36
404.4	32.31
404.6	33.31
404.8	34.41
405.0	35.73
405.2	36.94
405.4	38.18
405.6	39.23
405.8	40.39
406.0	41.60
406.2	42.91
406.4	44.43
406.6	45.91
406.8	47.22
407.0	48.85
407.2	50.34
407.4	51.74
407.6	53.30
407.8	54.63
408.0	56.03
408.2	57.84
408.4	59.72
408.6	61.55
408.8	63.54
409.0	65.23
409.2	67.19
409.4	69.16
409.6	71.01
409.8	73.02
410.0	75.14
410.2	77.35
410.4	79.88
410.6	82.33
410.8	84.45
411.0	86.64
411.2	88.71
411.4	90.96
411.6	93.40
411.8	96.04
412.0	98.48
412.2	100.8
412.4	103.1
412.6	105.5
412.8	108.2
413.0	111.2
413.2	114.3
413.4	117.3
413.6	120.1
413.8	123.1
414.0	125.7
414.2	128.6
414.4	131.5
414.6	134.7
414.8	138.0
415.0	141.7
415.2	145.0
415.4	148.4
415.6	151.7
415.8	155.0
416.0	158.7
416.2	162.0
416.4	165.4
416.6	168.6
416.8	171.6
417.0	174.7
417.2	178.4
417.4	182.1
417.6	185.9
417.8	190.0
418.0	193.6
418.2	197.1
418.4	200.6
418.6	204.6
418.8	208.2
419.0	212.7
419.2	216.7
419.4	221.0
419.6	225.2
419.8	229.4
420.0	233.1
420.2	237.6
420.4	241.3
420.6	245.6
420.8	249.9
421.0	254.2
421.2	258.5
421.4	262.9
421.6	266.8
421.8	271.1
422.0	275.6
422.2	279.7
422.4	284.2
422.6	288.5
422.8	292.4
423.0	296.5
423.2	301.1
423.4	305.5
423.6	310.0
423.8	314.8
424.0	319.1
424.2	323.7
424.4	328.6
424.6	333.5
424.8	337.7
425.0	341.9
425.2	345.9
425.4	350.3
425.6	354.5
425.8	359.7
426.0	365.0
426.2	369.8
426.4	374.0
426.6	378.3
426.8	382.0
427.0	386.4
427.2	391.3
427.4	395.6
427.6	399.9
427.8	404.3
428.0	409.3
428.2	413.7
428.4	418.2
428.6	423.0
428.8	427.0
429.0	431.5
429.2	436.3
429.4	440.9
429.6	445.3
429.8	450.6
430.0	454.4
430.2	459.3
430.4	463.1
430.6	467.3
430.8	470.9
431.0	475.6
431.2	479.7
431.4	484.7
431.6	488.7
431.8	493.1
432.0	496.9
432.2	501.2
432.4	504.9
432.6	509.0
432.8	512.9
433.0	517.3
433.2	521.7
433.4	525.2
433.6	528.3
433.8	531.8
434.0	535.9
434.2	539.8
434.4	544.7
434.6	549.7
434.8	554.1
435.0	557.6
435.2	561.6
435.4	564.0
435.6	567.2
435.8	571.7
436.0	575.9
436.2	580.5
436.4	585.0
436.6	588.0
436.8	590.5
437.0	594.1
437.2	597.1
437.4	601.0
437.6	604.6
437.8	607.3
438.0	610.1
438.2	613.7
438.4	616.4
438.6	619.4
438.8	622.9
439.0	626.2
439.2	629.6
439.4	633.3
439.6	635.9
439.8	638.3
440.0	640.6
440.2	644.0
440.4	646.1
440.6	649.2
440.8	652.4
441.0	655.2
441.2	658.1
441.4	661.0
441.6	662.9
441.8	665.2
442.0	668.0
442.2	670.9
442.4	673.2
442.6	674.9
442.8	676.4
443.0	678.4
443.2	681.2
443.4	684.7
443.6	686.9
443.8	689.5
444.0	692.3
444.2	694.4
444.4	696.4
444.6	698.4
444.8	699.2
445.0	700.9
445.2	703.5
445.4	705.9
445.6	708.7
445.8	710.4
446.0	712.3
446.2	713.4
446.4	714.6
446.6	716.6
446.8	718.7
447.0	719.2
447.2	721.3
447.4	722.5
447.6	723.9
447.8	726.1
448.0	728.4
448.2	730.6
448.4	733.0
448.6	734.2
448.8	734.5
449.0	735.1
449.2	735.8
449.4	736.3
449.6	737.3
449.8	738.5
450.0	740.6
450.2	743.4
450.4	745.3
450.6	746.1
450.8	746.1
451.0	745.8
451.2	747.1
451.4	749.9
451.6	751.3
451.8	752.3
452.0	752.4
452.2	752.7
452.4	753.9
452.6	754.9
452.8	755.9
453.0	757.2
453.2	757.9
453.4	758.2
453.6	758.6
453.8	759.6
454.0	761.6
454.2	763.3
454.4	764.1
454.6	763.6
454.8	763.8
455.0	764.0
455.2	763.4
455.4	763.8
455.6	764.6
455.8	765.2
456.0	765.2
456.2	764.8
456.4	765.5
456.6	767.0
456.8	767.9
457.0	767.6
457.2	766.7
457.4	767.0
457.6	768.4
457.8	769.6
458.0	769.8
458.2	768.9
458.4	768.4
458.6	769.0
458.8	769.5
459.0	770.1
459.2	770.5
459.4	770.5
459.6	770.3
459.8	770.6
460.0	769.8
460.2	768.2
460.4	767.4
460.6	765.7
460.8	765.5
461.0	767.1
461.2	768.3
461.4	768.6
461.6	768.3
461.8	765.8
462.0	765.1
462.2	766.5
462.4	767.1
462.6	766.7
462.8	765.1
463.0	763.4
463.2	762.4
463.4	762.6
463.6	763.0
463.8	763.3
464.0	763.7
464.2	763.1
464.4	762.3
464.6	760.3
464.8	759.5
465.0	758.9
465.2	757.7
465.4	756.1
465.6	755.8
465.8	756.0
466.0	756.3
466.2	755.1
466.4	752.3
466.6	749.8
466.8	748.6
467.0	749.0
467.2	749.3
467.4	748.0
467.6	746.7
467.8	745.9
468.0	746.1
468.2	745.3
468.4	744.7
468.6	743.1
468.8	741.0
469.0	739.3
469.2	738.9
469.4	737.6
469.6	736.5
469.8	735.4
470.0	733.7
470.2	731.5
470.4	730.1
470.6	728.3
470.8	726.4
471.0	725.7
471.2	723.4
471.4	721.5
471.6	719.9
471.8	718.2
472.0	717.0
472.2	716.3
472.4	714.3
472.6	713.7
472.8	712.6
473.0	711.5
473.2	710.0
473.4	708.1
473.6	707.0
473.8	706.3
474.0	704.7
474.2	702.9
474.4	699.4
474.6	696.6
474.8	694.9
475.0	694.6
475.2	693.5
475.4	693.1
475.6	690.4
475.8	688.0
476.0	686.5
476.2	685.8
476.4	683.8
476.6	682.5
476.8	679.7
477.0	677.9
477.2	676.4
477.4	675.1
477.6	673.7
477.8	671.1
478.0	668.4
478.2	666.8
478.4	664.9
478.6	663.3
478.8	662.1
479.0	659.4
479.2	658.0
479.4	656.6
479.6	655.0
479.8	652.9
480.0	651.1
480.2	648.6
480.4	647.4
480.6	646.9
480.8	644.5
481.0	642.6
481.2	641.6
481.4	639.6
481.6	637.7
481.8	636.1
482.0	634.2
482.2	632.8
482.4	631.8
482.6	629.7
482.8	626.6
483.0	623.2
483.2	621.5
483.4	619.2
483.6	617.8
483.8	616.3
484.0	614.5
484.2	612.8
484.4	610.8
484.6	609.1
484.8	607.4
485.0	605.1
485.2	603.1
485.4	601.6
485.6	599.7
485.8	598.3
486.0	597.8
486.2	596.0
486.4	594.0
486.6	591.9
486.8	588.7
487.0	585.6
487.2	584.1
487.4	582.5
487.6	580.5
487.8	579.4
488.0	577.6
488.2	575.6
488.4	573.1
488.6	571.2
488.8	568.7
489.0	567.2
489.2	565.8
489.4	563.6
489.6	560.9
489.8	558.3
490.0	555.2
490.2	553.3
490.4	551.9
490.6	550.8
490.8	549.1
491.0	547.1
491.2	544.5
491.4	541.6
491.6	539.6
491.8	538.0
492.0	536.1
492.2	534.4
492.4	532.9
492.6	530.7
492.8	529.3
493.0	527.3
493.2	525.4
493.4	522.7
493.6	520.8
493.8	518.2
494.0	516.4
494.2	514.9
494.4	512.8
494.6	510.0
494.8	508.1
495.0	505.7
495.2	503.9
495.4	502.7
495.6	500.5
495.8	498.1
496.0	495.9
496.2	494.3
496.4	492.0
496.6	490.4
496.8	487.6
497.0	484.8
497.2	482.7
497.4	481.4
497.6	478.6
497.8	477.1
498.0	474.6
498.2	472.2
498.4	470.8
498.6	469.6
498.8	467.3
499.0	465.1
499.2	462.9
499.4	460.4
499.6	458.5
499.8	456.6
500.0	455.0
500.2	452.2
500.4	450.3
500.6	448.3
500.8	446.8
501.0	444.8
501.2	442.7
501.4	439.9
501.6	437.4
501.8	436.1
502.0	434.5
502.2	432.0
502.4	430.1
502.6	427.6
502.8	425.6
503.0	423.8
503.2	421.5
503.4	418.5
503.6	416.9
503.8	415.1
504.0	413.6
504.2	411.7
504.4	410.0
504.6	407.6
504.8	405.8
505.0	403.7
505.2	401.0
505.4	398.8
505.6	396.8
505.8	395.0
506.0	393.8
506.2	391.8
506.4	389.3
506.6	386.6
506.8	384.9
507.0	383.6
507.2	382.7
507.4	381.3
507.6	379.4
507.8	376.5
508.0	374.1
508.2	371.6
508.4	369.5
508.6	367.6
508.8	365.3
509.0	363.4
509.2	361.5
509.4	359.6
509.6	357.8
509.8	356.2
510.0	354.2
510.2	352.3
510.4	350.2
510.6	348.1
510.8	346.6
511.0	345.2
511.2	343.5
511.4	341.7
511.6	340.0
511.8	338.4
512.0	336.8
512.2	334.6
512.4	332.1
512.6	329.8
512.8	328.7
513.0	327.5
513.2	325.6
513.4	323.5
513.6	321.9
513.8	319.7
514.0	318.7
514.2	316.8
514.4	315.1
514.6	313.0
514.8	311.5
515.0	309.8
515.2	308.1
515.4	306.2
515.6	305.2
515.8	303.6
516.0	302.4
516.2	300.6
516.4	298.3
516.6	296.2
516.8	294.8
517.0	293.7
517.2	292.2
517.4	290.1
517.6	288.6
517.8	287.0
518.0	285.8
518.2	284.6
518.4	282.6
518.6	280.8
518.8	278.9
519.0	277.6
519.2	276.5
519.4	275.3
519.6	273.7
519.8	271.7
520.0	269.7
520.2	268.2
520.4	266.9
520.6	265.8
520.8	264.0
521.0	262.6
521.2	261.1
521.4	259.6
521.6	258.4
521.8	257.2
522.0	255.5
522.2	253.8
522.4	252.1
522.6	250.9
522.8	249.9
523.0	249.0
523.2	247.6
523.4	246.0
523.6	244.5
523.8	243.2
524.0	241.3
524.2	239.5
524.4	237.7
524.6	236.4
524.8	235.2
525.0	234.6
525.2	233.3
525.4	231.6
525.6	230.1
525.8	228.7
526.0	227.4
526.2	226.5
526.4	225.1
526.6	223.8
526.8	222.3
527.0	221.2
527.2	219.8
527.4	218.1
527.6	217.1
527.8	216.4
528.0	215.3
528.2	214.7
528.4	213.5
528.6	212.0
528.8	210.9
529.0	209.2
529.2	207.7
529.4	206.8
529.6	205.3
529.8	204.2
530.0	202.9
530.2	201.2
530.4	199.8
530.6	198.9
530.8	197.7
531.0	197.1
531.2	196.1
531.4	195.2
531.6	194.3
531.8	193.1
532.0	191.8
532.2	190.9
532.4	189.6
532.6	188.3
532.8	187.4
533.0	185.9
533.2	184.6
533.4	183.7
533.6	183.1
533.8	182.1
534.0	181.0
534.2	179.7
534.4	178.2
534.6	176.7
534.8	175.8
535.0	174.6
535.2	173.5
535.4	172.8
535.6	172.1
535.8	171.3
536.0	170.5
536.2	169.4
536.4	168.3
536.6	167.3
536.8	166.4
537.0	165.6
537.2	165.0
537.4	163.9
537.6	162.8
537.8	161.8
538.0	160.4
538.2	159.5
538.4	158.7
538.6	157.4
538.8	156.4
539.0	155.6
539.2	155.1
539.4	154.6
539.6	153.6
539.8	152.4
540.0	151.0
540.2	149.8
540.4	149.4
540.6	148.7
540.8	147.9
541.0	146.9
541.2	145.7
541.4	144.6
541.6	144.1
541.8	143.4
542.0	142.5
542.2	141.3
542.4	140.4
542.6	139.8
542.8	139.2
543.0	138.4
543.2	137.1
543.4	135.9
543.6	135.1
543.8	134.4
544.0	133.8
544.2	133.0
544.4	132.0
544.6	131.5
544.8	131.0
545.0	130.1
545.2	129.4
545.4	128.3
545.6	127.0
545.8	126.3
546.0	125.5
546.2	124.7
546.4	124.4
546.6	123.8
546.8	123.0
547.0	122.4
547.2	121.6
547.4	120.6
