Sample:	'20211010A(EM)
File name:	G-NI 11.FDS
Run date:	'20:01:16, 06/19/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	535.0	535.6	1323	535.6	1310
2	535.6	539.8	541.4	1336	541.4	1320
3	541.4	542.2	705.0	1331	705.0	29.98
4	705.0	705.6	707.2	31.02	707.2	28.44
5	707.2	708.2	800.0	29.75	800.0	2.912

Data points
nm	Data
420.0	1.032
420.2	1.049
420.4	1.069
420.6	1.078
420.8	0.967
421.0	1.047
421.2	1.124
421.4	1.202
421.6	1.177
421.8	1.147
422.0	1.029
422.2	0.910
422.4	1.007
422.6	1.122
422.8	1.143
423.0	1.107
423.2	1.078
423.4	1.063
423.6	1.226
423.8	1.232
424.0	1.261
424.2	1.228
424.4	1.039
424.6	1.054
424.8	0.976
425.0	0.952
425.2	1.058
425.4	1.157
425.6	1.113
425.8	1.156
426.0	1.133
426.2	1.085
426.4	1.147
426.6	1.167
426.8	1.119
427.0	1.071
427.2	1.076
427.4	0.907
427.6	0.950
427.8	0.926
428.0	0.881
428.2	0.892
428.4	1.044
428.6	1.065
428.8	1.141
429.0	1.075
429.2	1.100
429.4	1.224
429.6	1.280
429.8	1.134
430.0	1.201
430.2	1.225
430.4	1.325
430.6	1.371
430.8	1.162
431.0	1.048
431.2	1.137
431.4	1.247
431.6	1.284
431.8	1.232
432.0	1.074
432.2	1.098
432.4	1.102
432.6	1.113
432.8	1.053
433.0	1.043
433.2	0.985
433.4	1.018
433.6	1.105
433.8	1.154
434.0	1.094
434.2	1.070
434.4	0.900
434.6	0.978
434.8	1.137
435.0	1.209
435.2	1.162
435.4	1.048
435.6	0.766
435.8	0.749
436.0	0.760
436.2	0.842
436.4	0.986
436.6	1.214
436.8	1.284
437.0	1.409
437.2	1.283
437.4	1.100
437.6	1.155
437.8	1.207
438.0	1.255
438.2	1.376
438.4	1.205
438.6	1.136
438.8	1.149
439.0	1.006
439.2	1.050
439.4	0.966
439.6	0.845
439.8	0.917
440.0	0.920
440.2	1.085
440.4	1.350
440.6	1.433
440.8	1.454
441.0	1.432
441.2	1.265
441.4	1.290
441.6	1.397
441.8	1.438
442.0	1.339
442.2	1.218
442.4	1.066
442.6	0.988
442.8	1.090
443.0	1.154
443.2	1.336
443.4	1.442
443.6	1.475
443.8	1.339
444.0	1.106
444.2	0.958
444.4	1.059
444.6	1.015
444.8	1.038
445.0	1.082
445.2	0.997
445.4	1.095
445.6	1.221
445.8	1.146
446.0	1.174
446.2	1.229
446.4	1.173
446.6	1.288
446.8	1.321
447.0	1.191
447.2	1.136
447.4	1.052
447.6	1.072
447.8	1.233
448.0	1.226
448.2	1.150
448.4	1.145
448.6	1.001
448.8	1.090
449.0	1.183
449.2	1.219
449.4	1.249
449.6	1.311
449.8	1.227
450.0	1.266
450.2	1.192
450.4	1.246
450.6	1.215
450.8	1.239
451.0	1.242
451.2	1.358
451.4	1.382
451.6	1.388
451.8	1.373
452.0	1.235
452.2	1.101
452.4	1.156
452.6	1.232
452.8	1.228
453.0	1.312
453.2	1.363
453.4	1.289
453.6	1.278
453.8	1.310
454.0	1.359
454.2	1.359
454.4	1.500
454.6	1.502
454.8	1.399
455.0	1.320
455.2	1.151
455.4	1.096
455.6	1.122
455.8	1.269
456.0	1.284
456.2	1.341
456.4	1.369
456.6	1.410
456.8	1.434
457.0	1.425
457.2	1.232
457.4	1.092
457.6	1.096
457.8	1.084
458.0	1.190
458.2	1.338
458.4	1.281
458.6	1.294
458.8	1.108
459.0	1.106
459.2	1.078
459.4	1.147
459.6	1.237
459.8	1.493
460.0	1.523
460.2	1.647
460.4	1.543
460.6	1.490
460.8	1.450
461.0	1.607
461.2	1.614
461.4	1.418
461.6	1.285
461.8	1.273
462.0	1.301
462.2	1.486
462.4	1.610
462.6	1.484
462.8	1.453
463.0	1.346
463.2	1.345
463.4	1.247
463.6	1.211
463.8	1.213
464.0	1.433
464.2	1.630
464.4	1.728
464.6	1.754
464.8	1.677
465.0	1.658
465.2	1.836
465.4	2.025
465.6	2.048
465.8	2.058
466.0	1.931
466.2	1.908
466.4	1.815
466.6	1.845
466.8	1.915
467.0	1.931
467.2	1.995
467.4	2.209
467.6	2.326
467.8	2.214
468.0	2.153
468.2	2.236
468.4	2.478
468.6	2.640
468.8	2.793
469.0	2.506
469.2	2.408
469.4	2.487
469.6	2.793
469.8	2.972
470.0	2.993
470.2	2.935
470.4	2.913
470.6	2.910
470.8	3.096
471.0	3.327
471.2	3.305
471.4	3.519
471.6	3.507
471.8	3.465
472.0	3.476
472.2	3.740
472.4	3.739
472.6	4.020
472.8	4.150
473.0	4.222
473.2	4.319
473.4	4.713
473.6	4.774
473.8	5.111
474.0	5.252
474.2	5.348
474.4	5.483
474.6	5.559
474.8	5.681
475.0	5.844
475.2	5.979
475.4	6.330
475.6	6.747
475.8	7.051
476.0	7.352
476.2	7.329
476.4	7.199
476.6	7.480
476.8	7.932
477.0	8.666
477.2	9.522
477.4	9.880
477.6	9.887
477.8	10.07
478.0	9.833
478.2	9.722
478.4	10.05
478.6	10.34
478.8	11.09
479.0	11.67
479.2	12.17
479.4	12.08
479.6	12.38
479.8	12.91
480.0	13.67
480.2	14.55
480.4	15.55
480.6	15.81
480.8	16.63
481.0	17.28
481.2	17.72
481.4	18.34
481.6	18.72
481.8	19.43
482.0	20.21
482.2	21.10
482.4	21.91
482.6	22.79
482.8	23.78
483.0	24.84
483.2	25.53
483.4	26.65
483.6	27.42
483.8	28.23
484.0	28.80
484.2	29.70
484.4	30.61
484.6	31.51
484.8	32.46
485.0	33.41
485.2	33.63
485.4	35.16
485.6	36.55
485.8	38.22
486.0	40.45
486.2	42.15
486.4	43.54
486.6	44.43
486.8	45.76
487.0	47.47
487.2	48.36
487.4	50.32
487.6	52.08
487.8	54.19
488.0	56.65
488.2	58.67
488.4	59.31
488.6	62.13
488.8	63.79
489.0	66.24
489.2	67.64
489.4	70.01
489.6	71.01
489.8	73.14
490.0	75.45
490.2	78.91
490.4	82.05
490.6	85.90
490.8	88.10
491.0	89.72
491.2	91.34
491.4	94.61
491.6	96.64
491.8	98.96
492.0	102.2
492.2	106.0
492.4	110.1
492.6	114.9
492.8	117.6
493.0	120.8
493.2	123.0
493.4	127.0
493.6	131.0
493.8	134.6
494.0	135.9
494.2	140.3
494.4	143.9
494.6	148.3
494.8	154.0
495.0	158.8
495.2	161.8
495.4	167.2
495.6	170.4
495.8	173.1
496.0	178.6
496.2	182.6
496.4	186.8
496.6	192.8
496.8	196.9
497.0	202.7
497.2	208.9
497.4	214.0
497.6	218.6
497.8	224.8
498.0	229.5
498.2	235.3
498.4	237.6
498.6	241.0
498.8	246.3
499.0	253.9
499.2	260.7
499.4	267.5
499.6	270.7
499.8	277.4
500.0	285.1
500.2	291.8
500.4	297.2
500.6	301.2
500.8	305.4
501.0	313.0
501.2	320.1
501.4	327.7
501.6	335.4
501.8	343.0
502.0	350.4
502.2	356.0
502.4	359.2
502.6	367.0
502.8	372.7
503.0	379.5
503.2	389.1
503.4	396.6
503.6	401.9
503.8	412.6
504.0	421.2
504.2	428.8
504.4	437.6
504.6	445.6
504.8	450.1
505.0	458.7
505.2	465.8
505.4	474.3
505.6	480.8
505.8	487.9
506.0	495.3
506.2	504.9
506.4	512.1
506.6	523.6
506.8	532.1
507.0	537.4
507.2	541.8
507.4	546.2
507.6	554.3
507.8	563.7
508.0	572.4
508.2	578.3
508.4	584.4
508.6	596.3
508.8	608.2
509.0	615.7
509.2	622.8
509.4	627.8
509.6	635.7
509.8	648.6
510.0	658.1
510.2	665.9
510.4	674.4
510.6	682.4
510.8	692.1
511.0	698.2
511.2	705.9
511.4	712.9
511.6	721.3
511.8	731.3
512.0	739.2
512.2	745.5
512.4	754.8
512.6	762.3
512.8	772.7
513.0	780.0
513.2	783.9
513.4	792.8
513.6	802.1
513.8	811.4
514.0	821.3
514.2	826.2
514.4	831.1
514.6	839.3
514.8	848.7
515.0	856.6
515.2	863.8
515.4	869.4
515.6	876.3
515.8	886.8
516.0	896.8
516.2	903.3
516.4	908.0
516.6	911.8
516.8	916.3
517.0	923.5
517.2	932.7
517.4	944.7
517.6	953.4
517.8	962.5
518.0	971.6
518.2	976.7
518.4	983.9
518.6	992.9
518.8	998.3
519.0	999.8
519.2	1005
519.4	1009
519.6	1015
519.8	1024
520.0	1032
520.2	1037
520.4	1044
520.6	1049
520.8	1057
521.0	1062
521.2	1068
521.4	1077
521.6	1081
521.8	1087
522.0	1096
522.2	1101
522.4	1107
522.6	1117
522.8	1118
523.0	1122
523.2	1129
523.4	1134
523.6	1143
523.8	1153
524.0	1156
524.2	1159
524.4	1164
524.6	1166
524.8	1173
525.0	1177
525.2	1175
525.4	1178
525.6	1182
525.8	1186
526.0	1193
526.2	1201
526.4	1202
526.6	1206
526.8	1209
527.0	1214
527.2	1217
527.4	1224
527.6	1230
527.8	1233
528.0	1234
528.2	1238
528.4	1237
528.6	1239
528.8	1245
529.0	1252
529.2	1255
529.4	1262
529.6	1266
529.8	1268
530.0	1272
530.2	1279
530.4	1277
530.6	1280
530.8	1284
531.0	1284
531.2	1290
531.4	1293
531.6	1287
531.8	1285
532.0	1285
532.2	1289
532.4	1294
532.6	1297
532.8	1299
533.0	1303
533.2	1304
533.4	1302
533.6	1302
533.8	1304
534.0	1309
534.2	1313
534.4	1316
534.6	1314
534.8	1320
535.0	1323
535.2	1318
535.4	1314
535.6	1310
535.8	1313
536.0	1317
536.2	1320
536.4	1319
536.6	1318
536.8	1319
537.0	1325
537.2	1327
537.4	1325
537.6	1322
537.8	1322
538.0	1323
538.2	1328
538.4	1333
538.6	1334
538.8	1334
539.0	1331
539.2	1327
539.4	1327
539.6	1332
539.8	1336
540.0	1336
540.2	1326
540.4	1322
540.6	1322
540.8	1321
541.0	1325
541.2	1322
541.4	1320
541.6	1324
541.8	1326
542.0	1327
542.2	1331
542.4	1329
542.6	1326
542.8	1327
543.0	1325
543.2	1326
543.4	1326
543.6	1325
543.8	1321
544.0	1322
544.2	1321
544.4	1316
544.6	1313
544.8	1314
545.0	1312
545.2	1311
545.4	1313
545.6	1309
545.8	1309
546.0	1312
546.2	1310
546.4	1308
546.6	1310
546.8	1306
547.0	1307
547.2	1306
547.4	1302
547.6	1301
547.8	1299
548.0	1297
548.2	1297
548.4	1296
548.6	1296
548.8	1296
549.0	1293
549.2	1290
549.4	1286
549.6	1282
549.8	1280
550.0	1275
550.2	1274
550.4	1272
550.6	1275
550.8	1273
551.0	1272
551.2	1268
551.4	1267
551.6	1266
551.8	1266
552.0	1264
552.2	1263
552.4	1262
552.6	1258
552.8	1258
553.0	1258
553.2	1255
553.4	1251
553.6	1248
553.8	1246
554.0	1245
554.2	1243
554.4	1238
554.6	1237
554.8	1239
555.0	1238
555.2	1236
555.4	1232
555.6	1224
555.8	1221
556.0	1221
556.2	1216
556.4	1214
556.6	1211
556.8	1209
557.0	1209
557.2	1213
557.4	1212
557.6	1207
557.8	1199
558.0	1194
558.2	1191
558.4	1188
558.6	1186
558.8	1185
559.0	1186
559.2	1185
559.4	1181
559.6	1179
559.8	1172
560.0	1170
560.2	1169
560.4	1169
560.6	1170
560.8	1170
561.0	1161
561.2	1154
561.4	1149
561.6	1148
561.8	1148
562.0	1147
562.2	1145
562.4	1143
562.6	1140
562.8	1135
563.0	1128
563.2	1126
563.4	1122
563.6	1123
563.8	1122
564.0	1120
564.2	1116
564.4	1112
564.6	1107
564.8	1105
565.0	1105
565.2	1103
565.4	1101
565.6	1098
565.8	1099
566.0	1094
566.2	1088
566.4	1079
566.6	1075
566.8	1070
567.0	1070
567.2	1068
567.4	1069
567.6	1069
567.8	1069
568.0	1067
568.2	1059
568.4	1054
568.6	1050
568.8	1047
569.0	1047
569.2	1045
569.4	1039
569.6	1036
569.8	1030
570.0	1025
570.2	1026
570.4	1026
570.6	1020
570.8	1017
571.0	1010
571.2	1003
571.4	1002
571.6	1003
571.8	994.7
572.0	990.9
572.2	989.1
572.4	986.9
572.6	988.9
572.8	988.3
573.0	983.0
573.2	976.0
573.4	973.1
573.6	968.2
573.8	965.7
574.0	960.4
574.2	957.8
574.4	953.4
574.6	955.0
574.8	953.7
575.0	951.5
575.2	949.9
575.4	944.8
575.6	939.0
575.8	937.9
576.0	933.3
576.2	928.0
576.4	927.2
576.6	925.8
576.8	924.6
577.0	923.8
577.2	919.0
577.4	913.4
577.6	910.8
577.8	909.1
578.0	907.8
578.2	904.2
578.4	897.8
578.6	891.8
578.8	890.1
579.0	887.8
579.2	885.8
579.4	882.9
579.6	880.0
579.8	876.9
580.0	874.7
580.2	871.2
580.4	866.0
580.6	860.3
580.8	857.8
581.0	856.5
581.2	856.0
581.4	852.6
581.6	847.5
581.8	840.3
582.0	834.4
582.2	832.4
582.4	832.7
582.6	829.5
582.8	827.6
583.0	824.9
583.2	820.9
583.4	821.1
583.6	820.8
583.8	818.4
584.0	814.3
584.2	810.7
584.4	805.7
584.6	800.1
584.8	794.3
585.0	790.7
585.2	787.9
585.4	788.2
585.6	789.1
585.8	785.6
586.0	782.6
586.2	778.3
586.4	777.6
586.6	777.5
586.8	775.6
587.0	771.2
587.2	764.5
587.4	758.1
587.6	756.8
587.8	756.8
588.0	757.7
588.2	754.7
588.4	748.9
588.6	742.0
588.8	738.0
589.0	734.8
589.2	735.5
589.4	737.1
589.6	736.7
589.8	730.6
590.0	724.4
590.2	713.7
590.4	710.2
590.6	712.0
590.8	712.4
591.0	708.7
591.2	706.0
591.4	699.8
591.6	697.0
591.8	695.6
592.0	694.2
592.2	689.9
592.4	687.5
592.6	684.8
592.8	680.6
593.0	676.9
593.2	674.9
593.4	669.2
593.6	664.7
593.8	662.6
594.0	661.6
594.2	659.2
594.4	658.7
594.6	658.2
594.8	655.0
595.0	652.4
595.2	650.3
595.4	647.5
595.6	640.8
595.8	637.6
596.0	632.6
596.2	632.2
596.4	633.6
596.6	636.6
596.8	632.1
597.0	628.0
597.2	622.7
597.4	619.4
597.6	617.2
597.8	616.3
598.0	614.9
598.2	613.6
598.4	609.4
598.6	605.9
598.8	605.7
599.0	605.8
599.2	602.9
599.4	598.3
599.6	592.7
599.8	585.3
600.0	582.0
600.2	579.6
600.4	575.9
600.6	576.0
600.8	576.5
601.0	576.0
601.2	575.2
601.4	572.5
601.6	566.4
601.8	562.8
602.0	559.5
602.2	559.7
602.4	559.1
602.6	554.7
602.8	551.1
603.0	546.7
603.2	546.1
603.4	544.7
603.6	542.3
603.8	538.4
604.0	538.0
604.2	535.9
604.4	536.5
604.6	533.6
604.8	532.3
605.0	530.8
605.2	525.9
605.4	522.0
605.6	518.2
605.8	517.2
606.0	517.5
606.2	516.9
606.4	513.8
606.6	509.4
606.8	501.9
607.0	500.1
607.2	498.4
607.4	495.1
607.6	494.5
607.8	491.6
608.0	485.9
608.2	486.5
608.4	486.2
608.6	483.9
608.8	482.3
609.0	478.7
609.2	476.0
609.4	476.6
609.6	476.6
609.8	475.1
610.0	470.1
610.2	463.6
610.4	459.9
610.6	457.9
610.8	458.5
611.0	459.8
611.2	456.7
