Sample:	'20211010A(EM)
File name:	G-NI 4 400.FDS
Run date:	'19:22:43, 06/19/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	549.0	550.4	4110	550.4	4090
2	550.4	551.2	746.8	4111	746.8	17.67
3	746.8	747.8	748.6	19.34	748.6	17.31
4	748.6	749.4	786.0	18.42	786.0	5.862
5	786.0	790.4	792.8	7.540	792.8	6.429
6	792.8	796.2	797.0	8.202	797.0	6.832

Data points
nm	Data
420.0	1.805
420.2	1.925
420.4	1.941
420.6	1.887
420.8	1.765
421.0	1.744
421.2	1.754
421.4	1.852
421.6	1.928
421.8	1.960
422.0	1.894
422.2	2.039
422.4	1.958
422.6	1.986
422.8	2.087
423.0	1.908
423.2	1.761
423.4	1.813
423.6	1.831
423.8	1.857
424.0	2.059
424.2	1.997
424.4	1.959
424.6	1.952
424.8	1.928
425.0	1.920
425.2	1.972
425.4	1.889
425.6	1.930
425.8	1.800
426.0	1.725
426.2	1.850
426.4	1.821
426.6	1.713
426.8	1.776
427.0	1.536
427.2	1.445
427.4	1.740
427.6	1.998
427.8	2.239
428.0	2.501
428.2	2.392
428.4	2.078
428.6	2.024
428.8	1.917
429.0	1.791
429.2	1.764
429.4	1.760
429.6	1.708
429.8	1.874
430.0	2.123
430.2	2.308
430.4	2.432
430.6	2.353
430.8	2.120
431.0	1.993
431.2	2.044
431.4	2.193
431.6	2.390
431.8	2.275
432.0	1.915
432.2	1.777
432.4	1.767
432.6	1.888
432.8	2.071
433.0	2.079
433.2	1.998
433.4	1.940
433.6	1.861
433.8	1.868
434.0	1.984
434.2	1.981
434.4	2.102
434.6	2.033
434.8	1.933
435.0	2.024
435.2	2.166
435.4	2.071
435.6	2.107
435.8	2.100
436.0	2.040
436.2	2.190
436.4	2.287
436.6	2.214
436.8	2.192
437.0	2.126
437.2	2.055
437.4	2.091
437.6	2.262
437.8	2.377
438.0	2.293
438.2	2.209
438.4	2.232
438.6	2.104
438.8	2.188
439.0	2.067
439.2	1.814
439.4	1.821
439.6	1.783
439.8	1.897
440.0	2.253
440.2	2.358
440.4	2.464
440.6	2.470
440.8	2.299
441.0	2.249
441.2	2.317
441.4	2.175
441.6	2.250
441.8	2.296
442.0	2.264
442.2	2.293
442.4	2.198
442.6	2.043
442.8	2.068
443.0	2.108
443.2	2.124
443.4	2.398
443.6	2.477
443.8	2.597
444.0	2.604
444.2	2.386
444.4	2.330
444.6	2.512
444.8	2.531
445.0	2.702
445.2	2.794
445.4	2.790
445.6	2.768
445.8	2.784
446.0	2.669
446.2	2.690
446.4	2.674
446.6	2.805
446.8	2.954
447.0	2.977
447.2	2.946
447.4	2.832
447.6	2.670
447.8	2.569
448.0	2.606
448.2	2.575
448.4	2.591
448.6	2.764
448.8	2.940
449.0	3.032
449.2	3.029
449.4	2.930
449.6	2.822
449.8	2.813
450.0	3.038
450.2	3.245
450.4	3.446
450.6	3.687
450.8	3.523
451.0	3.242
451.2	3.166
451.4	3.001
451.6	3.107
451.8	3.490
452.0	3.428
452.2	3.487
452.4	3.481
452.6	3.430
452.8	3.409
453.0	3.542
453.2	3.652
453.4	3.680
453.6	3.739
