Sample:	'20211010A(EM)
File name:	G-NI 4.FDS
Run date:	'18:17:32, 06/19/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	540.0	545.6	557.4	545.6	542.3
2	545.6	546.0	665.4	546.6	665.4	37.30
3	665.4	666.0	689.2	38.40	689.2	16.92
4	689.2	689.8	694.6	17.96	694.6	14.09
5	694.6	695.6	782.2	15.57	782.2	0.899

Data points
nm	Data
420.0	0.473
420.2	0.475
420.4	0.442
420.6	0.414
420.8	0.439
421.0	0.648
421.2	0.745
421.4	0.692
421.6	0.601
421.8	0.460
422.0	0.368
422.2	0.415
422.4	0.434
422.6	0.393
422.8	0.372
423.0	0.343
423.2	0.386
423.4	0.571
423.6	0.720
423.8	0.693
424.0	0.657
424.2	0.544
424.4	0.524
424.6	0.601
424.8	0.672
425.0	0.542
425.2	0.580
425.4	0.651
425.6	0.731
425.8	0.786
426.0	0.739
426.2	0.640
426.4	0.562
426.6	0.518
426.8	0.574
427.0	0.755
427.2	0.806
427.4	0.883
427.6	0.851
427.8	0.758
428.0	0.728
428.2	0.661
428.4	0.625
428.6	0.686
428.8	0.744
429.0	0.611
429.2	0.523
429.4	0.428
429.6	0.533
429.8	0.673
430.0	0.674
430.2	0.587
430.4	0.569
430.6	0.590
430.8	0.688
431.0	0.705
431.2	0.598
431.4	0.583
431.6	0.622
431.8	0.629
432.0	0.656
432.2	0.596
432.4	0.528
432.6	0.470
432.8	0.549
433.0	0.554
433.2	0.550
433.4	0.522
433.6	0.517
433.8	0.474
434.0	0.614
434.2	0.586
434.4	0.620
434.6	0.664
434.8	0.758
435.0	0.898
435.2	1.012
435.4	0.964
435.6	0.777
435.8	0.660
436.0	0.546
436.2	0.570
436.4	0.586
436.6	0.597
436.8	0.520
437.0	0.622
437.2	0.630
437.4	0.785
437.6	0.753
437.8	0.758
438.0	0.827
438.2	0.871
438.4	0.855
438.6	0.888
438.8	0.624
439.0	0.648
439.2	0.707
439.4	0.724
439.6	0.691
439.8	0.688
440.0	0.642
440.2	0.702
440.4	0.681
440.6	0.755
440.8	0.731
441.0	0.663
441.2	0.641
441.4	0.560
441.6	0.529
441.8	0.545
442.0	0.612
442.2	0.670
442.4	0.727
442.6	0.812
442.8	0.776
443.0	0.598
443.2	0.508
443.4	0.424
443.6	0.440
443.8	0.558
444.0	0.558
444.2	0.534
444.4	0.555
444.6	0.484
444.8	0.562
445.0	0.633
445.2	0.612
445.4	0.618
445.6	0.585
445.8	0.473
446.0	0.593
446.2	0.644
446.4	0.605
446.6	0.664
446.8	0.616
447.0	0.573
447.2	0.597
447.4	0.590
447.6	0.654
447.8	0.705
448.0	0.676
448.2	0.602
448.4	0.525
448.6	0.560
448.8	0.743
449.0	0.701
449.2	0.607
449.4	0.518
449.6	0.454
449.8	0.563
450.0	0.776
450.2	0.793
450.4	0.806
450.6	0.891
450.8	0.696
451.0	0.701
451.2	0.794
451.4	0.800
451.6	0.800
451.8	0.800
452.0	0.669
452.2	0.724
452.4	0.761
452.6	0.715
452.8	0.615
453.0	0.488
453.2	0.457
453.4	0.514
453.6	0.568
453.8	0.487
454.0	0.469
454.2	0.519
454.4	0.617
454.6	0.713
454.8	0.834
455.0	0.691
455.2	0.649
455.4	0.558
455.6	0.541
455.8	0.567
456.0	0.623
456.2	0.612
456.4	0.829
456.6	0.833
456.8	0.728
457.0	0.683
457.2	0.631
457.4	0.612
457.6	0.762
457.8	0.794
458.0	0.700
458.2	0.745
458.4	0.767
458.6	0.766
458.8	0.802
459.0	0.811
459.2	0.783
459.4	0.763
459.6	0.729
459.8	0.611
460.0	0.648
460.2	0.702
460.4	0.656
460.6	0.684
460.8	0.668
461.0	0.629
461.2	0.735
461.4	0.788
461.6	0.777
461.8	0.862
462.0	0.865
462.2	0.944
462.4	0.973
462.6	0.944
462.8	0.820
463.0	0.677
463.2	0.640
463.4	0.694
463.6	0.781
463.8	0.882
464.0	0.817
464.2	0.804
464.4	0.924
464.6	0.945
464.8	0.918
465.0	0.886
465.2	0.942
465.4	1.053
465.6	1.195
465.8	1.197
466.0	1.031
466.2	0.999
466.4	1.003
466.6	0.947
466.8	1.038
467.0	1.136
467.2	1.104
467.4	1.164
467.6	1.102
467.8	0.970
468.0	0.950
468.2	0.960
468.4	1.162
468.6	1.221
468.8	1.332
469.0	1.330
469.2	1.336
469.4	1.251
469.6	1.388
469.8	1.310
470.0	1.325
470.2	1.480
470.4	1.670
470.6	1.831
470.8	1.964
471.0	1.942
471.2	1.729
471.4	1.584
471.6	1.478
471.8	1.629
472.0	1.893
472.2	2.256
472.4	2.364
472.6	2.190
472.8	2.078
473.0	1.812
473.2	1.840
473.4	2.124
473.6	2.313
473.8	2.301
474.0	2.392
474.2	2.401
474.4	2.725
474.6	2.813
474.8	2.983
475.0	3.068
475.2	3.273
475.4	3.421
475.6	3.534
475.8	3.416
476.0	3.690
476.2	3.778
476.4	3.839
476.6	3.667
476.8	3.424
477.0	3.728
477.2	4.479
477.4	4.926
477.6	5.064
477.8	4.833
478.0	4.291
478.2	4.412
478.4	4.929
478.6	5.349
478.8	5.876
479.0	6.109
479.2	6.330
479.4	6.755
479.6	7.139
479.8	7.021
