Sample:	'20211010A(EM)
File name:	G-NI 8 800.FDS
Run date:	'18:58:43, 06/19/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	558.0	560.2	3195	560.2	3184
2	560.2	560.8	561.4	3193	561.4	3180
3	561.4	562.2	768.8	3196	768.8	9.026
4	768.8	769.4	778.2	10.07	778.2	6.742
5	778.2	779.0	783.4	8.466	783.4	6.481

Data points
nm	Data
420.0	1.477
420.2	1.661
420.4	1.613
420.6	1.476
420.8	1.552
421.0	1.616
421.2	1.573
421.4	1.416
421.6	1.339
421.8	1.194
422.0	1.312
422.2	1.336
422.4	1.358
422.6	1.470
422.8	1.452
423.0	1.420
423.2	1.433
423.4	1.407
423.6	1.380
423.8	1.523
424.0	1.500
424.2	1.374
424.4	1.229
424.6	1.115
424.8	0.971
425.0	1.171
425.2	1.473
425.4	1.501
425.6	1.461
425.8	1.434
426.0	1.499
426.2	1.527
426.4	1.641
426.6	1.478
426.8	1.213
427.0	1.218
427.2	1.429
427.4	1.414
427.6	1.492
427.8	1.451
428.0	1.299
428.2	1.361
428.4	1.473
428.6	1.518
428.8	1.560
429.0	1.459
429.2	1.437
429.4	1.380
429.6	1.246
429.8	1.241
430.0	1.329
430.2	1.349
430.4	1.407
430.6	1.423
430.8	1.201
431.0	1.181
431.2	1.386
431.4	1.617
431.6	1.782
431.8	1.829
432.0	1.690
432.2	1.556
432.4	1.388
432.6	1.236
432.8	1.207
433.0	1.194
433.2	1.349
433.4	1.455
433.6	1.528
433.8	1.508
434.0	1.412
434.2	1.308
434.4	1.452
434.6	1.550
434.8	1.669
435.0	1.751
435.2	1.699
435.4	1.539
435.6	1.532
435.8	1.483
436.0	1.404
436.2	1.487
436.4	1.583
436.6	1.494
436.8	1.417
437.0	1.458
437.2	1.510
437.4	1.529
437.6	1.572
437.8	1.600
438.0	1.476
438.2	1.543
438.4	1.729
438.6	1.725
438.8	1.627
439.0	1.605
439.2	1.492
439.4	1.468
439.6	1.519
439.8	1.471
440.0	1.389
440.2	1.421
440.4	1.554
440.6	1.680
440.8	1.737
441.0	1.822
441.2	1.741
441.4	1.667
441.6	1.576
441.8	1.606
442.0	1.653
442.2	1.762
442.4	1.599
442.6	1.480
442.8	1.389
443.0	1.471
443.2	1.490
443.4	1.496
443.6	1.525
443.8	1.579
444.0	1.584
444.2	1.648
444.4	1.598
444.6	1.489
444.8	1.541
445.0	1.665
445.2	1.530
445.4	1.442
445.6	1.425
445.8	1.525
446.0	1.659
446.2	1.722
446.4	1.739
446.6	1.636
446.8	1.613
447.0	1.653
447.2	1.649
447.4	1.556
447.6	1.755
447.8	1.802
448.0	1.830
448.2	1.875
448.4	1.797
448.6	1.685
448.8	1.624
449.0	1.726
449.2	1.737
449.4	1.878
449.6	1.810
449.8	1.773
450.0	1.605
450.2	1.698
450.4	1.661
450.6	1.783
450.8	1.821
451.0	1.843
451.2	1.831
451.4	1.918
451.6	1.888
451.8	2.102
452.0	2.147
452.2	1.971
452.4	1.832
452.6	1.850
452.8	1.770
453.0	1.867
453.2	1.945
453.4	1.919
453.6	2.208
453.8	2.355
454.0	2.260
454.2	1.992
454.4	1.973
454.6	1.812
454.8	2.057
455.0	2.184
455.2	2.192
455.4	2.174
455.6	2.260
455.8	2.035
456.0	1.904
456.2	1.890
456.4	1.967
456.6	2.120
456.8	2.059
457.0	1.959
457.2	1.769
457.4	1.804
457.6	1.950
457.8	2.095
458.0	2.056
458.2	2.011
458.4	1.958
458.6	2.006
458.8	1.945
459.0	1.962
459.2	2.066
459.4	2.231
459.6	2.447
459.8	2.331
460.0	2.198
460.2	2.145
460.4	2.199
460.6	2.371
460.8	2.336
461.0	2.267
461.2	2.186
461.4	2.215
461.6	2.369
461.8	2.713
462.0	2.645
462.2	2.591
462.4	2.431
462.6	2.194
462.8	2.121
463.0	2.486
