Sample:	'20211010A(EM)
File name:	G-Ni 0.FDS
Run date:	'14:48:10, 06/19/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	400 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	537.8	542.0	135.5	542.0	134.0
2	542.0	543.2	800.0	135.4	800.0	0.316

Data points
nm	Data
420.0	0.128
420.2	0.149
420.4	0.157
420.6	0.157
420.8	0.155
421.0	0.146
421.2	0.153
421.4	0.148
421.6	0.123
421.8	0.154
422.0	0.166
422.2	0.177
422.4	0.186
422.6	0.147
422.8	0.110
423.0	0.122
423.2	0.134
423.4	0.183
423.6	0.209
423.8	0.204
424.0	0.185
424.2	0.173
424.4	0.153
424.6	0.159
424.8	0.148
425.0	0.151
425.2	0.134
425.4	0.128
425.6	0.139
425.8	0.157
426.0	0.153
426.2	0.162
426.4	0.155
426.6	0.161
426.8	0.183
427.0	0.166
427.2	0.137
427.4	0.127
427.6	0.104
427.8	0.130
428.0	0.155
428.2	0.144
428.4	0.141
428.6	0.148
428.8	0.126
429.0	0.147
429.2	0.137
429.4	0.120
429.6	0.114
429.8	0.148
430.0	0.162
430.2	0.188
430.4	0.169
430.6	0.151
430.8	0.146
431.0	0.145
431.2	0.135
431.4	0.138
431.6	0.151
431.8	0.155
432.0	0.184
432.2	0.192
432.4	0.185
432.6	0.173
432.8	0.163
433.0	0.149
433.2	0.140
433.4	0.134
433.6	0.122
433.8	0.123
434.0	0.118
434.2	0.135
434.4	0.156
434.6	0.174
434.8	0.178
435.0	0.173
435.2	0.131
435.4	0.129
435.6	0.143
435.8	0.146
436.0	0.142
436.2	0.144
436.4	0.139
436.6	0.162
436.8	0.156
437.0	0.142
437.2	0.156
437.4	0.164
437.6	0.192
437.8	0.184
438.0	0.133
438.2	0.113
438.4	0.132
438.6	0.118
438.8	0.152
439.0	0.171
439.2	0.150
439.4	0.152
439.6	0.174
439.8	0.161
440.0	0.184
440.2	0.194
440.4	0.158
440.6	0.136
440.8	0.147
441.0	0.133
441.2	0.153
441.4	0.152
441.6	0.141
441.8	0.153
442.0	0.160
442.2	0.166
442.4	0.189
442.6	0.181
442.8	0.151
443.0	0.167
443.2	0.132
443.4	0.156
443.6	0.165
443.8	0.172
444.0	0.150
444.2	0.157
444.4	0.111
444.6	0.159
444.8	0.165
445.0	0.190
445.2	0.180
445.4	0.169
445.6	0.146
445.8	0.187
446.0	0.174
446.2	0.176
446.4	0.155
446.6	0.148
446.8	0.138
447.0	0.162
447.2	0.151
447.4	0.180
447.6	0.198
447.8	0.187
448.0	0.152
448.2	0.154
448.4	0.131
448.6	0.129
448.8	0.163
449.0	0.161
449.2	0.167
449.4	0.164
449.6	0.141
449.8	0.120
450.0	0.150
450.2	0.158
450.4	0.169
450.6	0.172
450.8	0.157
451.0	0.149
451.2	0.163
451.4	0.191
451.6	0.189
451.8	0.202
452.0	0.158
452.2	0.151
452.4	0.128
452.6	0.161
452.8	0.182
453.0	0.210
453.2	0.177
453.4	0.189
453.6	0.144
453.8	0.158
454.0	0.169
454.2	0.188
454.4	0.196
454.6	0.215
454.8	0.201
455.0	0.220
455.2	0.204
455.4	0.189
455.6	0.186
455.8	0.177
456.0	0.168
456.2	0.198
456.4	0.185
456.6	0.173
456.8	0.159
457.0	0.154
457.2	0.182
457.4	0.231
457.6	0.207
457.8	0.202
458.0	0.156
458.2	0.126
458.4	0.140
458.6	0.184
458.8	0.177
459.0	0.196
459.2	0.187
459.4	0.173
459.6	0.151
459.8	0.157
460.0	0.142
460.2	0.153
460.4	0.171
460.6	0.174
460.8	0.185
461.0	0.227
461.2	0.211
461.4	0.235
461.6	0.208
461.8	0.168
462.0	0.167
462.2	0.177
462.4	0.160
