Sample:	'20211010A(EM)
File name:	G-Ni 4 400.FDS
Run date:	'16:01:07, 06/19/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	547.4	551.2	6897	551.2	6850
2	551.2	552.2	766.8	6862	766.8	15.26
3	766.8	767.8	783.4	16.96	783.4	9.546
4	783.4	793.6	794.4	10.76	794.4	9.656
5	794.4	797.4	800.0	11.77	800.0	10.32

Data points
nm	Data
420.0	2.568
420.2	2.563
420.4	2.634
420.6	2.747
420.8	2.875
421.0	2.905
421.2	2.902
421.4	2.983
421.6	3.090
421.8	3.130
422.0	3.037
422.2	2.901
422.4	2.762
422.6	2.798
422.8	2.659
423.0	2.619
423.2	2.767
423.4	2.815
423.6	2.893
423.8	3.045
424.0	2.802
424.2	2.943
424.4	2.974
424.6	2.764
424.8	2.664
425.0	2.665
425.2	2.628
425.4	2.767
425.6	2.694
425.8	2.640
426.0	2.781
426.2	2.803
426.4	2.733
426.6	2.661
426.8	2.716
427.0	2.695
427.2	2.914
427.4	2.980
427.6	2.753
427.8	2.627
428.0	2.671
428.2	2.691
428.4	2.795
428.6	2.827
428.8	2.804
429.0	2.763
429.2	2.871
429.4	3.077
429.6	3.210
429.8	3.212
430.0	3.234
430.2	3.038
430.4	2.762
430.6	2.661
430.8	2.640
431.0	2.814
431.2	3.002
431.4	3.073
431.6	2.978
431.8	2.923
432.0	2.896
432.2	2.890
432.4	2.915
432.6	3.068
432.8	3.047
433.0	3.030
433.2	3.117
433.4	3.142
433.6	3.075
433.8	3.216
434.0	3.215
434.2	3.050
434.4	2.925
434.6	2.919
434.8	2.863
435.0	2.918
435.2	3.165
435.4	3.097
435.6	2.988
435.8	2.814
436.0	2.959
436.2	2.745
436.4	2.942
436.6	3.322
436.8	3.422
437.0	3.411
437.2	3.696
437.4	3.367
437.6	3.447
437.8	3.642
438.0	3.593
438.2	3.448
438.4	3.389
438.6	3.260
438.8	3.277
439.0	3.033
439.2	2.991
439.4	2.850
439.6	3.116
439.8	3.642
440.0	3.828
440.2	3.711
440.4	3.459
440.6	3.280
440.8	3.361
441.0	3.468
441.2	3.390
441.4	3.424
441.6	3.495
441.8	3.555
442.0	3.554
442.2	3.626
442.4	3.705
442.6	3.728
442.8	3.601
443.0	3.648
443.2	3.729
443.4	3.996
443.6	4.206
443.8	4.155
444.0	3.930
444.2	3.802
444.4	4.013
444.6	4.165
444.8	4.172
445.0	3.985
445.2	3.913
445.4	3.788
445.6	4.013
445.8	4.250
446.0	4.286
446.2	4.166
446.4	4.039
446.6	4.010
446.8	4.084
447.0	4.226
447.2	4.378
447.4	4.482
447.6	4.330
447.8	4.213
448.0	4.218
448.2	4.102
448.4	4.233
448.6	4.318
448.8	4.358
449.0	4.466
449.2	4.607
449.4	4.594
449.6	4.692
449.8	4.645
450.0	4.615
450.2	4.575
450.4	4.712
450.6	4.737
450.8	4.881
451.0	4.931
451.2	4.940
451.4	5.220
451.6	5.390
451.8	5.291
452.0	5.533
452.2	5.361
452.4	5.132
452.6	5.378
452.8	5.493
453.0	5.371
453.2	5.605
453.4	5.290
453.6	5.372
453.8	5.513
454.0	5.709
454.2	5.712
454.4	5.753
454.6	5.679
454.8	6.032
455.0	6.212
455.2	6.302
455.4	6.526
455.6	6.675
455.8	6.677
456.0	6.620
456.2	6.812
456.4	6.778
456.6	7.127
456.8	7.217
457.0	7.139
457.2	7.150
457.4	7.328
457.6	7.229
457.8	7.500
458.0	7.760
458.2	8.032
458.4	8.131
458.6	7.933
458.8	7.856
459.0	8.086
459.2	8.323
459.4	8.885
459.6	8.932
459.8	8.724
460.0	8.488
460.2	8.435
460.4	8.707
460.6	9.404
460.8	9.875
461.0	10.24
461.2	10.07
461.4	9.947
461.6	10.20
461.8	10.47
462.0	10.75
462.2	10.90
462.4	10.99
462.6	10.94
462.8	11.13
463.0	11.41
463.2	11.75
463.4	11.94
463.6	12.17
463.8	12.30
464.0	12.48
464.2	12.95
464.4	13.23
464.6	13.51
464.8	13.54
465.0	14.01
465.2	14.17
465.4	14.59
465.6	14.75
465.8	15.56
466.0	15.84
466.2	16.87
466.4	17.10
466.6	17.11
466.8	17.28
467.0	17.99
467.2	18.02
467.4	18.64
467.6	18.63
467.8	18.95
468.0	19.14
468.2	19.82
468.4	20.46
468.6	20.89
468.8	21.11
469.0	21.97
469.2	22.37
469.4	23.37
469.6	24.73
469.8	25.37
470.0	25.81
470.2	26.86
470.4	27.13
470.6	27.91
470.8	28.57
471.0	28.82
471.2	29.38
471.4	30.48
471.6	31.32
471.8	32.50
472.0	33.30
472.2	35.02
472.4	36.58
472.6	37.71
472.8	38.35
473.0	38.37
473.2	38.86
473.4	40.55
473.6	41.88
473.8	43.03
474.0	44.68
474.2	46.65
474.4	47.43
474.6	47.94
474.8	48.81
475.0	49.81
475.2	51.51
475.4	54.94
475.6	56.50
475.8	58.97
476.0	60.42
476.2	60.71
476.4	60.42
476.6	61.94
476.8	64.28
477.0	68.06
477.2	70.51
477.4	71.94
477.6	72.92
477.8	75.32
478.0	78.52
478.2	81.35
478.4	84.34
478.6	85.32
478.8	86.14
479.0	88.08
479.2	90.31
479.4	93.88
479.6	96.78
479.8	99.35
480.0	102.3
480.2	105.0
480.4	108.4
480.6	112.6
480.8	114.3
481.0	117.9
481.2	121.2
481.4	124.2
481.6	128.0
481.8	132.1
482.0	135.6
482.2	139.5
482.4	142.4
482.6	144.8
482.8	148.3
483.0	154.3
483.2	158.5
483.4	161.8
483.6	165.2
483.8	168.6
484.0	174.4
484.2	182.7
484.4	188.6
484.6	194.5
484.8	199.3
485.0	203.9
485.2	209.9
485.4	215.5
485.6	221.4
485.8	227.5
486.0	233.5
486.2	239.4
486.4	246.3
486.6	252.6
486.8	258.9
487.0	265.6
487.2	272.6
487.4	278.0
487.6	283.9
487.8	293.0
488.0	303.2
488.2	315.1
488.4	324.0
488.6	328.0
488.8	331.4
489.0	338.9
489.2	349.3
489.4	360.1
489.6	370.2
489.8	380.0
490.0	388.6
490.2	398.5
490.4	409.4
490.6	416.7
490.8	424.9
491.0	432.5
491.2	441.5
491.4	455.5
491.6	471.5
491.8	483.8
492.0	497.3
492.2	505.1
492.4	515.4
492.6	526.6
492.8	539.5
493.0	550.1
493.2	564.4
493.4	578.3
493.6	592.5
493.8	604.5
494.0	616.7
494.2	628.5
494.4	641.3
494.6	657.3
494.8	671.2
495.0	688.0
495.2	703.7
495.4	717.1
495.6	731.0
495.8	747.5
496.0	763.4
