Sample:	'20211010A(EM)
File name:	G-NI 2 200.FDS
Run date:	'16:31:42, 06/19/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	430.0	431.6	3.882	431.6	2.866
2	431.6	548.6	782.2	8403	782.2	12.24
3	782.2	783.6	785.2	13.26	785.2	11.19
4	785.2	785.6	789.0	12.31	789.0	10.86
5	789.0	789.8	790.6	12.22	790.6	10.66
6	790.6	792.2	800.0	11.92	800.0	10.08

Data points
nm	Data
420.0	3.210
420.2	3.284
420.4	3.335
420.6	3.355
420.8	3.269
421.0	3.284
421.2	3.313
421.4	3.355
421.6	3.398
421.8	3.414
422.0	3.285
422.2	3.111
422.4	3.208
422.6	3.307
422.8	3.460
423.0	3.506
423.2	3.706
423.4	3.471
423.6	3.423
423.8	3.295
424.0	3.314
424.2	3.197
424.4	3.529
424.6	3.275
424.8	3.194
425.0	2.921
425.2	2.933
425.4	3.075
425.6	3.282
425.8	3.293
426.0	3.285
426.2	3.060
426.4	3.020
426.6	3.193
426.8	3.192
427.0	3.194
427.2	3.278
427.4	3.254
427.6	3.199
427.8	3.268
428.0	3.303
428.2	3.090
428.4	3.181
428.6	3.318
428.8	3.497
429.0	3.636
429.2	3.709
429.4	3.563
429.6	3.716
429.8	3.807
430.0	3.882
430.2	3.839
430.4	3.490
430.6	3.465
430.8	3.455
431.0	3.393
431.2	3.307
431.4	3.210
431.6	2.866
431.8	3.180
432.0	3.327
432.2	3.485
432.4	3.715
432.6	3.798
432.8	3.491
433.0	3.687
433.2	3.577
433.4	3.321
433.6	3.356
433.8	3.430
434.0	3.242
434.2	3.620
434.4	3.739
434.6	3.822
434.8	3.843
435.0	4.068
435.2	3.924
435.4	3.945
435.6	3.696
435.8	3.501
436.0	3.412
436.2	3.612
436.4	3.651
436.6	3.757
436.8	3.659
437.0	3.541
437.2	3.509
437.4	3.392
437.6	3.301
437.8	3.366
438.0	3.610
438.2	3.813
438.4	3.964
438.6	4.068
438.8	4.078
439.0	4.059
439.2	4.223
439.4	4.163
439.6	4.110
439.8	4.117
