Sample:	'20211010A(EM)
File name:	G-NI 6.FDS
Run date:	'16:49:47, 06/19/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	535.6	536.4	2267	536.4	2257
2	536.4	537.6	538.4	2279	538.4	2264
3	538.4	539.4	540.4	2281	540.4	2262
4	540.4	541.2	694.8	2277	694.8	57.81
5	694.8	695.6	800.0	59.07	800.0	4.177

Data points
nm	Data
420.0	1.479
420.2	1.533
420.4	1.529
420.6	1.479
420.8	1.349
421.0	1.287
421.2	1.296
421.4	1.360
421.6	1.473
421.8	1.641
422.0	1.636
422.2	1.571
422.4	1.515
422.6	1.434
422.8	1.371
423.0	1.490
423.2	1.460
423.4	1.480
423.6	1.562
423.8	1.610
424.0	1.624
424.2	1.676
424.4	1.652
424.6	1.607
424.8	1.747
425.0	1.742
425.2	1.776
425.4	1.778
425.6	1.733
425.8	1.594
426.0	1.590
426.2	1.653
426.4	1.631
426.6	1.393
426.8	1.285
427.0	1.344
427.2	1.513
427.4	1.719
427.6	1.664
427.8	1.330
428.0	1.140
428.2	1.223
428.4	1.433
428.6	1.635
428.8	1.709
429.0	1.704
429.2	1.561
429.4	1.419
429.6	1.553
429.8	1.652
430.0	1.644
430.2	1.687
430.4	1.633
430.6	1.644
430.8	1.837
431.0	1.885
431.2	1.885
431.4	1.748
431.6	1.561
431.8	1.505
432.0	1.463
432.2	1.494
432.4	1.644
432.6	1.660
432.8	1.644
433.0	1.648
433.2	1.619
433.4	1.573
433.6	1.639
433.8	1.594
434.0	1.564
434.2	1.528
434.4	1.580
434.6	1.494
434.8	1.689
435.0	1.704
435.2	1.633
435.4	1.572
435.6	1.650
435.8	1.617
436.0	1.745
436.2	1.796
436.4	1.806
436.6	1.762
436.8	1.623
437.0	1.537
437.2	1.402
437.4	1.487
437.6	1.764
437.8	1.854
438.0	1.777
438.2	1.730
438.4	1.593
438.6	1.504
438.8	1.681
439.0	1.750
439.2	1.768
439.4	1.787
439.6	1.751
439.8	1.618
440.0	1.684
440.2	1.662
440.4	1.699
440.6	1.705
440.8	1.725
441.0	1.660
441.2	1.576
441.4	1.562
441.6	1.470
441.8	1.543
442.0	1.633
442.2	1.571
442.4	1.482
442.6	1.566
442.8	1.517
443.0	1.779
443.2	1.808
443.4	1.641
443.6	1.408
443.8	1.352
444.0	1.451
444.2	1.669
444.4	1.857
444.6	1.857
444.8	1.815
445.0	1.735
445.2	1.726
445.4	1.683
445.6	1.609
445.8	1.553
446.0	1.636
446.2	1.697
446.4	1.669
446.6	1.789
446.8	1.768
447.0	1.857
447.2	1.860
447.4	1.761
447.6	1.587
447.8	1.573
448.0	1.685
448.2	1.860
448.4	1.834
448.6	1.752
448.8	1.788
449.0	1.616
449.2	1.694
449.4	1.780
449.6	1.642
449.8	1.663
450.0	1.736
450.2	1.679
450.4	1.770
450.6	1.840
450.8	1.671
451.0	1.681
451.2	1.738
451.4	1.610
451.6	1.764
451.8	1.830
452.0	1.725
452.2	1.923
452.4	1.975
452.6	1.792
452.8	1.765
453.0	1.550
453.2	1.607
453.4	1.874
453.6	1.899
453.8	1.972
454.0	1.880
454.2	1.732
454.4	1.771
454.6	1.852
454.8	1.862
455.0	2.068
455.2	2.032
455.4	1.972
455.6	1.846
455.8	1.778
456.0	1.935
456.2	2.104
456.4	2.031
456.6	2.034
456.8	1.909
457.0	1.866
457.2	2.051
457.4	1.899
457.6	1.927
457.8	2.003
458.0	1.953
458.2	2.027
458.4	2.099
458.6	1.883
458.8	2.015
459.0	2.188
459.2	2.289
459.4	2.250
459.6	2.108
459.8	1.783
460.0	1.670
460.2	1.806
460.4	1.932
460.6	2.014
460.8	2.018
461.0	2.081
461.2	2.179
461.4	2.364
461.6	2.608
461.8	2.597
462.0	2.419
462.2	2.261
462.4	2.190
462.6	2.186
462.8	2.488
463.0	2.490
463.2	2.429
463.4	2.406
463.6	2.556
463.8	2.604
464.0	2.649
464.2	2.689
464.4	2.853
464.6	2.985
464.8	3.048
465.0	2.816
465.2	2.872
465.4	2.960
465.6	3.270
465.8	3.364
466.0	3.326
466.2	3.181
466.4	3.445
466.6	3.361
