Sample:	'20211010A(EM)
File name:	r-c-dots 1;15.FDS
Run date:	'20:32:28, 03/21/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	570 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	643.0	644.6	8838	644.6	8823
2	644.6	644.2	816.6	8834	816.6	47.97
3	816.6	817.4	900.0	49.64	900.0	3.297

Data points
nm	Data
540.0	1673
540.2	1676
540.4	1680
540.6	1685
540.8	1686
541.0	1692
541.2	1703
541.4	1706
541.6	1715
541.8	1721
542.0	1725
542.2	1736
542.4	1743
542.6	1744
542.8	1751
543.0	1760
543.2	1771
543.4	1777
543.6	1781
543.8	1784
544.0	1790
544.2	1803
544.4	1814
544.6	1816
544.8	1821
545.0	1820
545.2	1819
545.4	1826
545.6	1832
545.8	1839
546.0	1851
546.2	1862
546.4	1868
546.6	1875
546.8	1883
547.0	1884
547.2	1894
547.4	1899
547.6	1903
547.8	1910
548.0	1923
548.2	1927
548.4	1940
548.6	1946
548.8	1952
549.0	1960
549.2	1968
549.4	1971
549.6	1981
549.8	1990
550.0	1996
550.2	2006
550.4	2008
550.6	2015
550.8	2024
551.0	2038
551.2	2043
551.4	2049
551.6	2047
551.8	2055
552.0	2062
552.2	2072
552.4	2085
552.6	2098
552.8	2106
553.0	2119
553.2	2131
553.4	2134
553.6	2144
553.8	2152
554.0	2156
554.2	2163
554.4	2171
554.6	2182
554.8	2194
555.0	2207
555.2	2214
555.4	2221
555.6	2224
555.8	2235
556.0	2249
556.2	2261
556.4	2269
556.6	2275
556.8	2282
557.0	2293
557.2	2300
557.4	2308
557.6	2314
557.8	2321
558.0	2333
558.2	2350
558.4	2363
558.6	2376
558.8	2382
559.0	2392
559.2	2404
559.4	2418
559.6	2431
559.8	2447
560.0	2457
560.2	2468
560.4	2479
560.6	2490
560.8	2496
561.0	2515
561.2	2525
561.4	2530
561.6	2540
561.8	2555
562.0	2571
562.2	2591
562.4	2597
562.6	2602
562.8	2610
563.0	2625
563.2	2643
563.4	2657
563.6	2668
563.8	2682
564.0	2697
564.2	2711
564.4	2724
564.6	2739
564.8	2747
565.0	2758
565.2	2776
565.4	2788
565.6	2803
565.8	2818
566.0	2829
566.2	2847
566.4	2868
566.6	2883
566.8	2894
567.0	2908
567.2	2926
567.4	2941
567.6	2953
567.8	2963
568.0	2975
568.2	2992
568.4	3010
568.6	3022
568.8	3037
569.0	3052
569.2	3060
569.4	3074
569.6	3091
569.8	3110
570.0	3123
570.2	3143
570.4	3153
570.6	3167
570.8	3187
571.0	3210
571.2	3224
571.4	3243
571.6	3260
571.8	3266
572.0	3274
572.2	3288
572.4	3303
572.6	3321
572.8	3346
573.0	3362
573.2	3378
573.4	3390
573.6	3400
573.8	3412
574.0	3427
574.2	3440
574.4	3457
574.6	3473
574.8	3484
575.0	3494
575.2	3508
575.4	3522
575.6	3551
575.8	3574
576.0	3594
576.2	3607
576.4	3619
576.6	3620
576.8	3631
577.0	3646
577.2	3671
577.4	3693
577.6	3720
577.8	3725
578.0	3731
578.2	3743
578.4	3757
578.6	3773
578.8	3790
579.0	3803
579.2	3820
579.4	3840
579.6	3864
579.8	3873
580.0	3880
580.2	3893
580.4	3904
580.6	3915
580.8	3930
581.0	3932
581.2	3949
581.4	3971
581.6	3992
581.8	4004
582.0	4009
582.2	4017
582.4	4036
582.6	4062
582.8	4082
583.0	4087
583.2	4094
583.4	4103
583.6	4118
583.8	4142
584.0	4157
584.2	4166
584.4	4174
584.6	4179
584.8	4191
585.0	4205
585.2	4227
585.4	4239
585.6	4255
585.8	4270
586.0	4291
586.2	4303
586.4	4316
586.6	4320
586.8	4335
587.0	4345
587.2	4360
587.4	4371
587.6	4385
587.8	4402
588.0	4411
588.2	4418
588.4	4422
588.6	4431
588.8	4444
589.0	4457
589.2	4471
589.4	4491
589.6	4514
589.8	4538
590.0	4547
590.2	4553
590.4	4561
590.6	4565
590.8	4573
591.0	4578
591.2	4584
591.4	4597
591.6	4614
591.8	4637
592.0	4657
592.2	4661
592.4	4664
592.6	4669
592.8	4680
593.0	4697
593.2	4708
593.4	4710
593.6	4715
593.8	4724
594.0	4739
594.2	4756
594.4	4763
594.6	4776
594.8	4788
595.0	4797
595.2	4809
595.4	4824
595.6	4835
595.8	4853
596.0	4863
596.2	4874
596.4	4879
596.6	4891
596.8	4907
597.0	4920
597.2	4934
597.4	4948
597.6	4947
597.8	4952
598.0	4963
598.2	4968
598.4	4983
598.6	4997
598.8	4999
599.0	5001
599.2	5022
599.4	5035
599.6	5060
599.8	5077
600.0	5085
600.2	5088
600.4	5097
600.6	5105
600.8	5117
601.0	5137
601.2	5154
601.4	5171
601.6	5177
601.8	5184
602.0	5190
602.2	5198
602.4	5213
602.6	5221
602.8	5233
603.0	5252
603.2	5272
603.4	5278
603.6	5292
603.8	5295
604.0	5306
604.2	5317
604.4	5331
604.6	5336
604.8	5344
605.0	5358
