Sample:	'20211010A(EM)
File name:	G-c-NI-dots 100S2-.FDS
Run date:	'21:13:19, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	400 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	547.4	778.8	2362	778.8	2.579
2	778.8	800.4	850.0	6.137	850.0	0.635

Data points
nm	Data
420.0	1.294
420.2	1.314
420.4	1.316
420.6	1.308
420.8	1.305
421.0	1.284
421.2	1.243
421.4	1.222
421.6	1.216
421.8	1.244
422.0	1.287
422.2	1.295
422.4	1.305
422.6	1.297
422.8	1.281
423.0	1.248
423.2	1.254
423.4	1.246
423.6	1.262
423.8	1.317
424.0	1.327
424.2	1.330
424.4	1.344
424.6	1.329
424.8	1.353
425.0	1.339
425.2	1.304
425.4	1.327
425.6	1.322
425.8	1.358
426.0	1.417
426.2	1.433
426.4	1.415
426.6	1.429
426.8	1.404
427.0	1.393
427.2	1.380
427.4	1.403
427.6	1.378
427.8	1.381
428.0	1.366
428.2	1.333
428.4	1.360
428.6	1.378
428.8	1.393
429.0	1.379
429.2	1.356
429.4	1.368
429.6	1.446
429.8	1.478
430.0	1.490
430.2	1.448
430.4	1.415
430.6	1.392
430.8	1.416
431.0	1.471
431.2	1.515
431.4	1.539
431.6	1.551
431.8	1.527
432.0	1.493
432.2	1.505
432.4	1.528
432.6	1.522
432.8	1.539
433.0	1.553
433.2	1.544
433.4	1.562
433.6	1.563
433.8	1.547
434.0	1.575
434.2	1.581
434.4	1.632
434.6	1.648
434.8	1.603
435.0	1.563
435.2	1.575
435.4	1.601
435.6	1.670
435.8	1.706
436.0	1.728
436.2	1.733
436.4	1.740
436.6	1.752
436.8	1.769
437.0	1.796
437.2	1.839
437.4	1.883
437.6	1.907
437.8	1.920
438.0	1.907
438.2	1.888
438.4	1.846
438.6	1.854
438.8	1.910
439.0	1.974
439.2	2.003
439.4	2.062
439.6	2.057
439.8	2.084
440.0	2.082
440.2	2.108
440.4	2.161
440.6	2.208
440.8	2.189
441.0	2.204
441.2	2.161
441.4	2.209
441.6	2.240
441.8	2.294
442.0	2.328
442.2	2.380
442.4	2.431
442.6	2.526
442.8	2.510
443.0	2.484
443.2	2.486
443.4	2.509
443.6	2.539
443.8	2.622
444.0	2.622
444.2	2.647
444.4	2.770
444.6	2.896
444.8	2.923
445.0	2.951
445.2	2.945
445.4	2.967
445.6	3.006
445.8	3.047
446.0	3.076
446.2	3.137
446.4	3.239
446.6	3.298
446.8	3.317
447.0	3.331
447.2	3.397
447.4	3.394
447.6	3.440
447.8	3.503
448.0	3.607
