Sample:	'20211010A(EM)
File name:	G-c-NI-dots 600S2- 400V.FDS
Run date:	'17:04:17, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	400 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	544.0	544.6	2671	544.6	2667
2	544.6	546.2	777.6	2674	777.6	3.073
3	777.6	800.4	850.0	11.24	850.0	0.767

Data points
nm	Data
420.0	1.381
420.2	1.423
420.4	1.451
420.6	1.469
420.8	1.481
421.0	1.468
421.2	1.495
421.4	1.474
421.6	1.461
421.8	1.479
422.0	1.473
422.2	1.460
422.4	1.440
422.6	1.404
422.8	1.396
423.0	1.410
423.2	1.435
423.4	1.472
423.6	1.461
423.8	1.475
424.0	1.465
424.2	1.468
424.4	1.488
424.6	1.534
424.8	1.564
425.0	1.569
425.2	1.547
425.4	1.584
425.6	1.566
425.8	1.569
426.0	1.553
426.2	1.533
426.4	1.551
426.6	1.619
426.8	1.569
427.0	1.560
427.2	1.563
427.4	1.549
427.6	1.527
427.8	1.524
428.0	1.474
428.2	1.504
428.4	1.577
428.6	1.582
428.8	1.543
429.0	1.532
429.2	1.495
429.4	1.483
429.6	1.515
429.8	1.553
430.0	1.613
430.2	1.667
430.4	1.675
430.6	1.629
430.8	1.596
431.0	1.544
431.2	1.540
431.4	1.594
431.6	1.638
431.8	1.638
432.0	1.656
432.2	1.628
432.4	1.645
432.6	1.671
432.8	1.663
433.0	1.691
433.2	1.721
433.4	1.745
433.6	1.764
433.8	1.766
434.0	1.726
434.2	1.746
434.4	1.758
434.6	1.771
434.8	1.772
435.0	1.787
435.2	1.800
435.4	1.825
435.6	1.880
435.8	1.875
436.0	1.869
436.2	1.863
436.4	1.917
436.6	1.953
436.8	2.007
437.0	1.984
437.2	1.996
437.4	1.961
437.6	1.946
437.8	1.985
438.0	2.017
438.2	2.055
438.4	2.155
438.6	2.222
438.8	2.231
439.0	2.242
439.2	2.226
439.4	2.212
439.6	2.271
439.8	2.291
440.0	2.252
440.2	2.232
440.4	2.314
440.6	2.419
440.8	2.518
441.0	2.559
441.2	2.573
441.4	2.550
441.6	2.559
441.8	2.567
442.0	2.551
442.2	2.592
442.4	2.705
442.6	2.776
442.8	2.817
443.0	2.879
443.2	2.878
443.4	2.877
443.6	2.954
443.8	3.016
444.0	3.004
444.2	3.107
444.4	3.203
444.6	3.271
444.8	3.316
445.0	3.261
445.2	3.185
445.4	3.229
445.6	3.355
445.8	3.470
446.0	3.514
446.2	3.532
446.4	3.577
446.6	3.675
446.8	3.743
447.0	3.814
447.2	3.839
447.4	3.917
447.6	3.987
447.8	4.050
448.0	4.091
448.2	4.164
448.4	4.172
448.6	4.221
448.8	4.241
449.0	4.268
449.2	4.345
449.4	4.448
449.6	4.540
449.8	4.714
450.0	4.798
450.2	4.830
450.4	4.853
450.6	4.881
450.8	4.888
451.0	4.994
451.2	5.036
451.4	5.060
451.6	5.183
451.8	5.262
452.0	5.256
452.2	5.402
452.4	5.514
452.6	5.596
452.8	5.774
453.0	5.824
453.2	5.862
453.4	5.961
453.6	6.026
453.8	6.119
454.0	6.295
454.2	6.338
454.4	6.432
454.6	6.502
454.8	6.559
455.0	6.650
455.2	6.712
455.4	6.793
455.6	6.899
455.8	7.100
456.0	7.231
456.2	7.244
456.4	7.251
456.6	7.298
456.8	7.415
457.0	7.550
457.2	7.724
457.4	7.712
457.6	7.798
457.8	7.883
458.0	8.118
458.2	8.292
458.4	8.460
458.6	8.449
458.8	8.472
459.0	8.552
459.2	8.658
459.4	8.779
459.6	8.898
459.8	9.017
460.0	9.110
460.2	9.202
460.4	9.276
460.6	9.366
460.8	9.634
461.0	9.870
461.2	10.07
461.4	10.25
461.6	10.36
461.8	10.42
462.0	10.55
462.2	10.65
462.4	10.85
462.6	11.01
462.8	11.24
463.0	11.46
463.2	11.72
463.4	11.93
463.6	12.19
463.8	12.31
464.0	12.53
464.2	12.64
464.4	12.79
464.6	13.05
464.8	13.38
465.0	13.76
465.2	14.04
465.4	14.20
465.6	14.31
465.8	14.48
466.0	14.65
466.2	14.94
466.4	15.27
466.6	15.57
466.8	15.93
467.0	16.30
467.2	16.60
467.4	16.79
467.6	16.99
467.8	17.21
468.0	17.57
468.2	18.09
468.4	18.52
468.6	18.83
468.8	19.13
469.0	19.61
469.2	20.06
469.4	20.57
469.6	21.15
469.8	21.51
470.0	21.89
470.2	22.23
470.4	22.47
470.6	22.95
470.8	23.56
471.0	24.17
471.2	24.77
471.4	25.31
471.6	25.83
471.8	26.35
472.0	27.08
472.2	27.76
472.4	28.50
472.6	29.05
472.8	29.83
473.0	30.42
473.2	31.38
473.4	31.94
473.6	32.46
473.8	33.00
474.0	33.78
474.2	34.57
474.4	35.41
474.6	36.15
474.8	37.04
475.0	38.09
475.2	39.24
475.4	40.16
475.6	40.86
475.8	41.74
476.0	42.76
476.2	43.74
476.4	44.84
476.6	45.79
476.8	46.81
477.0	48.09
477.2	49.41
477.4	50.72
477.6	51.81
477.8	52.96
478.0	54.12
478.2	55.38
478.4	56.60
478.6	57.78
478.8	59.05
479.0	60.41
479.2	62.00
479.4	63.53
479.6	65.04
479.8	66.82
480.0	68.65
480.2	70.17
480.4	71.73
480.6	73.34
480.8	75.21
481.0	77.13
481.2	78.75
