Sample:	'20211010A(EM)
File name:	G-c-NI-dots-CHO 600S2-.FDS
Run date:	'17:15:10, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	410 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	531.8	777.0	7574	777.0	5.871
2	777.0	803.8	850.0	140.5	850.0	2.048

Data points
nm	Data
420.0	23.48
420.2	23.16
420.4	23.01
420.6	23.00
420.8	23.12
421.0	23.47
421.2	23.60
421.4	23.63
421.6	23.63
421.8	23.58
422.0	23.64
422.2	23.78
422.4	23.82
422.6	23.87
422.8	24.07
423.0	24.42
423.2	24.50
423.4	24.50
423.6	24.49
423.8	24.34
424.0	24.51
424.2	24.69
424.4	24.79
424.6	25.00
424.8	25.18
425.0	25.19
425.2	25.27
425.4	25.27
425.6	25.29
425.8	25.37
426.0	25.39
426.2	25.45
426.4	25.57
426.6	25.77
426.8	26.14
427.0	26.35
427.2	26.36
427.4	26.62
427.6	26.70
427.8	26.69
428.0	26.89
428.2	26.69
428.4	26.56
428.6	26.89
428.8	27.05
429.0	27.39
429.2	27.83
429.4	27.98
429.6	27.89
429.8	27.84
430.0	27.76
430.2	27.87
430.4	28.07
430.6	28.40
430.8	28.58
431.0	28.77
431.2	28.74
431.4	28.88
431.6	29.00
431.8	29.36
432.0	29.68
432.2	30.09
432.4	30.03
432.6	30.27
432.8	30.41
433.0	30.60
433.2	30.63
433.4	30.72
433.6	30.68
433.8	30.97
434.0	31.18
434.2	31.81
434.4	32.14
434.6	32.11
434.8	32.06
435.0	32.03
435.2	32.22
435.4	32.79
435.6	33.30
435.8	33.49
436.0	33.72
436.2	33.92
436.4	34.30
436.6	34.49
436.8	34.79
437.0	35.12
437.2	35.42
437.4	35.92
437.6	36.16
437.8	36.42
438.0	36.81
438.2	37.28
438.4	37.52
438.6	38.01
438.8	38.45
439.0	38.77
439.2	39.10
439.4	39.53
439.6	39.75
439.8	40.15
440.0	40.68
440.2	41.14
440.4	41.73
440.6	42.63
440.8	43.31
441.0	43.85
441.2	44.22
441.4	44.39
441.6	44.71
441.8	45.27
442.0	46.06
442.2	46.86
442.4	47.73
442.6	48.41
442.8	49.01
443.0	49.60
443.2	50.04
443.4	50.65
443.6	51.42
443.8	52.43
444.0	53.26
444.2	54.17
444.4	54.43
444.6	55.16
444.8	56.11
445.0	57.29
445.2	58.36
445.4	59.50
445.6	59.91
445.8	60.58
446.0	61.42
446.2	62.26
446.4	63.41
446.6	64.64
446.8	65.86
447.0	66.92
447.2	68.05
447.4	68.98
447.6	70.41
447.8	71.57
448.0	73.41
448.2	74.83
448.4	76.31
448.6	77.55
448.8	78.59
449.0	79.90
449.2	81.46
449.4	82.54
449.6	83.88
449.8	85.48
450.0	87.09
450.2	89.45
450.4	91.37
450.6	92.68
450.8	94.08
451.0	95.63
451.2	97.43
451.4	99.28
