Sample:	'20211010A(EM)
File name:	G-c-dots 300S2-.FDS
Run date:	'16:42:52, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	405 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	545.8	777.8	4788	777.8	4.802
2	777.8	802.2	850.0	38.31	850.0	1.160

Data points
nm	Data
420.0	9.985
420.2	10.04
420.4	10.15
420.6	10.26
420.8	10.31
421.0	10.24
421.2	10.14
421.4	10.23
421.6	10.30
421.8	10.49
422.0	10.60
422.2	10.56
422.4	10.52
422.6	10.65
422.8	10.77
423.0	10.89
423.2	10.90
423.4	10.83
423.6	10.86
423.8	10.96
424.0	11.15
424.2	11.28
424.4	11.26
424.6	11.24
424.8	11.10
425.0	11.06
425.2	11.08
425.4	11.17
425.6	11.30
425.8	11.47
426.0	11.53
426.2	11.53
426.4	11.49
426.6	11.61
426.8	11.73
427.0	11.81
427.2	11.83
427.4	11.86
427.6	11.99
427.8	12.13
428.0	12.24
428.2	12.25
428.4	12.25
428.6	12.34
428.8	12.41
429.0	12.45
429.2	12.48
429.4	12.51
429.6	12.75
429.8	12.89
430.0	12.85
430.2	12.89
430.4	12.82
430.6	12.84
430.8	13.03
431.0	13.16
431.2	13.29
431.4	13.44
431.6	13.57
431.8	13.66
432.0	13.74
432.2	13.60
432.4	13.72
432.6	13.79
432.8	13.84
433.0	13.93
433.2	13.93
433.4	13.91
433.6	14.09
433.8	14.18
434.0	14.36
434.2	14.48
434.4	14.58
434.6	14.78
434.8	15.04
435.0	15.15
435.2	15.34
435.4	15.25
435.6	15.19
435.8	15.35
436.0	15.58
436.2	15.82
436.4	16.06
436.6	16.09
436.8	16.13
437.0	16.26
437.2	16.28
437.4	16.38
437.6	16.68
437.8	16.75
438.0	17.05
438.2	17.16
438.4	17.26
438.6	17.21
438.8	17.49
439.0	17.59
439.2	17.91
439.4	18.18
439.6	18.38
439.8	18.62
440.0	19.04
440.2	19.32
440.4	19.50
440.6	19.59
440.8	19.82
441.0	19.98
441.2	20.10
441.4	20.26
441.6	20.58
441.8	20.79
442.0	21.28
442.2	21.37
442.4	21.41
442.6	21.52
442.8	21.79
443.0	22.13
443.2	22.66
443.4	23.04
443.6	23.24
443.8	23.43
444.0	23.63
444.2	24.07
444.4	24.40
444.6	24.86
444.8	25.20
445.0	25.53
445.2	25.80
445.4	26.19
445.6	26.45
445.8	26.82
446.0	27.09
446.2	27.44
446.4	27.80
446.6	28.07
446.8	28.45
447.0	28.80
447.2	29.31
447.4	29.97
447.6	30.37
447.8	30.60
448.0	30.89
448.2	31.15
448.4	31.57
448.6	31.86
448.8	32.38
449.0	32.80
449.2	33.33
449.4	33.53
449.6	33.74
449.8	33.88
450.0	34.52
450.2	34.82
450.4	35.26
450.6	35.64
450.8	36.14
451.0	36.60
451.2	37.00
451.4	37.19
451.6	37.42
451.8	37.78
452.0	38.07
452.2	38.53
452.4	38.87
452.6	39.22
452.8	39.63
453.0	39.94
453.2	40.17
453.4	40.40
453.6	40.71
453.8	41.28
454.0	41.70
454.2	41.88
454.4	42.11
454.6	42.17
454.8	42.48
455.0	42.98
455.2	43.20
455.4	43.66
455.6	44.26
455.8	44.96
456.0	45.28
456.2	45.30
456.4	45.29
456.6	45.35
456.8	45.59
457.0	45.97
457.2	46.29
457.4	46.56
457.6	47.07
457.8	47.29
458.0	47.62
458.2	48.01
458.4	48.53
458.6	48.72
458.8	48.67
459.0	48.77
459.2	49.05
459.4	49.56
459.6	49.93
459.8	50.17
460.0	50.37
460.2	50.72
460.4	51.13
460.6	51.09
460.8	51.21
461.0	51.28
461.2	51.68
461.4	52.20
461.6	52.77
461.8	53.10
462.0	53.62
462.2	53.86
462.4	54.25
462.6	54.65
462.8	55.17
463.0	55.59
463.2	55.89
463.4	56.05
463.6	56.33
463.8	56.59
464.0	57.19
464.2	57.82
464.4	58.42
464.6	58.89
464.8	59.31
465.0	59.50
465.2	59.86
465.4	60.31
465.6	60.89
465.8	61.66
466.0	62.44
466.2	63.06
466.4	63.59
466.6	64.20
466.8	64.86
467.0	65.59
467.2	66.48
467.4	67.22
467.6	67.57
467.8	68.22
468.0	68.78
468.2	69.73
468.4	70.65
468.6	71.54
468.8	72.26
469.0	73.25
469.2	74.06
469.4	75.29
469.6	76.18
469.8	77.27
470.0	78.24
470.2	79.33
470.4	80.26
470.6	81.55
470.8	83.05
471.0	84.07
471.2	85.08
471.4	86.31
471.6	87.20
471.8	88.60
472.0	90.32
472.2	91.52
472.4	92.74
472.6	94.10
472.8	95.31
473.0	96.91
473.2	98.50
473.4	100.1
473.6	101.4
473.8	103.2
474.0	104.9
474.2	106.9
474.4	109.0
474.6	110.8
474.8	112.4
475.0	114.1
475.2	115.8
475.4	118.0
475.6	120.5
475.8	122.8
476.0	125.0
476.2	127.2
476.4	129.2
476.6	131.4
476.8	133.6
477.0	136.0
477.2	138.2
477.4	140.8
477.6	143.0
477.8	145.7
478.0	148.5
478.2	151.1
478.4	153.6
478.6	156.2
478.8	158.6
479.0	161.8
479.2	165.5
479.4	168.3
479.6	171.5
479.8	174.3
480.0	177.5
480.2	180.8
