Sample:	'20211010A(EM)
File name:	G-c-dots-CHO 600S2-.FDS
Run date:	'16:51:52, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	430 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	543.2	775.6	5729	775.6	6.136
2	775.6	803.2	850.0	84.71	850.0	2.747

Data points
nm	Data
420.0	91.00
420.2	91.62
420.4	91.74
420.6	91.72
420.8	92.19
421.0	93.07
421.2	94.03
421.4	94.38
421.6	94.18
421.8	94.49
422.0	95.07
422.2	95.69
422.4	96.29
422.6	96.51
422.8	96.58
423.0	97.05
423.2	97.66
423.4	98.29
423.6	98.70
423.8	99.23
424.0	99.91
424.2	100.9
424.4	101.6
424.6	101.9
424.8	102.2
425.0	102.2
425.2	102.2
425.4	102.9
425.6	103.6
425.8	104.1
426.0	105.1
426.2	105.5
426.4	105.9
426.6	106.4
426.8	106.7
427.0	107.2
427.2	107.6
427.4	108.6
427.6	109.3
427.8	110.2
428.0	110.3
428.2	110.7
428.4	111.0
428.6	111.3
428.8	111.6
429.0	112.5
429.2	113.2
429.4	114.8
429.6	115.5
429.8	115.2
430.0	115.6
430.2	116.1
430.4	116.8
430.6	118.1
430.8	118.5
431.0	118.2
431.2	118.6
431.4	119.2
431.6	120.0
431.8	120.4
432.0	121.2
432.2	121.7
432.4	122.3
432.6	123.3
432.8	123.9
433.0	124.1
433.2	125.1
433.4	125.8
433.6	126.1
433.8	126.8
434.0	127.3
434.2	128.0
434.4	128.6
434.6	128.9
434.8	129.5
435.0	130.0
435.2	131.2
435.4	132.2
435.6	132.9
435.8	133.5
436.0	134.1
436.2	134.3
436.4	135.2
436.6	135.4
436.8	135.7
437.0	136.0
437.2	136.5
437.4	137.5
437.6	138.6
437.8	139.4
438.0	140.3
438.2	141.0
438.4	141.4
438.6	141.9
438.8	142.4
439.0	143.2
439.2	143.6
439.4	144.5
439.6	145.2
439.8	146.4
440.0	147.9
440.2	149.0
440.4	149.0
440.6	149.6
440.8	150.6
441.0	152.4
441.2	154.3
441.4	155.0
441.6	155.4
441.8	155.7
442.0	156.1
442.2	156.9
442.4	158.4
442.6	159.2
442.8	160.2
443.0	161.5
443.2	162.7
443.4	163.9
443.6	165.2
443.8	166.3
444.0	167.6
444.2	168.7
444.4	169.9
444.6	171.2
444.8	171.7
445.0	172.0
445.2	173.0
445.4	173.9
445.6	175.8
445.8	178.1
446.0	179.4
446.2	180.4
446.4	181.0
446.6	182.1
446.8	183.6
447.0	185.6
447.2	188.0
447.4	189.7
447.6	190.0
447.8	190.5
448.0	190.8
448.2	192.0
448.4	194.1
448.6	196.5
448.8	198.6
449.0	200.1
449.2	201.3
449.4	202.5
449.6	203.7
449.8	205.3
450.0	206.8
450.2	208.3
450.4	209.9
450.6	210.9
450.8	212.0
451.0	212.8
451.2	214.0
451.4	216.2
451.6	217.5
451.8	219.2
452.0	221.0
452.2	222.7
452.4	225.0
452.6	226.4
452.8	226.6
453.0	227.5
453.2	228.6
453.4	230.2
453.6	232.6
453.8	234.6
454.0	235.9
454.2	237.9
454.4	239.4
454.6	241.2
454.8	243.0
455.0	245.7
455.2	246.7
455.4	248.0
455.6	248.6
455.8	249.8
456.0	251.7
456.2	254.3
456.4	256.1
456.6	258.6
456.8	260.1
457.0	261.5
457.2	263.8
457.4	266.0
457.6	268.1
457.8	271.2
458.0	273.1
458.2	274.0
458.4	275.9
458.6	277.5
458.8	279.2
459.0	282.1
459.2	285.0
459.4	287.7
459.6	291.3
459.8	293.8
460.0	296.0
460.2	297.8
460.4	299.4
460.6	302.9
460.8	305.9
461.0	309.0
461.2	311.8
461.4	314.3
461.6	317.0
461.8	320.9
462.0	323.3
462.2	326.4
462.4	329.0
462.6	332.5
462.8	336.1
463.0	340.3
463.2	344.3
463.4	347.5
463.6	350.8
463.8	354.6
464.0	357.7
464.2	361.9
464.4	366.3
464.6	369.4
464.8	373.7
465.0	378.6
465.2	383.4
465.4	388.0
465.6	393.5
465.8	398.4
466.0	403.5
466.2	408.7
466.4	413.7
466.6	418.3
466.8	423.2
467.0	428.1
467.2	432.6
467.4	438.6
467.6	444.6
467.8	451.1
468.0	457.3
468.2	464.2
468.4	469.4
468.6	475.7
468.8	480.8
469.0	485.8
469.2	492.4
469.4	499.6
469.6	506.1
469.8	512.8
470.0	518.6
470.2	524.9
470.4	532.5
470.6	540.3
470.8	549.9
471.0	559.2
471.2	566.4
471.4	573.5
471.6	580.2
471.8	586.3
472.0	594.7
472.2	602.6
472.4	609.9
472.6	618.7
472.8	626.5
473.0	634.3
473.2	644.0
473.4	652.4
473.6	661.0
473.8	670.3
474.0	677.8
474.2	686.2
474.4	695.5
