Sample:	'20211010A(EM)
File name:	r-c-dots 100S2-.FDS
Run date:	'20:53:50, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	570 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	633.8	634.6	5900	634.6	5879
2	634.6	636.0	790.4	5905	790.4	47.69
3	790.4	791.2	801.0	49.41	801.0	37.08
4	801.0	801.6	900.0	38.44	900.0	3.365

Data points
nm	Data
540.0	1425
540.2	1433
540.4	1441
540.6	1449
540.8	1455
541.0	1463
541.2	1471
541.4	1483
541.6	1487
541.8	1495
542.0	1500
542.2	1504
542.4	1509
542.6	1518
542.8	1521
543.0	1536
543.2	1544
543.4	1547
543.6	1551
543.8	1559
544.0	1563
544.2	1573
544.4	1584
544.6	1594
544.8	1603
545.0	1613
545.2	1618
545.4	1625
545.6	1638
545.8	1641
546.0	1645
546.2	1649
546.4	1655
546.6	1663
546.8	1676
547.0	1680
547.2	1688
547.4	1694
547.6	1703
547.8	1709
548.0	1717
548.2	1725
548.4	1735
548.6	1740
548.8	1750
549.0	1758
549.2	1771
549.4	1783
549.6	1786
549.8	1789
550.0	1797
550.2	1808
550.4	1820
550.6	1833
550.8	1835
551.0	1844
551.2	1846
551.4	1850
551.6	1853
551.8	1861
552.0	1872
552.2	1881
552.4	1890
552.6	1900
552.8	1908
553.0	1912
553.2	1918
553.4	1923
553.6	1932
553.8	1944
554.0	1956
554.2	1961
554.4	1967
554.6	1979
554.8	1984
555.0	1989
555.2	2003
555.4	2011
555.6	2022
555.8	2040
556.0	2050
556.2	2063
556.4	2069
556.6	2072
556.8	2079
557.0	2084
557.2	2096
557.4	2113
557.6	2126
557.8	2134
558.0	2141
558.2	2143
558.4	2155
558.6	2161
558.8	2172
559.0	2179
559.2	2186
559.4	2197
559.6	2209
559.8	2213
560.0	2219
560.2	2231
560.4	2242
560.6	2259
560.8	2283
561.0	2296
561.2	2301
561.4	2307
561.6	2310
561.8	2323
562.0	2338
562.2	2351
562.4	2351
562.6	2354
562.8	2365
563.0	2380
563.2	2397
563.4	2416
563.6	2424
563.8	2433
564.0	2444
564.2	2452
564.4	2464
564.6	2476
564.8	2484
565.0	2497
565.2	2504
565.4	2517
565.6	2530
565.8	2542
566.0	2549
566.2	2559
566.4	2567
566.6	2583
566.8	2602
567.0	2620
567.2	2632
567.4	2645
567.6	2658
567.8	2669
568.0	2680
568.2	2691
568.4	2690
568.6	2694
568.8	2705
569.0	2716
569.2	2737
569.4	2755
569.6	2764
569.8	2772
570.0	2789
570.2	2800
570.4	2813
570.6	2823
570.8	2834
571.0	2848
571.2	2872
571.4	2886
571.6	2898
571.8	2908
572.0	2917
572.2	2932
572.4	2946
572.6	2959
572.8	2975
573.0	2989
573.2	3004
573.4	3019
573.6	3026
573.8	3032
574.0	3039
574.2	3050
574.4	3065
574.6	3080
574.8	3093
575.0	3109
575.2	3118
575.4	3131
575.6	3141
575.8	3154
576.0	3165
576.2	3181
576.4	3194
576.6	3209
576.8	3225
577.0	3239
577.2	3250
577.4	3261
577.6	3275
577.8	3284
578.0	3298
578.2	3309
578.4	3321
578.6	3335
578.8	3346
579.0	3349
579.2	3360
579.4	3375
579.6	3384
579.8	3402
580.0	3411
580.2	3418
580.4	3432
580.6	3448
580.8	3463
581.0	3476
581.2	3489
581.4	3497
581.6	3505
581.8	3516
582.0	3527
582.2	3537
582.4	3549
582.6	3564
582.8	3582
583.0	3600
583.2	3609
583.4	3619
583.6	3629
583.8	3642
584.0	3667
584.2	3682
584.4	3683
584.6	3692
584.8	3701
585.0	3715
585.2	3737
585.4	3740
585.6	3743
585.8	3757
586.0	3759
586.2	3774
586.4	3781
586.6	3784
586.8	3792
587.0	3808
587.2	3820
587.4	3839
587.6	3856
587.8	3872
588.0	3881
588.2	3897
588.4	3902
588.6	3907
588.8	3917
589.0	3917
589.2	3924
589.4	3940
589.6	3951
589.8	3966
590.0	3977
590.2	3983
590.4	3995
590.6	4005
590.8	4024
591.0	4037
591.2	4045
591.4	4052
591.6	4054
591.8	4055
592.0	4067
592.2	4077
592.4	4090
592.6	4103
592.8	4114
593.0	4123
593.2	4139
593.4	4152
593.6	4154
593.8	4165
594.0	4174
594.2	4179
594.4	4190
594.6	4195
594.8	4194
595.0	4206
595.2	4224
595.4	4238
595.6	4253
595.8	4260
596.0	4266
596.2	4279
596.4	4299
596.6	4310
596.8	4319
