Sample:	'20211010A(EM)
File name:	r-c-dots 600S2- 370V.FDS
Run date:	'16:22:10, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	370 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	619.8	900.0	539.2	900.0	0.260

Data points
nm	Data
540.0	104.3
540.2	104.2
540.4	104.2
540.6	104.3
540.8	104.8
541.0	105.2
541.2	105.7
541.4	106.0
541.6	106.5
541.8	106.7
542.0	107.0
542.2	106.8
542.4	106.9
542.6	107.1
542.8	107.9
543.0	108.4
543.2	108.9
543.4	109.1
543.6	109.4
543.8	109.5
544.0	110.1
544.2	110.5
544.4	110.9
544.6	110.9
544.8	111.0
545.0	111.1
545.2	111.4
545.4	111.9
545.6	112.2
545.8	112.5
546.0	113.1
546.2	113.8
546.4	114.3
546.6	114.8
546.8	114.7
547.0	114.7
547.2	114.8
547.4	115.0
547.6	115.2
547.8	115.8
548.0	116.5
548.2	117.1
548.4	117.6
548.6	117.7
548.8	117.9
549.0	118.2
549.2	118.4
549.4	118.6
549.6	119.0
549.8	119.4
550.0	120.0
550.2	120.2
550.4	120.6
550.6	120.9
550.8	121.2
551.0	121.8
551.2	122.3
551.4	122.7
551.6	122.9
551.8	122.9
552.0	123.2
552.2	123.8
552.4	124.1
552.6	124.7
552.8	125.0
553.0	125.4
553.2	126.1
553.4	126.7
553.6	127.1
553.8	127.4
554.0	127.9
554.2	128.3
554.4	128.8
554.6	129.1
554.8	129.5
555.0	129.8
555.2	130.4
555.4	131.0
555.6	131.4
555.8	131.9
556.0	132.4
556.2	132.6
556.4	133.1
556.6	133.7
556.8	134.1
557.0	134.9
557.2	135.4
557.4	136.3
557.6	137.3
557.8	138.2
558.0	138.7
558.2	139.2
558.4	139.7
558.6	140.5
558.8	141.1
559.0	141.8
559.2	142.3
559.4	143.2
559.6	143.8
559.8	144.3
560.0	144.7
560.2	145.4
560.4	146.0
560.6	147.1
560.8	148.0
561.0	148.7
561.2	149.6
561.4	150.3
561.6	151.0
561.8	151.7
562.0	152.2
562.2	152.7
562.4	153.9
562.6	154.8
562.8	155.5
563.0	156.6
563.2	157.4
563.4	158.1
563.6	159.2
563.8	160.1
564.0	161.0
564.2	162.0
564.4	163.1
564.6	164.1
564.8	165.0
565.0	165.9
565.2	166.8
565.4	167.7
565.6	168.9
565.8	170.1
566.0	171.2
566.2	172.1
566.4	172.6
566.6	173.5
566.8	174.5
567.0	175.7
567.2	177.4
567.4	178.7
567.6	179.6
567.8	180.6
568.0	181.6
568.2	182.8
568.4	184.3
568.6	185.5
568.8	186.5
569.0	187.6
569.2	188.9
569.4	190.2
569.6	191.4
569.8	193.0
570.0	194.1
570.2	195.5
570.4	196.7
570.6	197.7
570.8	199.0
571.0	200.3
571.2	201.8
571.4	203.3
571.6	204.8
571.8	206.1
572.0	207.7
572.2	208.8
572.4	210.2
572.6	211.3
572.8	212.4
573.0	213.9
573.2	215.6
573.4	217.3
573.6	219.1
573.8	220.7
574.0	222.0
574.2	223.7
574.4	224.9
574.6	226.2
574.8	227.4
575.0	228.9
575.2	230.8
575.4	232.8
575.6	234.1
575.8	235.8
576.0	236.8
576.2	238.1
576.4	239.9
576.6	241.5
576.8	243.4
577.0	245.2
577.2	246.6
577.4	248.3
577.6	249.8
577.8	251.5
578.0	253.4
578.2	255.1
578.4	256.5
578.6	258.4
578.8	259.4
579.0	260.8
579.2	262.1
579.4	264.0
579.6	265.9
579.8	268.6
580.0	270.5
580.2	272.3
580.4	273.9
580.6	275.6
580.8	277.2
581.0	279.1
581.2	280.9
581.4	282.4
581.6	284.5
581.8	286.4
582.0	288.0
582.2	289.6
582.4	291.0
582.6	292.5
582.8	294.7
583.0	296.5
583.2	298.4
583.4	299.8
583.6	301.1
583.8	302.9
584.0	304.6
584.2	306.4
584.4	308.1
584.6	309.9
584.8	312.0
585.0	314.1
585.2	315.8
585.4	317.9
585.6	319.5
585.8	321.8
586.0	324.2
586.2	326.1
586.4	328.0
586.6	330.1
586.8	332.1
587.0	333.8
587.2	335.3
587.4	337.0
587.6	338.5
587.8	340.2
588.0	342.1
588.2	343.8
588.4	345.5
588.6	347.6
588.8	349.6
589.0	351.4
589.2	353.2
589.4	354.7
589.6	356.6
589.8	358.7
590.0	360.9
590.2	362.6
