Sample:	'20211010A(EM)
File name:	b-cds 1;15 400v.FDS
Run date:	'14:47:46, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	400 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	498.0	498.6	474.0	498.6	472.1
2	498.6	500.0	800.0	477.6	800.0	0.744

Data points
nm	Data
370.0	0.459
370.2	0.534
370.4	0.546
370.6	0.522
370.8	0.515
371.0	0.493
371.2	0.486
371.4	0.481
371.6	0.498
371.8	0.493
372.0	0.521
372.2	0.518
372.4	0.517
372.6	0.486
372.8	0.505
373.0	0.494
373.2	0.508
373.4	0.516
373.6	0.515
373.8	0.506
374.0	0.518
374.2	0.490
374.4	0.470
374.6	0.451
374.8	0.477
375.0	0.483
375.2	0.512
375.4	0.521
375.6	0.531
375.8	0.517
376.0	0.535
376.2	0.516
376.4	0.510
376.6	0.519
376.8	0.544
377.0	0.541
377.2	0.543
377.4	0.507
377.6	0.484
377.8	0.474
378.0	0.478
378.2	0.500
378.4	0.534
378.6	0.536
378.8	0.540
379.0	0.522
379.2	0.509
379.4	0.514
379.6	0.519
379.8	0.512
380.0	0.505
380.2	0.498
380.4	0.501
380.6	0.500
380.8	0.512
381.0	0.516
381.2	0.529
381.4	0.530
381.6	0.524
381.8	0.512
382.0	0.510
382.2	0.491
382.4	0.503
382.6	0.522
382.8	0.518
383.0	0.515
383.2	0.500
383.4	0.471
383.6	0.462
383.8	0.489
384.0	0.503
384.2	0.534
384.4	0.525
384.6	0.541
384.8	0.541
385.0	0.527
385.2	0.503
385.4	0.492
385.6	0.462
385.8	0.481
386.0	0.505
386.2	0.519
386.4	0.520
386.6	0.495
386.8	0.495
387.0	0.502
387.2	0.519
387.4	0.536
387.6	0.545
387.8	0.555
388.0	0.559
388.2	0.556
388.4	0.565
388.6	0.534
388.8	0.533
389.0	0.534
389.2	0.522
389.4	0.501
389.6	0.524
389.8	0.518
390.0	0.548
390.2	0.536
390.4	0.554
390.6	0.532
390.8	0.527
391.0	0.509
391.2	0.518
391.4	0.525
391.6	0.566
391.8	0.583
392.0	0.601
392.2	0.576
392.4	0.547
392.6	0.532
392.8	0.522
393.0	0.529
393.2	0.549
393.4	0.552
393.6	0.546
393.8	0.548
394.0	0.549
394.2	0.544
394.4	0.527
394.6	0.534
394.8	0.537
395.0	0.551
