Sample:	'20211010A(EM)
File name:	b-cds-cho 1;15 500v.FDS
Run date:	'15:00:53, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	482.8	483.6	1435	483.6	1429
2	483.6	486.4	488.8	1450	488.8	1434
3	488.8	489.8	688.6	1445	688.6	11.75
4	688.6	690.0	800.0	12.88	800.0	1.872

Data points
nm	Data
370.0	1.225
370.2	1.115
370.4	1.147
370.6	1.253
370.8	1.359
371.0	1.358
371.2	1.352
371.4	1.314
371.6	1.235
371.8	1.162
372.0	1.125
372.2	1.047
372.4	1.171
372.6	1.219
372.8	1.276
373.0	1.278
373.2	1.306
373.4	1.251
373.6	1.242
373.8	1.258
374.0	1.240
374.2	1.299
374.4	1.405
374.6	1.424
374.8	1.399
375.0	1.362
375.2	1.205
375.4	1.207
375.6	1.252
375.8	1.276
376.0	1.319
376.2	1.235
376.4	1.160
376.6	1.223
376.8	1.320
377.0	1.332
377.2	1.374
377.4	1.328
377.6	1.214
377.8	1.153
378.0	1.138
378.2	1.119
378.4	1.211
378.6	1.327
378.8	1.422
379.0	1.386
379.2	1.382
379.4	1.325
379.6	1.350
379.8	1.366
380.0	1.373
380.2	1.340
380.4	1.379
380.6	1.330
380.8	1.346
381.0	1.259
381.2	1.233
381.4	1.298
381.6	1.463
381.8	1.441
382.0	1.489
382.2	1.409
382.4	1.389
382.6	1.401
382.8	1.391
383.0	1.346
383.2	1.363
383.4	1.394
383.6	1.375
383.8	1.424
384.0	1.356
384.2	1.431
384.4	1.409
384.6	1.473
384.8	1.405
385.0	1.463
385.2	1.463
385.4	1.499
385.6	1.500
385.8	1.496
386.0	1.462
386.2	1.491
386.4	1.581
386.6	1.683
386.8	1.688
387.0	1.649
387.2	1.693
387.4	1.605
387.6	1.616
387.8	1.600
388.0	1.463
388.2	1.382
388.4	1.419
388.6	1.442
388.8	1.443
389.0	1.552
389.2	1.539
389.4	1.519
389.6	1.455
389.8	1.523
390.0	1.561
390.2	1.551
390.4	1.532
390.6	1.492
390.8	1.431
391.0	1.539
391.2	1.727
391.4	1.764
391.6	1.843
391.8	1.824
392.0	1.821
392.2	1.757
392.4	1.682
392.6	1.614
392.8	1.604
393.0	1.664
393.2	1.726
393.4	1.804
393.6	1.802
393.8	1.778
394.0	1.736
394.2	1.756
394.4	1.703
394.6	1.769
394.8	1.833
395.0	1.845
395.2	1.878
395.4	1.880
395.6	1.869
395.8	1.782
396.0	1.737
396.2	1.806
396.4	1.987
396.6	1.955
396.8	1.893
397.0	1.815
397.2	1.738
397.4	1.960
397.6	2.178
397.8	2.224
398.0	2.107
398.2	2.001
398.4	1.875
398.6	1.953
398.8	2.059
399.0	2.242
399.2	2.161
399.4	2.001
399.6	1.937
399.8	2.017
400.0	2.153
400.2	2.337
400.4	2.320
400.6	2.239
400.8	2.291
401.0	2.441
401.2	2.512
401.4	2.552
401.6	2.468
401.8	2.474
402.0	2.526
402.2	2.641
402.4	2.874
402.6	2.941
402.8	2.735
403.0	2.764
403.2	2.678
403.4	2.807
403.6	3.038
403.8	3.125
404.0	2.923
404.2	2.949
404.4	2.829
404.6	2.816
404.8	2.715
405.0	2.736
405.2	2.777
405.4	2.967
405.6	3.152
405.8	3.216
406.0	3.228
406.2	3.343
406.4	3.532
406.6	3.489
406.8	3.472
407.0	3.424
407.2	3.400
407.4	3.502
407.6	3.552
407.8	3.436
408.0	3.327
408.2	3.370
408.4	3.384
408.6	3.645
408.8	3.921
409.0	4.085
409.2	4.133
409.4	4.250
409.6	4.260
409.8	4.404
410.0	4.424
410.2	4.445
410.4	4.588
410.6	4.888
410.8	4.844
411.0	4.803
411.2	4.767
411.4	4.834
411.6	5.112
411.8	5.514
412.0	5.450
412.2	5.479
412.4	5.650
412.6	5.572
412.8	5.651
413.0	5.904
