Sample:	'20211010A(EM)
File name:	g-cds 1;15 460v.FDS
Run date:	'09:17:31, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	460 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	535.6	779.8	8717	779.8	5.727
2	779.8	801.6	850.0	14.45	850.0	2.103

Data points
nm	Data
420.0	7.766
420.2	7.944
420.4	7.870
420.6	7.669
420.8	7.417
421.0	7.502
421.2	7.714
421.4	7.867
421.6	7.903
421.8	7.841
422.0	7.805
422.2	7.931
422.4	7.903
422.6	7.959
422.8	7.964
423.0	7.866
423.2	8.066
423.4	8.094
423.6	8.024
423.8	8.076
424.0	8.016
424.2	8.105
424.4	8.172
424.6	8.052
424.8	8.140
425.0	8.030
425.2	7.984
425.4	8.203
425.6	8.192
425.8	8.319
426.0	8.520
426.2	8.387
426.4	8.515
426.6	8.515
426.8	8.484
427.0	8.598
427.2	8.680
427.4	8.531
427.6	8.706
427.8	8.476
428.0	8.554
428.2	8.676
428.4	8.986
428.6	9.111
428.8	9.156
429.0	9.064
429.2	8.910
429.4	8.849
429.6	9.113
429.8	9.388
430.0	9.470
430.2	9.686
430.4	9.565
430.6	9.496
430.8	9.616
431.0	9.573
431.2	9.513
431.4	9.460
431.6	9.552
431.8	9.587
432.0	9.748
432.2	9.740
432.4	9.780
432.6	9.963
432.8	10.14
433.0	10.19
433.2	10.34
433.4	10.53
433.6	10.72
433.8	10.87
434.0	10.91
434.2	10.73
434.4	10.71
434.6	10.80
434.8	10.86
435.0	10.97
435.2	11.14
435.4	11.26
435.6	11.45
435.8	11.61
436.0	11.71
436.2	11.89
436.4	11.79
436.6	11.99
436.8	12.09
437.0	12.34
437.2	12.50
437.4	12.78
437.6	12.82
437.8	13.20
438.0	13.43
438.2	13.69
438.4	13.63
438.6	13.70
438.8	13.75
439.0	13.97
439.2	14.25
439.4	14.53
439.6	14.46
439.8	14.54
440.0	14.73
440.2	14.89
440.4	15.15
440.6	15.44
440.8	15.62
441.0	15.84
441.2	16.10
441.4	16.61
441.6	16.89
441.8	17.17
442.0	17.34
442.2	17.45
442.4	17.42
442.6	17.65
442.8	17.93
443.0	18.14
443.2	18.44
443.4	18.88
443.6	19.04
443.8	19.04
444.0	19.41
444.2	19.56
444.4	19.73
444.6	19.92
444.8	20.14
445.0	20.37
445.2	20.75
445.4	21.21
445.6	21.62
445.8	21.87
446.0	22.13
446.2	22.49
446.4	22.76
446.6	22.99
446.8	23.26
447.0	23.34
447.2	23.59
447.4	23.86
447.6	24.29
447.8	24.31
448.0	24.51
448.2	24.77
448.4	25.29
448.6	25.73
448.8	26.08
449.0	26.03
449.2	26.28
449.4	26.53
449.6	26.68
449.8	27.14
450.0	27.46
450.2	27.86
450.4	28.52
450.6	28.89
450.8	28.88
451.0	29.05
451.2	29.04
451.4	29.48
451.6	29.97
451.8	30.15
452.0	30.25
452.2	30.46
452.4	30.54
452.6	31.11
452.8	31.43
