Sample:	'20211010A(EM)
File name:	g-cds-cho 1;5 465v.FDS
Run date:	'09:22:56, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	465 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	539.6	850.0	2956	850.0	1.314

Data points
nm	Data
420.0	2.456
420.2	2.393
420.4	2.327
420.6	2.269
420.8	2.271
421.0	2.205
421.2	2.131
421.4	2.072
421.6	2.056
421.8	2.020
422.0	2.126
422.2	2.191
422.4	2.216
422.6	2.187
422.8	2.192
423.0	2.203
423.2	2.238
423.4	2.347
423.6	2.297
423.8	2.203
424.0	2.152
424.2	2.200
424.4	2.222
424.6	2.326
424.8	2.369
425.0	2.349
425.2	2.266
425.4	2.222
425.6	2.274
425.8	2.336
426.0	2.460
426.2	2.471
426.4	2.370
426.6	2.351
426.8	2.409
427.0	2.411
427.2	2.409
427.4	2.387
427.6	2.319
427.8	2.407
428.0	2.458
428.2	2.440
428.4	2.369
428.6	2.305
428.8	2.228
429.0	2.275
429.2	2.270
429.4	2.326
429.6	2.344
429.8	2.381
430.0	2.385
430.2	2.449
430.4	2.421
430.6	2.433
430.8	2.354
431.0	2.310
431.2	2.307
431.4	2.398
431.6	2.426
431.8	2.352
432.0	2.337
432.2	2.364
432.4	2.428
432.6	2.547
432.8	2.599
433.0	2.561
433.2	2.586
433.4	2.632
433.6	2.485
433.8	2.444
434.0	2.500
434.2	2.550
434.4	2.640
434.6	2.745
434.8	2.605
435.0	2.637
435.2	2.627
435.4	2.557
435.6	2.560
435.8	2.582
436.0	2.578
436.2	2.697
436.4	2.705
436.6	2.719
436.8	2.614
437.0	2.599
437.2	2.581
437.4	2.612
437.6	2.714
437.8	2.905
438.0	2.961
438.2	3.058
438.4	3.017
438.6	2.893
438.8	2.717
439.0	2.690
439.2	2.804
439.4	2.873
439.6	3.039
439.8	3.127
440.0	3.011
440.2	3.011
440.4	3.118
440.6	3.071
440.8	3.197
441.0	3.183
441.2	3.091
441.4	3.120
441.6	3.124
441.8	3.130
442.0	3.262
442.2	3.243
442.4	3.274
442.6	3.343
442.8	3.301
443.0	3.305
443.2	3.278
443.4	3.272
443.6	3.324
443.8	3.413
444.0	3.411
444.2	3.554
444.4	3.563
444.6	3.567
444.8	3.494
445.0	3.450
445.2	3.366
445.4	3.472
445.6	3.595
445.8	3.645
446.0	3.575
446.2	3.675
446.4	3.738
446.6	3.793
446.8	3.989
447.0	4.033
447.2	3.987
447.4	4.132
447.6	4.134
447.8	4.210
448.0	4.326
448.2	4.360
448.4	4.349
448.6	4.487
448.8	4.373
449.0	4.438
449.2	4.494
449.4	4.572
449.6	4.625
449.8	4.699
450.0	4.551
450.2	4.622
450.4	4.853
450.6	4.954
450.8	5.115
451.0	5.128
451.2	5.126
451.4	5.198
451.6	5.331
451.8	5.359
452.0	5.411
452.2	5.459
452.4	5.550
452.6	5.570
452.8	5.577
453.0	5.655
453.2	5.659
453.4	5.924
453.6	6.072
453.8	6.260
454.0	6.348
454.2	6.397
454.4	6.622
454.6	6.848
454.8	6.884
455.0	6.983
455.2	6.896
455.4	6.800
455.6	7.141
455.8	7.351
456.0	7.577
456.2	7.733
456.4	7.796
456.6	7.919
456.8	8.194
457.0	8.515
457.2	8.662
457.4	8.639
457.6	8.806
457.8	9.050
458.0	9.310
458.2	9.622
458.4	9.860
458.6	10.20
458.8	10.35
459.0	10.56
459.2	10.74
459.4	10.94
459.6	11.30
459.8	11.83
460.0	11.93
460.2	12.44
460.4	12.86
460.6	13.23
460.8	13.76
461.0	14.19
461.2	14.55
461.4	14.94
461.6	15.19
461.8	15.32
462.0	15.74
462.2	16.26
462.4	16.84
462.6	17.10
462.8	17.52
463.0	17.98
463.2	18.61
463.4	19.39
463.6	19.99
463.8	20.57
464.0	21.30
464.2	22.22
464.4	23.03
464.6	23.67
464.8	24.02
465.0	24.47
465.2	25.09
465.4	25.85
465.6	26.63
465.8	27.34
466.0	27.91
466.2	28.63
466.4	29.76
466.6	30.69
466.8	31.84
467.0	32.92
467.2	34.12
467.4	35.37
467.6	36.49
467.8	37.33
468.0	37.92
468.2	38.75
468.4	39.58
468.6	41.01
468.8	42.29
469.0	43.95
469.2	45.52
469.4	46.99
469.6	48.40
469.8	50.18
470.0	51.09
470.2	52.90
470.4	54.34
470.6	55.87
470.8	57.43
471.0	59.02
471.2	60.20
471.4	62.20
471.6	63.62
471.8	65.46
472.0	67.28
472.2	69.23
472.4	70.70
472.6	72.65
472.8	74.49
473.0	76.35
473.2	78.25
473.4	80.36
473.6	82.38
473.8	84.87
474.0	87.40
474.2	89.75
474.4	92.05
474.6	94.42
474.8	96.71
475.0	98.76
475.2	101.0
475.4	103.4
475.6	106.2
475.8	108.7
476.0	111.4
476.2	113.8
476.4	116.3
476.6	119.4
476.8	122.6
477.0	125.6
477.2	128.7
477.4	131.2
477.6	133.8
477.8	136.6
478.0	139.5
478.2	142.7
478.4	145.5
478.6	148.2
478.8	151.3
479.0	154.8
479.2	158.0
479.4	162.1
479.6	165.4
479.8	169.0
480.0	172.0
480.2	176.2
480.4	179.6
480.6	183.6
480.8	187.0
481.0	190.6
481.2	194.1
481.4	198.2
481.6	202.1
481.8	206.3
482.0	211.2
482.2	215.4
482.4	220.2
482.6	223.8
482.8	227.3
483.0	230.9
483.2	235.4
483.4	240.1
483.6	246.1
483.8	251.7
484.0	256.8
484.2	261.7
484.4	266.6
484.6	270.5
484.8	275.5
485.0	280.4
485.2	285.1
485.4	290.8
485.6	296.9
485.8	302.4
486.0	308.2
486.2	313.5
486.4	317.9
486.6	322.1
486.8	326.7
487.0	332.6
487.2	339.6
487.4	347.8
487.6	354.6
487.8	360.8
488.0	365.6
488.2	371.1
488.4	376.6
488.6	382.2
488.8	389.7
489.0	398.0
489.2	406.5
489.4	415.6
489.6	423.1
489.8	428.8
490.0	437.1
490.2	444.4
490.4	451.7
490.6	458.8
490.8	466.0
491.0	473.3
491.2	481.7
491.4	488.7
491.6	495.7
491.8	502.9
492.0	510.6
492.2	518.7
492.4	527.8
492.6	538.1
492.8	549.1
493.0	558.3
493.2	566.7
493.4	575.2
493.6	583.8
493.8	593.4
494.0	603.4
494.2	612.3
494.4	622.8
494.6	632.7
494.8	642.3
495.0	651.8
495.2	661.9
495.4	672.5
495.6	683.4
495.8	692.4
496.0	702.2
496.2	714.3
496.4	726.7
496.6	738.2
496.8	748.4
497.0	758.9
497.2	768.1
497.4	780.8
497.6	793.3
497.8	804.0
498.0	814.2
498.2	827.8
498.4	839.3
498.6	852.3
498.8	863.2
499.0	873.5
499.2	884.0
499.4	897.5
499.6	911.8
499.8	926.0
500.0	936.8
500.2	949.2
500.4	963.7
500.6	979.0
500.8	994.2
501.0	1007
501.2	1020
501.4	1032
501.6	1046
501.8	1059
502.0	1071
502.2	1085
502.4	1097
502.6	1113
502.8	1129
503.0	1142
503.2	1156
503.4	1169
503.6	1181
503.8	1198
504.0	1216
504.2	1231
504.4	1245
504.6	1257
504.8	1270
505.0	1284
505.2	1298
505.4	1311
505.6	1324
505.8	1343
506.0	1363
506.2	1381
506.4	1395
506.6	1406
506.8	1417
507.0	1433
507.2	1449
507.4	1468
507.6	1485
507.8	1501
508.0	1518
508.2	1530
508.4	1542
508.6	1554
508.8	1566
509.0	1579
509.2	1596
509.4	1612
509.6	1628
509.8	1643
510.0	1660
510.2	1677
510.4	1692
510.6	1708
510.8	1722
511.0	1736
511.2	1751
511.4	1767
511.6	1781
511.8	1797
512.0	1812
512.2	1826
512.4	1844
512.6	1861
512.8	1878
513.0	1892
513.2	1905
513.4	1916
513.6	1931
513.8	1946
514.0	1961
514.2	1973
514.4	1987
514.6	1998
514.8	2012
515.0	2026
515.2	2044
515.4	2060
515.6	2077
515.8	2092
516.0	2105
516.2	2116
516.4	2127
516.6	2140
516.8	2154
517.0	2171
517.2	2187
