Sample:	'20211010A(EM)
File name:	g-ni-cds 1;15 500v.FDS
Run date:	'09:47:40, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	534.8	850.0	8407	850.0	2.442

Data points
nm	Data
420.0	3.371
420.2	3.126
420.4	3.059
420.6	3.103
420.8	3.192
421.0	3.239
421.2	3.219
421.4	3.164
421.6	3.122
421.8	3.218
422.0	3.346
422.2	3.319
422.4	3.294
422.6	3.219
422.8	3.176
423.0	3.158
423.2	3.203
423.4	3.190
423.6	3.327
423.8	3.245
424.0	3.254
424.2	3.188
424.4	3.240
424.6	3.307
424.8	3.331
425.0	3.236
425.2	3.276
425.4	3.334
425.6	3.450
425.8	3.498
426.0	3.517
426.2	3.469
426.4	3.530
426.6	3.611
426.8	3.512
427.0	3.500
427.2	3.398
427.4	3.268
427.6	3.347
427.8	3.592
428.0	3.567
428.2	3.603
428.4	3.586
428.6	3.473
428.8	3.574
429.0	3.831
429.2	3.789
429.4	3.801
429.6	3.659
429.8	3.587
430.0	3.583
430.2	3.514
430.4	3.570
430.6	3.676
430.8	3.488
431.0	3.586
431.2	3.560
431.4	3.520
431.6	3.579
431.8	3.636
432.0	3.561
432.2	3.500
432.4	3.446
432.6	3.581
432.8	3.608
433.0	3.734
433.2	3.953
433.4	3.908
433.6	3.833
433.8	3.788
434.0	3.712
434.2	3.565
434.4	3.639
434.6	3.614
434.8	3.791
435.0	3.960
435.2	4.081
435.4	3.975
435.6	3.845
435.8	3.704
436.0	3.693
436.2	3.835
436.4	4.004
436.6	4.109
436.8	4.286
437.0	4.349
437.2	4.229
437.4	4.244
437.6	4.190
437.8	4.063
438.0	4.093
438.2	4.184
438.4	4.256
438.6	4.385
438.8	4.558
439.0	4.425
439.2	4.419
439.4	4.474
439.6	4.399
439.8	4.258
440.0	4.349
440.2	4.257
440.4	4.421
440.6	4.576
440.8	4.674
441.0	4.530
441.2	4.727
441.4	4.793
441.6	5.012
441.8	5.126
442.0	5.073
442.2	4.767
442.4	4.730
442.6	4.676
442.8	4.832
443.0	4.919
443.2	4.936
443.4	4.889
443.6	4.959
443.8	5.014
444.0	4.969
444.2	5.075
444.4	5.158
444.6	5.225
444.8	5.364
445.0	5.387
445.2	5.284
445.4	5.390
445.6	5.572
445.8	5.804
446.0	5.938
446.2	6.013
446.4	6.064
446.6	6.047
446.8	5.966
447.0	5.975
447.2	5.984
447.4	5.998
447.6	6.188
447.8	6.315
448.0	6.326
448.2	6.256
448.4	6.331
448.6	6.338
448.8	6.341
449.0	6.332
449.2	6.312
449.4	6.311
449.6	6.487
449.8	6.596
450.0	6.647
