Sample:	'20211010A(EM)
File name:	g-ni-cds-cho 1;15 400v.FDS
Run date:	'10:56:19, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	410.0 nm
EM  Start WL:	430.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	400 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	430.0	527.6	799.0	7022	799.0	2.890
2	799.0	823.8	850.0	21.77	850.0	1.656

Data points
nm	Data
430.0	11.00
430.2	11.23
430.4	11.47
430.6	11.71
430.8	11.88
431.0	12.08
431.2	12.26
431.4	12.47
431.6	12.63
431.8	12.87
432.0	13.07
432.2	13.29
432.4	13.50
432.6	13.63
432.8	13.78
433.0	14.06
433.2	14.31
433.4	14.55
433.6	14.76
433.8	15.11
434.0	15.30
434.2	15.61
434.4	15.94
434.6	16.20
434.8	16.55
435.0	17.07
435.2	17.28
435.4	17.66
435.6	17.94
435.8	18.24
436.0	18.62
436.2	19.10
436.4	19.37
436.6	19.71
436.8	20.13
437.0	20.74
437.2	21.29
437.4	21.82
437.6	22.26
437.8	22.58
438.0	23.02
438.2	23.45
438.4	23.93
438.6	24.43
438.8	25.02
439.0	25.68
439.2	26.31
439.4	26.65
439.6	27.23
439.8	27.78
440.0	28.30
440.2	29.22
440.4	30.15
440.6	30.72
440.8	31.49
441.0	32.05
441.2	32.49
441.4	33.19
441.6	33.91
441.8	34.77
442.0	35.80
442.2	36.66
442.4	37.50
442.6	38.09
442.8	38.79
443.0	39.65
443.2	40.59
443.4	41.49
443.6	42.53
443.8	43.41
444.0	44.35
444.2	45.40
444.4	46.43
444.6	47.29
444.8	48.52
445.0	49.87
445.2	51.27
445.4	52.73
445.6	53.83
445.8	54.82
446.0	55.85
446.2	57.05
446.4	58.45
446.6	59.88
446.8	61.20
447.0	62.60
447.2	63.68
447.4	64.89
447.6	66.17
447.8	67.61
448.0	69.11
448.2	70.72
448.4	72.32
448.6	74.22
448.8	76.31
449.0	78.40
449.2	80.10
449.4	81.90
449.6	83.62
449.8	85.57
450.0	88.18
450.2	90.67
450.4	92.75
450.6	94.93
450.8	97.24
451.0	99.61
451.2	101.9
451.4	104.5
451.6	106.8
451.8	109.3
452.0	112.4
452.2	115.8
452.4	118.6
452.6	121.9
452.8	124.4
453.0	127.5
453.2	130.9
453.4	134.8
453.6	138.4
453.8	142.1
454.0	145.6
454.2	149.7
454.4	154.0
454.6	158.6
454.8	162.7
455.0	167.4
455.2	172.2
455.4	177.0
455.6	182.1
455.8	187.4
456.0	192.4
456.2	198.6
456.4	205.0
456.6	211.1
456.8	217.1
457.0	223.0
457.2	228.6
457.4	235.1
457.6	241.7
457.8	248.7
458.0	255.8
458.2	263.1
458.4	271.0
458.6	279.5
458.8	288.0
459.0	296.4
459.2	304.8
459.4	314.2
459.6	323.7
459.8	333.5
460.0	343.1
460.2	352.6
460.4	363.1
460.6	373.8
460.8	385.1
461.0	397.2
461.2	409.2
461.4	421.8
461.6	434.4
461.8	446.1
462.0	457.5
462.2	469.7
462.4	481.7
462.6	495.4
462.8	509.2
463.0	524.1
463.2	538.5
463.4	552.5
463.6	566.1
463.8	581.5
464.0	596.8
464.2	613.4
464.4	629.8
464.6	646.3
464.8	663.2
465.0	680.3
465.2	697.0
465.4	713.7
465.6	730.9
465.8	749.2
466.0	768.1
466.2	787.7
466.4	806.9
466.6	826.5
466.8	844.4
467.0	862.9
467.2	881.6
467.4	902.0
467.6	922.5
467.8	944.1
468.0	964.4
468.2	985.5
468.4	1006
468.6	1026
468.8	1047
469.0	1069
469.2	1092
469.4	1116
469.6	1139
469.8	1161
470.0	1183
470.2	1206
470.4	1230
470.6	1255
470.8	1280
471.0	1306
471.2	1330
471.4	1353
471.6	1376
471.8	1399
472.0	1422
472.2	1447
472.4	1470
472.6	1493
472.8	1517
473.0	1542
473.2	1564
473.4	1588
473.6	1612
473.8	1638
474.0	1664
474.2	1690
474.4	1714
474.6	1739
474.8	1762
475.0	1787
475.2	1812
475.4	1838
475.6	1864
475.8	1890
476.0	1914
476.2	1940
476.4	1962
476.6	1988
476.8	2011
477.0	2034
477.2	2056
477.4	2081
477.6	2104
477.8	2129
478.0	2151
478.2	2175
478.4	2196
478.6	2219
478.8	2241
479.0	2263
479.2	2287
479.4	2310
479.6	2334
479.8	2360
480.0	2383
480.2	2407
480.4	2430
480.6	2452
480.8	2474
481.0	2498
481.2	2520
481.4	2544
481.6	2565
481.8	2588
482.0	2609
482.2	2630
482.4	2650
482.6	2672
482.8	2692
483.0	2713
483.2	2737
483.4	2758
483.6	2779
483.8	2802
484.0	2824
484.2	2845
484.4	2866
484.6	2888
484.8	2908
485.0	2932
485.2	2956
485.4	2977
485.6	2998
485.8	3019
486.0	3037
486.2	3060
486.4	3082
486.6	3105
486.8	3126
487.0	3147
487.2	3167
487.4	3189
487.6	3210
487.8	3233
488.0	3254
488.2	3276
488.4	3297
488.6	3317
488.8	3339
489.0	3362
489.2	3387
489.4	3411
489.6	3433
489.8	3457
490.0	3477
490.2	3500
490.4	3522
490.6	3547
490.8	3569
491.0	3592
491.2	3613
491.4	3634
491.6	3656
491.8	3680
492.0	3702
492.2	3729
492.4	3753
492.6	3780
492.8	3805
493.0	3830
493.2	3854
493.4	3877
493.6	3898
493.8	3925
494.0	3948
494.2	3972
494.4	3995
494.6	4019
494.8	4046
495.0	4075
495.2	4104
495.4	4127
495.6	4150
495.8	4172
496.0	4196
496.2	4220
496.4	4245
496.6	4274
496.8	4303
497.0	4329
497.2	4358
497.4	4386
497.6	4411
497.8	4439
498.0	4462
498.2	4487
498.4	4513
498.6	4544
498.8	4574
499.0	4601
499.2	4630
499.4	4659
499.6	4685
499.8	4714
500.0	4740
500.2	4771
500.4	4802
500.6	4825
500.8	4846
501.0	4869
501.2	4896
501.4	4929
501.6	4961
501.8	4990
502.0	5019
502.2	5047
502.4	5070
502.6	5095
502.8	5122
503.0	5149
503.2	5178
503.4	5204
503.6	5228
503.8	5256
504.0	5287
504.2	5315
504.4	5342
504.6	5368
504.8	5395
505.0	5421
505.2	5448
505.4	5474
505.6	5499
505.8	5526
506.0	5554
506.2	5579
506.4	5606
506.6	5632
506.8	5655
507.0	5681
507.2	5708
507.4	5733
507.6	5759
507.8	5785
508.0	5808
508.2	5835
508.4	5859
508.6	5885
508.8	5907
509.0	5931
509.2	5954
509.4	5980
509.6	6005
509.8	6030
510.0	6047
510.2	6069
510.4	6089
510.6	6117
510.8	6142
511.0	6166
511.2	6187
511.4	6206
511.6	6222
511.8	6245
512.0	6265
512.2	6290
512.4	6312
512.6	6331
512.8	6350
513.0	6368
513.2	6387
513.4	6403
513.6	6420
513.8	6439
514.0	6456
514.2	6477
514.4	6495
514.6	6510
514.8	6528
515.0	6545
515.2	6564
515.4	6586
515.6	6603
515.8	6621
516.0	6635
516.2	6648
516.4	6662
516.6	6678
516.8	6689
517.0	6699
517.2	6710
517.4	6720
517.6	6735
517.8	6748
518.0	6759
518.2	6766
518.4	6773
518.6	6782
518.8	6796
519.0	6810
519.2	6825
519.4	6840
519.6	6851
519.8	6865
520.0	6873
520.2	6883
520.4	6892
520.6	6903
520.8	6915
521.0	6924
521.2	6933
521.4	6940
521.6	6943
521.8	6950
522.0	6955
522.2	6960
522.4	6966
522.6	6965
522.8	6966
523.0	6970
523.2	6974
523.4	6979
523.6	6984
523.8	6990
524.0	6993
524.2	6997
524.4	6999
524.6	7001
524.8	7008
525.0	7013
525.2	7019
525.4	7021
525.6	7018
525.8	7019
526.0	7020
526.2	7020
526.4	7022
526.6	7021
526.8	7021
527.0	7020
527.2	7022
527.4	7021
527.6	7022
527.8	7019
528.0	7015
528.2	7011
528.4	7009
528.6	7009
528.8	7011
529.0	7009
529.2	7006
529.4	7009
529.6	7010
529.8	7011
530.0	7007
530.2	7003
530.4	6995
530.6	6990
530.8	6991
531.0	6988
531.2	6987
531.4	6985
531.6	6979
531.8	6967
532.0	6957
532.2	6945
532.4	6939
532.6	6934
532.8	6933
533.0	6930
533.2	6924
533.4	6920
533.6	6915
533.8	6908
534.0	6899
534.2	6889
534.4	6879
534.6	6869
534.8	6865
535.0	6857
535.2	6853
535.4	6851
535.6	6845
535.8	6835
536.0	6824
536.2	6810
536.4	6801
536.6	6793
536.8	6785
537.0	6776
537.2	6767
537.4	6760
537.6	6750
537.8	6744
538.0	6730
538.2	6722
538.4	6715
538.6	6703
538.8	6692
539.0	6682
539.2	6670
539.4	6663
539.6	6653
539.8	6638
540.0	6624
540.2	6612
540.4	6601
540.6	6589
540.8	6580
541.0	6565
541.2	6554
541.4	6542
541.6	6527
541.8	6521
542.0	6515
542.2	6506
542.4	6500
542.6	6488
542.8	6473
543.0	6460
543.2	6446
543.4	6436
543.6	6422
543.8	6408
544.0	6395
544.2	6381
544.4	6368
544.6	6352
544.8	6338
545.0	6317
545.2	6300
545.4	6288
545.6	6272
545.8	6256
546.0	6247
546.2	6231
546.4	6217
546.6	6207
546.8	6195
547.0	6182
547.2	6166
547.4	6151
547.6	6136
547.8	6123
