Sample:	'20211010A(EM)
File name:	r-NI-cds 1;15 600V 480 500.FDS
Run date:	'08:32:20, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	480.0 nm
EM  Start WL:	500.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	600 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	500.0	609.8	611.6	9209	611.6	9174
2	611.6	612.4	804.2	9196	804.2	55.63
3	804.2	804.8	900.0	57.89	900.0	3.214

Data points
nm	Data
500.0	514.9
500.2	524.4
500.4	532.7
500.6	540.8
500.8	550.2
501.0	559.6
501.2	569.7
501.4	581.2
501.6	589.4
501.8	595.5
502.0	601.6
502.2	607.3
502.4	617.0
502.6	626.7
502.8	638.1
503.0	648.4
503.2	657.1
503.4	664.5
503.6	675.1
503.8	680.1
504.0	691.4
504.2	702.7
504.4	711.6
504.6	723.1
504.8	732.2
505.0	740.3
505.2	748.5
505.4	758.7
505.6	765.8
505.8	780.0
506.0	790.1
506.2	799.0
506.4	804.7
506.6	813.5
506.8	819.4
507.0	833.6
507.2	846.8
507.4	857.6
507.6	868.6
507.8	878.1
508.0	888.2
508.2	899.6
508.4	907.5
508.6	919.8
508.8	929.8
509.0	939.4
509.2	953.5
509.4	964.2
509.6	970.7
509.8	983.5
510.0	992.0
510.2	1004
510.4	1022
510.6	1033
510.8	1044
511.0	1052
511.2	1058
511.4	1066
511.6	1074
511.8	1084
512.0	1097
512.2	1109
512.4	1121
512.6	1135
512.8	1140
513.0	1151
513.2	1159
513.4	1169
513.6	1183
513.8	1195
514.0	1207
514.2	1221
514.4	1229
514.6	1236
514.8	1252
515.0	1259
515.2	1274
515.4	1289
515.6	1299
515.8	1310
516.0	1323
516.2	1330
516.4	1343
516.6	1352
516.8	1363
517.0	1379
517.2	1392
517.4	1401
517.6	1411
517.8	1416
518.0	1423
518.2	1435
518.4	1449
518.6	1455
518.8	1466
519.0	1476
519.2	1482
519.4	1497
519.6	1514
519.8	1529
520.0	1544
520.2	1554
520.4	1562
520.6	1572
520.8	1581
521.0	1592
521.2	1606
521.4	1619
521.6	1628
521.8	1639
522.0	1645
522.2	1653
522.4	1666
522.6	1680
522.8	1694
523.0	1705
523.2	1714
523.4	1720
523.6	1727
523.8	1740
524.0	1755
524.2	1765
524.4	1776
524.6	1780
524.8	1789
525.0	1803
525.2	1815
525.4	1823
525.6	1832
525.8	1834
526.0	1847
526.2	1861
526.4	1873
526.6	1882
526.8	1895
527.0	1902
527.2	1910
527.4	1921
527.6	1928
527.8	1934
528.0	1941
528.2	1948
528.4	1956
528.6	1970
528.8	1982
529.0	1994
529.2	2010
529.4	2023
529.6	2033
529.8	2039
530.0	2042
530.2	2047
530.4	2060
530.6	2076
530.8	2090
531.0	2101
531.2	2109
531.4	2120
531.6	2121
531.8	2131
532.0	2135
532.2	2143
532.4	2154
532.6	2166
532.8	2174
533.0	2180
533.2	2187
533.4	2200
533.6	2215
533.8	2225
534.0	2237
534.2	2243
534.4	2256
534.6	2272
534.8	2285
535.0	2291
535.2	2296
535.4	2300
535.6	2309
535.8	2320
536.0	2328
536.2	2339
536.4	2346
536.6	2357
536.8	2370
537.0	2381
537.2	2394
537.4	2407
537.6	2414
537.8	2420
538.0	2424
538.2	2428
538.4	2441
538.6	2455
538.8	2468
539.0	2476
539.2	2488
539.4	2497
539.6	2510
539.8	2518
540.0	2522
540.2	2529
540.4	2540
540.6	2553
540.8	2569
541.0	2576
541.2	2584
541.4	2588
541.6	2595
541.8	2608
542.0	2620
542.2	2627
542.4	2635
542.6	2639
542.8	2651
543.0	2669
543.2	2685
543.4	2698
543.6	2711
543.8	2719
544.0	2729
544.2	2740
544.4	2742
544.6	2755
544.8	2768
545.0	2778
545.2	2791
545.4	2803
545.6	2811
545.8	2824
546.0	2832
546.2	2843
546.4	2849
546.6	2860
546.8	2873
547.0	2886
547.2	2900
547.4	2916
547.6	2926
547.8	2942
548.0	2955
548.2	2968
548.4	2978
548.6	2990
548.8	2998
549.0	3017
549.2	3035
549.4	3041
549.6	3055
549.8	3068
550.0	3069
550.2	3083
550.4	3100
550.6	3106
550.8	3126
551.0	3145
551.2	3154
551.4	3174
551.6	3185
551.8	3200
552.0	3204
552.2	3214
552.4	3222
552.6	3245
552.8	3262
553.0	3284
553.2	3300
553.4	3314
553.6	3323
553.8	3339
554.0	3349
554.2	3359
554.4	3383
554.6	3404
554.8	3419
555.0	3433
555.2	3447
555.4	3462
555.6	3478
555.8	3505
556.0	3515
556.2	3532
556.4	3550
556.6	3564
556.8	3575
557.0	3595
557.2	3602
557.4	3616
557.6	3635
557.8	3656
558.0	3673
558.2	3699
558.4	3713
558.6	3715
558.8	3735
559.0	3758
559.2	3775
559.4	3797
559.6	3809
559.8	3815
560.0	3834
560.2	3861
560.4	3893
560.6	3923
560.8	3946
561.0	3964
561.2	3978
561.4	3987
561.6	4013
561.8	4027
562.0	4049
562.2	4072
562.4	4091
562.6	4103
562.8	4129
563.0	4147
563.2	4165
563.4	4190
563.6	4212
563.8	4233
564.0	4258
564.2	4287
564.4	4303
564.6	4321
564.8	4336
565.0	4354
565.2	4373
565.4	4412
565.6	4450
565.8	4481
566.0	4498
566.2	4508
566.4	4519
566.6	4544
566.8	4569
567.0	4596
567.2	4611
567.4	4635
567.6	4658
567.8	4686
568.0	4719
568.2	4744
568.4	4764
568.6	4792
568.8	4805
569.0	4828
569.2	4859
569.4	4892
569.6	4923
569.8	4946
570.0	4963
570.2	4987
570.4	5025
570.6	5059
570.8	5082
571.0	5096
571.2	5113
571.4	5136
571.6	5172
571.8	5195
572.0	5226
572.2	5257
572.4	5287
572.6	5311
572.8	5339
573.0	5358
573.2	5392
573.4	5425
573.6	5462
573.8	5493
574.0	5530
574.2	5554
574.4	5572
574.6	5584
574.8	5605
575.0	5624
575.2	5660
575.4	5690
575.6	5723
575.8	5752
576.0	5782
576.2	5807
576.4	5834
576.6	5865
576.8	5899
577.0	5937
577.2	5971
577.4	6001
577.6	6025
577.8	6048
578.0	6071
578.2	6095
578.4	6123
578.6	6155
578.8	6186
579.0	6206
579.2	6233
579.4	6257
579.6	6284
579.8	6319
580.0	6346
580.2	6375
580.4	6399
580.6	6439
580.8	6471
581.0	6501
581.2	6529
581.4	6547
581.6	6574
581.8	6612
582.0	6653
582.2	6683
582.4	6712
582.6	6734
582.8	6776
583.0	6801
583.2	6834
583.4	6852
583.6	6875
583.8	6902
584.0	6941
584.2	6969
584.4	7000
584.6	7018
584.8	7042
585.0	7063
585.2	7088
585.4	7117
585.6	7152
585.8	7178
586.0	7213
586.2	7258
586.4	7287
586.6	7323
586.8	7348
587.0	7363
587.2	7384
587.4	7420
587.6	7442
587.8	7468
588.0	7488
588.2	7516
588.4	7548
588.6	7585
588.8	7618
589.0	7647
589.2	7669
589.4	7691
589.6	7723
589.8	7748
590.0	7777
590.2	7807
590.4	7821
590.6	7838
590.8	7862
591.0	7884
591.2	7915
591.4	7942
591.6	7960
591.8	8001
592.0	8024
592.2	8050
592.4	8080
592.6	8101
592.8	8128
593.0	8162
593.2	8180
593.4	8198
593.6	8221
593.8	8247
594.0	8272
594.2	8294
594.4	8313
594.6	8329
594.8	8343
595.0	8366
595.2	8390
595.4	8431
595.6	8461
595.8	8489
596.0	8500
596.2	8509
596.4	8529
596.6	8552
596.8	8570
597.0	8586
597.2	8602
597.4	8612
597.6	8627
597.8	8640
598.0	8651
598.2	8678
598.4	8696
598.6	8704
598.8	8725
599.0	8748
599.2	8768
599.4	8801
599.6	8811
599.8	8813
600.0	8827
600.2	8852
600.4	8866
600.6	8881
600.8	8901
601.0	8909
601.2	8920
601.4	8931
601.6	8943
601.8	8952
602.0	8953
602.2	8967
602.4	8971
602.6	8977
602.8	8997
603.0	9008
603.2	9015
603.4	9040
603.6	9048
603.8	9061
604.0	9075
604.2	9088
604.4	9094
604.6	9105
604.8	9103
605.0	9103
605.2	9103
605.4	9104
605.6	9112
605.8	9123
606.0	9124
606.2	9132
606.4	9143
606.6	9158
606.8	9180
607.0	9172
607.2	9160
607.4	9157
607.6	9161
607.8	9171
608.0	9175
608.2	9177
608.4	9184
608.6	9199
608.8	9198
609.0	9195
609.2	9185
609.4	9190
609.6	9198
609.8	9209
610.0	9195
610.2	9197
610.4	9187
610.6	9188
610.8	9181
611.0	9180
611.2	9175
611.4	9181
611.6	9174
611.8	9174
612.0	9174
612.2	9182
612.4	9196
612.6	9188
612.8	9156
613.0	9133
613.2	9123
613.4	9115
613.6	9125
613.8	9129
614.0	9119
614.2	9122
614.4	9111
614.6	9094
614.8	9086
615.0	9066
615.2	9045
615.4	9042
615.6	9030
615.8	9020
616.0	9014
616.2	8997
616.4	8997
616.6	8995
616.8	8990
617.0	8996
617.2	8995
