Sample:	'20211010A(EM)
File name:	r-NI-cds-CHO 1;5 580V.FDS
Run date:	'08:55:47, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	530.0 nm
EM  Start WL:	550.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	580 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	550.0	614.6	798.0	7984	798.0	54.34
2	798.0	799.0	801.2	56.85	801.2	50.45
3	801.2	801.6	900.0	52.10	900.0	2.288

Data points
nm	Data
550.0	674.2
550.2	682.3
550.4	692.4
550.6	703.6
550.8	713.5
551.0	725.9
551.2	737.4
551.4	746.1
551.6	754.4
551.8	766.8
552.0	775.8
552.2	788.7
552.4	801.8
552.6	817.7
552.8	831.1
553.0	847.9
553.2	860.5
553.4	869.9
553.6	879.4
553.8	890.6
554.0	899.8
554.2	915.9
554.4	928.3
554.6	940.3
554.8	955.9
555.0	972.4
555.2	987.5
555.4	1006
555.6	1017
555.8	1026
556.0	1039
556.2	1054
556.4	1071
556.6	1091
556.8	1106
557.0	1121
557.2	1137
557.4	1149
557.6	1165
557.8	1184
558.0	1199
558.2	1215
558.4	1232
558.6	1249
558.8	1268
559.0	1288
559.2	1301
559.4	1316
559.6	1332
559.8	1353
560.0	1377
560.2	1401
560.4	1420
560.6	1436
560.8	1451
561.0	1471
561.2	1490
561.4	1510
561.6	1526
561.8	1543
562.0	1566
562.2	1585
562.4	1611
562.6	1628
562.8	1647
563.0	1668
563.2	1692
563.4	1711
563.6	1736
563.8	1760
564.0	1783
564.2	1806
564.4	1828
564.6	1852
564.8	1874
565.0	1901
565.2	1927
565.4	1951
565.6	1972
565.8	1995
566.0	2011
566.2	2036
566.4	2061
566.6	2084
566.8	2110
567.0	2133
567.2	2157
567.4	2188
567.6	2218
567.8	2245
568.0	2271
568.2	2291
568.4	2321
568.6	2351
568.8	2378
569.0	2403
569.2	2431
569.4	2456
569.6	2490
569.8	2520
570.0	2553
570.2	2577
570.4	2601
570.6	2623
570.8	2654
571.0	2685
571.2	2722
571.4	2751
571.6	2767
571.8	2791
572.0	2819
572.2	2847
572.4	2881
572.6	2914
572.8	2943
573.0	2981
573.2	3012
573.4	3047
573.6	3076
573.8	3106
574.0	3130
574.2	3165
574.4	3192
574.6	3228
574.8	3264
575.0	3297
575.2	3322
575.4	3361
575.6	3390
575.8	3421
576.0	3450
576.2	3476
576.4	3494
576.6	3521
576.8	3563
577.0	3605
577.2	3645
577.4	3684
577.6	3706
577.8	3735
578.0	3771
578.2	3806
578.4	3844
578.6	3878
578.8	3911
579.0	3941
579.2	3971
579.4	4011
579.6	4044
579.8	4074
580.0	4106
580.2	4130
580.4	4167
580.6	4209
580.8	4248
581.0	4280
581.2	4311
581.4	4347
581.6	4383
581.8	4416
582.0	4453
582.2	4479
582.4	4507
582.6	4541
582.8	4581
583.0	4620
583.2	4652
583.4	4684
583.6	4711
583.8	4744
584.0	4785
584.2	4816
584.4	4845
584.6	4881
584.8	4924
585.0	4968
585.2	5011
585.4	5036
585.6	5069
585.8	5091
586.0	5128
586.2	5160
586.4	5202
586.6	5232
586.8	5273
587.0	5298
587.2	5332
587.4	5365
587.6	5402
587.8	5431
588.0	5473
588.2	5502
588.4	5529
588.6	5557
588.8	5585
589.0	5621
589.2	5662
589.4	5705
589.6	5738
589.8	5762
590.0	5785
590.2	5814
590.4	5848
590.6	5881
590.8	5928
591.0	5982
591.2	6016
591.4	6043
591.6	6062
591.8	6069
592.0	6107
592.2	6159
592.4	6196
