Sample:	'20211010A(EM)
File name:	r-cds 1;15 2.FDS
Run date:	'08:09:17, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	530.0 nm
EM  Start WL:	550.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	800 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	550.0	550.2	552.2	28.99	552.2	16.41
2	552.2	553.2	553.8	23.60	553.8	19.81
3	553.8	558.6	560.2	25.78	560.2	22.86
4	560.2	572.2	572.6	47.34	572.6	43.68
5	572.6	575.8	576.6	54.10	576.6	49.01
6	576.6	581.8	582.4	66.82	582.4	56.36
7	582.4	584.0	585.0	66.76	585.0	64.18
8	585.0	585.8	586.2	68.66	586.2	63.75
9	586.2	589.4	590.2	77.45	590.2	66.75
10	590.2	591.2	592.0	73.65	592.0	69.44
11	592.0	593.6	596.6	79.46	596.6	69.52
12	596.6	597.8	598.4	81.45	598.4	73.95
13	598.4	600.0	602.0	79.56	602.0	72.38
14	602.0	602.8	603.6	81.03	603.6	75.76
15	603.6	605.8	606.6	81.37	606.6	78.76
16	606.6	607.6	608.2	85.73	608.2	81.12
17	608.2	609.0	611.0	86.51	611.0	78.84
18	611.0	615.2	616.8	94.94	616.8	82.99
19	616.8	617.4	618.2	93.83	618.2	83.98
20	618.2	620.0	621.0	99.56	621.0	93.49
21	621.0	624.2	624.8	110.4	624.8	103.9
22	624.8	635.6	636.4	162.2	636.4	149.1
23	636.4	643.6	644.6	214.8	644.6	195.0
24	644.6	646.0	646.8	225.3	646.8	202.7
25	646.8	652.6	653.6	253.8	653.6	237.4
26	653.6	656.0	656.8	255.2	656.8	237.2
27	656.8	657.4	658.2	257.9	658.2	235.4
28	658.2	659.0	659.8	259.4	659.8	243.5
29	659.8	661.0	661.6	261.9	661.6	246.9
30	661.6	663.8	666.4	260.4	666.4	236.1
31	666.4	667.4	668.8	255.5	668.8	239.5
32	668.8	669.8	672.8	254.0	672.8	225.4
33	672.8	673.6	680.6	245.8	680.6	195.2
34	680.6	681.2	683.6	206.5	683.6	187.3
35	683.6	684.8	686.8	194.6	686.8	167.6
36	686.8	688.4	689.8	185.3	689.8	163.1
37	689.8	691.4	697.4	175.1	697.4	145.4
38	697.4	698.4	699.4	160.2	699.4	147.9
39	699.4	701.8	703.6	161.5	703.6	128.9
40	703.6	706.0	706.6	139.5	706.6	131.7
41	706.6	707.2	710.4	142.6	710.4	126.6
42	710.4	711.0	714.0	137.4	714.0	110.4
43	714.0	714.8	718.0	118.6	718.0	104.0
44	718.0	719.0	723.6	115.3	723.6	91.13
45	723.6	725.0	726.8	97.44	726.8	82.60
46	726.8	727.6	729.0	92.12	729.0	80.45
47	729.0	729.8	731.6	90.78	731.6	77.63
48	731.6	732.2	734.8	82.73	734.8	70.87
49	734.8	735.2	738.6	77.85	738.6	60.47
50	738.6	739.4	742.8	69.89	742.8	58.91
51	742.8	743.6	745.4	64.15	745.4	55.01
52	745.4	746.0	747.4	59.10	747.4	52.12
53	747.4	748.2	749.2	59.55	749.2	49.96
54	749.2	751.0	753.2	54.55	753.2	42.64
55	753.2	754.2	755.0	49.95	755.0	40.89
56	755.0	755.6	757.4	45.51	757.4	39.60
57	757.4	758.4	761.2	44.78	761.2	35.95
58	761.2	762.2	764.6	41.47	764.6	34.61
59	764.6	765.0	766.4	37.53	766.4	29.27
60	766.4	767.0	768.6	35.79	768.6	29.77
61	768.6	769.6	770.6	34.58	770.6	28.80
62	770.6	772.6	775.0	33.45	775.0	25.46
63	775.0	776.8	782.0	29.04	782.0	22.00
64	782.0	783.0	784.0	27.12	784.0	23.52
65	784.0	785.0	786.0	27.96	786.0	20.02
66	786.0	788.8	790.6	24.78	790.6	22.07
67	790.6	791.2	793.6	23.70	793.6	20.71
68	793.6	794.8	795.8	24.75	795.8	19.78
69	795.8	797.0	798.4	22.39	798.4	16.13
70	798.4	800.4	801.8	24.65	801.8	19.13
71	801.8	802.8	805.2	22.04	805.2	18.16
72	805.2	805.8	806.4	20.75	806.4	17.03
73	806.4	809.0	810.4	20.30	810.4	15.45
74	810.4	812.2	814.2	18.62	814.2	14.83
75	814.2	815.6	816.4	17.23	816.4	14.86
76	816.4	817.0	817.8	18.68	817.8	14.21
77	817.8	820.0	821.6	21.30	821.6	17.59
78	821.6	823.2	824.2	22.08	824.2	18.34
79	824.2	826.0	827.0	23.92	827.0	18.07
80	827.0	829.0	832.6	21.02	832.6	10.41
81	832.6	833.4	840.6	14.18	840.6	5.516
82	840.6	841.6	843.2	6.623	843.2	5.291
83	843.2	843.8	845.8	6.299	845.8	3.322
84	845.8	846.6	847.4	6.483	847.4	2.939
85	847.4	850.8	852.6	4.554	852.6	1.753
86	852.6	855.4	855.8	3.468	855.8	1.178
87	855.8	857.8	861.6	3.429	861.6	1.213
88	861.6	862.2	863.8	2.394	863.8	0.816
89	863.8	865.2	867.6	2.795	867.6	1.718
90	867.6	868.2	869.4	2.845	869.4	1.552
91	869.4	870.0	871.6	3.849	871.6	1.998
92	871.6	873.0	875.6	3.040	875.6	1.505
93	875.6	877.2	878.4	3.024	878.4	1.296
94	878.4	879.2	881.2	2.946	881.2	1.067
95	881.2	882.0	882.8	2.802	882.8	0.756
96	882.8	885.2	886.2	2.877	886.2	1.247
97	886.2	887.8	889.8	3.476	889.8	0.866
98	889.8	894.0	895.6	2.922	895.6	1.346
99	895.6	896.4	897.2	3.227	897.2	1.288

Data points
nm	Data
550.0	28.76
550.2	28.99
550.4	27.34
550.6	24.78
550.8	22.40
551.0	21.15
551.2	21.11
551.4	22.16
551.6	21.05
551.8	20.37
552.0	19.07
552.2	16.41
552.4	18.27
552.6	20.88
552.8	22.19
553.0	23.57
553.2	23.60
553.4	21.81
553.6	21.24
553.8	19.81
554.0	21.42
554.2	22.23
554.4	22.78
554.6	23.67
554.8	22.86
555.0	21.74
555.2	21.71
555.4	22.69
555.6	22.55
555.8	23.69
556.0	23.19
556.2	22.36
556.4	23.20
556.6	24.86
556.8	24.16
557.0	23.62
557.2	23.33
557.4	24.17
557.6	24.73
557.8	25.10
558.0	24.62
558.2	25.51
558.4	25.62
558.6	25.78
558.8	24.61
559.0	24.27
559.2	24.32
559.4	26.27
559.6	24.94
559.8	25.20
560.0	23.92
560.2	22.86
560.4	23.78
560.6	26.44
560.8	28.38
561.0	29.90
561.2	30.31
561.4	28.88
561.6	27.65
561.8	29.10
562.0	30.56
562.2	30.29
562.4	30.93
562.6	30.61
562.8	29.63
563.0	31.35
563.2	33.28
563.4	32.10
563.6	30.61
563.8	30.88
564.0	30.60
564.2	29.79
564.4	33.09
564.6	34.74
564.8	34.65
565.0	33.53
565.2	33.89
565.4	33.56
565.6	35.09
565.8	37.22
566.0	37.46
566.2	35.02
566.4	35.51
566.6	35.91
566.8	35.86
567.0	36.82
567.2	38.49
567.4	38.47
567.6	37.97
567.8	38.66
568.0	38.38
568.2	37.82
568.4	38.07
568.6	39.38
568.8	37.91
569.0	39.93
569.2	40.04
569.4	40.53
569.6	39.50
569.8	42.05
570.0	42.54
570.2	44.33
570.4	43.91
570.6	43.94
570.8	43.30
571.0	45.39
571.2	45.35
571.4	45.47
571.6	44.97
571.8	44.77
572.0	45.34
572.2	47.34
572.4	46.16
572.6	43.68
572.8	44.70
573.0	44.68
573.2	46.29
573.4	46.81
573.6	46.81
573.8	45.42
574.0	46.53
574.2	49.32
574.4	50.78
574.6	49.51
574.8	49.46
575.0	47.29
575.2	47.54
575.4	50.40
575.6	52.08
575.8	54.10
576.0	52.83
576.2	50.05
576.4	49.16
576.6	49.01
576.8	49.91
577.0	52.86
577.2	51.20
577.4	51.52
577.6	51.02
577.8	50.94
578.0	51.33
578.2	54.45
578.4	53.42
578.6	54.54
578.8	56.64
579.0	56.84
579.2	58.94
579.4	59.43
579.6	56.73
579.8	55.58
580.0	57.08
580.2	58.11
580.4	62.03
580.6	63.63
580.8	61.92
581.0	59.90
581.2	58.27
581.4	60.97
581.6	65.24
581.8	66.82
582.0	65.49
582.2	60.48
582.4	56.36
582.6	56.67
582.8	59.84
583.0	61.76
583.2	63.91
583.4	64.51
583.6	65.66
583.8	65.45
584.0	66.76
584.2	66.65
584.4	64.92
584.6	66.03
584.8	64.52
585.0	64.18
585.2	66.37
585.4	66.00
585.6	67.04
585.8	68.66
586.0	65.01
586.2	63.75
586.4	65.39
586.6	64.58
586.8	68.16
587.0	68.46
587.2	66.01
587.4	65.87
587.6	67.46
587.8	69.31
588.0	73.69
588.2	72.20
588.4	69.06
588.6	66.60
588.8	65.46
589.0	68.28
589.2	74.23
589.4	77.45
589.6	75.49
589.8	72.76
590.0	68.86
590.2	66.75
590.4	68.21
590.6	67.94
590.8	68.35
591.0	71.63
591.2	73.65
591.4	73.50
591.6	73.39
591.8	71.13
592.0	69.44
592.2	70.19
592.4	71.39
592.6	70.73
592.8	72.05
593.0	74.16
593.2	75.44
593.4	79.23
593.6	79.46
593.8	76.81
594.0	75.57
594.2	72.90
594.4	74.29
594.6	77.85
594.8	78.99
595.0	75.26
595.2	75.91
595.4	72.46
595.6	72.88
595.8	75.78
596.0	77.19
596.2	74.41
596.4	73.49
596.6	69.52
596.8	70.45
597.0	71.31
597.2	75.27
597.4	78.83
597.6	80.34
597.8	81.45
598.0	78.66
598.2	73.98
598.4	73.95
598.6	75.40
598.8	79.55
599.0	80.92
599.2	77.98
599.4	76.27
599.6	75.10
599.8	77.10
600.0	79.56
600.2	78.23
600.4	78.27
600.6	79.27
600.8	77.73
601.0	79.11
601.2	79.43
601.4	77.45
601.6	76.20
601.8	75.23
602.0	72.38
602.2	74.89
602.4	77.12
602.6	78.78
602.8	81.03
603.0	79.82
603.2	78.75
603.4	79.17
603.6	75.76
603.8	77.53
604.0	78.99
604.2	80.32
604.4	80.85
604.6	80.83
604.8	77.92
605.0	78.71
605.2	80.09
605.4	81.01
605.6	80.37
605.8	81.37
606.0	81.22
606.2	79.38
606.4	80.24
606.6	78.76
606.8	79.03
607.0	80.93
607.2	84.50
607.4	85.11
607.6	85.73
607.8	85.29
608.0	82.57
608.2	81.12
608.4	81.98
608.6	82.91
608.8	84.83
609.0	86.51
609.2	86.14
609.4	86.08
609.6	84.98
609.8	80.87
610.0	83.91
610.2	81.64
610.4	83.62
610.6	84.43
610.8	83.22
611.0	78.84
611.2	83.34
611.4	81.65
611.6	85.41
611.8	82.65
612.0	82.56
612.2	81.79
612.4	83.91
612.6	85.41
612.8	85.14
613.0	82.97
613.2	85.39
613.4	85.44
613.6	85.15
613.8	85.59
614.0	84.99
614.2	86.97
614.4	89.07
614.6	91.50
614.8	92.53
615.0	94.44
615.2	94.94
615.4	93.17
615.6	89.72
615.8	89.76
616.0	88.84
616.2	87.58
616.4	84.25
616.6	83.60
616.8	82.99
617.0	84.61
617.2	91.87
617.4	93.83
617.6	92.65
617.8	90.62
618.0	87.63
618.2	83.98
618.4	90.29
618.6	92.27
618.8	93.64
619.0	93.17
619.2	94.09
619.4	94.71
619.6	97.84
619.8	99.40
620.0	99.56
620.2	98.90
620.4	98.46
620.6	96.12
620.8	94.37
621.0	93.49
621.2	93.77
621.4	98.65
621.6	103.2
621.8	104.4
622.0	104.2
622.2	102.6
622.4	100.3
622.6	102.7
622.8	103.0
623.0	103.7
623.2	104.6
623.4	106.0
623.6	105.8
623.8	108.9
624.0	109.4
624.2	110.4
624.4	109.1
624.6	106.1
624.8	103.9
625.0	104.3
625.2	106.3
625.4	109.5
625.6	109.1
625.8	110.5
626.0	110.2
626.2	113.0
626.4	113.3
626.6	114.1
626.8	110.2
627.0	114.0
627.2	115.0
627.4	113.9
627.6	114.2
627.8	118.2
628.0	115.9
628.2	118.6
628.4	120.6
628.6	117.7
628.8	119.2
629.0	119.9
629.2	120.1
629.4	120.5
629.6	124.6
629.8	128.2
630.0	129.5
630.2	128.4
630.4	127.3
630.6	124.8
630.8	126.9
631.0	128.3
631.2	129.4
631.4	130.1
631.6	128.6
631.8	126.2
632.0	126.0
632.2	126.8
632.4	134.7
632.6	142.5
632.8	148.1
633.0	148.1
633.2	145.5
633.4	139.7
633.6	143.5
633.8	146.9
634.0	150.2
634.2	152.8
634.4	155.7
634.6	155.1
634.8	155.2
635.0	154.2
635.2	154.3
635.4	158.6
635.6	162.2
635.8	160.5
636.0	156.5
636.2	153.4
636.4	149.1
636.6	155.8
636.8	160.6
637.0	158.5
637.2	157.4
637.4	159.3
637.6	158.4
637.8	160.9
638.0	162.9
638.2	160.2
638.4	158.9
638.6	159.7
638.8	162.2
639.0	168.9
639.2	173.4
639.4	178.8
639.6	182.4
639.8	172.1
640.0	167.0
640.2	169.8
640.4	174.3
