Sample:	'20211010A(EM)
File name:	600.FDS
Run date:	'16:05:35, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	465 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	548.0	551.6	5727	551.6	5694
2	551.6	552.6	779.6	5705	779.6	6.980
3	779.6	799.4	850.0	19.64	850.0	1.771

Data points
nm	Data
420.0	7.398
420.2	7.731
420.4	7.896
420.6	7.947
420.8	8.010
421.0	7.883
421.2	7.850
421.4	7.947
421.6	8.209
421.8	8.258
422.0	8.437
422.2	8.353
422.4	8.343
422.6	8.221
422.8	8.232
423.0	8.195
423.2	8.217
423.4	8.249
423.6	8.399
423.8	8.607
424.0	8.859
424.2	9.024
424.4	8.926
424.6	8.714
424.8	8.640
425.0	8.740
425.2	8.814
425.4	8.910
425.6	8.942
425.8	8.943
426.0	8.992
426.2	8.963
426.4	8.995
426.6	9.021
426.8	9.239
427.0	9.523
427.2	9.419
427.4	9.344
427.6	9.267
427.8	9.225
428.0	9.265
428.2	9.391
428.4	9.439
428.6	9.526
428.8	9.565
429.0	9.735
429.2	9.654
429.4	9.666
429.6	9.928
429.8	9.900
430.0	10.05
430.2	9.975
430.4	9.793
430.6	9.753
430.8	9.932
431.0	10.05
431.2	10.23
431.4	10.19
431.6	10.32
431.8	10.45
432.0	10.50
432.2	10.68
432.4	10.84
432.6	10.91
432.8	11.01
433.0	10.88
433.2	10.82
433.4	10.91
433.6	11.11
433.8	11.14
434.0	11.29
434.2	11.28
434.4	11.44
434.6	11.34
434.8	11.25
435.0	11.27
435.2	11.42
435.4	11.37
435.6	11.69
435.8	11.75
436.0	11.79
436.2	12.02
436.4	12.06
436.6	12.02
436.8	12.35
437.0	12.91
437.2	13.15
437.4	13.28
437.6	12.99
437.8	12.79
438.0	12.60
438.2	12.75
438.4	13.05
438.6	13.41
438.8	13.45
439.0	13.74
439.2	13.81
439.4	13.75
439.6	14.14
439.8	14.33
440.0	14.35
440.2	14.31
440.4	14.50
440.6	14.58
440.8	14.91
441.0	15.02
441.2	15.29
441.4	15.51
441.6	15.92
441.8	16.02
442.0	15.96
442.2	16.04
442.4	16.23
442.6	16.46
442.8	16.45
443.0	16.45
443.2	16.43
443.4	16.74
443.6	16.96
443.8	17.44
444.0	17.60
444.2	17.94
444.4	18.21
444.6	18.31
444.8	18.52
445.0	19.00
445.2	19.18
445.4	19.58
445.6	19.93
445.8	20.15
446.0	20.42
446.2	20.75
446.4	20.86
446.6	20.78
446.8	20.81
447.0	20.86
447.2	21.04
447.4	21.65
447.6	22.13
447.8	22.41
448.0	22.75
448.2	22.94
448.4	23.03
448.6	23.11
448.8	23.19
449.0	23.42
449.2	23.58
449.4	23.98
449.6	24.63
449.8	25.00
450.0	25.36
450.2	25.69
450.4	25.59
450.6	25.70
450.8	26.07
451.0	26.13
451.2	26.53
451.4	27.26
451.6	27.65
451.8	28.21
452.0	28.51
452.2	28.41
452.4	28.39
452.6	28.74
452.8	28.96
453.0	29.22
453.2	29.38
453.4	29.62
453.6	29.87
453.8	30.44
454.0	31.07
454.2	31.12
454.4	31.18
454.6	31.10
454.8	31.26
455.0	31.39
455.2	31.98
455.4	32.02
455.6	32.71
455.8	33.28
456.0	33.58
456.2	33.60
456.4	33.56
456.6	33.39
456.8	33.91
457.0	34.49
457.2	34.94
457.4	35.38
457.6	35.75
457.8	35.71
458.0	35.85
458.2	35.68
458.4	35.95
458.6	36.12
458.8	36.65
459.0	37.00
459.2	37.50
459.4	37.51
459.6	37.87
459.8	37.73
460.0	37.98
460.2	38.41
460.4	38.52
460.6	38.56
460.8	38.66
461.0	38.59
461.2	39.03
461.4	39.88
461.6	40.31
461.8	40.74
462.0	41.35
462.2	41.51
462.4	41.43
462.6	41.90
462.8	42.01
463.0	42.24
463.2	42.91
463.4	43.17
463.6	43.33
463.8	43.81
464.0	44.31
464.2	45.09
464.4	45.70
464.6	46.07
464.8	46.17
465.0	46.06
465.2	46.46
465.4	46.97
465.6	47.93
465.8	48.53
466.0	48.86
466.2	48.91
466.4	49.73
466.6	49.94
466.8	50.77
467.0	50.98
467.2	51.68
467.4	52.54
467.6	53.67
467.8	54.21
468.0	54.75
468.2	54.92
468.4	56.14
468.6	57.36
468.8	58.39
469.0	58.86
469.2	58.56
469.4	58.68
469.6	60.03
469.8	61.32
470.0	62.42
470.2	63.27
470.4	63.58
470.6	64.44
470.8	65.69
471.0	66.86
471.2	67.59
471.4	69.02
471.6	70.23
471.8	71.58
472.0	72.25
472.2	73.34
472.4	74.27
472.6	75.91
472.8	76.93
473.0	77.80
473.2	78.53
473.4	79.63
473.6	81.00
473.8	82.61
474.0	83.72
474.2	85.21
474.4	86.49
474.6	88.28
474.8	90.95
475.0	92.68
475.2	94.37
475.4	96.26
475.6	97.42
475.8	99.46
476.0	101.7
476.2	103.4
476.4	105.2
476.6	106.8
476.8	109.0
477.0	110.8
477.2	112.7
477.4	115.0
477.6	117.0
477.8	118.4
478.0	120.7
478.2	123.4
478.4	126.1
478.6	129.4
478.8	132.0
479.0	134.1
479.2	135.8
479.4	139.1
479.6	140.8
479.8	144.0
480.0	147.1
480.2	151.3
480.4	154.6
480.6	158.8
480.8	161.0
481.0	163.3
