Sample:	'20211010A(EM)
File name:	G-CDS 520V.FDS
Run date:	'15:54:33, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	520 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	539.8	762.8	7113	762.8	10.66
2	762.8	763.6	783.8	11.72	783.8	6.748
3	783.8	802.0	850.0	11.00	850.0	2.451

Data points
nm	Data
420.0	3.666
420.2	3.567
420.4	3.611
420.6	3.718
420.8	3.796
421.0	3.773
421.2	3.613
421.4	3.645
421.6	3.821
421.8	3.959
422.0	4.008
422.2	4.097
422.4	4.009
422.6	3.781
422.8	3.733
423.0	3.783
423.2	3.717
423.4	3.757
423.6	3.813
423.8	3.825
424.0	4.132
424.2	4.225
424.4	4.149
424.6	4.076
424.8	4.062
425.0	4.106
425.2	4.441
425.4	4.489
425.6	4.373
425.8	4.154
426.0	4.093
426.2	3.943
426.4	4.107
426.6	4.135
426.8	4.075
427.0	3.922
427.2	4.121
427.4	4.265
427.6	4.187
427.8	4.248
428.0	4.209
428.2	4.128
428.4	4.265
428.6	4.291
428.8	4.131
429.0	4.171
429.2	4.244
429.4	4.325
429.6	4.371
429.8	4.413
430.0	4.414
430.2	4.259
430.4	4.269
430.6	4.457
430.8	4.500
431.0	4.577
431.2	4.573
431.4	4.623
431.6	4.656
431.8	4.890
432.0	4.856
432.2	4.688
432.4	4.518
432.6	4.486
432.8	4.342
433.0	4.617
433.2	4.632
433.4	4.493
433.6	4.468
433.8	4.566
434.0	4.630
434.2	4.753
434.4	4.617
434.6	4.619
434.8	4.631
435.0	4.816
435.2	5.055
435.4	4.947
435.6	5.069
435.8	5.262
436.0	5.195
436.2	5.305
436.4	5.200
436.6	5.061
436.8	5.034
437.0	4.982
437.2	5.076
437.4	5.322
437.6	5.300
437.8	5.272
438.0	5.278
438.2	5.388
438.4	5.537
438.6	5.705
438.8	5.691
439.0	5.695
439.2	5.916
439.4	5.950
439.6	5.771
439.8	5.737
440.0	5.780
440.2	6.040
440.4	6.207
440.6	6.193
440.8	6.134
441.0	6.122
441.2	6.077
441.4	6.163
441.6	6.142
441.8	6.308
442.0	6.358
442.2	6.554
442.4	6.331
442.6	6.475
442.8	6.674
443.0	6.892
443.2	7.093
443.4	7.332
443.6	7.079
443.8	7.273
444.0	7.286
444.2	7.128
444.4	7.042
444.6	7.059
444.8	6.812
445.0	7.119
445.2	7.323
445.4	7.261
445.6	7.339
445.8	7.792
446.0	7.798
446.2	8.059
446.4	7.940
446.6	7.918
446.8	7.803
447.0	8.066
447.2	8.168
447.4	8.423
447.6	8.639
447.8	8.790
448.0	8.520
448.2	8.497
448.4	8.844
448.6	8.977
448.8	9.170
449.0	9.123
449.2	9.141
449.4	9.280
449.6	9.540
449.8	9.430
450.0	9.540
450.2	9.465
450.4	9.697
450.6	10.06
450.8	9.955
451.0	9.913
451.2	9.985
451.4	9.863
451.6	10.22
451.8	10.50
452.0	10.51
452.2	10.09
452.4	9.921
452.6	10.26
452.8	10.94
453.0	11.60
453.2	12.00
453.4	11.60
453.6	11.17
453.8	10.85
454.0	11.10
454.2	11.57
454.4	12.17
454.6	12.95
454.8	12.88
455.0	12.50
455.2	12.32
455.4	12.23
455.6	12.38
455.8	12.94
456.0	12.94
456.2	12.90
456.4	12.95
456.6	13.14
456.8	13.58
457.0	14.21
457.2	14.32
457.4	14.53
457.6	14.50
457.8	14.47
458.0	14.78
458.2	15.06
458.4	15.33
458.6	15.69
458.8	15.54
459.0	15.77
459.2	16.03
459.4	16.09
459.6	16.92
459.8	17.27
460.0	17.46
460.2	17.78
460.4	17.70
460.6	17.63
460.8	18.51
461.0	19.00
461.2	19.66
461.4	20.23
461.6	20.61
461.8	20.37
462.0	20.70
462.2	20.81
462.4	21.04
