Sample:	'20211010A(EM)
File name:	G-CDS.FDS
Run date:	'15:23:55, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	465 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	538.0	539.2	2858	539.2	2843
2	539.2	540.6	779.6	2848	779.6	2.763
3	779.6	800.6	850.0	4.564	850.0	0.823

Data points
nm	Data
420.0	1.648
420.2	1.630
420.4	1.655
420.6	1.697
420.8	1.721
421.0	1.706
421.2	1.657
421.4	1.571
421.6	1.464
421.8	1.462
422.0	1.536
422.2	1.586
422.4	1.649
422.6	1.645
422.8	1.593
423.0	1.572
423.2	1.647
423.4	1.629
423.6	1.612
423.8	1.598
424.0	1.541
424.2	1.505
424.4	1.531
424.6	1.565
424.8	1.585
425.0	1.627
425.2	1.639
425.4	1.612
425.6	1.645
425.8	1.684
426.0	1.717
426.2	1.698
426.4	1.706
426.6	1.757
426.8	1.773
427.0	1.755
427.2	1.739
427.4	1.654
427.6	1.610
427.8	1.575
428.0	1.554
428.2	1.625
428.4	1.679
428.6	1.715
428.8	1.703
429.0	1.684
429.2	1.695
429.4	1.726
429.6	1.724
429.8	1.741
430.0	1.742
430.2	1.764
430.4	1.779
430.6	1.773
430.8	1.782
431.0	1.796
431.2	1.819
431.4	1.789
431.6	1.816
431.8	1.822
432.0	1.795
432.2	1.826
432.4	1.763
432.6	1.783
432.8	1.835
433.0	1.886
433.2	1.907
433.4	1.922
433.6	1.857
433.8	1.905
434.0	1.799
434.2	1.812
434.4	1.868
434.6	1.852
434.8	1.907
435.0	1.968
435.2	1.894
435.4	1.975
435.6	2.019
435.8	2.060
436.0	2.020
436.2	2.086
436.4	2.087
436.6	2.158
436.8	2.178
437.0	2.190
437.2	2.158
437.4	2.126
437.6	2.117
437.8	2.134
438.0	2.106
438.2	2.034
438.4	2.153
438.6	2.223
438.8	2.335
439.0	2.352
439.2	2.264
439.4	2.142
439.6	2.231
439.8	2.301
440.0	2.373
440.2	2.344
440.4	2.422
440.6	2.429
440.8	2.426
441.0	2.402
441.2	2.325
441.4	2.263
441.6	2.393
441.8	2.474
442.0	2.485
442.2	2.459
442.4	2.443
442.6	2.520
442.8	2.598
443.0	2.628
443.2	2.680
443.4	2.624
443.6	2.739
443.8	2.877
444.0	2.913
444.2	2.893
444.4	2.874
444.6	2.793
444.8	2.861
445.0	2.911
445.2	2.906
445.4	2.919
445.6	2.838
445.8	2.822
446.0	3.061
446.2	3.199
446.4	3.296
446.6	3.297
446.8	3.222
447.0	3.110
447.2	3.200
447.4	3.272
447.6	3.281
447.8	3.265
448.0	3.386
448.2	3.543
448.4	3.748
448.6	3.882
448.8	3.846
449.0	3.761
449.2	3.683
449.4	3.649
449.6	3.709
449.8	3.815
450.0	3.858
450.2	3.943
450.4	3.884
450.6	3.777
450.8	3.764
451.0	3.959
451.2	4.044
451.4	4.208
451.6	4.253
451.8	4.331
452.0	4.350
452.2	4.414
452.4	4.336
452.6	4.271
452.8	4.243
453.0	4.337
453.2	4.318
453.4	4.345
453.6	4.351
453.8	4.384
454.0	4.518
454.2	4.603
454.4	4.603
454.6	4.649
454.8	4.731
455.0	4.899
455.2	4.963
455.4	5.047
455.6	4.978
455.8	4.965
456.0	4.919
456.2	5.071
456.4	5.151
456.6	5.234
456.8	5.280
457.0	5.367
457.2	5.331
457.4	5.420
457.6	5.706
457.8	5.882
458.0	6.037
458.2	5.989
458.4	5.845
458.6	5.764
458.8	5.867
459.0	6.104
459.2	6.419
459.4	6.585
459.6	6.762
459.8	6.959
460.0	6.900
460.2	7.083
460.4	7.089
460.6	7.085
460.8	7.266
461.0	7.484
461.2	7.576
461.4	7.644
461.6	7.571
461.8	7.795
462.0	7.941
462.2	8.060
462.4	8.188
462.6	8.173
462.8	8.373
463.0	8.800
463.2	8.976
463.4	9.250
463.6	9.433
463.8	9.616
464.0	9.950
464.2	10.06
464.4	10.22
464.6	10.60
464.8	10.76
465.0	11.12
465.2	11.47
465.4	11.68
465.6	11.81
465.8	12.04
466.0	12.19
466.2	12.49
466.4	12.72
466.6	13.06
466.8	13.13
467.0	13.47
467.2	13.89
467.4	14.63
467.6	15.19
467.8	15.78
468.0	16.01
468.2	16.20
468.4	16.41
468.6	16.82
468.8	17.00
469.0	17.57
469.2	18.37
469.4	18.72
469.6	19.29
469.8	19.91
470.0	20.32
470.2	20.96
470.4	21.75
470.6	22.08
470.8	22.59
471.0	23.12
471.2	23.69
471.4	24.24
471.6	24.79
471.8	25.73
472.0	26.50
472.2	27.17
472.4	27.80
472.6	28.22
472.8	28.73
473.0	29.72
473.2	30.32
473.4	31.20
473.6	32.21
473.8	33.31
474.0	34.36
474.2	35.48
474.4	36.13
474.6	36.71
474.8	37.27
475.0	38.27
475.2	39.36
475.4	40.59
475.6	41.96
475.8	43.31
476.0	44.69
476.2	45.89
476.4	46.98
476.6	47.57
476.8	48.34
477.0	49.75
477.2	51.32
477.4	53.00
477.6	54.72
477.8	56.41
478.0	57.70
478.2	59.24
478.4	60.26
478.6	61.55
478.8	62.69
479.0	64.85
479.2	66.88
479.4	69.24
479.6	70.99
479.8	73.06
480.0	74.71
480.2	76.73
480.4	78.44
480.6	80.45
480.8	82.08
481.0	84.30
481.2	86.46
481.4	88.96
481.6	91.39
481.8	93.54
482.0	96.39
482.2	99.06
482.4	101.4
482.6	103.5
482.8	105.9
483.0	107.2
483.2	110.3
483.4	113.7
483.6	117.1
483.8	120.5
484.0	124.0
484.2	126.7
484.4	130.0
484.6	132.8
484.8	136.4
485.0	140.2
485.2	143.6
485.4	147.4
485.6	151.0
485.8	154.9
486.0	159.8
486.2	164.2
486.4	167.9
486.6	171.5
486.8	174.7
487.0	179.3
487.2	184.0
487.4	188.6
487.6	193.7
487.8	198.2
488.0	203.1
488.2	208.4
488.4	213.2
488.6	217.2
488.8	222.1
489.0	227.6
489.2	233.3
489.4	239.8
489.6	245.6
489.8	250.8
490.0	257.4
490.2	264.9
490.4	271.7
490.6	278.8
490.8	284.5
491.0	290.1
491.2	296.3
491.4	303.1
491.6	310.3
491.8	318.3
492.0	325.4
492.2	332.5
492.4	338.3
492.6	346.0
492.8	353.8
493.0	362.1
493.2	369.9
493.4	378.5
493.6	386.4
493.8	396.2
494.0	405.4
494.2	413.5
494.4	421.9
494.6	430.0
494.8	440.2
495.0	451.3
495.2	461.0
495.4	471.5
495.6	481.1
495.8	490.3
496.0	501.2
496.2	510.5
496.4	519.4
496.6	530.5
496.8	540.8
497.0	552.6
497.2	563.7
497.4	574.5
497.6	585.6
497.8	597.4
498.0	607.6
498.2	618.8
498.4	630.2
498.6	643.8
498.8	656.3
499.0	668.0
499.2	679.2
499.4	691.5
499.6	704.7
499.8	718.4
500.0	731.3
500.2	743.5
500.4	757.0
500.6	770.2
500.8	783.0
501.0	795.7
501.2	808.3
501.4	820.3
501.6	833.7
501.8	848.2
502.0	864.3
502.2	881.7
502.4	898.2
502.6	911.0
502.8	923.2
503.0	936.2
503.2	950.0
503.4	965.5
503.6	982.5
503.8	998.0
504.0	1014
504.2	1032
504.4	1047
504.6	1062
504.8	1077
505.0	1092
505.2	1107
505.4	1123
505.6	1137
505.8	1153
506.0	1171
506.2	1187
506.4	1203
506.6	1220
506.8	1235
507.0	1253
507.2	1271
507.4	1289
507.6	1306
507.8	1323
508.0	1338
508.2	1354
508.4	1366
508.6	1383
508.8	1399
509.0	1415
509.2	1435
509.4	1452
509.6	1468
509.8	1486
510.0	1502
510.2	1517
510.4	1534
510.6	1547
510.8	1563
511.0	1581
511.2	1598
511.4	1617
511.6	1634
511.8	1651
512.0	1665
512.2	1681
512.4	1697
512.6	1717
512.8	1737
513.0	1753
513.2	1765
513.4	1778
513.6	1795
513.8	1813
514.0	1832
514.2	1844
514.4	1856
514.6	1870
514.8	1885
515.0	1904
515.2	1923
515.4	1939
515.6	1953
515.8	1968
516.0	1982
516.2	1995
516.4	2011
516.6	2027
516.8	2041
517.0	2057
517.2	2070
517.4	2084
517.6	2100
517.8	2116
518.0	2131
518.2	2146
518.4	2159
518.6	2175
518.8	2189
519.0	2201
519.2	2211
519.4	2222
519.6	2235
519.8	2250
520.0	2267
520.2	2280
520.4	2291
520.6	2301
520.8	2312
521.0	2326
521.2	2342
521.4	2355
