Sample:	'20211010A(EM)
File name:	YUAN S2-.FDS
Run date:	'16:07:05, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	465 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	548.6	786.0	8032	786.0	8.681
2	786.0	799.4	850.0	13.42	850.0	2.624

Data points
nm	Data
420.0	12.71
420.2	12.91
420.4	12.98
420.6	12.99
420.8	13.08
421.0	13.08
421.2	13.02
421.4	13.18
421.6	13.33
421.8	13.40
422.0	13.50
422.2	13.42
422.4	13.35
422.6	13.60
422.8	14.00
423.0	14.00
423.2	13.91
423.4	13.96
423.6	14.03
423.8	14.19
424.0	14.52
424.2	14.51
424.4	14.52
424.6	14.70
424.8	14.95
425.0	15.10
425.2	15.28
425.4	15.27
425.6	15.47
425.8	15.60
426.0	15.81
426.2	15.77
426.4	15.92
426.6	16.05
426.8	16.34
427.0	16.52
427.2	16.55
427.4	16.37
427.6	16.38
427.8	16.45
428.0	16.51
428.2	16.76
428.4	16.80
428.6	16.93
428.8	16.99
429.0	17.31
429.2	17.58
429.4	17.67
429.6	17.64
429.8	17.73
430.0	17.79
430.2	18.34
430.4	18.78
430.6	18.70
430.8	18.45
431.0	18.37
431.2	18.28
431.4	18.52
431.6	18.99
431.8	19.30
432.0	19.40
432.2	19.58
432.4	19.69
432.6	19.65
432.8	19.76
433.0	19.84
433.2	20.22
433.4	20.44
433.6	20.58
433.8	20.57
434.0	20.40
434.2	20.23
434.4	20.71
434.6	21.04
