Sample:	'20211010A(EM)
File name:	G-CDS-600-S2- 20h.FDS
Run date:	'09:19:48, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	465 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	544.6	545.4	9552	545.4	9541
2	545.4	547.6	778.0	9574	778.0	10.36
3	778.0	800.8	850.0	66.84	850.0	2.731

Data points
nm	Data
420.0	19.94
420.2	20.65
420.4	20.97
420.6	21.05
420.8	21.09
421.0	21.06
421.2	21.11
421.4	21.19
421.6	21.17
421.8	21.38
422.0	21.53
422.2	21.44
422.4	21.21
422.6	21.48
422.8	21.58
423.0	21.67
423.2	21.82
423.4	21.75
423.6	21.96
423.8	22.49
424.0	22.88
424.2	22.98
424.4	22.86
424.6	22.56
424.8	22.74
425.0	22.72
425.2	22.79
425.4	22.79
425.6	22.66
425.8	22.66
426.0	23.10
426.2	23.51
426.4	23.75
426.6	23.83
426.8	23.57
427.0	23.58
427.2	23.89
427.4	24.19
427.6	24.12
427.8	24.14
428.0	23.96
428.2	24.01
428.4	24.27
428.6	24.84
428.8	25.10
429.0	25.63
429.2	25.81
429.4	25.79
429.6	25.58
429.8	25.68
430.0	25.62
430.2	25.87
430.4	25.90
430.6	26.12
430.8	26.37
431.0	26.61
431.2	26.62
431.4	26.86
431.6	26.92
431.8	26.86
432.0	27.18
432.2	27.55
432.4	27.64
432.6	28.02
432.8	28.35
433.0	28.08
433.2	28.04
433.4	28.13
433.6	28.33
433.8	28.73
434.0	29.21
434.2	29.56
434.4	30.02
434.6	30.23
434.8	30.41
435.0	30.46
435.2	30.21
435.4	30.66
435.6	31.10
435.8	31.29
436.0	31.64
436.2	32.05
436.4	32.06
436.6	32.64
436.8	32.83
437.0	33.00
437.2	33.45
437.4	33.66
437.6	33.97
437.8	34.12
438.0	34.10
438.2	34.86
438.4	35.37
438.6	35.86
438.8	35.98
439.0	36.08
439.2	35.93
439.4	36.43
439.6	36.95
439.8	37.84
440.0	38.04
440.2	38.52
440.4	38.68
440.6	38.92
440.8	39.61
441.0	39.98
441.2	40.41
441.4	40.78
441.6	41.17
441.8	41.75
442.0	42.45
442.2	42.74
442.4	43.38
442.6	43.96
442.8	44.73
443.0	45.31
443.2	45.79
443.4	45.82
443.6	46.30
443.8	46.78
444.0	47.53
444.2	48.32
444.4	49.04
444.6	49.46
444.8	50.25
445.0	51.16
445.2	52.13
445.4	52.72
445.6	52.80
445.8	52.95
446.0	53.65
446.2	54.89
446.4	55.73
446.6	56.53
446.8	57.06
447.0	57.86
447.2	58.91
447.4	59.23
447.6	59.81
447.8	60.47
448.0	61.22
448.2	62.09
448.4	62.86
448.6	63.39
448.8	64.35
449.0	64.86
449.2	65.80
449.4	66.58
449.6	67.18
449.8	68.22
450.0	68.72
450.2	69.45
450.4	70.43
450.6	71.76
450.8	72.90
451.0	73.88
451.2	74.40
451.4	74.83
451.6	75.24
451.8	75.84
452.0	76.29
452.2	77.47
452.4	78.39
452.6	79.37
452.8	80.26
453.0	80.77
453.2	80.90
453.4	81.86
453.6	82.33
453.8	83.38
454.0	83.72
454.2	84.18
454.4	84.36
454.6	85.51
454.8	85.90
455.0	86.80
455.2	87.56
455.4	88.00
455.6	88.70
455.8	90.21
456.0	90.20
456.2	90.79
456.4	91.45
456.6	91.70
456.8	92.86
457.0	93.78
457.2	94.09
457.4	94.42
457.6	94.42
457.8	94.62
458.0	95.84
458.2	96.87
458.4	97.28
458.6	97.82
458.8	98.29
459.0	98.94
459.2	99.70
459.4	100.1
459.6	99.45
459.8	99.96
460.0	100.5
460.2	101.6
460.4	102.2
460.6	103.0
460.8	103.4
461.0	104.5
461.2	105.7
461.4	106.5
461.6	106.9
461.8	107.7
462.0	108.0
462.2	108.7
462.4	109.7
462.6	110.4
462.8	111.5
463.0	113.3
