Sample:	'20211010A(EM)
File name:	G-CDS-CHO-600-S2- 20h.FDS
Run date:	'09:33:33, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	430 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	540.4	777.2	5654	777.2	5.866
2	777.2	803.2	850.0	80.18	850.0	3.021

Data points
nm	Data
420.0	110.5
420.2	110.5
420.4	111.4
420.6	112.7
420.8	113.9
421.0	114.2
421.2	114.4
421.4	114.7
421.6	115.8
421.8	116.6
422.0	117.6
422.2	118.4
422.4	119.2
422.6	119.6
422.8	120.4
423.0	121.1
423.2	122.2
423.4	123.4
423.6	124.5
423.8	124.9
424.0	125.2
424.2	125.4
424.4	125.9
424.6	126.6
424.8	127.7
425.0	128.2
425.2	128.8
425.4	129.6
425.6	130.1
425.8	131.1
426.0	132.0
426.2	133.0
426.4	134.0
426.6	135.0
426.8	135.9
427.0	136.7
427.2	136.8
427.4	137.4
427.6	138.0
427.8	138.6
428.0	139.3
428.2	140.3
428.4	140.9
428.6	141.9
428.8	143.5
429.0	144.4
429.2	144.9
429.4	145.6
429.6	145.3
429.8	145.4
430.0	146.2
430.2	147.2
430.4	147.6
430.6	148.8
430.8	149.4
431.0	150.5
431.2	151.7
431.4	153.3
431.6	153.8
431.8	154.9
432.0	155.6
432.2	156.4
432.4	157.0
432.6	158.2
432.8	158.7
433.0	159.5
433.2	160.7
433.4	161.9
433.6	162.5
433.8	163.4
434.0	163.7
434.2	164.3
434.4	165.3
434.6	166.2
434.8	166.4
435.0	167.0
435.2	168.1
435.4	169.5
435.6	171.3
435.8	172.5
436.0	173.4
436.2	174.0
436.4	174.9
436.6	175.1
436.8	175.2
437.0	176.3
437.2	177.9
437.4	179.0
437.6	180.8
437.8	181.5
438.0	182.3
438.2	183.7
438.4	184.7
438.6	185.5
438.8	187.2
439.0	188.2
439.2	189.5
439.4	190.3
439.6	191.6
439.8	192.7
440.0	194.4
440.2	196.0
440.4	197.4
440.6	198.2
440.8	199.4
441.0	199.8
441.2	199.9
441.4	201.3
441.6	203.0
441.8	205.1
442.0	206.7
442.2	208.1
442.4	209.2
442.6	210.5
442.8	211.8
443.0	213.5
443.2	214.8
443.4	216.2
443.6	217.8
443.8	218.9
444.0	220.1
444.2	221.9
444.4	223.2
444.6	225.2
444.8	226.8
445.0	229.7
445.2	232.1
445.4	234.4
445.6	235.5
445.8	237.0
446.0	237.3
446.2	239.0
446.4	239.9
446.6	242.1
446.8	244.7
447.0	247.3
447.2	249.5
447.4	250.7
447.6	252.0
447.8	254.4
448.0	256.9
448.2	258.5
448.4	260.6
448.6	261.3
448.8	263.0
449.0	264.7
449.2	266.5
449.4	267.9
449.6	270.2
449.8	272.6
450.0	275.4
450.2	277.7
450.4	279.9
450.6	281.9
450.8	284.0
451.0	286.0
451.2	287.7
451.4	288.7
451.6	289.6
451.8	290.8
452.0	292.5
452.2	293.8
452.4	296.1
452.6	298.1
452.8	300.2
453.0	301.1
453.2	303.4
453.4	305.5
453.6	307.9
453.8	310.3
454.0	312.2
454.2	313.1
454.4	314.9
454.6	316.8
454.8	318.0
455.0	319.6
455.2	322.1
455.4	324.6
455.6	326.8
455.8	328.9
456.0	330.2
456.2	332.5
456.4	335.6
456.6	336.7
456.8	338.4
457.0	339.6
457.2	341.4
457.4	344.1
457.6	347.1
457.8	348.7
458.0	351.3
458.2	353.0
458.4	354.5
458.6	355.8
458.8	357.7
459.0	359.2
459.2	361.8
459.4	365.4
459.6	368.7
459.8	371.2
460.0	373.6
460.2	375.1
460.4	377.0
460.6	380.1
460.8	383.8
461.0	386.5
461.2	389.7
461.4	392.8
461.6	395.0
461.8	398.1
462.0	401.7
462.2	404.9
462.4	407.6
462.6	410.9
462.8	413.5
463.0	417.1
463.2	420.9
463.4	423.7
463.6	425.9
463.8	429.7
464.0	432.6
464.2	436.5
464.4	441.6
464.6	446.3
464.8	450.2
465.0	454.4
465.2	457.2
465.4	461.4
465.6	465.6
465.8	470.7
466.0	474.9
466.2	479.3
466.4	484.8
466.6	490.6
466.8	495.1
467.0	500.1
467.2	505.4
467.4	511.2
467.6	518.1
467.8	523.6
468.0	528.6
468.2	534.6
468.4	539.7
468.6	545.0
468.8	550.7
469.0	556.2
469.2	562.1
469.4	568.4
469.6	575.2
469.8	581.2
470.0	588.0
470.2	595.3
470.4	602.6
470.6	609.8
470.8	617.8
471.0	624.7
471.2	631.6
471.4	639.6
471.6	646.9
471.8	654.0
472.0	661.1
472.2	667.7
472.4	674.6
472.6	683.7
472.8	692.4
473.0	700.9
473.2	710.0
473.4	717.2
473.6	723.7
473.8	731.4
474.0	739.4
474.2	749.9
474.4	758.7
474.6	768.1
474.8	776.1
475.0	784.5
475.2	793.1
475.4	804.1
475.6	812.6
475.8	824.8
476.0	834.9
476.2	845.0
476.4	853.5
476.6	862.4
476.8	870.0
477.0	880.4
477.2	889.9
477.4	899.9
477.6	910.4
477.8	920.5
478.0	928.8
478.2	938.2
478.4	947.2
478.6	957.9
478.8	970.8
479.0	982.1
479.2	993.6
479.4	1004
479.6	1015
479.8	1026
480.0	1038
480.2	1048
480.4	1060
480.6	1070
480.8	1080
481.0	1090
481.2	1101
481.4	1113
481.6	1125
481.8	1136
482.0	1147
482.2	1157
482.4	1169
482.6	1180
482.8	1192
483.0	1204
483.2	1215
483.4	1225
483.6	1236
483.8	1247
484.0	1257
484.2	1270
484.4	1282
484.6	1294
484.8	1305
485.0	1317
485.2	1330
485.4	1345
485.6	1357
485.8	1370
486.0	1382
486.2	1394
486.4	1404
486.6	1414
486.8	1424
487.0	1438
487.2	1450
487.4	1462
487.6	1473
487.8	1484
488.0	1497
488.2	1511
488.4	1524
488.6	1538
488.8	1549
489.0	1562
489.2	1577
489.4	1591
489.6	1604
489.8	1619
490.0	1630
490.2	1645
490.4	1659
490.6	1671
490.8	1682
491.0	1694
491.2	1708
491.4	1725
491.6	1740
491.8	1755
492.0	1768
492.2	1782
492.4	1797
492.6	1809
492.8	1819
493.0	1833
493.2	1846
493.4	1860
493.6	1876
493.8	1890
494.0	1905
494.2	1922
494.4	1938
494.6	1951
494.8	1969
495.0	1987
495.2	2005
495.4	2022
495.6	2036
495.8	2051
496.0	2066
496.2	2084
496.4	2100
496.6	2115
496.8	2131
497.0	2147
497.2	2164
497.4	2182
497.6	2199
497.8	2214
498.0	2228
498.2	2245
498.4	2261
498.6	2278
498.8	2297
499.0	2316
499.2	2333
499.4	2354
499.6	2372
499.8	2390
500.0	2405
500.2	2421
500.4	2440
500.6	2462
500.8	2486
501.0	2510
501.2	2529
501.4	2545
501.6	2565
501.8	2585
502.0	2605
502.2	2624
502.4	2643
502.6	2659
502.8	2676
503.0	2694
503.2	2714
503.4	2733
503.6	2753
503.8	2777
504.0	2797
504.2	2820
504.4	2842
504.6	2862
504.8	2882
505.0	2905
505.2	2926
505.4	2950
505.6	2971
505.8	2995
506.0	3014
506.2	3034
506.4	3056
506.6	3080
506.8	3100
507.0	3123
507.2	3142
507.4	3164
507.6	3189
507.8	3214
508.0	3235
508.2	3256
508.4	3276
508.6	3297
508.8	3318
509.0	3339
509.2	3361
509.4	3385
509.6	3409
509.8	3434
510.0	3454
510.2	3476
510.4	3500
