Sample:	'20211010A(EM)
File name:	G-CDS-CHO-yuan-S2- new.FDS
Run date:	'09:36:13, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	430 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	548.2	549.6	1887	549.6	1881
2	549.6	551.0	774.4	1888	774.4	4.090
3	774.4	803.0	850.0	256.1	850.0	3.094

Data points
nm	Data
420.0	149.0
420.2	150.7
420.4	151.4
420.6	151.6
420.8	151.4
421.0	152.0
421.2	151.8
421.4	151.5
421.6	152.0
421.8	151.4
422.0	151.3
422.2	152.4
422.4	153.0
422.6	153.8
422.8	154.5
423.0	154.6
423.2	154.6
423.4	154.8
423.6	154.6
423.8	154.1
424.0	154.3
424.2	155.0
424.4	156.0
424.6	157.0
424.8	157.2
425.0	157.2
425.2	157.2
425.4	157.5
425.6	157.9
425.8	158.1
426.0	158.8
426.2	159.1
426.4	158.9
426.6	159.3
426.8	159.5
427.0	159.7
427.2	161.0
427.4	161.6
427.6	161.5
427.8	162.1
428.0	162.0
428.2	162.0
428.4	162.6
428.6	163.2
428.8	162.8
429.0	163.1
429.2	163.3
429.4	163.1
429.6	163.1
429.8	163.8
430.0	163.7
430.2	164.4
430.4	164.7
430.6	164.7
430.8	165.0
431.0	165.8
431.2	166.0
431.4	166.7
431.6	166.4
431.8	166.6
432.0	167.4
432.2	168.3
432.4	168.3
432.6	169.2
432.8	169.4
433.0	169.9
433.2	170.2
433.4	170.3
433.6	170.1
433.8	170.7
434.0	171.4
434.2	171.6
434.4	171.7
434.6	171.8
434.8	172.1
435.0	172.5
435.2	172.9
435.4	173.0
435.6	173.9
435.8	174.5
436.0	175.1
436.2	175.2
436.4	175.5
436.6	175.6
436.8	176.3
437.0	177.2
437.2	178.1
437.4	178.9
437.6	179.2
437.8	178.7
438.0	179.4
438.2	180.4
438.4	180.9
438.6	181.5
438.8	181.4
439.0	181.1
439.2	181.7
439.4	181.8
439.6	181.9
439.8	181.9
440.0	182.8
440.2	183.7
440.4	185.0
440.6	185.9
440.8	186.3
441.0	186.8
441.2	187.3
441.4	187.9
441.6	188.8
441.8	189.4
442.0	190.0
442.2	191.0
442.4	191.5
442.6	192.2
442.8	192.6
443.0	192.6
443.2	192.9
443.4	193.5
443.6	195.0
443.8	196.6
444.0	197.6
444.2	198.4
444.4	198.8
