Sample:	'20211010A(EM)
File name:	G-CDS-CHO-yuan-S2- new.FDS
Run date:	'09:22:14, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	465 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	551.8	779.2	7172	779.2	10.13
2	779.2	803.8	850.0	90.62	850.0	2.287

Data points
nm	Data
420.0	30.58
420.2	31.02
420.4	31.08
420.6	31.05
420.8	31.59
421.0	31.88
421.2	32.08
421.4	32.66
421.6	33.11
421.8	33.09
422.0	33.15
422.2	33.08
422.4	33.24
422.6	33.67
422.8	33.97
423.0	34.23
423.2	34.29
423.4	34.45
423.6	34.77
423.8	35.10
424.0	35.20
424.2	35.23
424.4	35.69
424.6	35.73
424.8	35.82
425.0	36.01
425.2	35.96
425.4	36.20
425.6	36.80
425.8	37.08
426.0	37.02
426.2	37.02
426.4	36.82
426.6	37.06
426.8	37.27
427.0	37.80
427.2	38.11
427.4	38.45
427.6	38.98
427.8	39.00
428.0	39.06
428.2	39.08
428.4	39.22
428.6	39.50
428.8	40.06
429.0	40.29
429.2	40.85
429.4	40.61
429.6	40.52
429.8	41.06
430.0	41.24
430.2	41.54
430.4	41.86
430.6	41.93
430.8	42.69
431.0	43.75
431.2	44.01
431.4	44.07
431.6	43.86
431.8	43.63
432.0	43.94
432.2	44.08
432.4	44.25
432.6	44.79
432.8	45.19
433.0	45.46
433.2	45.78
433.4	46.03
433.6	46.17
433.8	46.48
434.0	46.56
434.2	46.97
434.4	47.15
434.6	47.62
434.8	48.13
435.0	48.72
435.2	49.17
435.4	49.67
435.6	49.98
435.8	50.24
436.0	50.57
436.2	51.16
436.4	51.34
436.6	51.66
436.8	52.30
437.0	52.61
437.2	53.17
437.4	54.05
437.6	54.40
437.8	54.99
438.0	55.29
438.2	55.44
438.4	55.83
438.6	56.37
438.8	56.82
439.0	57.59
439.2	57.91
439.4	58.08
439.6	58.30
439.8	58.48
440.0	59.11
440.2	60.47
440.4	61.29
440.6	61.34
440.8	61.77
441.0	62.55
441.2	63.42
441.4	64.75
441.6	65.84
441.8	66.00
442.0	66.28
442.2	67.05
442.4	66.79
442.6	66.95
442.8	67.83
443.0	68.73
443.2	69.44
443.4	70.65
443.6	71.28
443.8	72.14
444.0	72.78
444.2	73.54
444.4	73.87
444.6	74.59
444.8	75.74
445.0	76.85
445.2	77.77
445.4	78.61
445.6	79.46
445.8	80.21
446.0	80.83
446.2	81.90
446.4	82.79
446.6	83.74
446.8	85.01
