Sample:	'20211010A(EM)
File name:	300.FDS
Run date:	'15:00:20, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	380 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	523.6	526.8	6083	526.8	6053
2	526.8	527.6	781.8	6067	781.8	3.716
3	781.8	803.8	850.0	15.43	850.0	1.598

Data points
nm	Data
420.0	21.88
420.2	22.19
420.4	22.31
420.6	22.33
420.8	22.45
421.0	22.51
421.2	22.62
421.4	22.89
421.6	23.05
421.8	23.15
422.0	23.29
422.2	23.38
422.4	23.49
422.6	23.71
422.8	23.89
423.0	24.12
423.2	24.08
423.4	24.04
423.6	24.05
423.8	24.25
424.0	24.58
424.2	24.88
424.4	24.88
424.6	24.96
424.8	25.01
425.0	25.28
425.2	25.62
425.4	25.83
425.6	26.02
425.8	26.31
426.0	26.29
426.2	26.33
426.4	26.43
426.6	26.50
426.8	26.70
427.0	26.85
427.2	26.91
427.4	26.95
427.6	27.21
427.8	27.47
428.0	27.78
428.2	27.96
428.4	28.15
428.6	28.23
428.8	28.44
429.0	28.61
429.2	28.81
429.4	29.00
429.6	29.16
429.8	29.27
430.0	29.39
430.2	29.55
430.4	29.68
430.6	29.96
430.8	30.18
431.0	30.40
431.2	30.67
431.4	31.01
431.6	31.28
431.8	31.39
432.0	31.44
432.2	31.57
432.4	31.78
432.6	32.02
432.8	32.29
433.0	32.44
433.2	32.57
433.4	32.86
433.6	33.16
433.8	33.48
434.0	33.68
434.2	34.11
434.4	34.31
434.6	34.60
434.8	34.77
435.0	35.02
435.2	35.23
435.4	35.58
435.6	35.87
435.8	36.24
436.0	36.52
436.2	36.93
436.4	37.29
436.6	37.57
436.8	37.98
437.0	38.37
437.2	38.75
437.4	39.14
437.6	39.34
437.8	39.50
438.0	39.77
438.2	40.18
438.4	40.62
438.6	41.15
438.8	41.69
439.0	42.12
439.2	42.85
439.4	43.44
439.6	43.81
439.8	44.17
440.0	44.59
440.2	45.11
440.4	45.84
440.6	46.51
440.8	47.14
441.0	47.82
441.2	48.50
441.4	49.26
441.6	49.84
441.8	50.39
442.0	51.08
442.2	51.81
442.4	52.46
442.6	53.22
442.8	53.86
443.0	54.67
443.2	55.41
443.4	56.13
443.6	56.74
443.8	57.69
444.0	58.61
444.2	59.91
444.4	60.83
444.6	61.70
444.8	62.47
445.0	63.40
445.2	64.50
445.4	65.79
445.6	66.87
445.8	67.91
446.0	69.03
446.2	70.21
446.4	71.32
446.6	72.33
446.8	73.17
447.0	74.07
447.2	75.38
447.4	77.11
447.6	78.68
447.8	79.90
448.0	81.01
448.2	82.43
448.4	83.74
448.6	85.04
448.8	86.64
449.0	87.74
449.2	89.28
449.4	91.00
449.6	92.65
449.8	94.55
450.0	96.63
450.2	98.33
450.4	100.4
450.6	102.1
450.8	104.0
451.0	105.8
451.2	107.3
451.4	109.0
451.6	111.4
451.8	113.7
452.0	115.9
452.2	117.8
452.4	119.8
452.6	121.9
452.8	124.4
453.0	127.0
453.2	129.3
453.4	131.8
453.6	134.3
453.8	136.6
454.0	139.0
454.2	141.8
454.4	144.4
454.6	147.4
454.8	150.6
455.0	154.0
455.2	157.4
455.4	161.0
455.6	163.7
455.8	167.2
456.0	170.6
456.2	174.4
456.4	178.6
456.6	182.5
456.8	186.0
457.0	189.8
457.2	193.7
457.4	197.9
