Sample:	'20211010A(EM)
File name:	ԭʼ.FDS
Run date:	'15:05:47, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	380 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	525.4	781.6	5146	781.6	3.407
2	781.6	804.0	850.0	15.57	850.0	1.651

Data points
nm	Data
420.0	33.95
420.2	33.51
420.4	33.62
420.6	34.05
420.8	34.50
421.0	35.04
421.2	35.35
421.4	35.41
421.6	35.45
421.8	35.73
422.0	36.00
422.2	36.57
422.4	36.97
422.6	37.11
422.8	37.21
423.0	37.57
423.2	37.91
423.4	38.49
423.6	38.85
423.8	39.04
424.0	39.25
424.2	39.54
424.4	39.76
424.6	40.08
424.8	40.46
425.0	40.57
425.2	40.72
425.4	40.99
425.6	41.41
425.8	42.00
426.0	42.48
426.2	42.74
426.4	43.00
426.6	43.51
426.8	43.79
427.0	44.17
427.2	44.18
427.4	44.47
427.6	44.88
427.8	45.39
428.0	45.77
428.2	46.20
428.4	46.32
428.6	46.70
428.8	47.10
429.0	47.68
429.2	48.09
429.4	48.31
429.6	48.40
429.8	48.68
430.0	49.17
430.2	49.80
430.4	49.93
430.6	50.31
430.8	50.56
431.0	50.88
431.2	51.52
431.4	51.95
431.6	52.28
431.8	52.88
432.0	53.31
432.2	53.75
432.4	54.39
432.6	54.85
432.8	55.25
433.0	55.65
433.2	56.03
433.4	56.36
433.6	56.87
433.8	57.49
434.0	57.86
434.2	58.27
434.4	58.76
434.6	59.06
434.8	59.60
435.0	60.14
435.2	60.60
435.4	61.27
435.6	61.86
435.8	62.46
436.0	62.96
436.2	63.52
436.4	64.03
436.6	64.65
436.8	65.08
437.0	65.70
437.2	66.07
437.4	66.92
437.6	67.57
437.8	68.11
438.0	68.67
438.2	69.34
438.4	69.90
438.6	70.79
438.8	71.72
439.0	72.43
439.2	73.29
439.4	74.00
439.6	74.76
439.8	75.59
440.0	76.40
440.2	76.97
440.4	77.62
440.6	78.32
440.8	79.20
441.0	80.09
441.2	80.89
441.4	81.88
441.6	82.70
441.8	83.63
442.0	84.35
442.2	85.23
442.4	86.02
442.6	87.26
442.8	88.25
443.0	89.20
443.2	90.16
443.4	91.31
443.6	92.33
443.8	93.38
444.0	94.52
444.2	95.74
444.4	96.92
444.6	98.00
444.8	99.00
445.0	100.0
445.2	101.5
445.4	103.4
445.6	104.9
445.8	106.2
446.0	107.2
446.2	108.4
446.4	109.8
446.6	111.3
446.8	112.8
447.0	114.2
447.2	115.5
447.4	117.0
447.6	118.5
447.8	119.7
448.0	121.2
448.2	122.8
448.4	124.5
448.6	126.2
448.8	127.8
449.0	129.3
449.2	130.6
449.4	132.3
449.6	134.3
449.8	136.4
450.0	138.5
450.2	140.6
450.4	142.3
450.6	144.2
450.8	146.2
451.0	148.2
451.2	150.4
451.4	152.6
451.6	154.8
451.8	157.0
452.0	159.4
452.2	161.7
452.4	164.0
452.6	166.4
452.8	168.6
453.0	170.7
453.2	173.3
453.4	176.3
453.6	179.0
453.8	181.6
454.0	184.0
454.2	186.5
454.4	189.3
454.6	193.0
454.8	196.5
455.0	199.8
455.2	203.4
455.4	206.4
455.6	209.2
455.8	212.5
456.0	215.4
456.2	219.3
456.4	223.4
456.6	227.1
456.8	231.0
457.0	235.2
457.2	238.5
457.4	242.8
457.6	246.8
457.8	251.2
458.0	255.8
458.2	260.8
458.4	265.3
458.6	270.1
458.8	274.7
459.0	279.5
459.2	284.7
459.4	290.4
459.6	296.3
459.8	302.0
460.0	307.7
460.2	313.4
460.4	319.8
460.6	326.4
460.8	333.0
461.0	338.8
461.2	345.1
461.4	351.7
461.6	359.1
461.8	366.8
462.0	374.0
462.2	381.2
462.4	388.2
462.6	395.6
462.8	404.0
463.0	412.6
463.2	421.5
463.4	430.3
463.6	438.3
463.8	446.6
464.0	455.4
464.2	464.4
464.4	474.0
464.6	484.2
464.8	494.5
465.0	505.0
465.2	515.2
465.4	524.7
465.6	533.9
465.8	545.3
466.0	557.4
466.2	569.5
466.4	581.5
466.6	593.4
466.8	603.8
467.0	615.7
467.2	627.4
467.4	639.1
467.6	652.1
467.8	666.2
468.0	680.2
468.2	694.0
468.4	706.6
468.6	719.3
468.8	731.9
469.0	746.1
469.2	761.4
469.4	776.0
469.6	790.5
469.8	805.6
470.0	820.7
470.2	837.1
470.4	853.8
470.6	870.1
470.8	885.7
471.0	901.4
471.2	917.2
471.4	933.5
471.6	950.0
471.8	966.2
472.0	983.1
472.2	1001
472.4	1019
472.6	1038
472.8	1055
473.0	1072
473.2	1090
473.4	1108
473.6	1127
473.8	1146
474.0	1164
474.2	1183
474.4	1202
474.6	1222
474.8	1242
475.0	1261
475.2	1280
475.4	1299
475.6	1319
475.8	1338
476.0	1359
476.2	1379
476.4	1399
476.6	1419
476.8	1440
477.0	1461
477.2	1482
477.4	1503
477.6	1524
477.8	1547
478.0	1569
478.2	1591
478.4	1612
478.6	1633
478.8	1653
479.0	1675
479.2	1695
479.4	1718
479.6	1743
479.8	1764
480.0	1786
480.2	1809
480.4	1829
480.6	1852
480.8	1874
481.0	1896
481.2	1918
481.4	1939
481.6	1961
481.8	1984
482.0	2006
482.2	2029
482.4	2052
482.6	2074
482.8	2095
483.0	2117
483.2	2138
483.4	2161
483.6	2186
483.8	2212
484.0	2235
484.2	2257
484.4	2277
484.6	2298
484.8	2320
485.0	2343
485.2	2366
485.4	2388
485.6	2410
485.8	2431
486.0	2453
486.2	2476
486.4	2500
486.6	2523
486.8	2545
487.0	2568
487.2	2591
487.4	2616
487.6	2639
487.8	2660
488.0	2680
488.2	2700
488.4	2721
488.6	2745
488.8	2767
489.0	2789
489.2	2810
489.4	2830
489.6	2852
489.8	2874
490.0	2894
490.2	2915
490.4	2935
490.6	2957
490.8	2976
491.0	2999
491.2	3020
491.4	3043
491.6	3068
491.8	3089
492.0	3105
492.2	3124
492.4	3143
492.6	3168
492.8	3195
493.0	3217
493.2	3239
493.4	3258
493.6	3277
493.8	3297
494.0	3316
494.2	3336
494.4	3356
494.6	3373
494.8	3393
495.0	3413
495.2	3434
495.4	3453
495.6	3471
495.8	3487
496.0	3507
496.2	3528
496.4	3549
496.6	3568
496.8	3585
497.0	3603
497.2	3621
497.4	3641
497.6	3662
497.8	3684
498.0	3705
498.2	3724
498.4	3743
498.6	3764
498.8	3784
