Sample:	'20211010A(EM)
File name:	300.FDS
Run date:	'16:51:19, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	410.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	820.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	410 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	429.6	532.4	535.8	7621	535.8	7577
2	535.8	536.8	795.8	7584	795.8	3.811

Data points
nm	Data
420.0	1373
420.2	1268
420.4	1174
420.6	1089
420.8	1011
421.0	939.4
421.2	872.2
421.4	805.2
421.6	745.0
421.8	687.9
422.0	634.8
422.2	583.2
422.4	535.9
422.6	490.6
422.8	449.0
423.0	410.1
423.2	375.2
423.4	341.2
423.6	311.2
423.8	282.1
424.0	255.2
424.2	230.0
424.4	207.6
424.6	186.2
424.8	167.3
425.0	149.5
425.2	134.0
425.4	120.2
425.6	107.9
425.8	96.62
426.0	86.38
426.2	77.27
426.4	69.50
426.6	63.04
426.8	57.59
427.0	52.28
427.2	47.74
427.4	43.69
427.6	40.07
427.8	37.46
428.0	35.23
428.2	33.36
428.4	32.06
428.6	31.02
428.8	30.10
429.0	29.50
429.2	28.82
429.4	28.40
429.6	28.20
429.8	28.35
430.0	28.58
430.2	28.92
430.4	29.18
430.6	29.16
430.8	29.21
431.0	29.49
431.2	29.76
431.4	30.00
431.6	30.12
431.8	30.25
432.0	30.61
432.2	30.86
432.4	31.13
432.6	31.39
432.8	31.54
433.0	32.00
433.2	32.37
433.4	32.58
433.6	32.74
433.8	32.93
434.0	33.08
434.2	33.68
434.4	34.07
434.6	34.62
434.8	34.94
435.0	35.31
435.2	35.56
435.4	35.80
435.6	36.04
435.8	36.48
436.0	36.79
436.2	37.33
436.4	37.89
436.6	38.25
436.8	38.71
437.0	39.30
437.2	39.66
437.4	40.02
437.6	40.35
437.8	40.90
438.0	41.16
438.2	41.68
438.4	42.28
438.6	42.80
438.8	43.43
439.0	44.09
439.2	44.57
439.4	45.02
439.6	45.57
439.8	46.29
440.0	46.97
440.2	47.44
440.4	48.25
440.6	48.89
440.8	49.63
441.0	50.58
441.2	51.16
441.4	51.82
441.6	52.40
441.8	53.18
442.0	53.91
442.2	54.77
442.4	55.68
442.6	56.45
442.8	57.23
443.0	58.32
443.2	59.23
443.4	60.00
443.6	60.70
443.8	61.54
444.0	62.50
444.2	63.33
444.4	64.29
444.6	65.05
444.8	65.95
445.0	67.38
445.2	68.72
445.4	69.71
445.6	70.57
445.8	71.32
446.0	72.14
446.2	73.12
446.4	74.57
446.6	75.80
446.8	76.83
447.0	78.09
447.2	79.15
447.4	80.26
447.6	82.00
447.8	83.09
448.0	84.30
448.2	85.57
448.4	86.56
448.6	87.96
448.8	89.69
449.0	90.78
449.2	92.23
