Sample:	'20211010A(EM)
File name:	G-NI-CHO 430V.FDS
Run date:	'16:41:48, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	410.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	820.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	430 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	429.0	532.2	533.0	9291	533.0	9280
2	533.0	536.0	793.8	9327	793.8	4.805

Data points
nm	Data
420.0	363.2
420.2	345.6
420.4	324.7
420.6	302.4
420.8	280.9
421.0	261.9
421.2	246.1
421.4	230.4
421.6	215.6
421.8	201.0
422.0	186.9
422.2	172.6
422.4	160.2
422.6	148.4
422.8	137.2
423.0	127.4
423.2	118.7
423.4	109.9
423.6	101.8
423.8	94.12
424.0	87.20
424.2	80.40
424.4	74.20
424.6	68.09
424.8	63.02
425.0	58.35
425.2	54.69
425.4	50.77
425.6	47.46
425.8	44.19
426.0	41.32
426.2	38.45
426.4	36.37
426.6	34.37
426.8	32.82
427.0	31.32
427.2	30.09
427.4	29.09
427.6	28.15
427.8	27.28
428.0	26.83
428.2	26.25
428.4	26.04
428.6	25.84
428.8	25.64
429.0	25.49
429.2	25.71
429.4	25.83
429.6	26.28
429.8	26.66
430.0	26.74
430.2	26.95
430.4	27.10
430.6	27.21
430.8	27.76
431.0	28.41
431.2	28.66
431.4	29.11
431.6	29.21
431.8	29.48
432.0	29.81
432.2	30.30
432.4	30.63
432.6	31.13
432.8	31.60
433.0	32.29
433.2	32.47
433.4	32.54
433.6	33.06
433.8	33.78
434.0	34.74
434.2	35.52
434.4	35.98
434.6	36.27
434.8	36.97
435.0	37.61
435.2	38.31
435.4	39.04
435.6	39.67
435.8	40.44
436.0	41.30
436.2	42.12
436.4	42.93
436.6	43.42
436.8	43.89
437.0	44.43
437.2	45.12
437.4	45.70
437.6	46.51
437.8	47.14
438.0	48.38
438.2	49.46
438.4	50.65
438.6	51.72
438.8	52.52
439.0	53.44
439.2	54.32
439.4	54.90
