Sample:	'20211010A(EM)
File name:	YUAN S2-.FDS
Run date:	'16:56:59, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	410.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	820.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	410 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	429.8	535.4	793.2	4357	793.2	2.815

Data points
nm	Data
420.0	1853
420.2	1752
420.4	1636
420.6	1516
420.8	1405
421.0	1304
421.2	1211
421.4	1122
421.6	1039
421.8	957.5
422.0	884.6
422.2	812.6
422.4	747.2
422.6	684.3
422.8	626.2
423.0	571.9
423.2	523.7
423.4	476.9
423.6	435.5
423.8	394.4
424.0	357.8
424.2	322.9
424.4	291.9
424.6	261.9
424.8	236.5
425.0	212.1
425.2	191.3
425.4	171.7
425.6	153.9
425.8	137.2
426.0	123.0
426.2	110.1
426.4	98.96
426.6	89.40
426.8	80.96
427.0	73.62
427.2	67.05
427.4	61.52
427.6	56.66
427.8	52.60
428.0	49.17
428.2	46.44
428.4	44.03
428.6	42.23
428.8	40.88
429.0	39.98
429.2	39.28
429.4	38.90
429.6	38.58
429.8	38.46
430.0	38.48
430.2	38.64
430.4	38.94
430.6	39.38
430.8	39.57
431.0	39.62
431.2	40.00
431.4	40.46
431.6	40.88
431.8	41.18
432.0	41.20
432.2	41.31
432.4	41.51
432.6	41.63
432.8	41.92
433.0	42.18
433.2	42.42
433.4	43.11
433.6	43.63
433.8	43.74
434.0	44.15
434.2	44.28
434.4	44.75
434.6	45.52
434.8	46.19
435.0	46.35
435.2	46.34
435.4	46.39
435.6	46.62
435.8	46.90
436.0	47.47
436.2	47.77
436.4	48.06
436.6	48.69
436.8	48.93
437.0	49.11
437.2	49.58
437.4	49.90
437.6	50.46
437.8	51.21
438.0	51.52
438.2	51.69
438.4	51.65
438.6	51.76
438.8	52.22
439.0	52.94
439.2	53.52
439.4	54.09
439.6	54.56
439.8	54.89
440.0	55.33
440.2	55.62
440.4	56.00
440.6	56.15
440.8	56.79
441.0	57.24
441.2	57.96
441.4	58.52
441.6	59.16
441.8	59.46
442.0	59.81
442.2	60.31
442.4	60.65
442.6	61.19
442.8	61.61
443.0	62.19
443.2	62.58
443.4	63.39
443.6	63.59
443.8	63.88
444.0	64.36
444.2	64.64
444.4	65.05
444.6	65.86
444.8	66.45
445.0	66.98
445.2	67.64
445.4	68.25
445.6	68.90
445.8	69.90
446.0	70.62
446.2	71.44
446.4	72.01
446.6	72.88
446.8	73.46
447.0	73.82
447.2	74.21
447.4	74.96
447.6	76.20
447.8	77.37
448.0	78.05
448.2	78.23
448.4	78.63
448.6	79.29
448.8	80.32
449.0	81.23
449.2	82.18
449.4	83.08
449.6	83.45
449.8	84.11
450.0	84.72
450.2	85.46
450.4	86.56
450.6	87.59
450.8	88.24
451.0	89.37
451.2	90.61
451.4	91.37
451.6	92.17
451.8	93.04
452.0	93.75
452.2	94.98
452.4	96.18
452.6	97.17
452.8	98.40
453.0	99.44
453.2	100.4
453.4	101.5
453.6	102.6
453.8	104.0
454.0	105.1
454.2	105.9
454.4	107.0
454.6	107.9
454.8	109.4
455.0	111.1
455.2	112.7
455.4	114.4
455.6	115.7
455.8	117.0
456.0	118.3
456.2	119.4
456.4	120.6
456.6	122.3
456.8	124.4
457.0	127.0
457.2	128.6
457.4	129.6
457.6	130.3
457.8	131.6
458.0	133.7
458.2	135.7
458.4	137.5
458.6	139.3
458.8	141.3
459.0	143.9
459.2	146.4
459.4	148.8
459.6	150.7
459.8	153.0
460.0	155.0
460.2	157.4
460.4	159.8
460.6	162.6
460.8	165.0
461.0	168.2
461.2	170.6
461.4	173.0
461.6	175.2
461.8	177.9
462.0	180.9
462.2	183.9
462.4	186.6
462.6	190.0
462.8	193.4
463.0	197.1
463.2	200.3
463.4	203.5
463.6	206.5
463.8	209.8
464.0	213.5
464.2	217.8
464.4	221.9
464.6	226.4
464.8	230.0
465.0	233.4
465.2	237.5
465.4	241.9
465.6	246.1
465.8	250.7
466.0	255.5
466.2	260.0
466.4	265.3
466.6	269.0
466.8	273.0
467.0	277.8
467.2	282.9
467.4	288.0
467.6	293.6
467.8	298.4
468.0	303.7
468.2	309.9
468.4	315.9
468.6	321.3
468.8	326.7
469.0	332.6
469.2	338.3
469.4	345.5
469.6	352.7
469.8	359.4
470.0	366.3
470.2	373.0
470.4	379.5
470.6	386.2
470.8	393.6
471.0	401.5
471.2	409.0
471.4	416.5
471.6	423.7
471.8	430.8
472.0	438.3
472.2	446.8
472.4	454.7
472.6	462.7
