Sample:	'20211010A(EM)
File name:	G-Ni-CDS-600-S2- 20h.FDS
Run date:	'09:50:04, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	450 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	546.8	780.4	7877	780.4	9.185
2	780.4	800.4	850.0	30.22	850.0	2.094

Data points
nm	Data
420.0	3.897
420.2	3.746
420.4	3.694
420.6	3.713
420.8	3.788
421.0	3.867
421.2	3.901
421.4	3.897
421.6	3.972
421.8	3.876
422.0	3.874
422.2	3.880
422.4	3.873
422.6	3.821
422.8	3.777
423.0	3.698
423.2	3.734
423.4	3.772
423.6	3.765
423.8	3.801
424.0	3.901
424.2	3.849
424.4	3.892
424.6	3.904
424.8	3.860
425.0	3.877
425.2	3.968
425.4	3.938
425.6	3.969
425.8	4.023
426.0	4.055
426.2	4.055
426.4	4.099
426.6	4.089
426.8	4.034
427.0	4.075
427.2	3.960
427.4	3.924
427.6	3.952
427.8	3.934
428.0	3.983
428.2	4.144
428.4	4.235
428.6	4.325
428.8	4.356
429.0	4.188
429.2	4.074
429.4	3.999
429.6	4.126
429.8	4.205
430.0	4.334
430.2	4.313
430.4	4.279
430.6	4.324
430.8	4.508
431.0	4.606
431.2	4.672
431.4	4.544
431.6	4.401
431.8	4.314
432.0	4.329
432.2	4.378
432.4	4.479
432.6	4.508
432.8	4.535
433.0	4.571
433.2	4.607
433.4	4.676
433.6	4.703
433.8	4.757
434.0	4.754
434.2	4.713
434.4	4.755
434.6	4.846
434.8	4.925
435.0	5.080
435.2	5.141
435.4	4.950
435.6	4.924
435.8	4.857
436.0	4.868
436.2	4.962
436.4	5.065
436.6	5.163
436.8	5.281
437.0	5.359
437.2	5.407
437.4	5.401
437.6	5.429
437.8	5.442
438.0	5.346
438.2	5.369
438.4	5.384
438.6	5.476
438.8	5.560
439.0	5.585
439.2	5.620
439.4	5.592
439.6	5.618
439.8	5.694
440.0	5.720
440.2	5.873
440.4	6.050
440.6	6.156
440.8	6.357
441.0	6.507
441.2	6.593
441.4	6.705
441.6	6.790
441.8	6.771
442.0	6.836
442.2	6.984
442.4	7.033
442.6	7.107
442.8	7.053
443.0	7.017
443.2	7.054
443.4	7.139
443.6	7.160
443.8	7.396
444.0	7.536
444.2	7.911
444.4	8.034
444.6	8.046
444.8	7.980
445.0	8.019
445.2	8.149
445.4	8.406
445.6	8.557
445.8	8.703
446.0	8.688
446.2	8.872
446.4	9.026
446.6	9.408
446.8	9.546
447.0	9.697
447.2	9.749
447.4	10.01
447.6	10.06
447.8	10.33
448.0	10.13
448.2	10.23
448.4	10.35
448.6	10.63
448.8	10.78
449.0	11.02
449.2	10.98
449.4	11.14
449.6	11.18
449.8	11.42
450.0	11.64
450.2	11.99
450.4	12.21
450.6	12.30
450.8	12.35
451.0	12.47
451.2	12.64
451.4	12.73
451.6	12.88
451.8	13.15
452.0	13.37
452.2	13.73
452.4	13.97
452.6	14.08
452.8	14.27
453.0	14.58
453.2	14.73
453.4	14.85
453.6	15.00
453.8	15.27
454.0	15.36
454.2	15.55
454.4	15.88
454.6	16.03
454.8	16.32
455.0	16.57
455.2	16.80
455.4	16.99
455.6	17.28
455.8	17.28
456.0	17.25
456.2	17.24
456.4	17.61
456.6	17.88
456.8	18.38
457.0	18.74
457.2	18.99
457.4	19.22
457.6	19.28
457.8	19.31
458.0	19.66
458.2	20.06
458.4	20.38
458.6	20.77
458.8	20.80
459.0	21.02
459.2	21.36
459.4	21.80
459.6	22.24
459.8	22.73
460.0	23.06
460.2	23.26
460.4	23.39
460.6	23.65
460.8	24.08
461.0	24.40
461.2	24.70
461.4	25.02
461.6	25.39
461.8	25.92
462.0	26.34
462.2	26.54
462.4	26.79
462.6	27.18
462.8	27.54
463.0	28.06
463.2	28.48
463.4	28.90
463.6	29.45
463.8	30.22
464.0	30.64
464.2	31.14
464.4	31.73
464.6	32.36
464.8	33.10
465.0	34.06
465.2	34.41
465.4	34.83
465.6	35.21
465.8	35.87
466.0	36.79
466.2	37.61
466.4	38.26
466.6	38.83
466.8	39.58
467.0	40.20
467.2	40.90
467.4	41.55
467.6	42.28
467.8	42.95
468.0	44.40
468.2	45.07
468.4	45.93
468.6	46.70
468.8	47.66
469.0	48.35
469.2	49.73
469.4	50.47
469.6	51.37
469.8	52.31
470.0	53.39
470.2	54.69
470.4	56.22
470.6	57.50
470.8	58.78
471.0	60.09
471.2	61.22
471.4	62.89
471.6	64.15
471.8	65.41
472.0	67.13
472.2	68.58
472.4	70.39
472.6	71.99
472.8	73.34
473.0	74.89
473.2	76.62
473.4	78.26
473.6	80.09
473.8	81.77
474.0	83.49
474.2	85.59
474.4	87.84
474.6	90.22
474.8	92.53
475.0	94.49
475.2	96.13
475.4	98.28
475.6	100.5
475.8	103.4
476.0	106.6
476.2	109.3
476.4	111.6
476.6	113.6
476.8	116.1
477.0	119.2
477.2	122.7
477.4	126.4
477.6	129.3
477.8	131.6
478.0	134.4
478.2	137.5
478.4	141.0
478.6	144.9
478.8	149.0
479.0	153.0
479.2	157.2
479.4	161.2
479.6	164.4
479.8	167.8
480.0	171.4
480.2	175.4
480.4	180.7
480.6	185.1
480.8	189.4
481.0	194.0
481.2	198.8
481.4	203.6
481.6	208.7
481.8	212.9
482.0	217.7
482.2	223.0
482.4	228.3
482.6	233.8
482.8	238.7
483.0	244.4
483.2	250.5
483.4	257.0
483.6	263.1
483.8	270.0
484.0	276.5
484.2	282.9
484.4	289.6
484.6	296.0
484.8	302.1
485.0	310.4
485.2	318.6
485.4	325.5
485.6	333.5
485.8	342.3
486.0	350.0
486.2	358.8
486.4	367.2
486.6	374.4
486.8	382.6
487.0	392.4
487.2	401.6
487.4	411.0
487.6	419.7
487.8	428.0
488.0	437.4
488.2	447.4
488.4	458.4
488.6	469.2
488.8	480.5
489.0	491.4
489.2	502.3
489.4	513.1
489.6	524.6
489.8	536.1
490.0	549.2
490.2	562.7
490.4	575.4
490.6	587.4
490.8	598.6
491.0	610.7
491.2	623.3
491.4	638.2
491.6	652.8
491.8	668.5
492.0	682.4
492.2	695.5
492.4	709.1
492.6	722.8
492.8	737.8
493.0	755.6
493.2	772.6
493.4	789.3
493.6	805.9
493.8	821.7
494.0	836.3
494.2	853.4
494.4	870.6
494.6	887.5
494.8	905.3
495.0	925.3
495.2	943.2
495.4	963.7
495.6	984.6
495.8	1007
496.0	1026
496.2	1047
496.4	1065
496.6	1082
496.8	1100
497.0	1123
497.2	1145
497.4	1168
497.6	1189
497.8	1209
498.0	1229
498.2	1252
498.4	1276
498.6	1298
498.8	1321
499.0	1344
499.2	1369
499.4	1395
499.6	1422
499.8	1449
500.0	1477
500.2	1504
500.4	1529
500.6	1553
500.8	1577
501.0	1603
501.2	1631
501.4	1663
501.6	1690
501.8	1718
502.0	1744
502.2	1773
502.4	1801
502.6	1832
502.8	1858
503.0	1887
503.2	1917
503.4	1948
503.6	1976
503.8	2005
504.0	2033
504.2	2065
504.4	2102
504.6	2136
504.8	2170
505.0	2202
505.2	2232
505.4	2267
505.6	2302
505.8	2338
506.0	2371
506.2	2403
506.4	2438
506.6	2474
506.8	2509
507.0	2543
507.2	2576
507.4	2610
507.6	2645
507.8	2678
508.0	2713
508.2	2747
508.4	2784
508.6	2821
508.8	2858
509.0	2898
509.2	2936
509.4	2975
509.6	3012
509.8	3046
510.0	3082
510.2	3120
510.4	3155
510.6	3195
510.8	3230
511.0	3265
511.2	3305
511.4	3343
511.6	3383
511.8	3427
512.0	3467
512.2	3511
512.4	3553
512.6	3589
512.8	3624
513.0	3659
513.2	3691
513.4	3726
513.6	3762
513.8	3807
514.0	3851
514.2	3896
514.4	3939
514.6	3978
514.8	4016
515.0	4059
515.2	4097
515.4	4136
515.6	4180
515.8	4224
516.0	4262
516.2	4302
516.4	4337
516.6	4376
516.8	4419
517.0	4465
517.2	4503
517.4	4544
517.6	4578
517.8	4615
518.0	4650
518.2	4689
518.4	4725
518.6	4769
518.8	4810
519.0	4851
519.2	4890
519.4	4928
519.6	4964
519.8	5005
520.0	5045
520.2	5085
520.4	5123
520.6	5167
520.8	5206
521.0	5250
521.2	5290
521.4	5328
521.6	5356
521.8	5396
522.0	5430
522.2	5474
522.4	5518
522.6	5557
522.8	5590
523.0	5618
523.2	5644
523.4	5678
523.6	5716
523.8	5755
524.0	5789
524.2	5822
524.4	5853
524.6	5890
524.8	5928
525.0	5969
525.2	6009
525.4	6047
525.6	6075
525.8	6106
526.0	6131
526.2	6162
526.4	6198
526.6	6236
526.8	6269
527.0	6303
527.2	6335
527.4	6373
527.6	6403
527.8	6432
528.0	6456
528.2	6484
528.4	6510
528.6	6543
528.8	6572
529.0	6605
529.2	6635
529.4	6663
529.6	6685
529.8	6716
530.0	6745
530.2	6775
530.4	6804
530.6	6834
530.8	6862
531.0	6892
531.2	6913
531.4	6930
531.6	6952
531.8	6982
532.0	7007
532.2	7040
532.4	7065
532.6	7086
532.8	7102
533.0	7119
533.2	7139
533.4	7168
533.6	7195
533.8	7221
534.0	7236
534.2	7252
534.4	7275
534.6	7300
534.8	7325
535.0	7347
535.2	7366
535.4	7382
535.6	7398
535.8	7416
536.0	7433
536.2	7450
536.4	7471
536.6	7484
536.8	7498
537.0	7513
537.2	7525
537.4	7538
537.6	7552
537.8	7568
538.0	7579
538.2	7595
538.4	7609
538.6	7613
538.8	7626
539.0	7642
539.2	7650
539.4	7666
539.6	7683
539.8	7694
540.0	7709
540.2	7723
540.4	7728
540.6	7735
540.8	7742
541.0	7750
541.2	7763
541.4	7776
541.6	7789
541.8	7800
542.0	7799
542.2	7803
542.4	7813
542.6	7817
542.8	7823
543.0	7829
543.2	7832
543.4	7841
543.6	7851
543.8	7861
544.0	7866
544.2	7868
544.4	7868
544.6	7868
544.8	7865
545.0	7868
545.2	7870
545.4	7868
545.6	7868
545.8	7872
546.0	7869
546.2	7874
546.4	7875
546.6	7876
546.8	7877
547.0	7876
547.2	7872
547.4	7872
547.6	7868
547.8	7876
548.0	7873
548.2	7872
548.4	7872
548.6	7871
548.8	7866
549.0	7862
549.2	7855
549.4	7849
549.6	7839
549.8	7838
550.0	7835
550.2	7831
550.4	7824
550.6	7812
550.8	7797
551.0	7792
551.2	7790
551.4	7795
551.6	7792
551.8	7791
552.0	7784
552.2	7774
552.4	7762
552.6	7751
552.8	7738
553.0	7729
553.2	7719
553.4	7713
553.6	7710
553.8	7711
554.0	7706
554.2	7692
554.4	7680
554.6	7661
554.8	7652
555.0	7642
555.2	7632
555.4	7619
555.6	7608
555.8	7591
556.0	7583
556.2	7569
556.4	7561
556.6	7553
556.8	7543
557.0	7526
557.2	7511
557.4	7498
557.6	7488
557.8	7483
558.0	7471
558.2	7456
558.4	7437
558.6	7424
558.8	7413
559.0	7403
559.2	7386
559.4	7365
559.6	7336
559.8	7321
560.0	7312
560.2	7307
560.4	7297
560.6	7280
560.8	7258
561.0	7242
561.2	7228
561.4	7214
561.6	7200
561.8	7184
562.0	7168
562.2	7151
562.4	7137
562.6	7122
562.8	7108
563.0	7093
563.2	7077
563.4	7056
563.6	7034
563.8	7015
564.0	6999
564.2	6984
564.4	6975
564.6	6957
564.8	6942
565.0	6923
565.2	6902
565.4	6876
565.6	6856
565.8	6839
566.0	6826
566.2	6811
566.4	6793
566.6	6770
566.8	6753
567.0	6736
567.2	6718
567.4	6696
567.6	6674
567.8	6659
568.0	6644
568.2	6627
568.4	6610
568.6	6590
568.8	6566
569.0	6549
569.2	6529
569.4	6510
569.6	6485
569.8	6470
570.0	6450
570.2	6427
570.4	6407
570.6	6387
570.8	6369
571.0	6356
571.2	6340
571.4	6318
571.6	6301
571.8	6279
572.0	6263
572.2	6244
572.4	6225
572.6	6205
572.8	6186
573.0	6160
573.2	6138
573.4	6117
573.6	6100
573.8	6081
574.0	6061
574.2	6041
574.4	6022
574.6	5999
574.8	5981
575.0	5956
575.2	5934
575.4	5919
575.6	5907
575.8	5891
576.0	5872
576.2	5841
576.4	5813
576.6	5791
576.8	5775
577.0	5760
577.2	5745
577.4	5724
577.6	5705
577.8	5685
578.0	5666
578.2	5644
578.4	5623
578.6	5601
578.8	5578
579.0	5559
579.2	5539
579.4	5520
579.6	5502
579.8	5489
580.0	5470
580.2	5452
580.4	5429
580.6	5407
580.8	5389
581.0	5372
581.2	5351
581.4	5328
581.6	5303
581.8	5281
582.0	5262
582.2	5244
582.4	5226
582.6	5204
582.8	5185
583.0	5165
583.2	5151
583.4	5134
583.6	5118
583.8	5099
584.0	5078
584.2	5056
584.4	5040
584.6	5021
584.8	5005
585.0	4984
585.2	4962
585.4	4939
585.6	4918
585.8	4896
586.0	4877
586.2	4857
586.4	4837
586.6	4817
586.8	4801
587.0	4781
587.2	4762
587.4	4743
587.6	4719
587.8	4697
588.0	4680
588.2	4660
588.4	4645
588.6	4629
588.8	4609
589.0	4587
589.2	4564
589.4	4542
589.6	4527
589.8	4512
590.0	4493
590.2	4471
590.4	4453
590.6	4431
590.8	4415
591.0	4400
591.2	4382
591.4	4363
591.6	4350
591.8	4330
592.0	4315
592.2	4296
592.4	4277
592.6	4259
592.8	4242
593.0	4225
593.2	4209
593.4	4186
593.6	4167
593.8	4148
594.0	4129
594.2	4112
594.4	4095
594.6	4073
594.8	4057
595.0	4036
595.2	4017
595.4	3998
595.6	3981
595.8	3962
596.0	3945
596.2	3925
596.4	3906
596.6	3893
596.8	3883
597.0	3868
597.2	3852
597.4	3831
597.6	3811
597.8	3796
598.0	3782
598.2	3764
598.4	3745
598.6	3725
598.8	3707
599.0	3691
599.2	3677
599.4	3660
599.6	3642
599.8	3625
600.0	3607
600.2	3589
600.4	3572
600.6	3553
600.8	3536
601.0	3523
601.2	3510
601.4	3497
601.6	3484
601.8	3465
602.0	3446
602.2	3427
602.4	3410
602.6	3396
602.8	3382
603.0	3364
603.2	3345
603.4	3327
603.6	3315
603.8	3298
604.0	3275
604.2	3254
604.4	3237
604.6	3221
604.8	3212
605.0	3198
605.2	3182
605.4	3168
605.6	3153
605.8	3137
