Sample:	'20211010A(EM)
File name:	G-Ni-CDS-CHO-100-S2- 20h.FDS
Run date:	'09:59:07, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	410.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	410 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	430.0	525.8	526.8	3790	526.8	3783
2	526.8	528.2	529.2	3798	529.2	3794
3	529.2	530.0	793.2	3801	793.2	2.113
4	793.2	823.0	850.0	84.44	850.0	1.705

Data points
nm	Data
420.0	755.8
420.2	718.8
420.4	674.5
420.6	627.2
420.8	583.1
421.0	541.9
421.2	504.9
421.4	469.3
421.6	436.2
421.8	404.9
422.0	376.7
422.2	347.9
422.4	320.7
422.6	294.9
422.8	270.4
423.0	248.8
423.2	228.6
423.4	209.6
423.6	192.4
423.8	175.8
424.0	160.2
424.2	145.3
424.4	130.9
424.6	117.8
424.8	106.7
425.0	96.74
425.2	88.38
425.4	79.66
425.6	71.71
425.8	63.86
426.0	57.15
426.2	51.00
426.4	45.85
426.6	41.21
426.8	37.46
427.0	34.11
427.2	31.18
427.4	28.32
427.6	25.66
427.8	23.54
428.0	21.82
428.2	20.60
428.4	19.37
428.6	18.33
428.8	17.30
429.0	16.66
429.2	16.29
429.4	15.99
429.6	15.79
429.8	15.72
430.0	15.66
430.2	15.82
430.4	15.99
430.6	16.03
430.8	16.20
431.0	16.17
431.2	16.06
431.4	16.03
431.6	16.03
431.8	16.11
432.0	16.43
432.2	16.79
432.4	17.06
432.6	17.17
432.8	17.26
433.0	17.31
433.2	17.48
433.4	17.74
433.6	18.00
433.8	18.08
434.0	18.12
434.2	18.21
434.4	18.41
434.6	18.69
434.8	18.96
435.0	19.25
435.2	19.44
435.4	19.45
435.6	19.63
435.8	19.90
436.0	20.19
436.2	20.42
436.4	20.53
436.6	20.62
436.8	20.74
437.0	20.93
437.2	21.40
437.4	21.59
437.6	22.02
437.8	22.49
438.0	22.85
438.2	23.21
438.4	23.63
438.6	23.71
438.8	23.99
439.0	24.40
439.2	24.75
439.4	25.00
439.6	25.19
439.8	25.46
440.0	25.77
440.2	26.26
440.4	26.66
440.6	27.05
440.8	27.63
441.0	28.33
441.2	28.74
441.4	29.15
441.6	29.41
441.8	29.75
442.0	30.22
442.2	30.70
442.4	31.16
442.6	31.78
442.8	32.27
443.0	32.91
443.2	33.37
443.4	33.76
443.6	34.35
443.8	34.96
444.0	35.54
444.2	36.22
444.4	36.52
444.6	37.16
444.8	37.96
445.0	38.89
445.2	39.78
445.4	40.60
445.6	41.13
445.8	41.69
446.0	42.35
446.2	43.17
446.4	44.26
446.6	45.12
446.8	45.84
447.0	46.51
447.2	47.33
447.4	48.00
447.6	48.91
447.8	49.64
448.0	50.58
448.2	51.99
448.4	53.10
448.6	53.93
448.8	54.83
449.0	55.76
449.2	56.89
449.4	58.04
449.6	58.98
449.8	60.12
450.0	61.28
450.2	62.52
450.4	63.70
450.6	64.96
450.8	66.18
451.0	67.62
451.2	69.02
451.4	70.64
451.6	72.10
451.8	73.58
452.0	74.84
452.2	75.84
452.4	77.02
452.6	78.86
452.8	80.60
453.0	82.34
453.2	83.92
453.4	85.58
453.6	87.23
453.8	89.00
454.0	90.92
454.2	92.86
454.4	94.68
454.6	97.05
454.8	99.37
455.0	101.4
455.2	103.4
455.4	105.3
455.6	107.3
455.8	109.5
456.0	112.3
456.2	115.6
456.4	118.1
456.6	120.9
456.8	123.7
457.0	126.3
457.2	128.8
457.4	131.6
457.6	134.0
457.8	136.8
458.0	140.1
458.2	143.8
458.4	147.0
458.6	150.5
458.8	153.9
459.0	157.2
459.2	160.8
459.4	165.4
459.6	169.4
459.8	174.0
460.0	178.4
460.2	182.1
460.4	186.0
460.6	190.3
460.8	194.5
461.0	199.7
461.2	204.9
461.4	210.1
461.6	215.7
461.8	220.7
462.0	225.7
462.2	230.9
462.4	235.3
462.6	240.6
462.8	246.4
463.0	251.9
463.2	258.2
463.4	264.1
463.6	269.8
463.8	276.1
464.0	282.8
464.2	289.7
464.4	297.2
464.6	304.1
464.8	310.6
465.0	317.2
465.2	324.2
465.4	331.9
465.6	339.5
465.8	347.4
466.0	355.2
466.2	362.6
466.4	370.4
466.6	378.2
466.8	385.2
467.0	393.3
467.2	402.0
467.4	411.2
467.6	420.8
467.8	430.0
468.0	438.5
468.2	447.3
468.4	456.4
468.6	466.4
468.8	476.1
469.0	485.6
469.2	494.8
469.4	504.7
469.6	515.5
469.8	526.6
470.0	537.3
470.2	548.1
470.4	558.7
470.6	569.5
470.8	581.0
471.0	591.9
471.2	602.1
471.4	612.9
471.6	624.6
471.8	635.2
472.0	646.8
472.2	658.0
472.4	668.9
472.6	681.2
472.8	693.0
473.0	704.0
473.2	715.6
473.4	727.7
473.6	740.4
473.8	754.3
474.0	767.1
474.2	781.0
474.4	794.1
474.6	807.6
474.8	819.7
475.0	832.4
475.2	845.2
475.4	859.1
475.6	873.3
475.8	887.1
476.0	900.7
476.2	914.2
476.4	927.1
476.6	941.2
476.8	955.2
477.0	967.8
477.2	981.7
477.4	994.0
477.6	1007
477.8	1022
478.0	1037
478.2	1051
478.4	1065
478.6	1079
478.8	1092
479.0	1107
479.2	1123
479.4	1139
479.6	1153
479.8	1168
480.0	1181
480.2	1196
480.4	1212
480.6	1228
480.8	1243
481.0	1257
481.2	1270
481.4	1286
481.6	1300
481.8	1316
482.0	1331
482.2	1346
482.4	1361
482.6	1377
482.8	1392
483.0	1408
483.2	1422
483.4	1435
483.6	1450
483.8	1465
484.0	1483
484.2	1501
484.4	1515
484.6	1530
484.8	1545
485.0	1560
485.2	1576
485.4	1593
485.6	1607
485.8	1621
486.0	1634
486.2	1649
486.4	1665
486.6	1682
486.8	1698
487.0	1713
487.2	1729
487.4	1743
487.6	1759
487.8	1774
488.0	1789
488.2	1804
488.4	1822
488.6	1835
488.8	1851
489.0	1864
489.2	1877
489.4	1893
489.6	1910
489.8	1926
490.0	1944
490.2	1960
490.4	1974
490.6	1990
490.8	2005
491.0	2021
491.2	2039
491.4	2054
491.6	2070
491.8	2085
492.0	2101
492.2	2116
492.4	2131
492.6	2144
492.8	2157
493.0	2170
493.2	2187
493.4	2204
493.6	2220
493.8	2235
494.0	2250
494.2	2265
494.4	2281
494.6	2295
494.8	2309
495.0	2324
495.2	2340
495.4	2356
495.6	2371
495.8	2385
496.0	2399
496.2	2414
496.4	2428
496.6	2443
496.8	2458
497.0	2474
497.2	2490
497.4	2506
497.6	2518
497.8	2531
498.0	2546
498.2	2561
498.4	2575
498.6	2590
498.8	2600
499.0	2612
499.2	2626
499.4	2641
499.6	2657
499.8	2674
500.0	2689
500.2	2705
500.4	2718
500.6	2731
500.8	2743
501.0	2756
501.2	2772
501.4	2787
501.6	2800
501.8	2813
502.0	2825
502.2	2837
502.4	2849
502.6	2864
502.8	2879
503.0	2894
503.2	2908
503.4	2921
503.6	2932
503.8	2942
504.0	2953
504.2	2965
504.4	2979
504.6	2996
504.8	3008
505.0	3020
505.2	3033
505.4	3048
505.6	3064
505.8	3080
506.0	3090
506.2	3099
506.4	3112
506.6	3123
506.8	3136
507.0	3149
507.2	3160
507.4	3168
507.6	3180
507.8	3188
508.0	3198
508.2	3209
508.4	3219
508.6	3229
508.8	3241
509.0	3252
509.2	3262
509.4	3275
509.6	3285
509.8	3296
510.0	3309
510.2	3320
510.4	3330
510.6	3341
510.8	3348
511.0	3357
511.2	3367
511.4	3375
511.6	3385
511.8	3396
512.0	3406
512.2	3414
512.4	3422
512.6	3432
512.8	3440
513.0	3450
513.2	3459
513.4	3467
513.6	3476
513.8	3484
514.0	3494
514.2	3507
514.4	3517
514.6	3526
514.8	3530
515.0	3536
515.2	3544
515.4	3557
515.6	3567
515.8	3575
516.0	3578
516.2	3582
516.4	3588
516.6	3592
516.8	3598
517.0	3605
517.2	3611
517.4	3619
517.6	3631
517.8	3636
518.0	3639
518.2	3643
518.4	3646
518.6	3651
518.8	3657
519.0	3665
519.2	3672
519.4	3679
519.6	3686
519.8	3689
520.0	3694
520.2	3698
520.4	3704
520.6	3708
