Sample:	'20211010A(EM)
File name:	G-Ni-CDS-CHO-yuan-S2- new.FDS
Run date:	'10:06:11, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	410.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	410 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	429.8	527.0	528.0	4179	528.0	4176
2	528.0	528.6	529.6	4180	529.6	4170
3	529.6	531.4	792.8	4182	792.8	2.505
4	792.8	824.0	850.0	140.5	850.0	2.179

Data points
nm	Data
420.0	1265
420.2	1201
420.4	1126
420.6	1048
420.8	973.8
421.0	907.5
421.2	845.5
421.4	784.4
421.6	728.2
421.8	675.0
422.0	626.8
422.2	580.1
422.4	535.1
422.6	492.4
422.8	452.9
423.0	416.1
423.2	383.0
423.4	351.4
423.6	322.4
423.8	294.4
424.0	269.1
424.2	245.0
424.4	223.0
424.6	202.2
424.8	183.7
425.0	166.2
425.2	151.0
425.4	136.9
425.6	124.2
425.8	112.3
426.0	101.3
426.2	91.39
426.4	82.73
426.6	75.77
426.8	69.74
427.0	64.30
427.2	59.47
427.4	55.02
427.6	50.94
427.8	47.77
428.0	44.93
428.2	42.65
428.4	40.89
428.6	39.13
428.8	37.83
429.0	36.96
429.2	36.44
429.4	36.20
429.6	36.09
429.8	35.86
430.0	35.94
430.2	36.00
430.4	36.33
430.6	36.81
430.8	37.46
431.0	37.81
431.2	38.24
431.4	38.70
431.6	38.99
431.8	39.27
432.0	39.76
432.2	40.02
432.4	40.40
432.6	40.93
432.8	41.09
433.0	41.64
433.2	42.23
433.4	42.76
433.6	43.14
433.8	43.39
434.0	43.50
434.2	44.04
434.4	44.58
434.6	45.30
434.8	45.98
435.0	46.56
435.2	46.94
435.4	47.36
435.6	47.59
435.8	48.22
436.0	48.81
436.2	49.35
436.4	49.84
436.6	50.42
436.8	50.89
437.0	51.55
437.2	51.91
437.4	52.62
437.6	53.26
437.8	53.96
438.0	54.63
438.2	55.36
438.4	55.77
438.6	56.52
438.8	56.86
439.0	57.41
439.2	58.20
439.4	58.91
439.6	59.53
439.8	60.20
440.0	60.85
440.2	61.43
440.4	62.59
440.6	63.22
440.8	63.62
441.0	64.31
441.2	65.09
441.4	65.52
441.6	66.48
441.8	67.35
442.0	67.98
442.2	69.22
442.4	70.09
442.6	70.80
442.8	71.60
443.0	72.47
443.2	73.15
443.4	74.31
443.6	75.11
443.8	75.96
444.0	76.86
444.2	77.70
444.4	78.47
444.6	79.28
444.8	80.52
445.0	81.72
445.2	82.98
445.4	84.24
445.6	85.28
445.8	85.91
446.0	87.22
446.2	88.25
446.4	89.61
446.6	90.97
446.8	92.06
447.0	93.18
447.2	94.16
447.4	95.27
447.6	96.40
447.8	97.44
448.0	98.45
448.2	100.1
448.4	101.7
448.6	103.2
448.8	104.7
449.0	105.8
449.2	106.9
449.4	108.5
449.6	110.2
449.8	111.5
450.0	113.4
450.2	114.8
450.4	116.5
450.6	118.0
450.8	119.2
451.0	120.9
451.2	122.5
451.4	124.5
451.6	126.8
451.8	128.4
452.0	130.1
452.2	131.9
452.4	133.4
452.6	135.1
452.8	137.1
453.0	138.8
453.2	140.9
453.4	143.1
453.6	145.6
453.8	147.7
454.0	150.2
454.2	152.2
454.4	153.9
454.6	155.9
454.8	157.9
455.0	160.3
455.2	163.1
455.4	166.2
455.6	169.5
455.8	173.1
456.0	176.2
456.2	179.1
456.4	181.5
456.6	183.9
456.8	187.0
457.0	190.4
457.2	193.7
457.4	196.8
457.6	199.8
457.8	202.8
458.0	206.4
458.2	209.9
458.4	213.1
458.6	216.6
458.8	219.9
459.0	223.6
459.2	228.2
459.4	232.9
459.6	237.4
459.8	242.8
460.0	247.2
460.2	251.1
460.4	255.7
460.6	259.8
460.8	264.0
461.0	269.6
461.2	274.7
461.4	280.8
461.6	286.6
461.8	291.2
462.0	295.7
462.2	301.0
462.4	305.8
462.6	312.1
462.8	318.7
463.0	324.8
463.2	331.0
463.4	336.9
463.6	342.5
463.8	348.8
464.0	355.0
464.2	362.2
464.4	369.8
464.6	377.1
464.8	384.5
465.0	392.5
465.2	398.6
465.4	406.0
465.6	413.3
465.8	421.3
466.0	429.9
466.2	439.2
466.4	447.1
466.6	454.1
466.8	461.5
467.0	468.9
467.2	477.5
467.4	487.6
467.6	497.2
467.8	506.6
468.0	516.0
468.2	524.0
468.4	531.9
468.6	541.1
468.8	549.8
469.0	559.7
469.2	569.4
469.4	580.2
469.6	591.3
469.8	603.2
470.0	614.1
470.2	625.2
470.4	635.4
470.6	646.4
470.8	657.8
471.0	670.0
471.2	682.2
471.4	693.7
471.6	704.5
471.8	714.8
472.0	724.7
472.2	735.9
472.4	748.2
472.6	760.5
472.8	773.0
473.0	784.5
473.2	795.4
473.4	807.4
473.6	819.2
