Sample:	'20211010A(EM)
File name:	G-Ni-CDS-yuan-S2- new.FDS
Run date:	'09:51:57, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	850.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	450 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	554.6	775.6	4182	775.6	7.367
2	775.6	802.8	850.0	214.3	850.0	1.334

Data points
nm	Data
420.0	9.127
420.2	8.716
420.4	8.587
420.6	8.598
420.8	8.506
421.0	8.370
421.2	8.296
421.4	8.306
421.6	8.288
421.8	8.411
422.0	8.463
422.2	8.509
422.4	8.536
422.6	8.487
422.8	8.359
423.0	8.127
423.2	8.002
423.4	8.038
423.6	8.176
423.8	8.316
424.0	8.414
424.2	8.260
424.4	8.143
424.6	8.255
424.8	8.266
425.0	8.147
425.2	8.184
425.4	8.098
425.6	8.210
425.8	8.341
426.0	8.221
426.2	8.194
426.4	8.238
426.6	8.042
426.8	8.062
427.0	7.953
427.2	7.987
427.4	8.176
427.6	8.282
427.8	8.320
428.0	8.514
428.2	8.499
428.4	8.488
428.6	8.454
428.8	8.410
429.0	8.348
429.2	8.349
429.4	8.394
429.6	8.377
429.8	8.338
430.0	8.339
430.2	8.299
430.4	8.330
430.6	8.546
430.8	8.829
431.0	8.800
431.2	8.775
431.4	8.768
431.6	8.754
431.8	8.741
432.0	8.789
432.2	8.592
432.4	8.595
432.6	8.708
432.8	8.856
433.0	9.041
433.2	9.130
433.4	9.056
433.6	9.134
433.8	9.230
434.0	9.123
434.2	9.113
434.4	9.141
434.6	9.110
434.8	9.203
435.0	9.407
435.2	9.405
435.4	9.470
435.6	9.546
435.8	9.572
436.0	9.532
436.2	9.625
436.4	9.721
436.6	9.912
436.8	10.07
437.0	10.12
437.2	10.12
437.4	10.13
437.6	10.22
437.8	10.41
438.0	10.52
438.2	10.69
438.4	10.87
438.6	10.88
438.8	10.80
439.0	10.74
439.2	10.85
439.4	11.09
439.6	11.52
439.8	11.61
440.0	11.53
440.2	11.49
440.4	11.51
440.6	11.47
440.8	11.67
441.0	11.74
441.2	11.92
441.4	12.29
441.6	12.74
441.8	13.00
442.0	13.14
442.2	13.17
442.4	13.06
442.6	13.28
442.8	13.48
443.0	13.65
443.2	13.74
443.4	13.83
443.6	13.77
443.8	13.90
444.0	14.07
444.2	14.44
444.4	14.78
444.6	15.11
444.8	15.21
445.0	15.07
445.2	15.30
445.4	15.59
445.6	15.69
445.8	15.84
446.0	15.95
446.2	15.98
446.4	16.47
446.6	16.79
446.8	16.73
447.0	16.80
447.2	16.98
447.4	17.22
447.6	17.75
447.8	17.92
448.0	18.10
448.2	18.27
448.4	18.43
448.6	18.22
448.8	18.19
449.0	18.23
449.2	18.76
449.4	19.28
449.6	19.92
449.8	20.04
450.0	20.42
450.2	20.81
450.4	20.96
450.6	20.85
450.8	20.93
451.0	20.88
451.2	21.27
451.4	21.73
451.6	22.04
451.8	22.36
452.0	22.78
452.2	22.89
452.4	23.05
452.6	23.27
452.8	23.51
453.0	23.79
453.2	24.01
453.4	24.16
453.6	24.31
453.8	24.59
454.0	25.01
454.2	25.40
454.4	25.61
454.6	25.82
454.8	26.03
455.0	26.23
455.2	26.34
455.4	26.71
455.6	26.72
455.8	26.82
456.0	27.25
456.2	27.97
456.4	28.38
456.6	28.91
456.8	28.91
457.0	28.84
457.2	29.10
457.4	29.49
457.6	29.78
457.8	30.10
458.0	30.17
458.2	30.40
458.4	30.77
458.6	30.95
458.8	31.03
459.0	31.40
459.2	31.41
459.4	31.96
459.6	32.15
459.8	32.55
460.0	32.77
460.2	32.85
460.4	32.60
460.6	33.00
460.8	33.28
461.0	33.74
461.2	34.01
461.4	34.00
461.6	33.81
461.8	34.32
462.0	34.57
462.2	34.72
462.4	34.79
462.6	34.94
462.8	35.10
463.0	35.93
463.2	36.09
463.4	36.38
463.6	36.64
463.8	36.76
464.0	37.13
464.2	37.79
464.4	37.91
464.6	38.18
464.8	38.33
465.0	38.34
465.2	38.80
465.4	39.09
465.6	39.20
465.8	39.48
466.0	39.54
466.2	39.74
466.4	40.17
466.6	40.45
466.8	40.69
467.0	41.02
467.2	41.20
467.4	41.62
467.6	42.06
467.8	42.33
468.0	42.32
468.2	42.49
468.4	42.72
468.6	43.18
468.8	43.82
469.0	44.26
469.2	44.84
469.4	45.56
469.6	45.86
469.8	46.15
470.0	46.14
470.2	46.62
470.4	47.25
470.6	47.80
470.8	48.32
471.0	48.90
471.2	49.28
471.4	50.13
471.6	50.51
471.8	50.68
472.0	51.30
472.2	51.85
472.4	52.12
472.6	52.54
472.8	52.92
473.0	53.07
473.2	53.86
473.4	54.84
473.6	55.54
473.8	56.47
474.0	57.27
474.2	57.71
474.4	58.57
474.6	59.51
474.8	60.19
475.0	61.14
475.2	61.95
475.4	62.64
475.6	63.18
475.8	64.20
476.0	65.04
476.2	66.48
476.4	67.89
476.6	68.74
476.8	69.38
477.0	70.36
477.2	71.26
477.4	72.43
477.6	73.70
477.8	74.86
478.0	76.18
478.2	77.21
478.4	78.14
478.6	79.12
478.8	80.07
479.0	82.03
479.2	83.97
479.4	85.35
479.6	86.82
479.8	88.29
480.0	89.95
480.2	91.78
480.4	93.38
480.6	94.82
480.8	96.20
481.0	97.20
481.2	99.25
481.4	100.7
481.6	102.7
481.8	104.8
482.0	106.6
482.2	108.7
482.4	111.5
482.6	113.4
482.8	115.1
483.0	116.8
483.2	118.1
483.4	120.8
483.6	123.8
483.8	126.3
484.0	128.4
484.2	131.0
484.4	133.4
484.6	136.3
484.8	138.9
485.0	141.2
485.2	143.0
485.4	145.2
485.6	148.0
485.8	151.3
486.0	154.2
486.2	157.5
486.4	160.0
486.6	162.6
486.8	165.3
487.0	169.1
487.2	173.0
487.4	177.2
487.6	180.3
487.8	183.0
488.0	185.9
488.2	189.6
488.4	193.3
488.6	196.4
488.8	200.1
489.0	204.0
489.2	208.8
489.4	214.0
489.6	218.5
489.8	222.5
490.0	226.6
490.2	230.8
490.4	235.6
490.6	240.6
490.8	244.5
491.0	249.0
491.2	253.0
491.4	257.9
491.6	263.4
491.8	269.1
492.0	273.6
492.2	279.1
492.4	283.3
492.6	288.6
492.8	294.3
493.0	299.5
493.2	304.7
493.4	311.3
493.6	317.1
493.8	323.9
494.0	330.5
494.2	335.9
494.4	341.7
494.6	348.2
494.8	354.1
495.0	360.3
495.2	366.7
495.4	372.9
495.6	379.7
495.8	387.2
496.0	394.3
496.2	402.0
496.4	410.5
496.6	418.3
496.8	426.0
497.0	433.2
497.2	439.3
497.4	446.4
497.6	454.5
497.8	461.9
498.0	470.8
498.2	478.6
498.4	486.8
498.6	496.8
498.8	505.1
499.0	513.7
499.2	524.3
499.4	534.5
499.6	544.6
499.8	553.2
500.0	559.8
500.2	568.0
500.4	578.3
500.6	590.3
500.8	601.9
501.0	612.2
501.2	621.5
501.4	630.5
501.6	640.2
501.8	651.0
502.0	661.3
502.2	672.2
502.4	682.2
502.6	694.2
502.8	705.7
503.0	719.4
503.2	730.2
503.4	740.9
503.6	752.0
503.8	764.4
504.0	774.8
504.2	789.2
504.4	802.5
504.6	816.1
504.8	829.5
505.0	842.1
505.2	852.3
505.4	865.3
505.6	879.2
505.8	892.6
506.0	905.5
506.2	919.9
506.4	932.2
506.6	947.3
506.8	961.1
507.0	974.4
507.2	988.1
507.4	1004
