Sample:	'20211010A(EM)
File name:	R-CDS-100-S2- 20h.FDS
Run date:	'08:01:54, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	570 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	634.8	802.0	6588	802.0	43.23
2	802.0	802.4	900.0	45.12	900.0	3.452

Data points
nm	Data
540.0	1653
540.2	1656
540.4	1663
540.6	1671
540.8	1679
541.0	1693
541.2	1709
541.4	1714
541.6	1722
541.8	1725
542.0	1728
542.2	1738
542.4	1745
542.6	1754
542.8	1766
543.0	1775
543.2	1785
543.4	1795
543.6	1802
543.8	1807
544.0	1815
544.2	1822
544.4	1836
544.6	1849
544.8	1861
545.0	1866
545.2	1872
545.4	1874
545.6	1884
545.8	1890
546.0	1896
546.2	1902
546.4	1914
546.6	1927
546.8	1942
547.0	1950
547.2	1953
547.4	1954
547.6	1960
547.8	1967
548.0	1972
548.2	1980
548.4	1987
548.6	1997
548.8	2009
549.0	2020
549.2	2028
549.4	2041
549.6	2047
549.8	2055
550.0	2059
550.2	2068
550.4	2082
550.6	2095
550.8	2101
551.0	2107
551.2	2113
551.4	2123
551.6	2131
551.8	2141
552.0	2145
552.2	2157
552.4	2170
552.6	2185
552.8	2193
553.0	2200
553.2	2202
553.4	2212
553.6	2222
553.8	2231
554.0	2239
554.2	2246
554.4	2251
554.6	2261
554.8	2278
555.0	2295
555.2	2304
555.4	2308
555.6	2311
555.8	2316
556.0	2328
556.2	2349
556.4	2357
556.6	2361
556.8	2363
557.0	2367
557.2	2372
557.4	2385
557.6	2395
557.8	2407
558.0	2419
558.2	2435
558.4	2451
558.6	2462
558.8	2467
559.0	2473
559.2	2486
559.4	2503
559.6	2519
559.8	2524
560.0	2523
560.2	2525
560.4	2537
560.6	2554
560.8	2567
561.0	2580
561.2	2588
561.4	2596
561.6	2609
561.8	2622
562.0	2635
562.2	2649
562.4	2655
562.6	2666
562.8	2678
563.0	2691
563.2	2711
563.4	2722
563.6	2728
563.8	2741
564.0	2749
564.2	2759
564.4	2773
564.6	2784
564.8	2790
565.0	2804
565.2	2816
565.4	2831
565.6	2850
565.8	2868
566.0	2874
566.2	2878
566.4	2885
566.6	2896
566.8	2917
567.0	2933
567.2	2946
567.4	2958
567.6	2971
567.8	2986
568.0	3003
568.2	3016
568.4	3026
568.6	3034
568.8	3048
569.0	3063
569.2	3073
569.4	3088
569.6	3104
569.8	3119
570.0	3136
570.2	3151
570.4	3157
570.6	3164
570.8	3181
571.0	3199
571.2	3215
571.4	3229
571.6	3239
571.8	3248
572.0	3256
572.2	3272
572.4	3290
572.6	3308
572.8	3325
573.0	3336
573.2	3343
573.4	3359
573.6	3373
573.8	3394
574.0	3412
574.2	3424
574.4	3430
574.6	3439
574.8	3451
575.0	3468
575.2	3487
575.4	3508
575.6	3526
575.8	3535
576.0	3543
576.2	3551
576.4	3562
576.6	3578
576.8	3598
577.0	3609
577.2	3623
577.4	3633
577.6	3639
577.8	3657
578.0	3681
578.2	3699
578.4	3714
578.6	3718
578.8	3721
579.0	3736
579.2	3761
579.4	3779
579.6	3794
579.8	3798
580.0	3808
580.2	3815
580.4	3827
580.6	3839
580.8	3861
581.0	3870
581.2	3888
581.4	3907
581.6	3923
581.8	3937
582.0	3953
582.2	3963
582.4	3972
582.6	3990
582.8	4001
583.0	4015
583.2	4031
583.4	4043
583.6	4055
583.8	4074
584.0	4089
584.2	4115
584.4	4128
584.6	4129
584.8	4133
585.0	4147
585.2	4155
585.4	4177
585.6	4187
585.8	4199
586.0	4213
586.2	4235
586.4	4244
586.6	4261
586.8	4258
587.0	4268
587.2	4279
587.4	4298
587.6	4322
587.8	4341
588.0	4339
588.2	4352
588.4	4359
588.6	4377
588.8	4393
589.0	4405
589.2	4413
589.4	4423
589.6	4426
589.8	4443
590.0	4441
590.2	4450
590.4	4466
590.6	4488
590.8	4503
591.0	4520
591.2	4526
591.4	4538
591.6	4552
591.8	4571
592.0	4585
592.2	4596
592.4	4607
592.6	4618
592.8	4626
593.0	4636
593.2	4649
593.4	4665
