Sample:	'20211010A(EM)
File name:	R-CDS-yuan-S2- new.FDS
Run date:	'08:03:06, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	570 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	618.6	619.4	2176	619.4	2160
2	619.4	621.4	772.0	2192	772.0	17.87
3	772.0	773.0	900.0	19.51	900.0	1.879

Data points
nm	Data
540.0	445.5
540.2	450.8
540.4	453.4
540.6	453.9
540.8	451.3
541.0	453.7
541.2	457.9
541.4	463.1
541.6	465.8
541.8	466.8
542.0	465.0
542.2	462.7
542.4	466.6
542.6	470.2
542.8	473.3
543.0	474.1
543.2	476.5
543.4	475.5
543.6	480.5
543.8	483.5
544.0	487.1
544.2	486.0
544.4	484.0
544.6	482.2
544.8	481.3
545.0	484.3
545.2	489.8
545.4	496.3
545.6	499.9
545.8	503.4
546.0	502.4
546.2	503.6
546.4	503.6
546.6	505.9
546.8	506.3
547.0	508.8
547.2	510.3
547.4	512.8
547.6	512.3
547.8	513.1
548.0	512.5
548.2	514.7
548.4	517.8
548.6	520.8
548.8	523.1
549.0	525.9
549.2	527.6
549.4	529.8
549.6	528.5
549.8	528.3
550.0	530.2
550.2	532.9
550.4	536.2
550.6	538.2
550.8	537.2
551.0	538.6
551.2	540.7
551.4	543.7
551.6	546.5
551.8	547.3
552.0	550.0
552.2	550.9
552.4	553.0
552.6	556.0
552.8	557.7
553.0	557.0
553.2	558.2
553.4	557.4
553.6	561.8
553.8	565.7
554.0	568.2
554.2	569.1
554.4	570.1
554.6	568.5
554.8	572.8
555.0	574.2
555.2	578.4
555.4	582.3
555.6	584.9
555.8	588.0
556.0	591.4
556.2	591.6
556.4	595.2
556.6	595.0
556.8	596.8
557.0	601.7
557.2	603.6
557.4	605.4
557.6	605.8
557.8	603.6
558.0	608.1
558.2	612.1
558.4	615.8
558.6	617.5
558.8	615.1
559.0	616.2
559.2	619.7
559.4	623.6
559.6	626.6
559.8	628.6
560.0	627.5
560.2	630.7
560.4	634.8
560.6	639.5
560.8	643.8
561.0	650.6
561.2	651.9
561.4	653.6
561.6	656.6
561.8	656.5
562.0	656.9
562.2	661.5
562.4	662.4
562.6	665.0
562.8	668.7
563.0	672.1
563.2	673.8
563.4	676.8
563.6	679.7
563.8	683.8
564.0	689.7
564.2	695.3
564.4	697.3
564.6	696.6
564.8	697.3
565.0	698.7
565.2	704.0
565.4	710.5
565.6	715.1
565.8	717.1
566.0	720.2
566.2	723.9
566.4	730.4
566.6	737.7
566.8	739.5
567.0	739.4
567.2	741.5
567.4	745.4
567.6	750.1
567.8	753.0
568.0	755.4
568.2	758.4
568.4	765.2
568.6	772.4
568.8	775.5
569.0	776.0
569.2	780.1
569.4	782.6
569.6	786.8
569.8	791.1
570.0	794.3
570.2	798.5
570.4	805.0
570.6	811.5
570.8	816.3
571.0	822.7
571.2	826.1
571.4	826.4
571.6	828.5
571.8	831.7
572.0	836.1
572.2	843.1
572.4	850.8
572.6	853.7
572.8	858.1
573.0	863.2
573.2	866.4
573.4	868.1
573.6	874.4
573.8	876.6
574.0	881.5
574.2	889.7
574.4	896.5
574.6	901.1
574.8	908.7
575.0	912.8
575.2	918.1
575.4	921.3
575.6	925.2
575.8	928.9
576.0	935.0
576.2	940.3
576.4	950.3
576.6	954.9
576.8	955.5
577.0	958.4
577.2	958.7
577.4	959.7
577.6	968.9
577.8	973.1
578.0	979.2
578.2	989.5
578.4	997.3
578.6	1002
578.8	1008
579.0	1009
579.2	1012
579.4	1019
579.6	1024
579.8	1028
580.0	1034
580.2	1039
580.4	1042
580.6	1048
580.8	1051
581.0	1058
581.2	1066
581.4	1075
581.6	1083
581.8	1091
582.0	1097
582.2	1105
582.4	1107
582.6	1112
582.8	1116
583.0	1124
583.2	1135
583.4	1142
583.6	1145
583.8	1147
584.0	1149
584.2	1154
584.4	1163
584.6	1173
584.8	1177
585.0	1184
585.2	1191
585.4	1198
585.6	1204
585.8	1210
586.0	1211
586.2	1219
586.4	1227
586.6	1235
586.8	1240
587.0	1241
587.2	1246
587.4	1255
587.6	1261
587.8	1269
588.0	1275
588.2	1279
588.4	1286
588.6	1297
588.8	1302
589.0	1311
589.2	1317
589.4	1321
589.6	1326
589.8	1335
590.0	1343
590.2	1353
590.4	1362
590.6	1369
590.8	1373
591.0	1376
591.2	1384
591.4	1389
591.6	1398
591.8	1404
592.0	1411
592.2	1417
592.4	1428
592.6	1432
592.8	1440
593.0	1445
593.2	1455
593.4	1462
593.6	1469
593.8	1473
594.0	1476
594.2	1482
594.4	1492
594.6	1501
594.8	1507
595.0	1512
595.2	1517
595.4	1525
595.6	1534
595.8	1541
596.0	1548
596.2	1554
596.4	1561
596.6	1567
596.8	1575
597.0	1586
597.2	1595
597.4	1600
597.6	1606
597.8	1609
598.0	1618
598.2	1631
598.4	1633
598.6	1642
598.8	1649
599.0	1652
599.2	1659
599.4	1666
599.6	1667
599.8	1681
600.0	1688
600.2	1698
600.4	1708
600.6	1713
600.8	1717
601.0	1720
601.2	1724
601.4	1730
601.6	1741
601.8	1748
602.0	1758
602.2	1764
602.4	1771
602.6	1777
602.8	1785
603.0	1790
603.2	1798
603.4	1803
603.6	1807
603.8	1814
604.0	1821
604.2	1827
604.4	1834
604.6	1839
604.8	1844
605.0	1851
605.2	1865
605.4	1871
605.6	1878
605.8	1885
606.0	1890
606.2	1899
606.4	1909
606.6	1914
606.8	1915
607.0	1920
607.2	1923
607.4	1934
607.6	1940
607.8	1949
608.0	1953
608.2	1961
608.4	1961
608.6	1966
608.8	1969
609.0	1971
609.2	1975
609.4	1981
609.6	1984
609.8	1993
610.0	2004
610.2	2013
610.4	2018
610.6	2021
610.8	2024
611.0	2026
611.2	2036
611.4	2044
611.6	2050
611.8	2053
612.0	2057
612.2	2059
612.4	2066
612.6	2072
612.8	2078
613.0	2081
613.2	2082
613.4	2083
613.6	2085
613.8	2089
614.0	2095
614.2	2105
614.4	2107
614.6	2106
614.8	2105
615.0	2107
615.2	2110
615.4	2120
615.6	2125
615.8	2128
616.0	2127
616.2	2128
616.4	2130
616.6	2136
616.8	2144
617.0	2152
617.2	2156
617.4	2159
617.6	2160
617.8	2160
618.0	2162
618.2	2166
618.4	2169
618.6	2176
618.8	2175
619.0	2168
619.2	2160
619.4	2160
619.6	2160
619.8	2171
620.0	2177
620.2	2182
620.4	2180
620.6	2182
620.8	2185
621.0	2187
621.2	2189
621.4	2192
621.6	2192
621.8	2191
622.0	2184
622.2	2179
622.4	2175
622.6	2173
622.8	2175
623.0	2176
623.2	2173
623.4	2173
623.6	2172
623.8	2172
624.0	2175
624.2	2174
624.4	2173
624.6	2170
624.8	2169
625.0	2170
625.2	2169
625.4	2164
625.6	2165
625.8	2165
626.0	2165
626.2	2164
626.4	2163
626.6	2160
626.8	2165
627.0	2167
627.2	2162
627.4	2152
627.6	2142
627.8	2135
628.0	2129
628.2	2130
628.4	2133
628.6	2128
628.8	2127
629.0	2124
629.2	2113
629.4	2110
629.6	2115
629.8	2113
630.0	2114
630.2	2109
630.4	2093
630.6	2088
630.8	2086
631.0	2083
631.2	2084
631.4	2086
631.6	2084
631.8	2084
632.0	2077
632.2	2064
632.4	2060
632.6	2055
632.8	2053
633.0	2044
633.2	2036
633.4	2026
633.6	2023
633.8	2017
634.0	2010
634.2	2006
634.4	2008
634.6	2010
634.8	2004
635.0	1998
635.2	1990
635.4	1986
635.6	1980
635.8	1973
636.0	1956
636.2	1947
636.4	1941
636.6	1938
636.8	1933
637.0	1925
637.2	1913
637.4	1907
637.6	1899
637.8	1895
638.0	1890
