Sample:	'20211010A(EM)
File name:	600uM.FDS
Run date:	'11:02:31, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	570 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	594.4	798.0	*****   	798.0	57.53
2	798.0	798.8	801.8	59.64	801.8	52.71
3	801.8	802.6	804.2	54.42	804.2	49.05
4	804.2	805.0	886.2	51.81	886.2	3.218

Data points
nm	Data
540.0	2214
540.2	2227
540.4	2234
540.6	2238
540.8	2246
541.0	2249
541.2	2252
541.4	2268
541.6	2275
541.8	2284
542.0	2294
542.2	2299
542.4	2307
542.6	2316
542.8	2318
543.0	2324
543.2	2330
543.4	2337
543.6	2348
543.8	2356
544.0	2363
544.2	2374
544.4	2389
544.6	2401
544.8	2414
545.0	2422
545.2	2429
545.4	2433
545.6	2443
545.8	2449
546.0	2460
546.2	2464
546.4	2466
546.6	2475
546.8	2482
547.0	2487
547.2	2497
547.4	2506
547.6	2518
547.8	2535
548.0	2548
548.2	2554
548.4	2562
548.6	2573
548.8	2582
549.0	2586
549.2	2596
549.4	2605
549.6	2623
549.8	2640
550.0	2651
550.2	2651
550.4	2657
550.6	2662
550.8	2679
551.0	2691
551.2	2709
551.4	2719
551.6	2730
551.8	2737
552.0	2747
552.2	2765
552.4	2783
552.6	2793
552.8	2801
553.0	2805
553.2	2819
553.4	2841
553.6	2855
553.8	2865
554.0	2877
554.2	2885
554.4	2903
554.6	2921
554.8	2929
555.0	2941
555.2	2955
555.4	2975
555.6	2994
555.8	3018
556.0	3037
556.2	3051
556.4	3062
556.6	3078
556.8	3097
557.0	3111
557.2	3127
557.4	3140
557.6	3152
557.8	3172
558.0	3198
558.2	3218
558.4	3235
558.6	3259
558.8	3274
559.0	3296
559.2	3319
559.4	3346
559.6	3360
559.8	3387
560.0	3406
560.2	3423
560.4	3446
560.6	3468
560.8	3489
561.0	3515
561.2	3541
561.4	3560
561.6	3585
561.8	3604
562.0	3624
562.2	3647
562.4	3677
562.6	3708
562.8	3746
563.0	3769
563.2	3791
563.4	3820
563.6	3846
563.8	3871
564.0	3899
564.2	3920
564.4	3949
564.6	3979
564.8	4008
565.0	4036
565.2	4070
565.4	4105
565.6	4141
565.8	4174
566.0	4203
566.2	4232
566.4	4255
566.6	4291
566.8	4321
567.0	4359
567.2	4386
567.4	4414
567.6	4437
567.8	4483
568.0	4515
568.2	4558
568.4	4597
568.6	4635
568.8	4663
569.0	4693
569.2	4714
569.4	4752
569.6	4794
569.8	4840
570.0	4875
570.2	4917
570.4	4948
570.6	4983
570.8	5017
571.0	5054
571.2	5088
571.4	5140
571.6	5177
571.8	5215
572.0	5251
572.2	5283
572.4	5320
572.6	5368
572.8	5400
573.0	5444
573.2	5482
573.4	5522
573.6	5573
573.8	5631
574.0	5668
574.2	5713
574.4	5752
574.6	5788
574.8	5835
575.0	5885
575.2	5918
575.4	5958
575.6	5997
575.8	6031
576.0	6084
576.2	6138
576.4	6190
576.6	6248
576.8	6290
577.0	6320
577.2	6362
577.4	6396
577.6	6429
577.8	6477
578.0	6515
578.2	6546
578.4	6592
578.6	6635
578.8	6676
579.0	6729
579.2	6780
579.4	6822
579.6	6873
579.8	6927
580.0	6962
580.2	7004
580.4	7052
580.6	7105
580.8	7156
581.0	7200
581.2	7228
581.4	7265
581.6	7307
581.8	7361
582.0	7418
582.2	7462
582.4	7516
582.6	7559
582.8	7604
583.0	7636
583.2	7681
583.4	7713
583.6	7764
583.8	7811
584.0	7860
584.2	7906
584.4	7955
584.6	7995
584.8	8047
585.0	8089
585.2	8131
585.4	8173
585.6	8224
585.8	8272
586.0	8328
586.2	8375
586.4	8422
586.6	8453
586.8	8496
587.0	8531
587.2	8570
587.4	8618
587.6	8666
587.8	8709
588.0	8757
588.2	8795
588.4	8839
588.6	8893
588.8	8931
589.0	8969
589.2	9000
589.4	9028
589.6	9068
589.8	9116
590.0	9165
590.2	9218
590.4	9259
590.6	9301
590.8	9334
591.0	9369
591.2	9424
591.4	9483
591.6	9523
591.8	9567
592.0	9593
592.2	9626
592.4	9672
592.6	9714
592.8	9745
593.0	9795
593.2	9835
593.4	9875
593.6	9915
593.8	9947
594.0	9971
594.2	9993
594.4	9999.9
594.6	9999.9
594.8	9999.9
595.0	9999.9
595.2	9999.9
595.4	9999.9
595.6	9999.9
595.8	9999.9
596.0	9999.9
596.2	9999.9
596.4	9999.9
596.6	9999.9
596.8	9999.9
597.0	9999.9
597.2	9999.9
597.4	9999.9
597.6	9999.9
597.8	9999.9
598.0	9999.9
598.2	9999.9
598.4	9999.9
598.6	9999.9
598.8	9999.9
599.0	9999.9
599.2	9999.9
599.4	9999.9
599.6	9999.9
599.8	9999.9
600.0	9999.9
600.2	9999.9
