Sample:	'20211010A(EM)
File name:	YUAN.FDS
Run date:	'11:04:01, 03/23/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	570 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	590.2	862.4	*****   	862.4	3.651
2	862.4	863.4	900.0	4.713	900.0	3.849

Data points
nm	Data
540.0	1667
540.2	1667
540.4	1671
540.6	1677
540.8	1682
541.0	1695
541.2	1701
541.4	1711
541.6	1718
541.8	1725
542.0	1735
542.2	1749
542.4	1756
542.6	1765
542.8	1769
543.0	1778
543.2	1783
543.4	1792
543.6	1795
543.8	1803
544.0	1810
544.2	1817
544.4	1828
544.6	1844
544.8	1858
545.0	1863
545.2	1869
545.4	1869
545.6	1877
545.8	1885
546.0	1898
546.2	1902
546.4	1915
546.6	1924
546.8	1935
547.0	1938
547.2	1946
547.4	1957
547.6	1971
547.8	1981
548.0	1995
548.2	1998
548.4	2005
548.6	2021
548.8	2035
549.0	2044
549.2	2054
549.4	2057
549.6	2065
549.8	2077
550.0	2090
550.2	2102
550.4	2111
550.6	2120
550.8	2132
551.0	2143
551.2	2157
551.4	2169
551.6	2180
551.8	2191
552.0	2200
552.2	2212
552.4	2228
552.6	2245
552.8	2257
553.0	2267
553.2	2279
553.4	2291
553.6	2309
553.8	2328
554.0	2344
554.2	2359
554.4	2371
554.6	2382
554.8	2399
555.0	2418
555.2	2444
555.4	2462
555.6	2468
555.8	2475
556.0	2483
556.2	2502
556.4	2526
556.6	2543
556.8	2556
557.0	2576
557.2	2589
557.4	2613
557.6	2633
557.8	2649
558.0	2667
558.2	2696
558.4	2715
558.6	2739
558.8	2761
559.0	2779
559.2	2797
559.4	2820
559.6	2835
559.8	2862
560.0	2882
560.2	2904
560.4	2927
560.6	2955
560.8	2975
561.0	3009
561.2	3033
561.4	3061
561.6	3089
561.8	3110
562.0	3132
562.2	3159
562.4	3180
562.6	3206
562.8	3234
563.0	3259
563.2	3294
563.4	3329
563.6	3357
563.8	3381
564.0	3412
564.2	3441
564.4	3472
564.6	3503
564.8	3531
565.0	3559
565.2	3598
565.4	3637
565.6	3678
565.8	3716
566.0	3750
566.2	3781
566.4	3809
566.6	3841
566.8	3872
567.0	3911
567.2	3953
567.4	3985
567.6	4014
567.8	4045
568.0	4080
568.2	4127
568.4	4169
568.6	4210
568.8	4245
569.0	4282
569.2	4319
569.4	4363
569.6	4405
569.8	4453
570.0	4495
570.2	4537
570.4	4570
570.6	4611
570.8	4655
571.0	4702
571.2	4751
571.4	4798
571.6	4843
571.8	4889
572.0	4936
572.2	4983
572.4	5031
572.6	5080
572.8	5128
573.0	5184
573.2	5238
573.4	5288
573.6	5335
573.8	5379
574.0	5416
574.2	5466
574.4	5514
574.6	5560
