
nm	Data
370.0	2.982
370.2	3.299
370.4	3.296
370.6	3.147
370.8	3.165
371.0	3.184
371.2	3.232
371.4	3.197
371.6	3.200
371.8	3.269
372.0	3.379
372.2	3.327
372.4	3.415
372.6	3.447
372.8	3.469
373.0	3.514
373.2	3.463
373.4	3.437
373.6	3.560
373.8	3.440
374.0	3.427
374.2	3.339
374.4	3.335
374.6	3.406
374.8	3.494
375.0	3.379
375.2	3.413
375.4	3.349
375.6	3.267
375.8	3.124
376.0	3.225
376.2	3.311
376.4	3.537
376.6	3.525
376.8	3.536
377.0	3.259
377.2	3.428
377.4	3.556
377.6	3.604
377.8	3.547
378.0	3.424
378.2	3.212
378.4	3.437
378.6	3.692
378.8	3.732
379.0	3.670
379.2	3.630
379.4	3.367
379.6	3.490
379.8	3.649
380.0	3.768
380.2	3.555
380.4	3.672
380.6	3.665
380.8	3.825
381.0	3.726
381.2	3.664
381.4	3.388
381.6	3.560
381.8	3.775
382.0	3.954
382.2	3.893
382.4	3.583
382.6	3.424
382.8	3.562
383.0	3.696
383.2	3.902
383.4	3.956
383.6	3.736
383.8	3.541
384.0	3.678
384.2	3.834
384.4	3.808
384.6	3.840
384.8	3.938
385.0	3.787
385.2	3.780
385.4	3.768
385.6	3.674
385.8	3.792
386.0	3.996
386.2	4.005
386.4	4.022
386.6	4.109
386.8	4.199
387.0	4.325
387.2	4.242
387.4	3.948
387.6	3.711
387.8	3.807
388.0	3.871
388.2	4.163
388.4	4.299
388.6	4.189
388.8	4.262
389.0	4.445
389.2	4.338
389.4	4.439
389.6	4.593
389.8	4.625
390.0	4.593
390.2	4.512
390.4	4.285
390.6	4.321
390.8	4.545
391.0	4.841
391.2	4.789
391.4	4.840
391.6	4.720
391.8	4.751
392.0	4.938
392.2	5.127
392.4	5.186
392.6	5.389
392.8	5.096
393.0	4.903
393.2	4.911
393.4	4.833
393.6	4.835
393.8	5.076
394.0	4.927
394.2	5.044
394.4	5.393
394.6	5.645
394.8	5.703
395.0	5.747
395.2	5.505
395.4	5.595
395.6	5.926
395.8	6.088
396.0	6.308
396.2	6.274
396.4	5.998
396.6	5.995
396.8	6.279
397.0	6.609
397.2	6.961
397.4	6.879
397.6	6.870
397.8	6.720
398.0	7.000
398.2	7.420
398.4	7.596
398.6	7.877
398.8	8.112
399.0	7.996
399.2	8.049
399.4	8.157
399.6	8.207
399.8	8.676
400.0	8.871
400.2	9.075
400.4	9.484
400.6	9.824
400.8	9.976
401.0	10.60
401.2	11.07
401.4	11.77
401.6	12.36
401.8	12.80
402.0	13.05
402.2	13.19
402.4	13.54
402.6	13.91
402.8	14.32
403.0	14.98
403.2	15.44
403.4	15.63
403.6	15.97
403.8	16.28
404.0	17.13
404.2	18.01
404.4	18.51
404.6	19.47
404.8	19.94
405.0	20.80
405.2	22.07
405.4	23.51
405.6	24.44
405.8	25.18
406.0	25.70
406.2	26.49
406.4	27.53
406.6	28.99
406.8	30.50
407.0	31.59
407.2	32.79
407.4	34.70
407.6	36.29
407.8	38.06
408.0	40.49
408.2	42.53
408.4	44.69
408.6	46.85
408.8	48.44
409.0	49.50
409.2	51.57
409.4	53.97
409.6	57.06
409.8	59.06
410.0	61.73
410.2	64.53
410.4	67.60
410.6	71.18
410.8	74.07
411.0	75.64
411.2	78.56
411.4	81.77
411.6	85.01
411.8	89.41
412.0	93.77
412.2	97.35
412.4	102.5
412.6	107.4
412.8	112.0
413.0	116.9
413.2	121.7
413.4	124.6
413.6	128.7
413.8	134.5
414.0	139.2
414.2	145.7
414.4	151.7
414.6	156.3
414.8	161.5
415.0	169.8
415.2	175.4
415.4	183.5
415.6	190.5
415.8	197.1
416.0	204.6
416.2	213.7
416.4	222.0
416.6	229.0
416.8	236.8
417.0	243.5
417.2	251.5
417.4	259.7
417.6	270.1
417.8	277.6
418.0	286.0
418.2	293.8
418.4	303.1
418.6	312.1
418.8	322.7
419.0	334.2
419.2	344.3
419.4	355.0
419.6	363.3
