
Data points
nm	Data
370.0	12.51
370.2	12.72
370.4	12.52
370.6	12.22
370.8	12.57
371.0	12.67
371.2	12.49
371.4	12.70
371.6	12.79
371.8	12.82
372.0	13.11
372.2	13.41
372.4	12.40
372.6	12.23
372.8	12.74
373.0	13.01
373.2	13.34
373.4	13.45
373.6	13.27
373.8	13.06
374.0	13.51
374.2	13.73
374.4	14.04
374.6	13.96
374.8	13.81
375.0	13.81
375.2	14.53
375.4	13.99
375.6	13.69
375.8	13.64
376.0	12.86
376.2	12.90
376.4	13.25
376.6	13.56
376.8	14.10
377.0	15.19
377.2	14.89
377.4	15.10
377.6	14.44
377.8	14.68
378.0	14.68
378.2	15.04
378.4	14.37
378.6	14.80
378.8	14.16
379.0	14.14
379.2	13.49
379.4	13.46
379.6	13.22
379.8	13.86
380.0	14.24
380.2	15.89
380.4	15.94
380.6	15.67
380.8	15.47
381.0	15.61
381.2	15.56
381.4	16.36
381.6	15.89
381.8	15.55
382.0	15.50
382.2	16.15
382.4	16.44
382.6	16.58
382.8	16.50
383.0	16.62
383.2	16.83
383.4	16.99
383.6	17.31
383.8	17.52
384.0	17.83
384.2	17.21
384.4	17.13
384.6	16.08
384.8	15.77
385.0	16.75
385.2	17.69
385.4	17.71
385.6	18.40
385.8	17.89
386.0	17.37
386.2	17.90
386.4	18.05
386.6	18.37
386.8	18.50
387.0	18.85
387.2	19.57
387.4	20.30
387.6	20.81
387.8	20.30
388.0	19.97
388.2	20.36
388.4	21.28
388.6	22.20
388.8	22.75
389.0	22.30
389.2	22.61
389.4	22.56
389.6	22.14
389.8	23.51
390.0	25.00
390.2	26.17
390.4	27.13
390.6	27.62
390.8	26.89
391.0	26.58
391.2	25.51
391.4	25.14
391.6	26.32
391.8	28.29
392.0	29.89
392.2	30.38
392.4	30.82
392.6	30.58
392.8	31.25
393.0	31.73
393.2	32.14
393.4	32.42
393.6	34.96
393.8	35.64
394.0	37.34
394.2	38.26
394.4	38.88
394.6	39.08
394.8	41.04
395.0	42.22
395.2	43.61
395.4	44.47
395.6	46.04
395.8	46.09
396.0	47.45
396.2	49.46
396.4	50.76
396.6	52.04
396.8	53.58
397.0	55.13
397.2	57.52
397.4	58.92
397.6	60.43
397.8	62.22
398.0	64.23
398.2	67.64
398.4	70.13
398.6	72.11
398.8	73.48
399.0	76.01
399.2	79.21
399.4	81.59
399.6	83.99
399.8	88.52
400.0	92.13
400.2	95.67
400.4	98.78
400.6	100.1
400.8	103.3
401.0	108.9
401.2	113.4
401.4	115.6
401.6	120.1
401.8	122.3
402.0	127.5
402.2	133.2
402.4	138.6
402.6	141.6
402.8	147.5
403.0	152.0
403.2	157.5
403.4	163.4
403.6	170.4
403.8	176.2
404.0	183.0
404.2	189.6
404.4	194.8
404.6	202.6
404.8	210.9
405.0	219.5
405.2	228.4
405.4	237.3
405.6	246.3
405.8	255.0
406.0	262.6
406.2	270.1
406.4	275.9
406.6	284.2
406.8	297.3
407.0	310.9
407.2	323.5
407.4	335.8
407.6	344.2
407.8	354.7
408.0	370.1
408.2	385.1
408.4	397.2
408.6	408.5
408.8	416.0
409.0	429.2
409.2	442.7
409.4	456.1
409.6	473.7
409.8	489.4
410.0	506.1
410.2	525.5
410.4	542.4
410.6	558.6
410.8	575.8
411.0	588.6
411.2	606.4
411.4	622.4
411.6	647.8
411.8	670.0
412.0	688.7
412.2	704.8
412.4	722.1
412.6	739.8
412.8	761.6
413.0	786.5
413.2	808.0
413.4	831.3
413.6	850.6
413.8	877.6
414.0	901.8
414.2	929.4
414.4	953.9
414.6	977.3
414.8	1001
415.0	1029
415.2	1052
415.4	1075
415.6	1104
415.8	1128
416.0	1159
416.2	1197
416.4	1227
416.6	1260
416.8	1287
417.0	1309
417.2	1336
417.4	1368
417.6	1396
417.8	1430
418.0	1456
418.2	1488
418.4	1524
418.6	1553
418.8	1582
419.0	1617
419.2	1652
419.4	1690
419.6	1724
419.8	1753
420.0	1793
420.2	1836
420.4	1874
420.6	1914
420.8	1943
421.0	1974
421.2	2015
421.4	2050
421.6	2089
421.8	2143
422.0	2184
422.2	2225
422.4	2250
422.6	2273
422.8	2303
423.0	2353
423.2	2404
423.4	2447
423.6	2477
423.8	2522
424.0	2558
424.2	2603
424.4	2648
424.6	2681
424.8	2715
425.0	2751
425.2	2787
425.4	2833
425.6	2876
425.8	2921
426.0	2971
426.2	3003
426.4	3051
426.6	3095
426.8	3121
427.0	3149
427.2	3189
427.4	3227
427.6	3271
427.8	3317
428.0	3349
428.2	3397
428.4	3448
428.6	3492
428.8	3527
429.0	3577
429.2	3605
429.4	3647
429.6	3690
429.8	3714
430.0	3751
430.2	3802
430.4	3837
430.6	3871
430.8	3909
431.0	3952
431.2	4004
431.4	4045
431.6	4076
431.8	4112
432.0	4150
432.2	4201
432.4	4242
432.6	4267
432.8	4289
433.0	4332
433.2	4380
433.4	4427
433.6	4462
433.8	4502
434.0	4541
434.2	4580
434.4	4614
434.6	4650
434.8	4680
435.0	4725
435.2	4766
435.4	4793
435.6	4814
435.8	4834
436.0	4862
436.2	4903
436.4	4929
436.6	4968
436.8	5010
437.0	5058
437.2	5102
437.4	5137
437.6	5152
437.8	5171
438.0	5199
438.2	5237
438.4	5274
438.6	5298
438.8	5327
439.0	5335
439.2	5348
439.4	5361
439.6	5403
439.8	5439
440.0	5503
440.2	5554
440.4	5584
440.6	5591
440.8	5613
441.0	5625
441.2	5652
441.4	5688
441.6	5719
441.8	5742
442.0	5771
442.2	5809
442.4	5841
442.6	5860
442.8	5877
443.0	5889
443.2	5895
443.4	5921
443.6	5962
443.8	5980
444.0	6005
444.2	6040
444.4	6051
444.6	6074
444.8	6099
445.0	6111
445.2	6133
445.4	6167
445.6	6176
445.8	6200
446.0	6211
446.2	6245
446.4	6280
446.6	6312
446.8	6327
447.0	6346
447.2	6353
447.4	6373
447.6	6394
447.8	6406
448.0	6429
448.2	6444
448.4	6461
448.6	6489
448.8	6516
449.0	6552
449.2	6592
449.4	6614
449.6	6636
449.8	6653
450.0	6662
450.2	6692
450.4	6711
450.6	6736
450.8	6746
451.0	6773
451.2	6793
451.4	6825
451.6	6845
451.8	6873
452.0	6885
452.2	6915
452.4	6932
452.6	6955
452.8	6971
453.0	7017
453.2	7031
453.4	7044
453.6	7072
453.8	7105
454.0	7127
454.2	7173
454.4	7196
454.6	7222
454.8	7259
455.0	7285
455.2	7296
455.4	7318
455.6	7360
455.8	7394
456.0	7436
456.2	7456
456.4	7469
456.6	7476
456.8	7514
457.0	7548
457.2	7581
457.4	7626
457.6	7651
457.8	7673
458.0	7694
458.2	7709
458.4	7733
458.6	7766
458.8	7808
459.0	7846
459.2	7863
459.4	7894
459.6	7941
459.8	7961
460.0	7994
460.2	8008
460.4	8024
460.6	8069
460.8	8118
461.0	8145
461.2	8174
461.4	8206
461.6	8227
461.8	8260
462.0	8289
462.2	8305
462.4	8311
462.6	8344
462.8	8390
463.0	8420
463.2	8456
463.4	8478
463.6	8485
463.8	8519
464.0	8571
464.2	8601
464.4	8640
464.6	8672
464.8	8699
465.0	8714
465.2	8727
465.4	8752
465.6	8783
465.8	8821
466.0	8849
466.2	8858
466.4	8870
466.6	8906
466.8	8934
467.0	8966
467.2	8997
467.4	8997
467.6	9021
467.8	9041
468.0	9072
468.2	9101
468.4	9128
468.6	9146
468.8	9173
469.0	9185
469.2	9198
469.4	9214
469.6	9233
