
nm	Data
430.0	99.18
430.2	103.0
430.4	102.4
430.6	99.54
430.8	96.51
431.0	97.67
431.2	100.5
431.4	104.6
431.6	109.9
431.8	111.8
432.0	114.3
432.2	118.7
432.4	120.3
432.6	119.6
432.8	122.5
433.0	120.1
433.2	123.4
433.4	128.1
433.6	129.6
433.8	133.3
434.0	136.8
434.2	136.1
434.4	138.5
434.6	136.8
434.8	137.2
435.0	140.6
435.2	146.2
435.4	148.2
435.6	149.3
435.8	148.3
436.0	152.6
436.2	154.2
436.4	157.2
436.6	156.9
436.8	160.5
437.0	164.0
437.2	167.1
437.4	166.1
437.6	166.5
437.8	167.2
438.0	173.0
438.2	177.3
438.4	179.0
438.6	176.8
438.8	175.1
439.0	171.6
439.2	170.2
439.4	179.5
439.6	185.7
439.8	192.3
440.0	193.9
440.2	192.2
440.4	189.1
440.6	194.2
440.8	197.9
441.0	201.1
441.2	203.4
441.4	205.4
441.6	208.5
441.8	211.7
442.0	214.5
442.2	216.6
442.4	218.8
442.6	213.3
442.8	214.5
443.0	216.3
443.2	214.0
443.4	218.3
443.6	224.1
443.8	225.0
444.0	229.4
444.2	236.2
444.4	236.7
444.6	240.8
444.8	247.8
445.0	247.7
445.2	243.1
445.4	241.8
445.6	239.2
445.8	242.9
446.0	247.8
446.2	253.4
446.4	256.1
446.6	263.2
446.8	266.4
447.0	268.9
447.2	271.5
447.4	275.6
447.6	279.4
447.8	287.0
448.0	292.7
448.2	294.9
448.4	293.4
448.6	292.3
448.8	294.8
449.0	295.4
449.2	300.8
449.4	302.2
449.6	305.6
449.8	307.4
450.0	309.9
450.2	308.8
450.4	311.4
450.6	313.4
450.8	320.7
451.0	324.9
451.2	333.4
451.4	335.4
451.6	337.6
451.8	337.3
452.0	339.2
452.2	345.8
452.4	352.1
452.6	354.3
452.8	360.0
453.0	356.7
453.2	361.3
453.4	365.8
453.6	369.4
453.8	372.0
454.0	379.3
454.2	378.1
454.4	381.6
454.6	385.0
454.8	389.7
455.0	394.2
455.2	400.4
455.4	401.2
455.6	406.1
455.8	408.7
456.0	409.1
456.2	416.2
456.4	416.4
456.6	417.2
456.8	428.4
457.0	437.4
457.2	443.9
457.4	449.1
457.6	444.3
457.8	443.1
458.0	447.3
458.2	459.5
458.4	471.3
458.6	483.6
458.8	483.8
459.0	483.6
459.2	477.8
459.4	485.5
459.6	492.6
459.8	505.0
460.0	506.5
460.2	510.7
460.4	512.0
460.6	521.0
460.8	524.0
461.0	528.3
461.2	535.0
461.4	536.7
461.6	535.4
461.8	534.3
462.0	540.3
462.2	551.9
462.4	566.8
462.6	573.4
462.8	573.5
463.0	574.1
463.2	576.1
463.4	586.2
463.6	592.8
463.8	599.1
464.0	601.8
464.2	612.1
464.4	613.4
464.6	620.4
464.8	627.0
465.0	636.8
465.2	636.8
465.4	642.6
465.6	653.9
465.8	655.8
466.0	661.5
466.2	671.0
466.4	667.9
466.6	670.6
466.8	685.6
467.0	690.8
467.2	701.9
467.4	706.4
467.6	711.1
467.8	716.9
468.0	722.1
468.2	731.2
468.4	737.3
468.6	753.1
468.8	771.7
469.0	778.6
469.2	788.6
469.4	799.3
469.6	792.6
469.8	805.8
470.0	822.0
470.2	818.5
470.4	826.4
470.6	836.8
470.8	835.9
471.0	840.9
471.2	851.1
471.4	851.5
471.6	863.3
471.8	887.1
472.0	905.5
472.2	915.8
472.4	921.8
472.6	917.2
472.8	918.7
473.0	930.7
473.2	933.9
473.4	936.8
473.6	950.9
473.8	953.6
474.0	966.7
474.2	974.9
474.4	973.8
474.6	973.3
474.8	988.0
475.0	994.0
475.2	1015
475.4	1029
475.6	1045
475.8	1048
476.0	1052
476.2	1047
476.4	1053
476.6	1060
476.8	1078
477.0	1094
477.2	1110
477.4	1117
477.6	1124
477.8	1131
478.0	1154
478.2	1172
478.4	1187
478.6	1189
478.8	1183
479.0	1188
479.2	1208
479.4	1231
479.6	1251
479.8	1257
480.0	1248
480.2	1257
480.4	1263
480.6	1271
480.8	1275
481.0	1283
481.2	1293
481.4	1314
481.6	1329
481.8	1343
482.0	1347
482.2	1354
482.4	1368
482.6	1384
482.8	1400
483.0	1409
483.2	1404
483.4	1403
483.6	1408
483.8	1426
484.0	1449
484.2	1454
484.4	1464
484.6	1479
484.8	1487
485.0	1487
485.2	1489
485.4	1492
485.6	1489
485.8	1499
486.0	1525
486.2	1559
486.4	1571
486.6	1581
486.8	1573
487.0	1569
487.2	1580
487.4	1603
487.6	1594
487.8	1588
488.0	1603
488.2	1616
488.4	1644
488.6	1663
488.8	1674
489.0	1671
489.2	1678
489.4	1679
489.6	1695
489.8	1700
490.0	1713
490.2	1711
490.4	1725
490.6	1727
490.8	1742
