
Data points
nm	Data
370.0	6.652
370.2	6.595
370.4	6.565
370.6	6.546
370.8	6.589
371.0	6.435
371.2	6.153
371.4	6.203
371.6	6.044
371.8	6.139
372.0	6.333
372.2	6.654
372.4	6.883
372.6	6.811
372.8	6.331
373.0	6.264
373.2	6.154
373.4	6.587
373.6	6.874
373.8	6.640
374.0	6.462
374.2	6.356
374.4	6.497
374.6	6.573
374.8	6.551
375.0	6.419
375.2	6.563
375.4	6.674
375.6	6.771
375.8	6.498
376.0	6.336
376.2	6.195
376.4	6.515
376.6	6.652
376.8	6.479
377.0	6.489
377.2	6.565
377.4	6.665
377.6	6.836
377.8	6.873
378.0	6.876
378.2	6.818
378.4	6.715
378.6	6.430
378.8	6.100
379.0	6.492
379.2	6.775
379.4	6.938
379.6	7.297
379.8	6.983
380.0	6.649
380.2	6.658
380.4	6.549
380.6	6.449
380.8	6.636
381.0	6.578
381.2	6.760
381.4	6.711
381.6	6.816
381.8	6.641
382.0	6.865
382.2	7.115
382.4	7.265
382.6	7.125
382.8	7.004
383.0	6.821
383.2	6.970
383.4	7.025
383.6	7.027
383.8	7.265
384.0	7.132
384.2	7.178
384.4	7.215
384.6	7.254
384.8	7.257
385.0	7.648
385.2	7.450
385.4	7.489
385.6	7.482
385.8	7.359
386.0	7.145
386.2	7.375
386.4	7.422
386.6	7.407
386.8	7.242
387.0	7.147
387.2	6.983
387.4	7.022
387.6	7.388
387.8	7.898
388.0	7.992
388.2	8.251
388.4	7.830
388.6	7.991
388.8	7.739
389.0	7.694
389.2	7.383
389.4	7.326
389.6	7.333
389.8	7.993
390.0	7.839
390.2	7.674
390.4	7.480
390.6	7.243
390.8	7.338
391.0	7.830
391.2	8.121
391.4	8.335
391.6	8.307
391.8	7.907
392.0	7.468
392.2	7.688
392.4	7.872
392.6	7.756
392.8	7.549
393.0	7.676
393.2	7.830
393.4	8.263
393.6	8.494
393.8	8.395
394.0	8.287
394.2	8.417
394.4	8.677
394.6	8.699
394.8	8.738
395.0	8.985
395.2	9.023
395.4	8.902
395.6	8.868
395.8	8.711
396.0	8.726
396.2	8.916
396.4	9.187
396.6	9.402
396.8	9.890
397.0	10.14
397.2	10.09
397.4	10.20
397.6	10.19
397.8	10.10
398.0	10.60
398.2	10.51
398.4	10.22
398.6	10.62
398.8	10.51
399.0	10.54
399.2	11.16
399.4	11.43
399.6	12.16
399.8	12.54
400.0	12.48
400.2	12.18
400.4	12.23
400.6	12.31
400.8	13.09
401.0	13.26
401.2	13.94
401.4	14.49
401.6	15.12
401.8	15.49
402.0	15.70
402.2	15.86
402.4	16.55
402.6	17.08
402.8	17.22
403.0	17.55
403.2	17.76
403.4	18.11
403.6	19.70
403.8	20.86
404.0	21.44
404.2	21.99
404.4	22.47
404.6	22.77
404.8	23.64
405.0	24.06
405.2	24.79
405.4	25.97
405.6	27.85
405.8	29.11
406.0	29.85
406.2	30.41
406.4	31.83
406.6	33.43
406.8	35.82
407.0	37.25
407.2	38.89
407.4	40.72
407.6	42.71
407.8	44.61
408.0	46.96
408.2	48.26
408.4	50.95
408.6	53.63
408.8	56.01
409.0	59.17
409.2	61.31
409.4	63.97
409.6	67.30
409.8	71.02
410.0	74.39
410.2	78.89
410.4	81.84
410.6	86.34
410.8	90.06
411.0	94.09
411.2	97.38
411.4	102.4
411.6	107.1
411.8	112.5
412.0	117.4
412.2	122.8
412.4	128.2
412.6	134.8
412.8	141.5
413.0	149.5
413.2	155.6
413.4	161.2
413.6	167.3
413.8	172.9
414.0	179.2
414.2	187.9
414.4	195.9
414.6	204.0
414.8	213.0
415.0	221.3
415.2	230.6
415.4	240.4
415.6	250.8
415.8	260.8
416.0	271.1
416.2	281.0
416.4	292.8
416.6	304.9
416.8	316.9
417.0	327.4
417.2	337.7
417.4	346.3
417.6	359.8
417.8	374.8
418.0	389.7
418.2	403.6
418.4	417.3
418.6	427.4
418.8	441.7
419.0	455.6
419.2	470.3
419.4	486.2
419.6	506.8
419.8	523.4
420.0	540.3
420.2	554.0
420.4	571.5
420.6	588.9
420.8	609.8
421.0	631.8
421.2	652.6
421.4	670.1
421.6	692.3
421.8	711.6
422.0	729.2
422.2	749.2
422.4	766.8
422.6	782.8
422.8	799.9
423.0	822.8
423.2	845.0
423.4	869.1
423.6	892.0
423.8	912.7
424.0	934.4
424.2	959.2
424.4	980.0
424.6	1004
424.8	1028
425.0	1054
425.2	1078
425.4	1100
425.6	1123
425.8	1146
426.0	1173
426.2	1199
426.4	1220
426.6	1244
426.8	1266
427.0	1288
427.2	1315
427.4	1341
427.6	1366
427.8	1393
428.0	1417
428.2	1442
428.4	1471
428.6	1503
428.8	1534
429.0	1565
429.2	1592
429.4	1617
429.6	1642
429.8	1668
430.0	1693
430.2	1720
430.4	1750
430.6	1781
430.8	1808
431.0	1833
431.2	1858
431.4	1881
431.6	1908
431.8	1930
432.0	1954
432.2	1981
432.4	2010
432.6	2037
432.8	2066
433.0	2091
433.2	2120
433.4	2147
433.6	2172
433.8	2197
434.0	2218
434.2	2250
434.4	2281
434.6	2304
434.8	2327
435.0	2352
435.2	2377
435.4	2409
435.6	2430
435.8	2449
436.0	2467
436.2	2488
436.4	2514
436.6	2537
436.8	2563
437.0	2588
437.2	2615
437.4	2638
437.6	2659
437.8	2679
438.0	2712
438.2	2742
438.4	2774
438.6	2796
438.8	2815
439.0	2824
439.2	2841
439.4	2857
439.6	2881
439.8	2907
440.0	2938
440.2	2962
440.4	2987
440.6	3000
440.8	3017
441.0	3033
441.2	3052
441.4	3072
441.6	3099
441.8	3113
442.0	3131
442.2	3151
442.4	3169
442.6	3186
442.8	3208
443.0	3228
443.2	3249
443.4	3272
443.6	3292
443.8	3309
444.0	3325
444.2	3353
444.4	3364
444.6	3379
444.8	3396
445.0	3412
445.2	3434
445.4	3456
445.6	3465
445.8	3476
446.0	3490
446.2	3505
446.4	3524
446.6	3536
446.8	3546
447.0	3565
447.2	3590
447.4	3612
447.6	3631
447.8	3639
448.0	3648
448.2	3680
448.4	3706
448.6	3731
448.8	3748
449.0	3756
449.2	3775
449.4	3795
449.6	3810
449.8	3823
450.0	3837
450.2	3859
450.4	3888
450.6	3900
450.8	3910
451.0	3914
451.2	3930
451.4	3950
451.6	3983
451.8	3996
452.0	4015
452.2	4034
452.4	4051
452.6	4064
452.8	4088
453.0	4102
453.2	4132
453.4	4160
453.6	4186
453.8	4207
454.0	4227
454.2	4248
454.4	4270
454.6	4288
454.8	4302
455.0	4316
455.2	4327
455.4	4344
455.6	4356
455.8	4393
456.0	4420
456.2	4445
456.4	4461
456.6	4479
456.8	4483
457.0	4512
457.2	4539
457.4	4565
457.6	4590
457.8	4620
458.0	4638
458.2	4661
458.4	4687
458.6	4708
458.8	4720
459.0	4745
459.2	4762
459.4	4786
459.6	4814
459.8	4841
460.0	4857
460.2	4882
460.4	4893
460.6	4920
460.8	4951
461.0	4975
461.2	4987
461.4	5005
461.6	5016
461.8	5038
462.0	5061
462.2	5087
462.4	5117
462.6	5149
462.8	5170
