
nm	Data
370.0	8.432
370.2	8.437
370.4	8.606
370.6	8.810
370.8	8.897
371.0	8.749
371.2	8.438
371.4	8.010
371.6	7.960
371.8	8.058
372.0	8.466
372.2	8.812
372.4	8.690
372.6	8.485
372.8	8.422
373.0	8.515
373.2	8.670
373.4	8.674
373.6	8.452
373.8	8.539
374.0	8.606
374.2	8.587
374.4	8.684
374.6	8.654
374.8	8.763
375.0	8.998
375.2	8.911
375.4	9.003
375.6	9.047
375.8	9.054
376.0	9.254
376.2	9.324
376.4	8.869
376.6	8.866
376.8	8.253
377.0	8.367
377.2	8.595
377.4	9.072
377.6	9.575
377.8	9.728
378.0	9.176
378.2	9.092
378.4	8.671
378.6	8.722
378.8	8.903
379.0	8.727
379.2	8.571
379.4	8.846
379.6	9.013
379.8	9.103
380.0	9.168
380.2	9.465
380.4	9.227
380.6	9.323
380.8	9.276
381.0	8.961
381.2	9.152
381.4	9.669
381.6	9.669
381.8	9.972
382.0	9.899
382.2	9.800
382.4	9.740
382.6	9.628
382.8	9.572
383.0	9.363
383.2	9.165
383.4	9.365
383.6	9.580
383.8	9.825
384.0	10.03
384.2	10.03
384.4	10.13
384.6	10.28
384.8	10.32
385.0	10.16
385.2	9.818
385.4	9.869
385.6	9.949
385.8	9.943
386.0	9.947
386.2	9.914
386.4	9.955
386.6	10.21
386.8	10.47
387.0	10.62
387.2	10.52
387.4	10.75
387.6	11.06
387.8	11.10
388.0	11.14
388.2	10.85
388.4	10.55
388.6	10.94
388.8	11.59
389.0	11.73
389.2	11.86
389.4	11.45
389.6	11.24
389.8	11.13
390.0	11.57
390.2	11.80
390.4	12.16
390.6	12.17
390.8	12.06
391.0	11.80
391.2	11.89
391.4	12.32
391.6	12.54
391.8	12.83
392.0	13.01
392.2	13.10
392.4	13.16
392.6	13.41
392.8	13.45
393.0	13.79
393.2	14.14
393.4	14.53
393.6	14.59
393.8	14.47
394.0	14.69
394.2	14.81
394.4	14.66
394.6	15.06
394.8	15.04
395.0	15.35
395.2	15.99
395.4	16.65
395.6	16.83
395.8	17.47
396.0	17.39
396.2	17.29
396.4	17.31
396.6	17.49
396.8	18.11
397.0	18.99
397.2	20.01
397.4	20.71
397.6	21.32
397.8	21.53
398.0	21.64
398.2	21.70
398.4	22.04
398.6	22.78
398.8	24.00
399.0	25.26
399.2	25.70
399.4	25.86
399.6	26.54
399.8	27.82
400.0	29.53
400.2	30.46
400.4	31.52
400.6	32.53
400.8	34.77
401.0	36.54
401.2	38.14
401.4	38.42
401.6	39.72
401.8	41.05
402.0	43.50
402.2	45.54
402.4	47.99
402.6	49.21
402.8	50.77
403.0	52.24
403.2	54.44
403.4	56.70
403.6	59.53
403.8	62.51
404.0	65.26
404.2	68.11
404.4	70.71
404.6	73.78
404.8	76.98
405.0	82.04
405.2	86.36
405.4	90.99
405.6	94.38
405.8	98.45
406.0	102.1
406.2	107.8
406.4	113.1
406.6	119.0
406.8	123.6
407.0	128.8
407.2	134.3
407.4	139.8
407.6	145.4
407.8	151.3
408.0	156.7
408.2	165.3
408.4	175.4
408.6	184.6
408.8	194.4
409.0	201.2
409.2	208.6
409.4	218.0
409.6	227.5
409.8	239.1
410.0	250.3
410.2	260.6
410.4	274.5
410.6	285.8
410.8	297.9
411.0	310.2
411.2	322.8
411.4	336.0
411.6	351.4
411.8	365.5
412.0	379.4
412.2	393.7
412.4	407.4
412.6	422.8
412.8	437.4
413.0	454.4
413.2	472.7
413.4	491.9
413.6	508.4
413.8	527.2
414.0	546.3
414.2	567.2
414.4	589.0
414.6	612.2
414.8	634.3
415.0	655.9
415.2	681.1
415.4	703.6
415.6	727.2
415.8	755.6
416.0	779.9
416.2	803.7
416.4	827.6
416.6	851.8
416.8	878.8
417.0	908.2
417.2	935.5
417.4	962.4
417.6	989.5
417.8	1021
418.0	1052
418.2	1086
418.4	1120
418.6	1152
418.8	1183
419.0	1217
419.2	1250
419.4	1282
419.6	1316
419.8	1350
420.0	1388
420.2	1427
420.4	1468
420.6	1506
420.8	1549
421.0	1585
421.2	1622
421.4	1658
421.6	1698
421.8	1739
422.0	1786
422.2	1826
422.4	1868
422.6	1911
422.8	1952
423.0	1995
423.2	2036
423.4	2071
423.6	2113
423.8	2157
424.0	2201
424.2	2244
424.4	2284
424.6	2326
424.8	2373
425.0	2423
