
nm	Data
420.0	1.316
420.2	1.430
420.4	1.437
420.6	1.389
420.8	1.365
421.0	1.355
421.2	1.416
421.4	1.394
421.6	1.387
421.8	1.356
422.0	1.353
422.2	1.289
422.4	1.292
422.6	1.299
422.8	1.317
423.0	1.318
423.2	1.309
423.4	1.312
423.6	1.350
423.8	1.415
424.0	1.420
424.2	1.393
424.4	1.330
424.6	1.312
424.8	1.326
425.0	1.370
425.2	1.377
425.4	1.414
425.6	1.428
425.8	1.410
426.0	1.428
426.2	1.441
426.4	1.442
426.6	1.456
426.8	1.441
427.0	1.423
427.2	1.432
427.4	1.425
427.6	1.400
427.8	1.358
428.0	1.307
428.2	1.308
428.4	1.342
428.6	1.411
428.8	1.430
429.0	1.455
429.2	1.456
429.4	1.447
429.6	1.478
429.8	1.492
430.0	1.456
430.2	1.450
430.4	1.405
430.6	1.390
430.8	1.415
431.0	1.446
431.2	1.472
431.4	1.543
431.6	1.571
431.8	1.618
432.0	1.572
432.2	1.551
432.4	1.491
432.6	1.508
432.8	1.515
433.0	1.571
433.2	1.558
433.4	1.585
433.6	1.521
433.8	1.478
434.0	1.433
434.2	1.481
434.4	1.543
434.6	1.615
434.8	1.616
435.0	1.616
435.2	1.582
435.4	1.600
435.6	1.581
435.8	1.550
436.0	1.530
436.2	1.547
436.4	1.592
436.6	1.652
436.8	1.659
437.0	1.726
437.2	1.762
437.4	1.742
437.6	1.747
437.8	1.690
438.0	1.632
438.2	1.646
438.4	1.687
438.6	1.691
438.8	1.732
439.0	1.769
439.2	1.760
439.4	1.749
439.6	1.764
439.8	1.749
440.0	1.729
440.2	1.814
440.4	1.831
440.6	1.827
440.8	1.843
441.0	1.833
441.2	1.788
441.4	1.923
441.6	1.950
441.8	2.002
442.0	2.048
442.2	1.988
442.4	1.943
442.6	1.960
442.8	1.967
443.0	2.047
443.2	2.077
443.4	2.051
443.6	2.121
443.8	2.116
444.0	2.138
444.2	2.221
444.4	2.247
444.6	2.173
444.8	2.188
445.0	2.173
445.2	2.180
445.4	2.293
445.6	2.360
445.8	2.403
446.0	2.488
446.2	2.517
446.4	2.491
446.6	2.464
446.8	2.422
447.0	2.449
447.2	2.519
447.4	2.567
447.6	2.611
447.8	2.603
448.0	2.661
448.2	2.687
448.4	2.740
448.6	2.817
448.8	2.877
449.0	2.868
449.2	2.921
449.4	2.954
449.6	2.948
449.8	2.994
450.0	2.968
450.2	3.037
450.4	3.068
450.6	3.134
450.8	3.155
451.0	3.217
451.2	3.239
451.4	3.404
451.6	3.501
451.8	3.540
452.0	3.496
452.2	3.457
452.4	3.490
452.6	3.578
452.8	3.674
453.0	3.814
453.2	3.915
453.4	4.027
453.6	4.073
453.8	4.095
454.0	4.202
454.2	4.297
454.4	4.422
454.6	4.521
454.8	4.537
455.0	4.566
455.2	4.626
455.4	4.606
455.6	4.715
455.8	4.896
456.0	5.068
456.2	5.201
456.4	5.348
456.6	5.420
456.8	5.515
457.0	5.615
457.2	5.674
457.4	5.781
457.6	5.909
457.8	6.085
458.0	6.289
458.2	6.561
458.4	6.737
458.6	6.871
458.8	6.856
459.0	6.959
459.2	7.214
459.4	7.628
459.6	8.068
459.8	8.392
460.0	8.668
460.2	8.770
460.4	8.985
460.6	9.167
460.8	9.436
461.0	9.560
461.2	9.849
461.4	10.18
461.6	10.64
461.8	11.09
462.0	11.45
462.2	11.64
462.4	11.93
462.6	12.29
462.8	12.56
463.0	12.90
463.2	13.18
463.4	13.60
463.6	14.21
463.8	14.80
464.0	15.24
464.2	15.74
464.4	16.24
464.6	16.85
464.8	17.57
465.0	18.16
465.2	18.45
465.4	18.86
465.6	19.49
465.8	20.10
466.0	20.89
466.2	21.63
466.4	22.12
466.6	22.62
466.8	23.38
467.0	24.09
467.2	24.74
467.4	25.54
467.6	26.39
467.8	27.02
468.0	28.15
468.2	29.08
468.4	29.79
468.6	30.65
468.8	31.43
469.0	32.51
469.2	34.11
469.4	35.45
469.6	36.38
469.8	36.95
470.0	37.75
470.2	38.97
470.4	40.38
470.6	41.91
470.8	43.15
471.0	44.31
471.2	45.77
471.4	47.38
471.6	48.76
471.8	50.08
472.0	51.18
472.2	52.45
472.4	53.77
472.6	56.01
472.8	57.44
473.0	58.92
473.2	59.90
473.4	61.06
473.6	62.42
473.8	64.70
474.0	66.58
474.2	68.55
474.4	70.06
474.6	71.79
474.8	73.21
475.0	75.11
475.2	77.33
475.4	79.68
475.6	81.78
475.8	84.11
476.0	85.92
476.2	87.37
476.4	89.16
476.6	91.27
476.8	93.05
477.0	95.32
477.2	98.20
477.4	100.6
477.6	103.2
477.8	105.6
478.0	107.6
478.2	109.7
478.4	112.1
478.6	114.5
478.8	117.0
