
nm	Data
410.0	60.07
410.2	59.17
410.4	59.06
410.6	59.40
410.8	59.50
411.0	60.13
411.2	59.48
411.4	59.78
411.6	59.00
411.8	59.07
412.0	58.47
412.2	59.54
412.4	59.12
412.6	59.60
412.8	59.92
413.0	59.44
413.2	58.53
413.4	58.80
413.6	57.84
413.8	57.35
414.0	57.86
414.2	57.87
414.4	58.28
414.6	58.47
414.8	57.92
415.0	57.19
415.2	57.47
415.4	57.80
415.6	58.55
415.8	59.09
416.0	58.49
416.2	57.96
416.4	58.14
416.6	58.13
416.8	57.32
417.0	56.94
417.2	56.20
417.4	56.68
417.6	57.36
417.8	58.03
418.0	57.12
418.2	56.13
418.4	55.67
418.6	56.20
418.8	56.43
419.0	57.34
419.2	57.42
419.4	57.19
419.6	56.63
419.8	56.86
420.0	56.69
420.2	56.63
420.4	56.70
420.6	56.75
420.8	56.00
421.0	56.25
421.2	56.63
421.4	56.70
421.6	56.97
421.8	57.07
422.0	57.40
422.2	56.78
422.4	56.70
422.6	55.97
422.8	55.75
423.0	56.55
423.2	58.55
423.4	58.74
423.6	58.32
423.8	57.35
424.0	56.47
424.2	57.22
424.4	58.02
424.6	57.75
424.8	57.44
425.0	57.49
425.2	57.69
425.4	59.06
425.6	58.59
425.8	57.82
426.0	57.68
426.2	58.17
426.4	59.20
426.6	60.18
426.8	59.73
427.0	59.35
427.2	58.90
427.4	58.94
427.6	58.71
427.8	58.68
428.0	59.27
428.2	59.02
428.4	58.55
428.6	58.22
428.8	58.30
429.0	59.01
429.2	60.11
429.4	60.35
429.6	61.09
429.8	60.92
430.0	60.96
430.2	60.31
430.4	59.65
430.6	59.64
430.8	60.89
431.0	61.77
431.2	61.61
431.4	61.27
431.6	61.09
431.8	60.82
432.0	61.41
432.2	61.40
432.4	60.93
432.6	61.55
432.8	62.16
433.0	62.92
433.2	63.40
433.4	63.39
433.6	62.80
433.8	62.69
434.0	63.22
434.2	64.39
434.4	65.23
434.6	65.91
434.8	65.49
435.0	65.42
435.2	65.94
435.4	67.01
435.6	68.27
435.8	68.69
436.0	68.69
436.2	68.48
436.4	68.02
436.6	68.24
436.8	69.42
437.0	70.40
437.2	71.27
437.4	71.92
437.6	72.27
437.8	72.82
438.0	72.51
438.2	72.79
438.4	73.58
438.6	74.74
438.8	75.55
439.0	76.65
439.2	76.62
439.4	76.98
439.6	77.50
439.8	78.09
440.0	79.63
440.2	81.03
440.4	81.65
440.6	81.50
440.8	81.94
441.0	81.45
441.2	82.31
441.4	83.62
441.6	84.22
441.8	85.12
442.0	87.51
442.2	87.21
442.4	86.74
442.6	88.12
442.8	88.76
443.0	89.47
443.2	90.15
443.4	89.90
443.6	89.76
443.8	91.11
444.0	92.59
444.2	94.26
444.4	95.48
444.6	95.95
444.8	95.17
445.0	95.03
445.2	94.75
445.4	95.62
445.6	96.95
445.8	97.41
446.0	98.11
446.2	98.33
446.4	98.61
446.6	99.44
446.8	100.5
447.0	101.3
447.2	102.3
447.4	101.7
447.6	101.2
447.8	100.5
448.0	100.9
448.2	102.6
448.4	104.4
448.6	105.3
448.8	105.7
449.0	105.4
449.2	105.0
449.4	105.2
449.6	105.7
449.8	105.3
450.0	106.5
450.2	107.3
450.4	107.5
450.6	107.3
450.8	106.3
451.0	105.5
451.2	106.6
451.4	107.9
451.6	109.5
451.8	109.6
452.0	109.0
452.2	108.4
452.4	108.6
452.6	109.5
452.8	110.1
453.0	110.1
453.2	109.9
453.4	110.4
453.6	111.4
453.8	111.5
454.0	110.9
454.2	112.0
454.4	112.0
454.6	112.9
454.8	115.3
455.0	114.6
455.2	114.2
455.4	114.5
455.6	113.2
455.8	112.5
456.0	113.4
456.2	113.7
456.4	114.6
456.6	116.3
456.8	116.1
457.0	116.1
457.2	116.3
457.4	117.1
457.6	117.0
457.8	117.6
458.0	117.6
458.2	118.7
458.4	119.6
458.6	120.6
458.8	120.9
459.0	121.3
459.2	121.4
459.4	122.4
459.6	122.4
459.8	122.9
460.0	123.6
460.2	124.4
460.4	125.0
460.6	126.8
460.8	128.2
461.0	129.7
461.2	131.0
461.4	132.2
461.6	134.3
461.8	135.3
462.0	135.9
462.2	136.8
462.4	137.1
462.6	139.5
462.8	142.7
463.0	144.2
463.2	145.4
463.4	146.3
463.6	147.5
463.8	150.3
464.0	152.4
464.2	154.8
464.4	157.8
464.6	161.2
464.8	164.1
465.0	167.1
465.2	168.3
465.4	170.6
465.6	174.3
465.8	178.4
466.0	179.6
466.2	181.7
466.4	183.4
466.6	186.6
466.8	190.8
467.0	195.2
467.2	198.4
467.4	202.0
467.6	204.4
467.8	206.6
468.0	208.6
468.2	213.9
468.4	219.1
468.6	225.2
468.8	229.2
469.0	232.7
469.2	236.2
469.4	240.7
469.6	244.5
469.8	248.9
470.0	254.3
470.2	259.6
470.4	264.4
470.6	269.8
470.8	274.9
471.0	278.6
471.2	284.1
471.4	290.7
471.6	295.5
471.8	302.4
472.0	309.0
472.2	314.4
472.4	318.5
472.6	326.6
472.8	331.4
473.0	335.5
473.2	340.0
473.4	346.3
473.6	350.2
473.8	359.9
474.0	368.9
474.2	377.5
474.4	385.0
474.6	393.0
474.8	399.8
475.0	408.4
475.2	416.8
475.4	425.8
475.6	432.3
475.8	437.1
476.0	441.3
476.2	449.5
476.4	458.2
476.6	468.3
476.8	478.1
477.0	486.0
477.2	495.0
477.4	507.3
477.6	518.9
477.8	527.5
478.0	533.9
478.2	539.7
478.4	548.3
478.6	556.3
478.8	566.3
479.0	573.9
479.2	582.6
479.4	594.7
479.6	605.3
479.8	617.7
480.0	629.9
480.2	640.3
480.4	651.4
480.6	662.9
480.8	671.4
481.0	684.6
481.2	695.7
481.4	706.2
481.6	714.5
481.8	724.9
482.0	734.4
482.2	747.2
482.4	758.0
482.6	769.7
482.8	781.7
483.0	795.0
483.2	808.9
483.4	821.2
483.6	832.5
483.8	845.5
484.0	858.1
484.2	870.8
484.4	887.5
484.6	901.3
484.8	915.1
485.0	929.4
485.2	940.4
485.4	952.0
485.6	969.4
485.8	983.5
486.0	1001
486.2	1020
486.4	1033
486.6	1044
486.8	1062
487.0	1076
487.2	1095
487.4	1114
487.6	1126
487.8	1141
488.0	1154
488.2	1170
488.4	1188
488.6	1209
488.8	1228
489.0	1249
489.2	1262
489.4	1278
489.6	1297
489.8	1312
490.0	1335
490.2	1361
490.4	1384
490.6	1408
490.8	1426
491.0	1439
491.2	1454
491.4	1473
491.6	1491
491.8	1514
492.0	1538
492.2	1565
492.4	1582
492.6	1602
492.8	1618
493.0	1645
493.2	1669
493.4	1697
493.6	1721
493.8	1743
494.0	1763
494.2	1790
494.4	1813
494.6	1838
494.8	1868
495.0	1895
495.2	1916
495.4	1939
495.6	1964
495.8	1990
496.0	2022
496.2	2050
496.4	2073
496.6	2097
496.8	2121
497.0	2150
497.2	2179
497.4	2210
497.6	2243
497.8	2270
498.0	2294
498.2	2319
498.4	2345
498.6	2380
498.8	2410
499.0	2438
499.2	2463
499.4	2487
499.6	2513
499.8	2551
500.0	2587
500.2	2628
500.4	2662
500.6	2686
500.8	2708
501.0	2741
501.2	2773
501.4	2805
501.6	2838
501.8	2864
502.0	2891
502.2	2924
502.4	2955
502.6	2984
502.8	3017
503.0	3050
503.2	3082
503.4	3119
503.6	3156
503.8	3192
504.0	3221
504.2	3252
504.4	3289
504.6	3324
504.8	3358
505.0	3385
505.2	3414
505.4	3446
505.6	3485
505.8	3513
506.0	3546
506.2	3571
506.4	3604
506.6	3641
506.8	3678
507.0	3718
507.2	3763
507.4	3795
507.6	3822
507.8	3847
508.0	3882
508.2	3914
508.4	3947
508.6	3974
508.8	4006
509.0	4044
509.2	4083
509.4	4106
509.6	4130
509.8	4154
510.0	4184
510.2	4225
510.4	4251
510.6	4280
510.8	4314
511.0	4352
511.2	4389
511.4	4418
511.6	4441
511.8	4469
512.0	4498
512.2	4531
512.4	4557
512.6	4579
512.8	4607
513.0	4649
513.2	4685
513.4	4711
513.6	4729
513.8	4767
514.0	4792
514.2	4826
514.4	4858
514.6	4876
514.8	4895
515.0	4930
515.2	4943
515.4	4976
515.6	5009
515.8	5040
516.0	5067
516.2	5101
516.4	5113
516.6	5136
516.8	5155
517.0	5182
517.2	5214
517.4	5257
517.6	5282
517.8	5302
518.0	5322
518.2	5339
518.4	5362
518.6	5382
518.8	5408
519.0	5433
519.2	5461
519.4	5489
519.6	5517
519.8	5535
520.0	5553
520.2	5579
520.4	5597
520.6	5615
520.8	5638
521.0	5653
521.2	5664
521.4	5689
521.6	5709
521.8	5728
522.0	5754
522.2	5775
522.4	5784
522.6	5797
522.8	5813
523.0	5825
523.2	5851
523.4	5879
523.6	5898
523.8	5909
524.0	5917
524.2	5930
524.4	5943
524.6	5959
524.8	5979
525.0	5986
525.2	6004
525.4	6027
525.6	6048
525.8	6067
526.0	6079
526.2	6087
526.4	6097
526.6	6109
526.8	6130
527.0	6134
527.2	6142
527.4	6153
527.6	6165
527.8	6183
528.0	6189
528.2	6190
528.4	6202
528.6	6210
528.8	6228
529.0	6241
529.2	6241
529.4	6246
529.6	6245
529.8	6249
530.0	6257
530.2	6260
530.4	6273
530.6	6287
530.8	6298
531.0	6310
531.2	6319
531.4	6329
531.6	6347
531.8	6359
532.0	6365
532.2	6356
532.4	6342
532.6	6336
532.8	6336
533.0	6346
533.2	6365
533.4	6369
533.6	6374
533.8	6377
534.0	6377
534.2	6382
534.4	6387
534.6	6385
534.8	6395
535.0	6398
535.2	6408
535.4	6400
535.6	6392
535.8	6384
536.0	6384
536.2	6389
536.4	6396
536.6	6387
536.8	6391
537.0	6379
537.2	6378
537.4	6386
537.6	6386
537.8	6384
538.0	6392
538.2	6382
538.4	6377
538.6	6372
538.8	6370
539.0	6361
539.2	6366
539.4	6361
539.6	6359
539.8	6364
540.0	6362
540.2	6354
540.4	6350
540.6	6334
540.8	6338
541.0	6332
541.2	6319
541.4	6305
541.6	6303
541.8	6302
542.0	6318
542.2	6311
542.4	6314
542.6	6306
542.8	6300
543.0	6290
543.2	6281
543.4	6271
543.6	6265
543.8	6251
544.0	6241
544.2	6227
544.4	6224
544.6	6223
544.8	6220
545.0	6211
545.2	6202
545.4	6192
545.6	6189
545.8	6185
546.0	6182
546.2	6177
546.4	6160
546.6	6152
546.8	6142
547.0	6128
547.2	6112
547.4	6104
547.6	6088
547.8	6092
548.0	6086
548.2	6082
548.4	6076
548.6	6065
548.8	6046
549.0	6025
549.2	6005
549.4	6002
549.6	5999
549.8	5984
550.0	5972
550.2	5950
550.4	5940
550.6	5932
550.8	5925
551.0	5919
551.2	5910
551.4	5896
551.6	5880
551.8	5871
552.0	5863
552.2	5859
552.4	5840
552.6	5823
552.8	5802
553.0	5793
553.2	5785
553.4	5783
553.6	5764
553.8	5744
554.0	5724
554.2	5704
554.4	5696
554.6	5689
554.8	5676
555.0	5665
555.2	5649
555.4	5629
555.6	5613
555.8	5590
556.0	5576
556.2	5565
556.4	5558
556.6	5545
556.8	5533
557.0	5518
557.2	5506
557.4	5489
557.6	5475
557.8	5458
558.0	5442
558.2	5426
558.4	5412
558.6	5395
558.8	5373
559.0	5356
559.2	5337
559.4	5324
559.6	5315
559.8	5300
560.0	5282
560.2	5262
560.4	5243
560.6	5227
560.8	5211
561.0	5194
561.2	5175
561.4	5166
561.6	5152
561.8	5144
562.0	5122
562.2	5105
562.4	5081
562.6	5055
562.8	5035
563.0	5028
563.2	5013
563.4	4998
563.6	4981
563.8	4953
564.0	4939
564.2	4926
564.4	4921
564.6	4907
564.8	4886
565.0	4859
565.2	4836
565.4	4810
565.6	4799
565.8	4785
566.0	4766
566.2	4747
566.4	4734
566.6	4714
566.8	4704
567.0	4693
567.2	4677
567.4	4659
567.6	4643
567.8	4622
568.0	4604
568.2	4594
568.4	4586
568.6	4571
568.8	4556
569.0	4540
569.2	4519
569.4	4504
569.6	4485
569.8	4457
570.0	4432
570.2	4410
570.4	4394
570.6	4380
570.8	4372
571.0	4367
571.2	4353
571.4	4330
571.6	4306
571.8	4288
572.0	4283
572.2	4272
572.4	4252
572.6	4227
572.8	4199
573.0	4180
573.2	4176
573.4	4160
573.6	4143
573.8	4121
574.0	4097
574.2	4079
574.4	4068
574.6	4057
574.8	4045
575.0	4034
575.2	4014
575.4	3993
575.6	3971
575.8	3957
576.0	3951
576.2	3945
576.4	3934
576.6	3913
576.8	3893
577.0	3876
577.2	3862
577.4	3846
577.6	3830
577.8	3805
578.0	3788
578.2	3774
578.4	3764
578.6	3759
578.8	3745
579.0	3730
579.2	3715
579.4	3692
579.6	3674
579.8	3664
580.0	3649
580.2	3633
580.4	3610
580.6	3587
580.8	3567
581.0	3558
581.2	3552
581.4	3543
581.6	3529
581.8	3519
582.0	3504
582.2	3491
582.4	3473
582.6	3452
582.8	3434
583.0	3419
583.2	3406
583.4	3398
583.6	3386
583.8	3370
584.0	3356
584.2	3337
584.4	3321
584.6	3307
584.8	3298
585.0	3285
585.2	3272
585.4	3257
585.6	3249
585.8	3233
586.0	3221
586.2	3214
586.4	3199
586.6	3193
586.8	3180
587.0	3155
587.2	3140
587.4	3127
587.6	3111
587.8	3104
588.0	3082
588.2	3067
588.4	3050
588.6	3033
588.8	3026
589.0	3024
589.2	3021
589.4	3011
589.6	2996
589.8	2979
590.0	2967
590.2	2956
590.4	2945
590.6	2922
590.8	2913
591.0	2907
591.2	2900
591.4	2889
591.6	2874
591.8	2857
592.0	2841
592.2	2833
592.4	2814
592.6	2802
592.8	2792
593.0	2782
593.2	2770
593.4	2757
593.6	2734
593.8	2720
594.0	2712
594.2	2704
594.4	2698
594.6	2693
594.8	2682
595.0	2671
595.2	2654
595.4	2637
595.6	2620
595.8	2605
596.0	2595
596.2	2585
596.4	2570
596.6	2557
596.8	2542
597.0	2527
597.2	2517
597.4	2508
597.6	2502
597.8	2489
598.0	2478
598.2	2467
598.4	2460
598.6	2450
598.8	2439
599.0	2420
599.2	2409
599.4	2402
599.6	2395
599.8	2380
600.0	2364
600.2	2346
600.4	2334
600.6	2328
600.8	2316
601.0	2302
601.2	2291
601.4	2278
601.6	2269
601.8	2261
602.0	2248
602.2	2233
602.4	2223
602.6	2213
602.8	2206
603.0	2195
603.2	2178
603.4	2164
603.6	2151
603.8	2141
604.0	2133
604.2	2125
604.4	2118
604.6	2112
604.8	2096
605.0	2079
605.2	2065
605.4	2054
605.6	2052
605.8	2048
606.0	2033
606.2	2017
606.4	2004
606.6	1987
606.8	1978
607.0	1968
607.2	1957
607.4	1951
607.6	1941
607.8	1926
608.0	1916
608.2	1899
608.4	1890
608.6	1882
608.8	1871
609.0	1866
609.2	1859
609.4	1849
609.6	1843
609.8	1831
610.0	1815
610.2	1800
610.4	1780
610.6	1769
610.8	1764
611.0	1759
611.2	1753
611.4	1743
611.6	1726
611.8	1715
612.0	1703
612.2	1695
612.4	1682
612.6	1673
612.8	1669
613.0	1664
613.2	1651
613.4	1638
613.6	1619
613.8	1608
614.0	1601
614.2	1597
614.4	1591
614.6	1581
614.8	1566
615.0	1557
615.2	1544
615.4	1539
615.6	1533
615.8	1522
616.0	1513
616.2	1506
616.4	1494
616.6	1487
616.8	1478
617.0	1465
617.2	1456
617.4	1447
617.6	1434
617.8	1427
618.0	1423
618.2	1413
618.4	1402
618.6	1394
618.8	1382
619.0	1370
619.2	1364
619.4	1357
619.6	1349
619.8	1342
620.0	1330
620.2	1317
620.4	1308
620.6	1301
620.8	1292
621.0	1284
621.2	1275
621.4	1268
621.6	1265
621.8	1261
622.0	1254
622.2	1247
622.4	1236
622.6	1226
622.8	1220
623.0	1212
623.2	1202
623.4	1191
623.6	1179
623.8	1173
624.0	1169
624.2	1166
624.4	1161
624.6	1153
624.8	1144
625.0	1135
625.2	1126
625.4	1118
625.6	1112
625.8	1104
626.0	1097
626.2	1094
626.4	1085
626.6	1078
626.8	1070
627.0	1058
627.2	1049
627.4	1046
627.6	1039
627.8	1034
628.0	1026
628.2	1017
628.4	1011
628.6	1006
628.8	1004
629.0	1000
629.2	992.3
629.4	985.6
629.6	977.3
629.8	966.9
630.0	961.6
630.2	957.9
630.4	952.2
630.6	946.1
630.8	940.5
631.0	932.9
631.2	925.7
631.4	918.6
631.6	913.0
631.8	907.9
632.0	902.6
632.2	897.3
632.4	891.3
632.6	883.3
632.8	879.5
633.0	875.7
633.2	871.6
633.4	867.3
633.6	858.5
633.8	850.5
634.0	846.2
634.2	838.0
634.4	833.4
634.6	828.4
634.8	824.8
635.0	820.0
635.2	820.9
635.4	815.6
635.6	808.7
635.8	800.5
636.0	796.8
636.2	788.4
636.4	785.3
636.6	780.1
636.8	772.5
637.0	765.1
637.2	760.2
637.4	753.3
637.6	748.0
637.8	743.3
638.0	740.1
638.2	737.9
638.4	733.8
638.6	728.7
638.8	720.6
639.0	713.0
639.2	706.4
639.4	704.5
639.6	703.2
639.8	703.2
640.0	698.3
640.2	692.3
640.4	685.0
640.6	682.3
640.8	679.7
641.0	679.5
641.2	674.7
641.4	666.9
641.6	661.2
641.8	654.6
642.0	648.9
642.2	646.7
642.4	640.8
642.6	635.3
642.8	633.4
643.0	630.0
643.2	628.2
643.4	625.6
643.6	620.4
643.8	614.0
644.0	608.3
644.2	603.1
644.4	600.1
644.6	595.2
644.8	591.9
645.0	587.3
645.2	584.9
645.4	582.5
645.6	580.2
645.8	575.7
646.0	570.5
646.2	565.3
646.4	562.7
646.6	559.8
646.8	557.4
647.0	556.5
647.2	552.8
647.4	548.3
647.6	543.1
647.8	535.4
648.0	529.4
648.2	526.7
648.4	523.6
648.6	522.2
648.8	520.6
649.0	517.3
649.2	516.0
649.4	513.8
649.6	509.6
649.8	507.0
650.0	500.8
650.2	495.4
650.4	490.4
650.6	485.8
650.8	482.3
651.0	481.3
651.2	476.0
651.4	472.0
651.6	468.6
651.8	469.2
652.0	471.1
652.2	470.4
652.4	463.3
652.6	457.3
652.8	450.1
653.0	447.0
653.2	444.3
653.4	442.8
653.6	438.9
653.8	437.5
654.0	433.6
654.2	429.7
654.4	425.0
654.6	422.7
654.8	419.4
655.0	418.2
655.2	417.8
655.4	413.9
655.6	411.1
655.8	408.9
656.0	405.7
656.2	402.7
656.4	401.1
656.6	397.8
656.8	392.6
657.0	387.7
657.2	381.5
657.4	377.7
657.6	375.8
657.8	376.1
658.0	374.6
658.2	373.5
658.4	368.4
658.6	366.1
658.8	362.2
659.0	361.8
659.2	361.4
659.4	359.4
659.6	355.1
659.8	353.6
660.0	350.9
660.2	350.5
660.4	347.0
660.6	341.2
660.8	337.5
661.0	333.8
661.2	332.9
661.4	333.1
661.6	331.6
661.8	327.8
662.0	326.0
662.2	321.0
662.4	317.9
662.6	315.7
662.8	314.6
663.0	312.9
663.2	311.4
663.4	307.3
663.6	303.2
663.8	301.7
664.0	300.9
664.2	301.9
664.4	297.3
664.6	294.2
664.8	292.0
665.0	291.3
665.2	288.1
665.4	287.5
