
nm	Data
420.0	857.4
420.2	814.2
420.4	763.9
420.6	710.9
420.8	660.9
421.0	616.2
421.2	575.9
421.4	535.8
421.6	498.2
421.8	462.2
422.0	429.1
422.2	396.5
422.4	366.9
422.6	337.8
422.8	310.9
423.0	286.4
423.2	264.0
423.4	242.8
423.6	223.4
423.8	204.6
424.0	187.6
424.2	171.6
424.4	156.9
424.6	143.4
424.8	131.3
425.0	120.2
425.2	110.2
425.4	100.8
425.6	92.41
425.8	84.84
426.0	78.27
426.2	72.45
426.4	67.15
426.6	62.71
426.8	59.12
427.0	55.64
427.2	52.86
427.4	50.01
427.6	47.57
427.8	45.53
428.0	44.05
428.2	42.54
428.4	41.63
428.6	41.06
428.8	40.64
429.0	40.39
429.2	40.08
429.4	39.88
429.6	39.95
429.8	40.25
430.0	40.47
430.2	40.86
430.4	41.31
430.6	41.97
430.8	42.53
431.0	42.96
431.2	43.21
431.4	43.42
431.6	43.91
431.8	44.36
432.0	44.89
432.2	45.35
432.4	45.71
432.6	46.03
432.8	46.67
433.0	47.26
433.2	47.86
433.4	48.50
433.6	49.01
433.8	49.31
434.0	49.70
434.2	50.05
434.4	50.42
434.6	51.05
434.8	51.73
435.0	52.34
435.2	52.80
435.4	53.21
435.6	53.74
435.8	54.38
436.0	55.08
436.2	55.96
436.4	56.46
436.6	56.90
436.8	57.30
437.0	57.74
437.2	58.10
437.4	58.79
437.6	59.39
437.8	59.77
438.0	60.23
438.2	61.10
438.4	61.73
438.6	62.64
438.8	63.67
439.0	64.31
439.2	64.70
439.4	65.23
439.6	65.45
439.8	66.07
440.0	67.00
440.2	67.86
440.4	68.52
440.6	69.16
440.8	69.67
441.0	70.44
441.2	71.18
441.4	72.11
441.6	72.86
441.8	73.72
442.0	74.51
442.2	75.25
442.4	75.89
442.6	76.76
442.8	77.22
443.0	77.96
443.2	78.40
443.4	78.92
443.6	79.84
443.8	80.72
444.0	81.68
444.2	82.79
444.4	83.47
444.6	84.24
444.8	85.13
445.0	85.92
445.2	86.62
445.4	87.66
445.6	88.49
445.8	89.20
446.0	90.09
446.2	91.04
446.4	91.75
446.6	92.98
446.8	93.92
447.0	94.75
447.2	95.84
447.4	96.56
447.6	97.46
447.8	98.50
448.0	99.53
448.2	100.1
448.4	100.8
448.6	101.2
448.8	101.8
449.0	102.6
449.2	103.7
449.4	104.5
449.6	105.6
449.8	106.7
450.0	107.9
450.2	109.1
450.4	110.3
450.6	111.2
450.8	112.1
451.0	112.9
451.2	113.7
451.4	114.6
451.6	115.7
451.8	116.7
452.0	117.8
452.2	119.4
452.4	120.5
452.6	121.4
452.8	122.3
453.0	123.1
453.2	124.4
453.4	125.8
453.6	127.2
453.8	128.1
454.0	128.9
454.2	130.0
454.4	131.5
454.6	132.7
454.8	134.0
455.0	135.2
455.2	136.3
455.4	138.0
455.6	139.4
455.8	140.9
456.0	142.2
456.2	143.9
456.4	145.5
456.6	147.2
456.8	148.4
457.0	150.0
457.2	151.2
457.4	153.1
457.6	155.1
457.8	156.9
458.0	158.1
458.2	160.3
458.4	161.9
458.6	163.9
458.8	166.3
459.0	168.4
459.2	170.4
459.4	173.3
459.6	175.8
459.8	178.1
460.0	180.1
460.2	182.4
460.4	184.6
460.6	187.2
460.8	189.7
461.0	191.6
461.2	194.4
461.4	197.1
461.6	200.2
461.8	202.8
462.0	205.1
462.2	207.4
462.4	210.4
462.6	213.3
462.8	216.5
463.0	219.3
463.2	223.0
463.4	226.2
463.6	229.5
463.8	233.1
464.0	236.1
464.2	239.1
464.4	242.4
464.6	246.0
464.8	249.8
465.0	254.0
465.2	257.8
465.4	261.6
465.6	264.9
465.8	268.7
466.0	272.1
466.2	275.9
466.4	280.0
466.6	284.1
466.8	287.7
467.0	291.6
467.2	295.1
467.4	299.2
