
nm	Data
420.0	78.15
420.2	78.30
420.4	78.49
420.6	78.71
420.8	78.84
421.0	79.53
421.2	79.95
421.4	80.89
421.6	81.04
421.8	81.08
422.0	80.86
422.2	81.25
422.4	81.68
422.6	82.17
422.8	82.27
423.0	82.53
423.2	82.55
423.4	83.05
423.6	83.56
423.8	84.06
424.0	84.27
424.2	84.47
424.4	84.35
424.6	84.87
424.8	85.31
425.0	86.11
425.2	86.38
425.4	86.70
425.6	86.96
425.8	87.26
426.0	87.25
426.2	87.81
426.4	87.96
426.6	88.46
426.8	89.27
427.0	89.52
427.2	89.92
427.4	90.72
427.6	90.47
427.8	90.72
428.0	91.47
428.2	92.12
428.4	92.68
428.6	93.07
428.8	92.78
429.0	92.90
429.2	93.75
429.4	94.41
429.6	94.57
429.8	94.54
430.0	95.07
430.2	95.28
430.4	95.90
430.6	96.46
430.8	97.08
431.0	97.90
431.2	99.18
431.4	99.55
431.6	99.55
431.8	100.1
432.0	100.2
432.2	101.1
432.4	101.7
432.6	102.0
432.8	102.2
433.0	102.8
433.2	103.0
433.4	104.0
433.6	104.2
433.8	104.8
434.0	105.4
434.2	106.2
434.4	107.1
434.6	107.7
434.8	108.0
435.0	108.7
435.2	109.1
435.4	110.2
435.6	111.2
435.8	111.6
436.0	112.4
436.2	113.2
436.4	113.9
436.6	115.1
436.8	115.9
437.0	116.5
437.2	117.0
437.4	117.7
437.6	118.6
437.8	119.1
438.0	119.8
438.2	120.6
438.4	121.0
438.6	121.9
438.8	122.8
439.0	124.0
439.2	125.3
439.4	126.6
439.6	127.9
439.8	129.4
440.0	130.0
440.2	131.2
440.4	131.9
440.6	132.9
440.8	134.0
441.0	135.5
441.2	136.5
441.4	138.0
441.6	139.3
441.8	140.3
442.0	141.3
442.2	142.9
442.4	144.6
442.6	145.8
442.8	146.7
443.0	147.3
443.2	148.6
443.4	150.5
443.6	152.2
443.8	154.1
444.0	155.6
444.2	156.8
444.4	158.2
444.6	159.4
444.8	160.5
445.0	162.2
445.2	164.1
445.4	165.9
445.6	167.8
445.8	169.6
446.0	170.7
446.2	172.1
446.4	173.7
446.6	175.0
446.8	176.7
447.0	178.5
447.2	179.9
447.4	182.2
447.6	183.9
447.8	185.4
448.0	187.4
448.2	189.3
448.4	191.1
448.6	193.1
448.8	194.8
449.0	196.4
